interacting_pair	gene_a	gene_b	tissue	region
CDH1_KLRG1	CDH1	KLRG1	large_intestine	HBM942.WHFC.488_reg001
CDH2_CDH2	CDH2	CDH2	large_intestine	HBM942.WHFC.488_reg001
CDH2_FCER2	CDH2	FCER2	large_intestine	HBM942.WHFC.488_reg001
CDH3_CDH3	CDH3	CDH3	large_intestine	HBM942.WHFC.488_reg001
CDH5_CDH5	CDH5	CDH5	large_intestine	HBM942.WHFC.488_reg001
CDH6_CDH6	CDH6	CDH6	large_intestine	HBM942.WHFC.488_reg001
CDH7_CDH7	CDH7	CDH7	large_intestine	HBM942.WHFC.488_reg001
CADM1_CADM1	CADM1	CADM1	large_intestine	HBM942.WHFC.488_reg001
CADM3_CADM1	CADM3	CADM1	large_intestine	HBM942.WHFC.488_reg001
CADM1_NECTIN3	CADM1	NECTIN3	large_intestine	HBM942.WHFC.488_reg001
CADM3_NECTIN3	CADM3	NECTIN3	large_intestine	HBM942.WHFC.488_reg001
NECTIN1_NECTIN3	NECTIN1	NECTIN3	large_intestine	HBM942.WHFC.488_reg001
NECTIN2_NECTIN3	NECTIN2	NECTIN3	large_intestine	HBM942.WHFC.488_reg001
CADM3_CADM4	CADM3	CADM4	large_intestine	HBM942.WHFC.488_reg001
CADM3_EPB41L1	CADM3	EPB41L1	large_intestine	HBM942.WHFC.488_reg001
CEACAM1_CEACAM6	CEACAM1	CEACAM6	large_intestine	HBM942.WHFC.488_reg001
CEACAM5_CEACAM6	CEACAM5	CEACAM6	large_intestine	HBM942.WHFC.488_reg001
CEACAM6_CEACAM6	CEACAM6	CEACAM6	large_intestine	HBM942.WHFC.488_reg001
CEACAM8_CEACAM6	CEACAM8	CEACAM6	large_intestine	HBM942.WHFC.488_reg001
CEACAM1_CEACAM8	CEACAM1	CEACAM8	large_intestine	HBM942.WHFC.488_reg001
CEACAM1_SELE	CEACAM1	SELE	large_intestine	HBM942.WHFC.488_reg001
PODXL2_SELE	PODXL2	SELE	large_intestine	HBM942.WHFC.488_reg001
SELPLG_SELE	SELPLG	SELE	large_intestine	HBM942.WHFC.488_reg001
CEACAM5_CD1D	CEACAM5	CD1D	large_intestine	HBM942.WHFC.488_reg001
CEACAM5_CD8A	CEACAM5	CD8A	large_intestine	HBM942.WHFC.488_reg001
CEACAM5_CEACAM1	CEACAM5	CEACAM1	large_intestine	HBM942.WHFC.488_reg001
