Region	ICC	TA2	TA1	CyclingTA 1	Myofibroblasts/SM 1	Villus Fibroblasts WNT5B+	Goblet	Enteroendocrine	Epithelial	Immature Enterocytes	Enterocytes	Crypt Fibroblasts 3 RSPO3+	Myofibroblasts/SM DES High	Mono_Macrophages	Immature Goblet	Myofibroblasts/SM 2	CD8	Glia	Endothelial-Venules	CyclingTA 2	Pericytes	Stem	B Cells	Crypt Fibroblasts 2	DC	Crypt Fibroblasts 1 WNT2B+	Paneth	Secretory Specialized MUC6+	Best4+ Enterocytes	Endothelial-CD36+ Microvascular	Neurons	CD4	Myofibroblasts/SM 3	Mast	Adipocytes	Plasma	NEUROG3high	EnteroendocrineUn	Lymphatic Endothelial Cells	Tuft	Unknown	ILC	Enterochromaffin	NK	T Cells	EnteroendocrineUn 1	CyclingImmune	I Cells	D Cells	Mo Cells	K Cells	S Cells	L Cells
HBM629.DBKM.347_reg001	106.0	2809.0	3231.0	1088.0	3144.0	360.0	997.0	139.0	1053.0	6834.0	3819.0	293.0	1351.0	547.0	2059.0	156.0	373.0	214.0	287.0	83.0	143.0	613.0	464.0	338.0	11.0	786.0	47.0	328.0	738.0	353.0	34.0	161.0	222.0	87.0	19.0	165.0	26.0	44.0	70.0	65.0	6.0	6.0	156.0	77.0	2.0	30.0	7.0	60.0	71.0	85.0	13.0	44.0	7.0
HBM244.TVNH.734_reg001	343.0	3468.0	5894.0	1383.0	4060.0	614.0	1027.0	171.0	907.0	8071.0	4423.0	438.0	1743.0	2778.0	2919.0	148.0	8500.0	263.0	6196.0	94.0	280.0	725.0	326.0	452.0	104.0	2016.0	38.0	381.0	1529.0	3572.0	50.0	220.0	272.0	113.0	31.0	95.0	1.0	69.0	127.0	67.0	1.0	4.0	272.0	58.0	1.0	32.0	11.0	507.0	117.0	216.0	3.0	110.0	16.0
HBM995.WMDN.689_reg001	72.0	1815.0	2596.0	751.0	1853.0	176.0	623.0	71.0	950.0	4942.0	2563.0	236.0	715.0	296.0	1378.0	206.0	471.0	195.0	163.0	35.0	135.0	484.0	505.0	221.0	4.0	478.0	41.0	111.0	529.0	290.0	106.0	184.0	98.0	52.0	11.0	157.0	51.0	41.0	67.0	29.0	1.0	3.0	71.0	113.0	8.0	7.0	8.0	112.0	5.0	22.0	15.0	25.0	15.0
HBM658.WGPT.978_reg001	134.0	3220.0	5070.0	990.0	3426.0	342.0	988.0	91.0	1319.0	6987.0	2278.0	246.0	1499.0	10567.0	2390.0	67.0	771.0	220.0	387.0	58.0	73.0	607.0	231.0	214.0	22.0	1543.0	13.0	2780.0	620.0	425.0	3.0	54.0	44.0	34.0	14.0	303.0	2.0	58.0	3097.0	59.0	1.0	2.0	113.0	27.0		11.0	3.0	40.0	14.0	16.0	4.0	16.0	9.0
HBM784.TKZX.992_reg001	63.0	1156.0	1455.0	469.0	1230.0	284.0	447.0	40.0	453.0	3024.0	1596.0	164.0	445.0	371.0	908.0	35.0	319.0	86.0	395.0	25.0	97.0	331.0	308.0	124.0	9.0	762.0	26.0	65.0	312.0	418.0	35.0	95.0	81.0	21.0	3.0	77.0	3.0	29.0	51.0	28.0		13.0	52.0	68.0	6.0	7.0	2.0	14.0	10.0	15.0	17.0	1.0	2.0
HBM523.XHWW.384_reg001	150.0	2398.0	1785.0	878.0	1863.0	111.0	652.0	65.0	419.0	3691.0	1925.0	260.0	644.0	1267.0	1113.0	131.0	256.0	80.0	399.0	35.0	81.0	217.0	145.0	168.0	48.0	531.0	9.0	200.0	460.0	244.0	5.0	66.0	47.0	64.0	4.0	45.0	1.0	49.0	445.0	68.0			131.0	34.0	1.0	10.0	3.0	111.0	13.0	15.0	96.0	57.0	15.0
HBM959.BVWN.344_reg001	59.0	1635.0	2139.0	710.0	1869.0	202.0	559.0	59.0	970.0	5180.0	2782.0	185.0	788.0	342.0	1272.0	88.0	567.0	126.0	131.0	48.0	151.0	602.0	401.0	218.0	2.0	542.0	22.0	130.0	477.0	247.0	52.0	117.0	127.0	61.0	12.0	234.0	6.0	32.0	59.0	28.0		4.0	92.0	66.0	2.0	14.0	7.0	52.0	18.0	33.0	36.0	2.0	18.0
HBM334.RPTP.997_reg001	71.0	2286.0	3053.0	852.0	2564.0	340.0	685.0	102.0	897.0	5553.0	3007.0	353.0	977.0	634.0	1588.0	109.0	555.0	174.0	290.0	35.0	146.0	481.0	420.0	237.0	23.0	803.0	34.0	196.0	648.0	422.0	17.0	214.0	174.0	29.0	20.0	110.0	1.0	37.0	89.0	37.0		4.0	33.0	42.0	3.0	33.0	5.0	33.0	11.0	17.0	3.0	1.0	1.0
HBM433.ZLWP.627_reg001	94.0	1356.0	1732.0	506.0	1612.0	243.0	402.0	42.0	606.0	3836.0	1917.0	204.0	558.0	597.0	1073.0	56.0	621.0	105.0	853.0	25.0	56.0	359.0	314.0	162.0	6.0	814.0	27.0	75.0	416.0	699.0	3.0	73.0	74.0	13.0	1.0	83.0		20.0	26.0	37.0		23.0	59.0	42.0	1.0	12.0	1.0	12.0	8.0	37.0	59.0	6.0	13.0
HBM777.TLQL.487_reg001	60.0	1907.0	2455.0	811.0	1994.0	227.0	600.0	70.0	864.0	5273.0	2673.0	218.0	771.0	383.0	1371.0	117.0	497.0	246.0	142.0	44.0	139.0	530.0	529.0	295.0	7.0	415.0	51.0	126.0	664.0	340.0	31.0	222.0	97.0	44.0	14.0	140.0	34.0	52.0	54.0	34.0	3.0	3.0	57.0	92.0	3.0	6.0	20.0	98.0	6.0	25.0	21.0	22.0	9.0
