Region	Endothelial	Stroma & Regulatory T	Monocyte & Dendritic & Neutrophil & Erthrocyte & Mast & Stem	Plasma & Stroma & T	B & Effect CD4+ T & Effect CD8+ T	B & Endothelial	Macrophage & T	Effect CD4+ T & Monocyte & NK T	Innate lymphoid & T	Monocyte & Macrophage & T	Stroma & Monocyte & Dendritic & Neutrophil & Erthrocyte & Mast & Stem	B & Effect CD4 T
HBM347.PSLC.425_reg1	3933	10720	6810	4072	5051	6203	14066	2669	9445	4080	874	4512
HBM796.FXBG.243_reg1	28	994	155	1968	5833	378	9217	3387	4660	4662	512	3195
HBM557.SGTC.262_reg1	9875	8996	12297	3515	17455	8382	7469	3585	3966	3940	4190	9901
HBM685.TBGN.663_reg1	8909	4355	11622	4106	3088	4294	2064	1852	808	1624	3517	3246
HBM522.BSZT.385_reg1	27891	17634	29364	1626	368	2174	14435	2144	8288	3251	3258	9
HBM254.XGFQ.345_reg1	2	128	25	3857	19704	26	9627	12572	3102	12455	15	7158
HBM387.QZQF.984_reg001	17686	8238	23553	1215	5435	18902	3345	2496	1244	2558	5087	5243
HBM695.NCKX.893_reg1	61	1875	686	3366	2819	582	7089	2992	2936	2979	738	226
HBM437.XSFH.532_reg1	66	3570	815	2581	5371	1286	7678	2025	4999	2199	2920	2442
HBM997.PVCF.629_reg1	1338	6356	2983	1920	2386	4084	7409	1972	4655	2175	1800	1341
HBM435.FHMP.758_reg001	5578	6565	7506	613	693	736	2355	630	1777	907	1207	63
HBM443.FDHZ.888_reg001	15249	11741	9751	3355	1277	4261	11194	2735	7219	3767	515	271
HBM585.SVFL.994_reg1	4	1997	155	14990	14194	56	25770	16689	10304	16076	830	3080
HBM822.MQNG.225_reg1	14	315	56	2614	13234	411	7221	5521	2650	5843	109	9070
HBM545.FGNZ.644_reg1	85	4517	659	8596	14201	4200	16267	6355	8526	5270	1911	11155
HBM938.TNNT.879_reg1	18880	20493	20397	6427	12659	11090	21400	9051	11554	10038	6549	1958
HBM989.VVXT.224_reg1	160	4687	1167	2946	6376	1953	8012	2291	5815	2663	2988	2085
HBM332.QJCH.296_reg001	21559	11652	32023	3040	1234	1686	5429	1930	3228	2211	22023	114
HBM992.RHJW.288_reg1	35117	10532	33165	2481	635	3561	11738	3876	5035	5593	5247	27
HBM362.RFHX.274_reg1	4	390	48	1721	15223	1270	11562	5809	5506	7000	138	13605
HBM622.JXWQ.554_reg1	7339	13953	11162	2921	738	2775	17341	1806	12952	2918	3904	94
HBM268.NKXB.243_reg1	10010	5479	14280	5938	2317	6068	3315	2720	1328	2795	3817	2348
HBM673.TNZM.339_reg001	6971	4473	10846	2071	7833	8771	3107	978	2140	1065	8903	7395
