Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
B2M	0.0679599348437971	0.0	7.191022356937565e-08	0.0
RPSA	0.0641121692544159	0.0	7.191022356937565e-08	0.0
HLA-B	0.0622503355180614	0.0	7.191022356937565e-08	0.0
MT-RNR2	0.0614143874123491	0.0	7.191022356937565e-08	0.0
HLA-A	0.0587897536639791	0.0	7.191022356937565e-08	0.0
EEF1A1	0.0576614351471033	0.0	7.191022356937565e-08	0.0
RPS27A	0.0540602129905101	0.0	7.191022356937565e-08	0.0
ADH1C	0.0539154887318467	0.0	7.191022356937565e-08	0.0
MT-RNR1	0.0539132221032942	0.0	7.191022356937565e-08	0.0
RPL3	0.0532940428191078	0.0	7.191022356937565e-08	0.0
RPL21	0.0523240655860021	0.0	7.191022356937565e-08	0.0
RPS3A	0.0506611898546926	0.0	7.191022356937565e-08	0.0
SRGN	0.0499179255565282	0.0	7.191022356937565e-08	0.0
RPL29P4	0.0498595102571121	0.0	7.191022356937565e-08	0.0
CXCR4	0.0495258207108066	0.0	7.191022356937565e-08	0.0
RPS4X	0.0491583135288814	0.0	7.191022356937565e-08	0.0
RPS15A	0.0490652904056133	0.0	7.191022356937565e-08	0.0
RPS7	0.0488058819209949	0.0	7.191022356937565e-08	0.0
FAU	0.0486246267846175	0.0	7.191022356937565e-08	0.0
RPL10	0.0484163406667149	0.0	7.191022356937565e-08	0.0
RPS3	0.0479851101553019	0.0	7.191022356937565e-08	0.0
RPS25	0.047742873394514	0.0	7.191022356937565e-08	0.0
EEF1B2	0.047672149932547	0.0	7.191022356937565e-08	0.0
SARAF	0.0472934592949892	0.0	7.191022356937565e-08	0.0
UBA52	0.0472625394611864	0.0	7.191022356937565e-08	0.0
SMAP2	0.0472369968826413	0.0	7.191022356937565e-08	0.0
RPS27	0.0470462559865904	0.0	7.191022356937565e-08	0.0
C15orf48	0.0467139091148988	0.0	7.191022356937565e-08	0.0
LGALS4	0.0462823833431076	0.0	7.191022356937565e-08	0.0
RPLP1	0.0462822511872705	0.0	7.191022356937565e-08	0.0
RPL19	0.0461951088727825	0.0	7.191022356937565e-08	0.0
RPS13	0.0460580468266258	0.0	7.191022356937565e-08	0.0
RPS10	0.0459752083199875	0.0	7.191022356937565e-08	0.0
TAGLN2	0.0458219671511396	0.0	7.191022356937565e-08	0.0
PTPRC	0.0457873411522751	0.0	7.191022356937565e-08	0.0
UGT2B17	0.045555526854457	0.0	7.191022356937565e-08	0.0
TSPAN8	0.0455474300714788	0.0	7.191022356937565e-08	0.0
MT-ND4	0.0450035537864007	0.0	7.191022356937565e-08	0.0
RPL30	0.0449504287836072	0.0	7.191022356937565e-08	0.0
RPL39	0.0448480440968065	0.0	7.191022356937565e-08	0.0
KRT8	0.0448163042093787	0.0	7.191022356937565e-08	0.0
ARHGDIB	0.0447145168217854	0.0	7.191022356937565e-08	0.0
RPL9	0.0446986891378824	0.0	7.191022356937565e-08	0.0
TMSB4X	0.0444500893900176	0.0	7.191022356937565e-08	0.0
RPS23	0.0438189936324649	0.0	7.191022356937565e-08	0.0
RPL15	0.0437433883399422	0.0	7.191022356937565e-08	0.0
NACA	0.043549243966691	0.0	7.191022356937565e-08	0.0
CST3	0.0433301210444276	0.0	7.191022356937565e-08	0.0
FXYD3	0.0431843769668844	0.0	7.191022356937565e-08	0.0
RPL23A	0.0430453173247588	0.0	7.191022356937565e-08	0.0
RPS5	0.0429942242175002	0.0	7.191022356937565e-08	0.0
PHGR1	0.0428672106256416	0.0	7.191022356937565e-08	0.0
CD74	0.0424403434356048	0.0	7.191022356937565e-08	0.0
NOX1	0.042432613862158	0.0	7.191022356937565e-08	0.0
HLA-DRA	0.0423933299083094	0.0	7.191022356937565e-08	0.0
CLDN3	0.0423677552991262	0.0	7.191022356937565e-08	0.0
PIGR	0.0422773578038769	0.0	7.191022356937565e-08	0.0
MT1G	0.0422714274379289	0.0	7.191022356937565e-08	0.0
RPS14	0.0421618132183871	0.0	7.191022356937565e-08	0.0
