Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.3669334824853578	0.0	5.2625558052703855e-08	0.0
ACTG1	0.3324434803955645	0.0	5.2625558052703855e-08	0.0
RPS9	0.329478319627529	0.0	5.2625558052703855e-08	0.0
TMSB10	0.3149982933062533	0.0	5.2625558052703855e-08	0.0
MARCKS	0.3138390753081818	0.0	5.2625558052703855e-08	0.0
TXN	0.3099199958243741	0.0	5.2625558052703855e-08	0.0
RPL23	0.3075108467934295	0.0	5.2625558052703855e-08	0.0
RPL41	0.302984484935693	0.0	5.2625558052703855e-08	0.0
S100A6	0.3004811488736668	0.0	5.2625558052703855e-08	0.0
CST3	0.2953195877953253	0.0	5.2625558052703855e-08	0.0
PEBP1	0.2917737589413394	0.0	5.2625558052703855e-08	0.0
RPL13A	0.2908394193093273	0.0	5.2625558052703855e-08	0.0
RPS14	0.2893797315788701	0.0	5.2625558052703855e-08	0.0
RPS11	0.2882684802603132	0.0	5.2625558052703855e-08	0.0
RPL18A	0.2863178688898677	0.0	5.2625558052703855e-08	0.0
EEF1A1	0.2851968182712515	0.0	5.2625558052703855e-08	0.0
S100A10	0.2850760002155612	0.0	5.2625558052703855e-08	0.0
RPL3	0.2831215407531858	0.0	5.2625558052703855e-08	0.0
PRDX5	0.2829659101393719	0.0	5.2625558052703855e-08	0.0
RPS18	0.2824039250299114	0.0	5.2625558052703855e-08	0.0
RPL9	0.2809165373751873	0.0	5.2625558052703855e-08	0.0
RPL8	0.2791726708345362	0.0	5.2625558052703855e-08	0.0
RPL7A	0.2789035822504147	0.0	5.2625558052703855e-08	0.0
PPIA	0.2783900016049884	0.0	5.2625558052703855e-08	0.0
RPL24	0.277346891888166	0.0	5.2625558052703855e-08	0.0
RPL10	0.2761276276692697	0.0	5.2625558052703855e-08	0.0
RPL19	0.2755920885794477	0.0	5.2625558052703855e-08	0.0
DBI	0.2751906515848041	0.0	5.2625558052703855e-08	0.0
PTPRC	0.2751277550673611	0.0	5.2625558052703855e-08	0.0
RPS12	0.272871331506877	0.0	5.2625558052703855e-08	0.0
RPLP1	0.2726914280956698	0.0	5.2625558052703855e-08	0.0
RPS2	0.2713519473591316	0.0	5.2625558052703855e-08	0.0
RPL11	0.2705425271059505	0.0	5.2625558052703855e-08	0.0
RPS5	0.2703397776235826	0.0	5.2625558052703855e-08	0.0
ARHGDIB	0.2682631403705792	0.0	5.2625558052703855e-08	0.0
RPL13	0.2681369998194163	0.0	5.2625558052703855e-08	0.0
SRGN	0.2681089654803223	0.0	5.2625558052703855e-08	0.0
RACK1	0.2672223370094642	0.0	5.2625558052703855e-08	0.0
RPL10A	0.2670639360015661	0.0	5.2625558052703855e-08	0.0
RPL37A	0.2665427635979279	0.0	5.2625558052703855e-08	0.0
RPS6	0.2664983067931183	0.0	5.2625558052703855e-08	0.0
RPS8	0.2658343229336563	0.0	5.2625558052703855e-08	0.0
RPL32	0.2652638879434645	0.0	5.2625558052703855e-08	0.0
RPS24	0.2650889142195035	0.0	5.2625558052703855e-08	0.0
SYTL3	0.2649221520521476	0.0	5.2625558052703855e-08	0.0
