Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
SRGN	0.1362218731277079	0.0	7.013903175462378e-08	0.0
IL7R	0.1277532353534008	0.0	7.013903175462378e-08	0.0
CXCR4	0.1194434056328153	0.0	7.013903175462378e-08	0.0
PTPRC	0.1186018184916883	0.0	7.013903175462378e-08	0.0
CST3	0.11815518646607	0.0	7.013903175462378e-08	0.0
ARHGDIB	0.1151262598046991	0.0	7.013903175462378e-08	0.0
SYTL3	0.1137763649236121	0.0	7.013903175462378e-08	0.0
CREM	0.1081915901293896	0.0	7.013903175462378e-08	0.0
SARAF	0.099870158041419	0.0	7.013903175462378e-08	0.0
TNFAIP3	0.0993940545795112	0.0	7.013903175462378e-08	0.0
ARL4C	0.0992835269082557	0.0	7.013903175462378e-08	0.0
IFITM3	0.0975388438380646	0.0	7.013903175462378e-08	0.0
EGR1	0.0966053734217889	0.0	7.013903175462378e-08	0.0
SMAP2	0.095836097237997	0.0	7.013903175462378e-08	0.0
CD3D	0.0949335666372912	0.0	7.013903175462378e-08	0.0
KLF4	0.0948023446189684	0.0	7.013903175462378e-08	0.0
CD44	0.0946761488184715	0.0	7.013903175462378e-08	0.0
PPP2R5C	0.0926227768871179	0.0	7.013903175462378e-08	0.0
STK17B	0.0921211002887462	0.0	7.013903175462378e-08	0.0
RHOB	0.0917343459821796	0.0	7.013903175462378e-08	0.0
LEPROTL1	0.0908939876168613	0.0	7.013903175462378e-08	0.0
CD3E	0.0893952920299621	0.0	7.013903175462378e-08	0.0
NR4A1	0.0893756892587494	0.0	7.013903175462378e-08	0.0
RARRES2	0.0893268290064768	0.0	7.013903175462378e-08	0.0
RGS1	0.0884230181285492	0.0	7.013903175462378e-08	0.0
CNOT6L	0.0877885019709664	0.0	7.013903175462378e-08	0.0
IER3	0.0868004485670924	0.0	7.013903175462378e-08	0.0
MARCKS	0.0850639286968878	0.0	7.013903175462378e-08	0.0
