Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
TSPAN8	0.2227623929959824	0.0	4.5930708293207895e-08	0.0
GPX2	0.196327425319934	0.0	4.5930708293207895e-08	0.0
AGR2	0.1953366607140914	0.0	4.5930708293207895e-08	0.0
CD24	0.1946282061599462	0.0	4.5930708293207895e-08	0.0
TXN	0.1885520845999845	0.0	4.5930708293207895e-08	0.0
TSPO	0.1883460617208237	0.0	4.5930708293207895e-08	0.0
ATP5MC1	0.1833357495707737	0.0	4.5930708293207895e-08	0.0
FAM3D	0.1757772459057109	0.0	4.5930708293207895e-08	0.0
FXYD3	0.1756644374195764	0.0	4.5930708293207895e-08	0.0
LGALS3	0.1738904168761943	0.0	4.5930708293207895e-08	0.0
KLF5	0.1731103084390093	0.0	4.5930708293207895e-08	0.0
LEFTY1	0.1729765732674283	0.0	4.5930708293207895e-08	0.0
FAM162A	0.1726570182350119	0.0	4.5930708293207895e-08	0.0
CD9	0.1704184661820611	0.0	4.5930708293207895e-08	0.0
CLDN3	0.1686750141624049	0.0	4.5930708293207895e-08	0.0
CLDN4	0.1685364368713074	0.0	4.5930708293207895e-08	0.0
COX5A	0.165682232762645	0.0	4.5930708293207895e-08	0.0
PIGR	0.163619776771267	0.0	4.5930708293207895e-08	0.0
LGALS4	0.1631316295993143	0.0	4.5930708293207895e-08	0.0
PPP1R1B	0.1629160888674863	0.0	4.5930708293207895e-08	0.0
S100A14	0.1622210378290009	0.0	4.5930708293207895e-08	0.0
GPR15LG	0.1619380173247125	0.0	4.5930708293207895e-08	0.0
CDC42EP5	0.161851537305844	0.0	4.5930708293207895e-08	0.0
SRGN	0.16057083242307	0.0	4.5930708293207895e-08	0.0
PRDX5	0.1604701009567545	0.0	4.5930708293207895e-08	0.0
EPCAM	0.1586425315538762	0.0	4.5930708293207895e-08	0.0
MUC5B	0.1569374207199943	0.0	4.5930708293207895e-08	0.0
HMGCS2	0.1562505913335132	0.0	4.5930708293207895e-08	0.0
UGT2B17	0.1558724496439139	0.0	4.5930708293207895e-08	0.0
SUCLG1	0.1555146892379536	0.0	4.5930708293207895e-08	0.0
TMEM141	0.154835998959518	0.0	4.5930708293207895e-08	0.0
SPINK1	0.1541574622699957	0.0	4.5930708293207895e-08	0.0
CDX1	0.1537342941180976	0.0	4.5930708293207895e-08	0.0
CHCHD10	0.1511657245826954	0.0	4.5930708293207895e-08	0.0
KRTCAP3	0.1499794304622959	0.0	4.5930708293207895e-08	0.0
PTPRC	0.149911936169684	0.0	4.5930708293207895e-08	0.0
CXCR4	0.1487511442363185	0.0	4.5930708293207895e-08	0.0
AGR3	0.1486909949874842	0.0	4.5930708293207895e-08	0.0
ARHGDIB	0.147415717586683	0.0	4.5930708293207895e-08	0.0
C15orf48	0.147200071839361	0.0	4.5930708293207895e-08	0.0
SMAP2	0.1458609035372253	0.0	4.5930708293207895e-08	0.0
UQCRH	0.1451012720968886	0.0	4.5930708293207895e-08	0.0
COX6C	0.1450313258264711	0.0	4.5930708293207895e-08	0.0
ATP5MC3	0.1437866641046924	0.0	4.5930708293207895e-08	0.0
FCGRT	0.1423393000022806	0.0	4.5930708293207895e-08	0.0
S100A16	0.1421106289923411	0.0	4.5930708293207895e-08	0.0
CYC1	0.1411121105576627	0.0	4.5930708293207895e-08	0.0
CREM	0.1408444197655459	0.0	4.5930708293207895e-08	0.0
GOLM1	0.1404720505783686	0.0	4.5930708293207895e-08	0.0
SFN	0.1401650081299582	0.0	4.5930708293207895e-08	0.0
COX6A1	0.1399046258612216	0.0	4.5930708293207895e-08	0.0
SYTL3	0.139117040196927	0.0	4.5930708293207895e-08	0.0
COX5B	0.137983924431406	0.0	4.5930708293207895e-08	0.0
IL7R	0.1379721402349402	0.0	4.5930708293207895e-08	0.0
ETS2	0.1375001056908851	0.0	4.5930708293207895e-08	0.0
SNHG29	0.1370403654255575	0.0	4.5930708293207895e-08	0.0
S100A6	0.1368440220035566	0.0	4.5930708293207895e-08	0.0
TMEM54	0.1364825081261594	0.0	4.5930708293207895e-08	0.0
NANS	0.1357750936595051	0.0	4.5930708293207895e-08	0.0
UGT2A3	0.1349184088998827	0.0	4.5930708293207895e-08	0.0
MGST1	0.1347336007423063	0.0	4.5930708293207895e-08	0.0
FNBP1	0.1347334580372205	0.0	4.5930708293207895e-08	0.0
RARRES1	0.1341697232780128	0.0	4.5930708293207895e-08	0.0
IER3	0.132791177968024	0.0	4.5930708293207895e-08	0.0
TMEM238	0.1327534831219897	0.0	4.5930708293207895e-08	0.0
C19orf33	0.132543238526483	0.0	4.5930708293207895e-08	0.0
ACTG1	0.132348109843483	0.0	4.5930708293207895e-08	0.0
TCEA3	0.132256544825382	0.0	4.5930708293207895e-08	0.0
MAOA	0.1318952252992185	0.0	4.5930708293207895e-08	0.0
PHLDA2	0.1318773734140283	0.0	4.5930708293207895e-08	0.0
AVPI1	0.1318314141034454	0.0	4.5930708293207895e-08	0.0
GLIPR1	0.1311759612549171	0.0	4.5930708293207895e-08	0.0
PDLIM1	0.1309485109989084	0.0	4.5930708293207895e-08	0.0
RPL37A	0.1297772780985718	0.0	4.5930708293207895e-08	0.0
NXPE1	0.1297133511640254	0.0	4.5930708293207895e-08	0.0
KRT18	0.1294057349823447	0.0	4.5930708293207895e-08	0.0
COX6B1	0.1290375557503345	0.0	4.5930708293207895e-08	0.0
RPS18	0.1285829513900524	0.0	4.5930708293207895e-08	0.0
SPINT2	0.1285051543598257	0.0	4.5930708293207895e-08	0.0
CD3D	0.1280400816380699	0.0	4.5930708293207895e-08	0.0
CST3	0.1273990662917861	0.0	4.5930708293207895e-08	0.0
DSP	0.1266119355273589	0.0	4.5930708293207895e-08	0.0
TNFAIP3	0.1265270987891246	0.0	4.5930708293207895e-08	0.0
RPS24	0.1264799687083548	0.0	4.5930708293207895e-08	0.0
TMSB10	0.1264520569577562	0.0	4.5930708293207895e-08	0.0
CD44	0.1263324406913497	0.0	4.5930708293207895e-08	0.0
COX4I1	0.1261743254606792	0.0	4.5930708293207895e-08	0.0
PXMP2	0.1258607381035588	0.0	4.5930708293207895e-08	0.0
RAB25	0.1256915688733533	0.0	4.5930708293207895e-08	0.0
DSTN	0.1256653327640729	0.0	4.5930708293207895e-08	0.0
ADH1C	0.1256138818354745	0.0	4.5930708293207895e-08	0.0
RHPN2	0.1253051119766617	0.0	4.5930708293207895e-08	0.0
SARAF	0.1250952415246562	0.0	4.5930708293207895e-08	0.0
MCRIP2	0.1249426817198262	0.0	4.5930708293207895e-08	0.0
