Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
LGALS4	0.2554754474951611	0.0	1.3821146995704492e-07	0.0
CD24	0.2443927610527872	0.0	1.3821146995704492e-07	0.0
TSPAN8	0.2441802657475681	0.0	1.3821146995704492e-07	0.0
LGALS3	0.2376977353458257	0.0	1.3821146995704492e-07	0.0
PIGR	0.2353902265562527	0.0	1.3821146995704492e-07	0.0
SRGN	0.2250413421728451	0.0	1.3821146995704492e-07	0.0
PHGR1	0.2242869889778682	0.0	1.3821146995704492e-07	0.0
TXN	0.2231671902706682	0.0	1.3821146995704492e-07	0.0
ITM2C	0.2204250724967426	0.0	1.3821146995704492e-07	0.0
C15orf48	0.2184337030163077	0.0	1.3821146995704492e-07	0.0
ATP5MC3	0.217363938105665	0.0	1.3821146995704492e-07	0.0
PTPRC	0.2173295266666194	0.0	1.3821146995704492e-07	0.0
EPCAM	0.2165969106009257	0.0	1.3821146995704492e-07	0.0
CDX1	0.2142726551431133	0.0	1.3821146995704492e-07	0.0
COX5A	0.2110899721989892	0.0	1.3821146995704492e-07	0.0
CXCR4	0.210135534566151	0.0	1.3821146995704492e-07	0.0
TSPO	0.2092273384844994	0.0	1.3821146995704492e-07	0.0
UGT2B17	0.2076308008714366	0.0	1.3821146995704492e-07	0.0
COX6C	0.2069525044517539	0.0	1.3821146995704492e-07	0.0
ARHGDIB	0.2067600447040828	0.0	1.3821146995704492e-07	0.0
COX5B	0.2050310688858975	0.0	1.3821146995704492e-07	0.0
IL7R	0.20425588203818	0.0	1.3821146995704492e-07	0.0
SYTL3	0.2039987690540589	0.0	1.3821146995704492e-07	0.0
FXYD3	0.2030947764879263	0.0	1.3821146995704492e-07	0.0
FAM162A	0.200922736722588	0.0	1.3821146995704492e-07	0.0
ATP5MC1	0.1975313547647665	0.0	1.3821146995704492e-07	0.0
KLF5	0.1940720223747974	0.0	1.3821146995704492e-07	0.0
CLDN3	0.1935315970791518	0.0	1.3821146995704492e-07	0.0
AGR2	0.1927777253202656	0.0	1.3821146995704492e-07	0.0
TMEM141	0.1923244870536962	0.0	1.3821146995704492e-07	0.0
CREM	0.1923208149060948	0.0	1.3821146995704492e-07	0.0
SMAP2	0.1908478328143207	0.0	1.3821146995704492e-07	0.0
PRDX5	0.1903349560823623	0.0	1.3821146995704492e-07	0.0
CHCHD10	0.1897062998858646	0.0	1.3821146995704492e-07	0.0
ELF3	0.1879692148437032	0.0	1.3821146995704492e-07	0.0
S100A14	0.1851254709652603	0.0	1.3821146995704492e-07	0.0
CD3E	0.1846874642021056	0.0	1.3821146995704492e-07	0.0
GOLM1	0.1842206539268725	0.0	1.3821146995704492e-07	0.0
CLDN4	0.1833914442734951	0.0	1.3821146995704492e-07	0.0
CLDN7	0.1829158360956991	0.0	1.3821146995704492e-07	0.0
