Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
SRGN	0.1185248579592299	0.0	3.2616313451117826e-08	0.0
PTPRC	0.1159129903736763	0.0	3.2616313451117826e-08	0.0
CXCR4	0.1143207169864974	0.0	3.2616313451117826e-08	0.0
SMAP2	0.1135792649014254	0.0	3.2616313451117826e-08	0.0
ARHGDIB	0.1083543700098923	0.0	3.2616313451117826e-08	0.0
CREM	0.1057042234590126	0.0	3.2616313451117826e-08	0.0
IL7R	0.1035953415421825	0.0	3.2616313451117826e-08	0.0
SYTL3	0.1035155018000058	0.0	3.2616313451117826e-08	0.0
CD3D	0.0996099740662237	0.0	3.2616313451117826e-08	0.0
CD3E	0.0952566771165452	0.0	3.2616313451117826e-08	0.0
CD44	0.0944177645732747	0.0	3.2616313451117826e-08	0.0
CNOT6L	0.0942666831245385	0.0	3.2616313451117826e-08	0.0
CD52	0.0912007969500507	0.0	3.2616313451117826e-08	0.0
SAMSN1	0.0899775647730981	0.0	3.2616313451117826e-08	0.0
CYTIP	0.0892907266817703	0.0	3.2616313451117826e-08	0.0
CD7	0.0888049257427234	0.0	3.2616313451117826e-08	0.0
CD96	0.0875308667336458	0.0	3.2616313451117826e-08	0.0
SARAF	0.0871126827640604	0.0	3.2616313451117826e-08	0.0
PARP8	0.0869231314145021	0.0	3.2616313451117826e-08	0.0
LEPROTL1	0.0852534517307515	0.0	3.2616313451117826e-08	0.0
CRIP1	0.0840379833251744	0.0	3.2616313451117826e-08	0.0
GLIPR1	0.0828867665628855	0.0	3.2616313451117826e-08	0.0
TNFAIP3	0.0828620322210614	0.0	3.2616313451117826e-08	0.0
EVI2B	0.0826148224047036	0.0	3.2616313451117826e-08	0.0
STK17B	0.0825847209490705	0.0	3.2616313451117826e-08	0.0
TRBC2	0.0817870856869202	0.0	3.2616313451117826e-08	0.0
KLRB1	0.0817516744614296	0.0	3.2616313451117826e-08	0.0
DDX24	0.0815625042925996	0.0	3.2616313451117826e-08	0.0
FNBP1	0.0813327616990569	0.0	3.2616313451117826e-08	0.0
CCL5	0.0807116266859869	0.0	3.2616313451117826e-08	0.0
CD2	0.0803839355210002	0.0	3.2616313451117826e-08	0.0
PPP2R5C	0.0799902583483937	0.0	3.2616313451117826e-08	0.0
