Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
SRGN	0.1564184950112402	0.0	1.2505314442608613e-07	0.0
PTPRC	0.1467822859111331	0.0	1.2505314442608613e-07	0.0
SYTL3	0.1435062654302747	0.0	1.2505314442608613e-07	0.0
ARHGDIB	0.1431459712729733	0.0	1.2505314442608613e-07	0.0
CXCR4	0.1384294838143668	0.0	1.2505314442608613e-07	0.0
IL7R	0.1359784702421076	0.0	1.2505314442608613e-07	0.0
TNFAIP3	0.1354812809917779	0.0	1.2505314442608613e-07	0.0
SMAP2	0.1333900141333085	0.0	1.2505314442608613e-07	0.0
CREM	0.131941784613584	0.0	1.2505314442608613e-07	0.0
RGS1	0.1299820245735856	0.0	1.2505314442608613e-07	0.0
SAMSN1	0.1279450087374459	0.0	1.2505314442608613e-07	0.0
CD3D	0.1237620980314307	0.0	1.2505314442608613e-07	0.0
FCGRT	0.1205115891166477	0.0	1.2505314442608613e-07	0.0
MGST1	0.1194583861715783	0.0	1.2505314442608613e-07	0.0
STK17B	0.1187840372667265	0.0	1.2505314442608613e-07	0.0
CST3	0.1183414051459589	0.0	1.2505314442608613e-07	0.0
FNBP1	0.1170650152039825	0.0	1.2505314442608613e-07	0.0
LGALS3	0.1169210118247465	0.0	1.2505314442608613e-07	0.0
CD44	0.1163404424925827	0.0	1.2505314442608613e-07	0.0
CYTIP	0.1156042003264	0.0	1.2505314442608613e-07	0.0
CD96	0.1154562984243838	0.0	1.2505314442608613e-07	0.0
CNOT6L	0.115279169388383	0.0	1.2505314442608613e-07	0.0
ETS1	0.1150756301626469	0.0	1.2505314442608613e-07	0.0
LEPROTL1	0.1149954399062702	0.0	1.2505314442608613e-07	0.0
GLIPR1	0.1144818209738396	0.0	1.2505314442608613e-07	0.0
CD3E	0.1134066712587671	0.0	1.2505314442608613e-07	0.0
RPL29P4	0.1088258772748345	0.0	1.2505314442608613e-07	0.0
CCL5	0.107981318356777	0.0	1.2505314442608613e-07	0.0
PDLIM1	0.1078346083870113	0.0	1.2505314442608613e-07	0.0
FYN	0.1078125423505299	0.0	1.2505314442608613e-07	0.0
KLRB1	0.1075312731168512	0.0	1.2505314442608613e-07	0.0
LINC-PINT	0.1075211939632358	0.0	1.2505314442608613e-07	0.0
TSPO	0.1072401334054728	0.0	1.2505314442608613e-07	0.0
CD53	0.10687042645369	0.0	1.2505314442608613e-07	0.0
RPL10P9	0.106759727488376	0.0	1.2505314442608613e-07	0.0
ATP5MC1	0.1062528496776087	0.0	1.2505314442608613e-07	0.0
CD7	0.1060837415024239	0.0	1.2505314442608613e-07	0.0
ARL4C	0.1054630025899656	0.0	1.2505314442608613e-07	0.0
CRIP1	0.1053786190160685	0.0	1.2505314442608613e-07	0.0
STK4	0.10477812791198	0.0	1.2505314442608613e-07	0.0
PRDX5	0.1039409312245012	0.0	1.2505314442608613e-07	0.0
PARP8	0.1031069927000123	0.0	1.2505314442608613e-07	0.0
DDX24	0.1029734281833935	0.0	1.2505314442608613e-07	0.0
