Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
SRGN	0.1987164143205443	0.0	5.982604006715945e-08	0.0
PTPRC	0.192322449409089	0.0	5.982604006715945e-08	0.0
CXCR4	0.1885696871174305	0.0	5.982604006715945e-08	0.0
IL7R	0.1878502276076952	0.0	5.982604006715945e-08	0.0
SYTL3	0.1863675184445948	0.0	5.982604006715945e-08	0.0
ARHGDIB	0.1852496283029532	0.0	5.982604006715945e-08	0.0
CREM	0.1819842217865744	0.0	5.982604006715945e-08	0.0
CD3D	0.1813675828726254	0.0	5.982604006715945e-08	0.0
SMAP2	0.1712976016244502	0.0	5.982604006715945e-08	0.0
GLIPR1	0.1688700509301704	0.0	5.982604006715945e-08	0.0
CD3E	0.1650245435117754	0.0	5.982604006715945e-08	0.0
CNOT6L	0.1623843983465639	0.0	5.982604006715945e-08	0.0
TNFAIP3	0.1606138705954801	0.0	5.982604006715945e-08	0.0
ARL4C	0.1577478052569419	0.0	5.982604006715945e-08	0.0
LEPROTL1	0.1569257304702163	0.0	5.982604006715945e-08	0.0
SAMSN1	0.1566534770935907	0.0	5.982604006715945e-08	0.0
PPP2R5C	0.1563942554314512	0.0	5.982604006715945e-08	0.0
CD7	0.1528309579595619	0.0	5.982604006715945e-08	0.0
RGS1	0.1525761246978241	0.0	5.982604006715945e-08	0.0
FYN	0.1522823264124038	0.0	5.982604006715945e-08	0.0
CD44	0.1522352682073401	0.0	5.982604006715945e-08	0.0
SARAF	0.1520387231179713	0.0	5.982604006715945e-08	0.0
CD96	0.1518334407926803	0.0	5.982604006715945e-08	0.0
CD2	0.1500620793806482	0.0	5.982604006715945e-08	0.0
FNBP1	0.1500352528290115	0.0	5.982604006715945e-08	0.0
CCL5	0.1474483042085667	0.0	5.982604006715945e-08	0.0
CRIP1	0.1472317930026748	0.0	5.982604006715945e-08	0.0
STK17B	0.1451201371910987	0.0	5.982604006715945e-08	0.0
CYTIP	0.1448090436314113	0.0	5.982604006715945e-08	0.0
LINC-PINT	0.1444555422123014	0.0	5.982604006715945e-08	0.0
ETS1	0.14350753925819	0.0	5.982604006715945e-08	0.0
CD53	0.1420113604870702	0.0	5.982604006715945e-08	0.0
KLRB1	0.1398094091274421	0.0	5.982604006715945e-08	0.0
STAT4	0.1375790508028839	0.0	5.982604006715945e-08	0.0
DDX24	0.1353020806895629	0.0	5.982604006715945e-08	0.0
RPS29	0.1345941016352507	0.0	5.982604006715945e-08	0.0
RPS19	0.1338645781221511	0.0	5.982604006715945e-08	0.0
CD52	0.1318708867926329	0.0	5.982604006715945e-08	0.0
TRBC2	0.1318644190665989	0.0	5.982604006715945e-08	0.0
EVI2B	0.1317345872819038	0.0	5.982604006715945e-08	0.0
TGFB1	0.1314233234884572	0.0	5.982604006715945e-08	0.0
CD48	0.1310504591071348	0.0	5.982604006715945e-08	0.0
RUNX3	0.1302707714656791	0.0	5.982604006715945e-08	0.0
HCST	0.1295132874374952	0.0	5.982604006715945e-08	0.0
ADGRE5	0.1290467941986064	0.0	5.982604006715945e-08	0.0
STK4	0.128439665317812	0.0	5.982604006715945e-08	0.0
PDE4B	0.1270735623918871	0.0	5.982604006715945e-08	0.0
RPS27	0.1268790543093249	0.0	5.982604006715945e-08	0.0
TRBC1	0.1247744859933975	0.0	5.982604006715945e-08	0.0
LINC01871	0.1247048617506963	0.0	5.982604006715945e-08	0.0
MSN	0.1244049630065015	0.0	5.982604006715945e-08	0.0
RPLP2	0.124298749314974	0.0	5.982604006715945e-08	0.0
PARP8	0.124013225580181	0.0	5.982604006715945e-08	0.0
SPOCK2	0.1236921403469876	0.0	5.982604006715945e-08	0.0
PDE4D	0.1234632997830796	0.0	5.982604006715945e-08	0.0
NR3C1	0.1232252348274327	0.0	5.982604006715945e-08	0.0
RPL39	0.1230126833119117	0.0	5.982604006715945e-08	0.0
RPS21	0.1224259193775643	0.0	5.982604006715945e-08	0.0
RPS15A	0.1221055565563283	0.0	5.982604006715945e-08	0.0
CST7	0.1216848917656271	0.0	5.982604006715945e-08	0.0
ISG20	0.1216261813184472	0.0	5.982604006715945e-08	0.0
CD3G	0.121346762191487	0.0	5.982604006715945e-08	0.0
EMB	0.1213040442419848	0.0	5.982604006715945e-08	0.0
WIPF1	0.1207100367114366	0.0	5.982604006715945e-08	0.0
TSPYL2	0.1205894813681158	0.0	5.982604006715945e-08	0.0
LDLRAD4	0.1201264262894471	0.0	5.982604006715945e-08	0.0
RPL37	0.1195423012080912	0.0	5.982604006715945e-08	0.0
GNG2	0.1189040157362894	0.0	5.982604006715945e-08	0.0
YPEL5	0.1188487273389214	0.0	5.982604006715945e-08	0.0
LCP1	0.1187706906530568	0.0	5.982604006715945e-08	0.0
FAM107B	0.1187417576024568	0.0	5.982604006715945e-08	0.0
RPL28	0.1185739100897954	0.0	5.982604006715945e-08	0.0
GSPT1	0.1177708893763593	0.0	5.982604006715945e-08	0.0
RPL38	0.1174850620990859	0.0	5.982604006715945e-08	0.0
RPLP1	0.117241660132986	0.0	5.982604006715945e-08	0.0
PDE4A	0.1165841172245798	0.0	5.982604006715945e-08	0.0
CLEC2D	0.1163577477952076	0.0	5.982604006715945e-08	0.0
RPS3	0.1163416003667761	0.0	5.982604006715945e-08	0.0
RPS12	0.1162720660063366	0.0	5.982604006715945e-08	0.0
RPS27A	0.1162179297732831	0.0	5.982604006715945e-08	0.0
RHOH	0.1157173889774142	0.0	5.982604006715945e-08	0.0
RPL27A	0.1145179339254873	0.0	5.982604006715945e-08	0.0
RPL23A	0.1133318439977448	0.0	5.982604006715945e-08	0.0
RPL13	0.113271076347311	0.0	5.982604006715945e-08	0.0
RPL34	0.1131008072592522	0.0	5.982604006715945e-08	0.0
GPR183	0.1130561443785255	0.0	5.982604006715945e-08	0.0
RPL30	0.1128666338518395	0.0	5.982604006715945e-08	0.0
RPL21	0.1128309277616385	0.0	5.982604006715945e-08	0.0
LRRFIP1	0.112719291794937	0.0	5.982604006715945e-08	0.0
RPL31	0.1125656884581457	0.0	5.982604006715945e-08	0.0
BTG1	0.1121133482372782	0.0	5.982604006715945e-08	0.0
RPS28	0.1120119542122807	0.0	5.982604006715945e-08	0.0
RPL10	0.1119214080677116	0.0	5.982604006715945e-08	0.0
RANBP2	0.1119076427510302	0.0	5.982604006715945e-08	0.0
PDE3B	0.1118282647736614	0.0	5.982604006715945e-08	0.0
REL	0.1117074526917856	0.0	5.982604006715945e-08	0.0
RPS14	0.1114608234082211	0.0	5.982604006715945e-08	0.0
RPL32	0.1113343690449079	0.0	5.982604006715945e-08	0.0
PTPN22	0.1112746942496868	0.0	5.982604006715945e-08	0.0
RPS15	0.1111138351577142	0.0	5.982604006715945e-08	0.0
RPL35	0.1109062951432154	0.0	5.982604006715945e-08	0.0
IDS	0.1107956107156863	0.0	5.982604006715945e-08	0.0
RPS18	0.110664695919419	0.0	5.982604006715945e-08	0.0
RPL41	0.1104363324600204	0.0	5.982604006715945e-08	0.0
ANKRD28	0.1104350135416129	0.0	5.982604006715945e-08	0.0
RPS20	0.1103724262310155	0.0	5.982604006715945e-08	0.0
CDV3	0.1102234938709407	0.0	5.982604006715945e-08	0.0
RPL13A	0.1102228779710835	0.0	5.982604006715945e-08	0.0
CD37	0.1100906671788687	0.0	5.982604006715945e-08	0.0
