Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
SRGN	0.2252697834176778	0.0	1.642397451410003e-07	0.0
PTPRC	0.2121766892202551	0.0	1.642397451410003e-07	0.0
SYTL3	0.1965700497909213	0.0	1.642397451410003e-07	0.0
ARHGDIB	0.195864197394073	0.0	1.642397451410003e-07	0.0
CXCR4	0.1921318067376831	0.0	1.642397451410003e-07	0.0
CREM	0.1895396479808707	0.0	1.642397451410003e-07	0.0
IL7R	0.1845533669262515	0.0	1.642397451410003e-07	0.0
TNFAIP3	0.1833778059676674	0.0	1.642397451410003e-07	0.0
SMAP2	0.1824643902518797	0.0	1.642397451410003e-07	0.0
CD44	0.173199475543991	0.0	1.642397451410003e-07	0.0
CD3D	0.1729694110233138	0.0	1.642397451410003e-07	0.0
STK17B	0.1637902403297935	0.0	1.642397451410003e-07	0.0
CD3E	0.1616204621795999	0.0	1.642397451410003e-07	0.0
ETS1	0.1561048039577539	0.0	1.642397451410003e-07	0.0
CYTIP	0.1555227443804936	0.0	1.642397451410003e-07	0.0
RGS1	0.1549684658884712	0.0	1.642397451410003e-07	0.0
CNOT6L	0.1546656745564265	0.0	1.642397451410003e-07	0.0
FNBP1	0.1530602565539723	0.0	1.642397451410003e-07	0.0
FYN	0.1521345110786217	0.0	1.642397451410003e-07	0.0
SARAF	0.1516039348880962	0.0	1.642397451410003e-07	0.0
SAMSN1	0.1514780837048668	0.0	1.642397451410003e-07	0.0
DDX24	0.1507226579279484	0.0	1.642397451410003e-07	0.0
ARL4C	0.1503886327110388	0.0	1.642397451410003e-07	0.0
LEPROTL1	0.1501533313622362	0.0	1.642397451410003e-07	0.0
MGST1	0.1498095074819777	0.0	1.642397451410003e-07	0.0
EVI2B	0.1485995133228414	0.0	1.642397451410003e-07	0.0
CST3	0.1478334327419794	0.0	1.642397451410003e-07	0.0
BTG1	0.1460842617505993	0.0	1.642397451410003e-07	0.0
STK4	0.1435330083139437	0.0	1.642397451410003e-07	0.0
