Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
ATP5MC3	0.376425966276273	0.0	5.869507347855226e-08	0.0
CD9	0.3630697031731874	0.0	5.869507347855226e-08	0.0
TXN	0.3623552260952307	0.0	5.869507347855226e-08	0.0
RPL23	0.3591289302851455	0.0	5.869507347855226e-08	0.0
RPL29P4	0.3583839573363682	0.0	5.869507347855226e-08	0.0
ATP5MC1	0.3581009079890287	0.0	5.869507347855226e-08	0.0
RPL10P9	0.3579043980925798	0.0	5.869507347855226e-08	0.0
TSPO	0.3556727058477091	0.0	5.869507347855226e-08	0.0
PRDX5	0.35322576202622	0.0	5.869507347855226e-08	0.0
UQCRH	0.3493846795158631	0.0	5.869507347855226e-08	0.0
ATP5MC2	0.3489507512455781	0.0	5.869507347855226e-08	0.0
SNHG29	0.3473602678924551	0.0	5.869507347855226e-08	0.0
PPIA	0.3472536605985072	0.0	5.869507347855226e-08	0.0
COX5A	0.345975447572563	0.0	5.869507347855226e-08	0.0
MGST3	0.3452071244754583	0.0	5.869507347855226e-08	0.0
RPS4X	0.3438118474779295	0.0	5.869507347855226e-08	0.0
RPS26	0.3429145652348556	0.0	5.869507347855226e-08	0.0
DBI	0.3427918123812561	0.0	5.869507347855226e-08	0.0
MPC2	0.3415996166935818	0.0	5.869507347855226e-08	0.0
RPS6	0.3404109056966735	0.0	5.869507347855226e-08	0.0
ACTG1	0.338275155841994	0.0	5.869507347855226e-08	0.0
PEBP1	0.3372594999737796	0.0	5.869507347855226e-08	0.0
COX6C	0.3369555128693761	0.0	5.869507347855226e-08	0.0
COX8A	0.3360913330467016	0.0	5.869507347855226e-08	0.0
RPS11	0.3321809828085836	0.0	5.869507347855226e-08	0.0
EEF1A1	0.3316563605878102	0.0	5.869507347855226e-08	0.0
RPSA	0.3294798713037305	0.0	5.869507347855226e-08	0.0
RPS14	0.3292442790560231	0.0	5.869507347855226e-08	0.0
UGT2B17	0.3289949898364447	0.0	5.869507347855226e-08	0.0
RACK1	0.3274480264475492	0.0	5.869507347855226e-08	0.0
RPL10A	0.3272606593957919	0.0	5.869507347855226e-08	0.0
RPL18A	0.3267903309118124	0.0	5.869507347855226e-08	0.0
RPS7	0.3267314282906257	0.0	5.869507347855226e-08	0.0
RPS9	0.3252206646849538	0.0	5.869507347855226e-08	0.0
RPS2	0.3251966936905051	0.0	5.869507347855226e-08	0.0
RPL3	0.324632363311495	0.0	5.869507347855226e-08	0.0
RPL7A	0.3239317862978172	0.0	5.869507347855226e-08	0.0
SUCLG2	0.3238638877737689	0.0	5.869507347855226e-08	0.0
CD24	0.323482227021851	0.0	5.869507347855226e-08	0.0
TMSB10	0.3218269966197157	0.0	5.869507347855226e-08	0.0
H3-3A	0.3214186123330804	0.0	5.869507347855226e-08	0.0
NDUFA4	0.3212303651971477	0.0	5.869507347855226e-08	0.0
