Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MTCO3P12	0.1998488872763982	0.0	1.224380787166341e-07	0.0
ENSG00000281383.1	0.1971993752898372	0.0	1.224380787166341e-07	0.0
MTCO1P2	0.1917065471018085	0.0	1.224380787166341e-07	0.0
RPS29	0.1830110395129202	0.0	1.224380787166341e-07	0.0
RPL13	0.1802078508903392	0.0	1.224380787166341e-07	0.0
RPL41	0.1716051821974382	0.0	1.224380787166341e-07	0.0
RPS21	0.170815146532191	0.0	1.224380787166341e-07	0.0
MIPEPP3	0.1707128154680593	0.0	1.224380787166341e-07	0.0
RPL34	0.1678306851437458	0.0	1.224380787166341e-07	0.0
RPL37	0.1674488988237885	0.0	1.224380787166341e-07	0.0
RPS8	0.1669138992436122	0.0	1.224380787166341e-07	0.0
RPL32	0.1668731140019867	0.0	1.224380787166341e-07	0.0
RPL39	0.1666703272781128	0.0	1.224380787166341e-07	0.0
RPS19	0.1663960074423875	0.0	1.224380787166341e-07	0.0
RPS28	0.1661718518854378	0.0	1.224380787166341e-07	0.0
RPL11	0.1660364795294021	0.0	1.224380787166341e-07	0.0
RPS14	0.1648080976539925	0.0	1.224380787166341e-07	0.0
RPS18	0.1643804943595762	0.0	1.224380787166341e-07	0.0
RPS12	0.1641511895793839	0.0	1.224380787166341e-07	0.0
RPLP2	0.164057644052407	0.0	1.224380787166341e-07	0.0
MTCO1P40	0.1610556798969199	0.0	1.224380787166341e-07	0.0
RPL28	0.1600321922679251	0.0	1.224380787166341e-07	0.0
ANGEL1	0.1583532187048206	0.0	1.224380787166341e-07	0.0
ID2B	0.1583423090650673	0.0	1.224380787166341e-07	0.0
RPL18	0.1579697757879886	0.0	1.224380787166341e-07	0.0
SNORA46	0.1574594351114476	0.0	1.224380787166341e-07	0.0
KIAA1217	0.1574168147089772	0.0	1.224380787166341e-07	0.0
RPS15A	0.1569832044883644	0.0	1.224380787166341e-07	0.0
CDCP1	0.1569147594657632	0.0	1.224380787166341e-07	0.0
RPS27	0.1566311737633293	0.0	1.224380787166341e-07	0.0
RPLP1	0.1565852601592407	0.0	1.224380787166341e-07	0.0
ENSG00000272330.1	0.1564286500270445	0.0	1.224380787166341e-07	0.0
YWHAZP4	0.1556596272570586	0.0	1.224380787166341e-07	0.0
RPL36	0.1556523059134653	0.0	1.224380787166341e-07	0.0
RPS23	0.1556351870160152	0.0	1.224380787166341e-07	0.0
CCDC9B	0.1555750138788085	0.0	1.224380787166341e-07	0.0
RPL30	0.1553745235254603	0.0	1.224380787166341e-07	0.0
MAP9-AS1	0.1549947328622468	0.0	1.224380787166341e-07	0.0
ENSG00000261198.1	0.1541246524385186	0.0	1.224380787166341e-07	0.0
ENSG00000262950.3	0.1536282796330412	0.0	1.224380787166341e-07	0.0
EPHA6	0.1533819601837628	0.0	1.224380787166341e-07	0.0
RN7SKP71	0.1528149796651547	0.0	1.224380787166341e-07	0.0
LINC01198	0.1527218718361429	0.0	1.224380787166341e-07	0.0
ENSG00000258674.5	0.1521632783167255	0.0	1.224380787166341e-07	0.0
