Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.3544038853343836	0.0	6.334450492282935e-08	0.0
MARCKS	0.3083006470934196	0.0	6.334450492282935e-08	0.0
MTCO3P12	0.3016189766410148	0.0	6.334450492282935e-08	0.0
RPL41	0.2960217489826224	0.0	6.334450492282935e-08	0.0
RPS9	0.2887439688907627	0.0	6.334450492282935e-08	0.0
ENSG00000249072.1	0.2883507540904934	0.0	6.334450492282935e-08	0.0
CST3	0.2828427493626828	0.0	6.334450492282935e-08	0.0
ACTG1	0.2812701638678997	0.0	6.334450492282935e-08	0.0
CALM2	0.2748928981126487	0.0	6.334450492282935e-08	0.0
S100A6	0.2728519420178147	0.0	6.334450492282935e-08	0.0
MTCO2P2	0.2725999327170463	0.0	6.334450492282935e-08	0.0
RPL37A	0.2725099728330079	0.0	6.334450492282935e-08	0.0
S100A10	0.2717880112643491	0.0	6.334450492282935e-08	0.0
MTCO2P12	0.2681265447917811	0.0	6.334450492282935e-08	0.0
HSPA1A	0.2656766046667183	0.0	6.334450492282935e-08	0.0
TPT1	0.2656637225473897	0.0	6.334450492282935e-08	0.0
RPLP1	0.2654520228449201	0.0	6.334450492282935e-08	0.0
RPL10	0.2651919431792467	0.0	6.334450492282935e-08	0.0
HSPA1B	0.2642456182788423	0.0	6.334450492282935e-08	0.0
RPL3	0.2628678859828186	0.0	6.334450492282935e-08	0.0
RPS14	0.2615461563326228	0.0	6.334450492282935e-08	0.0
EIF1	0.2615273133363339	0.0	6.334450492282935e-08	0.0
TMSB10	0.2608836743184606	0.0	6.334450492282935e-08	0.0
RPL11	0.2608294373611032	0.0	6.334450492282935e-08	0.0
RPL13	0.2603424676673213	0.0	6.334450492282935e-08	0.0
EEF1A1	0.2603200880055684	0.0	6.334450492282935e-08	0.0
MTATP8P2	0.2599294049110303	0.0	6.334450492282935e-08	0.0
PEBP1	0.2580724522630672	0.0	6.334450492282935e-08	0.0
RPS27	0.2580204292869171	0.0	6.334450492282935e-08	0.0
RPS18	0.2577712025547933	0.0	6.334450492282935e-08	0.0
RPS12	0.2573195933981386	0.0	6.334450492282935e-08	0.0
RPL18A	0.2566639267375326	0.0	6.334450492282935e-08	0.0
RPL23	0.2556855861663243	0.0	6.334450492282935e-08	0.0
RPS28	0.2549552130228811	0.0	6.334450492282935e-08	0.0
RPL24	0.2545718789738554	0.0	6.334450492282935e-08	0.0
RPL9	0.2542092820077587	0.0	6.334450492282935e-08	0.0
RPS2	0.2535056613745133	0.0	6.334450492282935e-08	0.0
RPL13A	0.2532148356470968	0.0	6.334450492282935e-08	0.0
RPL8	0.2516966984243263	0.0	6.334450492282935e-08	0.0
RPL19	0.2512492891173342	0.0	6.334450492282935e-08	0.0
RPL7A	0.2510674790578631	0.0	6.334450492282935e-08	0.0
RPL30	0.2500599752564992	0.0	6.334450492282935e-08	0.0
RPL32	0.2489601432515561	0.0	6.334450492282935e-08	0.0
RPS11	0.24733355839184	0.0	6.334450492282935e-08	0.0
RPL28	0.2473323760129121	0.0	6.334450492282935e-08	0.0
RPS8	0.246317627165075	0.0	6.334450492282935e-08	0.0
MT-ND6	0.2455491760464057	0.0	6.334450492282935e-08	0.0
RPL27A	0.2449363204193963	0.0	6.334450492282935e-08	0.0
MT-ATP8	0.2443436381685777	0.0	6.334450492282935e-08	0.0
RPL29	0.2432934192836703	0.0	6.334450492282935e-08	0.0
FTH1	0.2427863382674098	0.0	6.334450492282935e-08	0.0
HSP90AB1	0.2408874355212922	0.0	6.334450492282935e-08	0.0
RPL34	0.2401031333795264	0.0	6.334450492282935e-08	0.0
RPL12	0.2400165518555027	0.0	6.334450492282935e-08	0.0
RPL18	0.2399992927140374	0.0	6.334450492282935e-08	0.0
RPS20	0.2395890415790303	0.0	6.334450492282935e-08	0.0
RPL6	0.2395191839203455	0.0	6.334450492282935e-08	0.0
RPL21	0.2395165951213053	0.0	6.334450492282935e-08	0.0
FOSB	0.2394289947514986	0.0	6.334450492282935e-08	0.0
RPS16	0.2384681523699074	0.0	6.334450492282935e-08	0.0
RPS5	0.2383795521085849	0.0	6.334450492282935e-08	0.0
RPL10A	0.2379792263690866	0.0	6.334450492282935e-08	0.0
CFL1	0.2357628950906785	0.0	6.334450492282935e-08	0.0
RPS13	0.235571444113749	0.0	6.334450492282935e-08	0.0
RPS6	0.2355458731384284	0.0	6.334450492282935e-08	0.0
RPLP2	0.2347865086499947	0.0	6.334450492282935e-08	0.0
PPIA	0.2345037127564206	0.0	6.334450492282935e-08	0.0
RPS15	0.2341830733333153	0.0	6.334450492282935e-08	0.0
RPS19	0.2341770797129016	0.0	6.334450492282935e-08	0.0
RPL37	0.2335789978651808	0.0	6.334450492282935e-08	0.0
RPS27A	0.2332572630155473	0.0	6.334450492282935e-08	0.0
RPL39	0.2328922801904309	0.0	6.334450492282935e-08	0.0
FOS	0.2327125559199728	0.0	6.334450492282935e-08	0.0
PTMA	0.2326659224988991	0.0	6.334450492282935e-08	0.0
RPS24	0.2322364717091266	0.0	6.334450492282935e-08	0.0
DBI	0.2318982401925935	0.0	6.334450492282935e-08	0.0
DNAJB1	0.2318302804640404	0.0	6.334450492282935e-08	0.0
SERF2	0.2316552743456904	0.0	6.334450492282935e-08	0.0
GSTP1	0.2303521473347509	0.0	6.334450492282935e-08	0.0
FAU	0.2295432725447611	0.0	6.334450492282935e-08	0.0
RPS7	0.2276047916638376	0.0	6.334450492282935e-08	0.0
PRDX1	0.2270224018659586	0.0	6.334450492282935e-08	0.0
RPS21	0.2262122412668874	0.0	6.334450492282935e-08	0.0
RPS23	0.2261500609988355	0.0	6.334450492282935e-08	0.0
HSPA8	0.2260979922750615	0.0	6.334450492282935e-08	0.0
RPL35A	0.2259936530848131	0.0	6.334450492282935e-08	0.0
RACK1	0.2251887644040809	0.0	6.334450492282935e-08	0.0
H3-3B	0.223696756643617	0.0	6.334450492282935e-08	0.0
RPL35	0.2236123083141748	0.0	6.334450492282935e-08	0.0
RPL15	0.223237709515743	0.0	6.334450492282935e-08	0.0
RPS3	0.2226855040344475	0.0	6.334450492282935e-08	0.0
