Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
RPL10P9	0.3349048963876408	0.0	1.1068847535915276e-07	0.0
RPL29P4	0.3131235363956432	0.0	1.1068847535915276e-07	0.0
ATP5MC3	0.2609526850559203	0.0	1.1068847535915276e-07	0.0
CD9	0.2596480596443434	0.0	1.1068847535915276e-07	0.0
CD24	0.2573702714887219	0.0	1.1068847535915276e-07	0.0
KLF5	0.2538398825337351	0.0	1.1068847535915276e-07	0.0
RPS26	0.2496525831790412	0.0	1.1068847535915276e-07	0.0
UGT2B17	0.2458418758959363	0.0	1.1068847535915276e-07	0.0
PRDX5	0.2439090380963527	0.0	1.1068847535915276e-07	0.0
SUCLG2	0.2426444589099972	0.0	1.1068847535915276e-07	0.0
PPP1R1B	0.241999049148991	0.0	1.1068847535915276e-07	0.0
TSPO	0.2358410776672414	0.0	1.1068847535915276e-07	0.0
HMGCS2	0.2347389251897147	0.0	1.1068847535915276e-07	0.0
ATP5MC1	0.2334630601789847	0.0	1.1068847535915276e-07	0.0
TXN	0.2299047729349632	0.0	1.1068847535915276e-07	0.0
PRXL2A	0.2255783108568324	0.0	1.1068847535915276e-07	0.0
SCP2	0.2222352125618603	0.0	1.1068847535915276e-07	0.0
COX5A	0.222229587557879	0.0	1.1068847535915276e-07	0.0
LGALS4	0.2214919697861962	0.0	1.1068847535915276e-07	0.0
ATP8B1	0.2202644503806848	0.0	1.1068847535915276e-07	0.0
CDX1	0.2193440723819634	0.0	1.1068847535915276e-07	0.0
COX6C	0.216584795208643	0.0	1.1068847535915276e-07	0.0
MARCKS	0.2156388498075236	0.0	1.1068847535915276e-07	0.0
ACTG1	0.2146689992026762	0.0	1.1068847535915276e-07	0.0
UQCRH	0.2143368375955449	0.0	1.1068847535915276e-07	0.0
GOLM1	0.213749501696188	0.0	1.1068847535915276e-07	0.0
NET1	0.2123107825424535	0.0	1.1068847535915276e-07	0.0
PPIA	0.2109435717391731	0.0	1.1068847535915276e-07	0.0
H3-3A	0.2108919481361579	0.0	1.1068847535915276e-07	0.0
TST	0.2107197578428114	0.0	1.1068847535915276e-07	0.0
MPC2	0.2107134947953266	0.0	1.1068847535915276e-07	0.0
ATP1B1	0.2104812388875002	0.0	1.1068847535915276e-07	0.0
MT1E	0.2101436827330324	0.0	1.1068847535915276e-07	0.0
PIGR	0.2101395050667808	0.0	1.1068847535915276e-07	0.0
COX8A	0.2098389733838786	0.0	1.1068847535915276e-07	0.0
MLEC	0.2093449195111913	0.0	1.1068847535915276e-07	0.0
MGST3	0.2079734100293241	0.0	1.1068847535915276e-07	0.0
TSPAN8	0.2078773414631981	0.0	1.1068847535915276e-07	0.0
PEBP1	0.2077919215563103	0.0	1.1068847535915276e-07	0.0
DBI	0.207641004796319	0.0	1.1068847535915276e-07	0.0
TMEM141	0.2072671618478188	0.0	1.1068847535915276e-07	0.0
RBM47	0.2072046803405811	0.0	1.1068847535915276e-07	0.0
SNHG29	0.2062483075375412	0.0	1.1068847535915276e-07	0.0
ENSG00000237550.7	0.205931120435065	0.0	1.1068847535915276e-07	0.0
DSG2	0.2057372216978233	0.0	1.1068847535915276e-07	0.0
UQCR10	0.2039454910294198	0.0	1.1068847535915276e-07	0.0
EPCAM	0.203004771585944	0.0	1.1068847535915276e-07	0.0
COX5B	0.2024788313503262	0.0	1.1068847535915276e-07	0.0
MGST2	0.2022946949846922	0.0	1.1068847535915276e-07	0.0
NRARP	0.201295119979453	0.0	1.1068847535915276e-07	0.0
MAOA	0.2008145996924338	0.0	1.1068847535915276e-07	0.0
GSR	0.2000705717305612	0.0	1.1068847535915276e-07	0.0
VIL1	0.1992899787971508	0.0	1.1068847535915276e-07	0.0
UGT2A3	0.1965326564395865	0.0	1.1068847535915276e-07	0.0
SUCLG1	0.1963849127676124	0.0	1.1068847535915276e-07	0.0
LEFTY1	0.1962464524141865	0.0	1.1068847535915276e-07	0.0
URAD	0.194646042024733	0.0	1.1068847535915276e-07	0.0
SPINT2	0.1935838878606006	0.0	1.1068847535915276e-07	0.0
FERMT1	0.1933746845057454	0.0	1.1068847535915276e-07	0.0
LGALS3	0.1933506113082446	0.0	1.1068847535915276e-07	0.0
AGR3	0.1923897259489223	0.0	1.1068847535915276e-07	0.0
ADH1C	0.1919472214996573	0.0	1.1068847535915276e-07	0.0
ATP5MJ	0.1918306054314291	0.0	1.1068847535915276e-07	0.0
CDX2	0.191279814635498	0.0	1.1068847535915276e-07	0.0
ATP5MC2	0.1910271973216977	0.0	1.1068847535915276e-07	0.0
ECHS1	0.1900290832720899	0.0	1.1068847535915276e-07	0.0
RPS4X	0.1894687662231883	0.0	1.1068847535915276e-07	0.0
AGR2	0.1890063248511374	0.0	1.1068847535915276e-07	0.0
NDUFA4	0.1883803705396412	0.0	1.1068847535915276e-07	0.0
KDELR2	0.1866394946397208	0.0	1.1068847535915276e-07	0.0
DDAH1	0.1858414836390578	0.0	1.1068847535915276e-07	0.0
FAM162A	0.1854871256374787	0.0	1.1068847535915276e-07	0.0
CHCHD10	0.1854583888079836	0.0	1.1068847535915276e-07	0.0
S100A14	0.1849567127175691	0.0	1.1068847535915276e-07	0.0
RBM3	0.1839012125175091	0.0	1.1068847535915276e-07	0.0
ITM2C	0.183544902227663	0.0	1.1068847535915276e-07	0.0
CAMK2N1	0.1833100352687375	0.0	1.1068847535915276e-07	0.0
ALDH2	0.1833000758154118	0.0	1.1068847535915276e-07	0.0
ITGA6	0.182265439328978	0.0	1.1068847535915276e-07	0.0
RPL23	0.1822564717869757	0.0	1.1068847535915276e-07	0.0
ATP5PD	0.1821321792486613	0.0	1.1068847535915276e-07	0.0
PRDX3	0.1813179476152982	0.0	1.1068847535915276e-07	0.0
RPS9	0.1811080994699913	0.0	1.1068847535915276e-07	0.0
COX7A2	0.1809415336280117	0.0	1.1068847535915276e-07	0.0
CERS6	0.1807312441158514	0.0	1.1068847535915276e-07	0.0
SLC44A1	0.1795117226962529	0.0	1.1068847535915276e-07	0.0
CLDN4	0.1794524531601779	0.0	1.1068847535915276e-07	0.0
NDUFAB1	0.1792868994502606	0.0	1.1068847535915276e-07	0.0
ATP5F1A	0.1790248488456217	0.0	1.1068847535915276e-07	0.0
HINT1	0.1787338500604951	0.0	1.1068847535915276e-07	0.0
RPSA	0.1785476778772061	0.0	1.1068847535915276e-07	0.0
C15orf48	0.1771783526043874	0.0	1.1068847535915276e-07	0.0
GPX2	0.1769645389277034	0.0	1.1068847535915276e-07	0.0
DMAC1	0.17639908285941	0.0	1.1068847535915276e-07	0.0
UQCRFS1	0.1762972531147683	0.0	1.1068847535915276e-07	0.0
