Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.326024030221092	0.0	6.887382768311433e-08	0.0
S100A6	0.2916819249360193	0.0	6.887382768311433e-08	0.0
LGALS3	0.2836962264811087	0.0	6.887382768311433e-08	0.0
TXN	0.2814458418738612	0.0	6.887382768311433e-08	0.0
TSPO	0.2750622680590556	0.0	6.887382768311433e-08	0.0
COX5B	0.27210753442994	0.0	6.887382768311433e-08	0.0
TMSB10	0.2715924637803696	0.0	6.887382768311433e-08	0.0
LGALS4	0.2621086315291946	0.0	6.887382768311433e-08	0.0
CDC42EP5	0.2620297913703025	0.0	6.887382768311433e-08	0.0
MARCKS	0.2610937217867926	0.0	6.887382768311433e-08	0.0
ACTG1	0.258231674808534	0.0	6.887382768311433e-08	0.0
CHCHD10	0.2581627323667737	0.0	6.887382768311433e-08	0.0
CD24	0.2543271502117379	0.0	6.887382768311433e-08	0.0
COX6C	0.2531554625993507	0.0	6.887382768311433e-08	0.0
IER3	0.2525993953976865	0.0	6.887382768311433e-08	0.0
TSPAN8	0.2487644397463668	0.0	6.887382768311433e-08	0.0
TMEM141	0.2469534680517764	0.0	6.887382768311433e-08	0.0
AGR2	0.246815846472793	0.0	6.887382768311433e-08	0.0
CLDN3	0.2460566665460626	0.0	6.887382768311433e-08	0.0
PPDPF	0.2445534662133048	0.0	6.887382768311433e-08	0.0
SRGN	0.2443671140581717	0.0	6.887382768311433e-08	0.0
S100A10	0.2439220414134237	0.0	6.887382768311433e-08	0.0
PPP1R1B	0.2409571876785637	0.0	6.887382768311433e-08	0.0
PTPRC	0.2405090054256182	0.0	6.887382768311433e-08	0.0
ATP5MC1	0.2401515590122805	0.0	6.887382768311433e-08	0.0
COX5A	0.2400115266307125	0.0	6.887382768311433e-08	0.0
CLDN4	0.2389652911962721	0.0	6.887382768311433e-08	0.0
PRDX5	0.2379373560739388	0.0	6.887382768311433e-08	0.0
AGR3	0.2368763795380292	0.0	6.887382768311433e-08	0.0
FXYD3	0.23654137726079	0.0	6.887382768311433e-08	0.0
KLF5	0.2363334227225151	0.0	6.887382768311433e-08	0.0
CXCR4	0.2359217828347753	0.0	6.887382768311433e-08	0.0
S100A14	0.2349898717670727	0.0	6.887382768311433e-08	0.0
DBI	0.2345559294174876	0.0	6.887382768311433e-08	0.0
CDX1	0.2326367673184738	0.0	6.887382768311433e-08	0.0
SYTL3	0.2316649352187658	0.0	6.887382768311433e-08	0.0
ARHGDIB	0.2309678302975978	0.0	6.887382768311433e-08	0.0
COX6B1	0.2296157364901843	0.0	6.887382768311433e-08	0.0
