Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
TXN	0.2725464871471786	0.0	7.462117569389654e-08	0.0
TSPO	0.2559407168301613	0.0	7.462117569389654e-08	0.0
SNHG29	0.2557506701246779	0.0	7.462117569389654e-08	0.0
COX6C	0.2480275428734456	0.0	7.462117569389654e-08	0.0
PRDX5	0.2475208392633457	0.0	7.462117569389654e-08	0.0
LGALS3	0.2449453725603948	0.0	7.462117569389654e-08	0.0
UQCRH	0.2432755989233401	0.0	7.462117569389654e-08	0.0
ATP5MC1	0.2430330586830293	0.0	7.462117569389654e-08	0.0
TSPAN8	0.2410316786545709	0.0	7.462117569389654e-08	0.0
COX5A	0.2390166262649356	0.0	7.462117569389654e-08	0.0
COX5B	0.2374027257677429	0.0	7.462117569389654e-08	0.0
ACTG1	0.2330408146617009	0.0	7.462117569389654e-08	0.0
ATP5MC3	0.2319623564294619	0.0	7.462117569389654e-08	0.0
COX4I1	0.2297387277518912	0.0	7.462117569389654e-08	0.0
COX6A1	0.2274482508483904	0.0	7.462117569389654e-08	0.0
ATP5MC2	0.2268834259057873	0.0	7.462117569389654e-08	0.0
CD24	0.2265648099366245	0.0	7.462117569389654e-08	0.0
RPS18	0.2255471421008151	0.0	7.462117569389654e-08	0.0
COX6B1	0.2245158448269708	0.0	7.462117569389654e-08	0.0
TMSB10	0.223415569154454	0.0	7.462117569389654e-08	0.0
FAM162A	0.2228050373039062	0.0	7.462117569389654e-08	0.0
COX7C	0.2201217992821943	0.0	7.462117569389654e-08	0.0
RACK1	0.2182240982847133	0.0	7.462117569389654e-08	0.0
S100A6	0.216780966760429	0.0	7.462117569389654e-08	0.0
FCGRT	0.2161189425418163	0.0	7.462117569389654e-08	0.0
DSTN	0.2152641113502901	0.0	7.462117569389654e-08	0.0
RPL8	0.2150208544113366	0.0	7.462117569389654e-08	0.0
RPS6	0.214643755003212	0.0	7.462117569389654e-08	0.0
MGST1	0.2129146281293693	0.0	7.462117569389654e-08	0.0
RPS9	0.2124681406543647	0.0	7.462117569389654e-08	0.0
RPL23	0.2121140814759458	0.0	7.462117569389654e-08	0.0
CHCHD10	0.2119747432573857	0.0	7.462117569389654e-08	0.0
RPS24	0.2110502179036347	0.0	7.462117569389654e-08	0.0
FXYD3	0.2106047382794326	0.0	7.462117569389654e-08	0.0
RPL29	0.2101121636854809	0.0	7.462117569389654e-08	0.0
TMEM141	0.2095455662815261	0.0	7.462117569389654e-08	0.0
AGR2	0.2089083777954272	0.0	7.462117569389654e-08	0.0
RPL10A	0.2068217533509744	0.0	7.462117569389654e-08	0.0
ATP5PD	0.2061271797321778	0.0	7.462117569389654e-08	0.0
UGT2B17	0.2046817807767626	0.0	7.462117569389654e-08	0.0
ATP5PF	0.2046496768325185	0.0	7.462117569389654e-08	0.0
LGALS4	0.2045298838136913	0.0	7.462117569389654e-08	0.0
RPL6	0.2039242225228901	0.0	7.462117569389654e-08	0.0
ATP5PO	0.203518910723095	0.0	7.462117569389654e-08	0.0
CD63	0.2032654982713352	0.0	7.462117569389654e-08	0.0
S100A10	0.2017919431493361	0.0	7.462117569389654e-08	0.0
UQCR10	0.2001755516372171	0.0	7.462117569389654e-08	0.0
GSTP1	0.1993981669990957	0.0	7.462117569389654e-08	0.0
RPL13A	0.1991997132959812	0.0	7.462117569389654e-08	0.0
RPS11	0.1979337276300071	0.0	7.462117569389654e-08	0.0
COX7A2	0.195961950011387	0.0	7.462117569389654e-08	0.0
RPL18A	0.1959219285585806	0.0	7.462117569389654e-08	0.0
CST3	0.1952000442012906	0.0	7.462117569389654e-08	0.0
RPS14	0.1950513494202278	0.0	7.462117569389654e-08	0.0
RPS8	0.1947448065801856	0.0	7.462117569389654e-08	0.0
RPL37A	0.1944463865808366	0.0	7.462117569389654e-08	0.0
RPL12	0.1940411178790806	0.0	7.462117569389654e-08	0.0
CLDN3	0.1928728354015322	0.0	7.462117569389654e-08	0.0
RPL36	0.191888554161245	0.0	7.462117569389654e-08	0.0
GPR15LG	0.191462625001071	0.0	7.462117569389654e-08	0.0
RPL7A	0.1913896600623967	0.0	7.462117569389654e-08	0.0
C15orf48	0.190265076660549	0.0	7.462117569389654e-08	0.0
ATP5MK	0.1899900695884278	0.0	7.462117569389654e-08	0.0
HINT1	0.1887854423559863	0.0	7.462117569389654e-08	0.0
FAM3D	0.188558949016193	0.0	7.462117569389654e-08	0.0
UQCRQ	0.18852344578538	0.0	7.462117569389654e-08	0.0
COX8A	0.1876395547264355	0.0	7.462117569389654e-08	0.0
RPL18	0.1875786813255801	0.0	7.462117569389654e-08	0.0
CLDN4	0.1875537636622431	0.0	7.462117569389654e-08	0.0
RPL5	0.1875112846325505	0.0	7.462117569389654e-08	0.0
S100A14	0.1869266147085345	0.0	7.462117569389654e-08	0.0
RPLP0	0.186914210803394	0.0	7.462117569389654e-08	0.0
CDC42EP5	0.1867868927565774	0.0	7.462117569389654e-08	0.0
GPX2	0.1865028056528433	0.0	7.462117569389654e-08	0.0
ATP5MJ	0.1862952077535137	0.0	7.462117569389654e-08	0.0
PIGR	0.18623021985519	0.0	7.462117569389654e-08	0.0
CDX1	0.1858837203433959	0.0	7.462117569389654e-08	0.0
COX7B	0.185652462107434	0.0	7.462117569389654e-08	0.0
SUCLG1	0.1852193850578752	0.0	7.462117569389654e-08	0.0
TMEM238	0.1850828904481534	0.0	7.462117569389654e-08	0.0
RPS2	0.1833889690647793	0.0	7.462117569389654e-08	0.0
AGR3	0.1831502810618364	0.0	7.462117569389654e-08	0.0
HMGCS2	0.1831446441327541	0.0	7.462117569389654e-08	0.0
RPL41	0.1827688903538138	0.0	7.462117569389654e-08	0.0
RPL27A	0.1820254126814171	0.0	7.462117569389654e-08	0.0
KLF5	0.1813434386432583	0.0	7.462117569389654e-08	0.0
RPS12	0.1810571509433185	0.0	7.462117569389654e-08	0.0
EPCAM	0.1809698065076729	0.0	7.462117569389654e-08	0.0
LEFTY1	0.1806624001727423	0.0	7.462117569389654e-08	0.0
TIMM13	0.1805633029253762	0.0	7.462117569389654e-08	0.0
PPIA	0.1799405074088057	0.0	7.462117569389654e-08	0.0
MGST3	0.1798761226359719	0.0	7.462117569389654e-08	0.0
RPL24	0.1798698020514335	0.0	7.462117569389654e-08	0.0
ATP5F1D	0.1797918853208926	0.0	7.462117569389654e-08	0.0
RPL9	0.1796861034290999	0.0	7.462117569389654e-08	0.0
PRDX2	0.1794207955600849	0.0	7.462117569389654e-08	0.0
RPS21	0.1788590612374613	0.0	7.462117569389654e-08	0.0
SERF2	0.1770519794299839	0.0	7.462117569389654e-08	0.0
RPS4X	0.1769176675855636	0.0	7.462117569389654e-08	0.0
RPS28	0.1768390361605478	0.0	7.462117569389654e-08	0.0
CD9	0.1766234293284834	0.0	7.462117569389654e-08	0.0
RPL19	0.1763610210906516	0.0	7.462117569389654e-08	0.0
RPS5	0.1753934374565599	0.0	7.462117569389654e-08	0.0
RPS7	0.1751243979778365	0.0	7.462117569389654e-08	0.0
RPL13	0.1750188450629921	0.0	7.462117569389654e-08	0.0
RPL32	0.1746514615027891	0.0	7.462117569389654e-08	0.0
DNPH1	0.1739641664615556	0.0	7.462117569389654e-08	0.0
NANS	0.1736644971908215	0.0	7.462117569389654e-08	0.0
NDUFA12	0.1735846571937436	0.0	7.462117569389654e-08	0.0
RPL11	0.1732005656831454	0.0	7.462117569389654e-08	0.0
PPP1R1B	0.1730723945882129	0.0	7.462117569389654e-08	0.0
RPL7	0.1724994232742772	0.0	7.462117569389654e-08	0.0
ATP5IF1	0.1723691434990738	0.0	7.462117569389654e-08	0.0
CYC1	0.172355217777219	0.0	7.462117569389654e-08	0.0
EEF1A1	0.1720439746127952	0.0	7.462117569389654e-08	0.0
CLIC1	0.1720282660810554	0.0	7.462117569389654e-08	0.0
LAMTOR4	0.1716722338480442	0.0	7.462117569389654e-08	0.0
NDUFA4	0.1715659118971211	0.0	7.462117569389654e-08	0.0
NDUFB9	0.1715576123963327	0.0	7.462117569389654e-08	0.0
RPS3	0.1714301430051962	0.0	7.462117569389654e-08	0.0
RPL15	0.1706341694442296	0.0	7.462117569389654e-08	0.0
APRT	0.1702918444532839	0.0	7.462117569389654e-08	0.0
TMEM54	0.1701023135900687	0.0	7.462117569389654e-08	0.0
NACA	0.1700454959978799	0.0	7.462117569389654e-08	0.0
RPL3	0.169850966815597	0.0	7.462117569389654e-08	0.0
RPS3A	0.1697463902946737	0.0	7.462117569389654e-08	0.0
NDUFB2	0.1695360286341987	0.0	7.462117569389654e-08	0.0
PRELID1	0.1694831337892435	0.0	7.462117569389654e-08	0.0
EIF3K	0.1693995383120605	0.0	7.462117569389654e-08	0.0
SPINT2	0.1693060255467234	0.0	7.462117569389654e-08	0.0
RPLP2	0.1686722757064853	0.0	7.462117569389654e-08	0.0
NDUFB4	0.1686291904250182	0.0	7.462117569389654e-08	0.0
RPS26	0.1681250516872381	0.0	7.462117569389654e-08	0.0
RPS19	0.1669983012401102	0.0	7.462117569389654e-08	0.0
ATP5PB	0.1669679723214844	0.0	7.462117569389654e-08	0.0
RPL34	0.1668898147590924	0.0	7.462117569389654e-08	0.0
RPL35	0.1664367881494957	0.0	7.462117569389654e-08	0.0
TMEM59	0.1653515953245734	0.0	7.462117569389654e-08	0.0
MAOA	0.1652877411681443	0.0	7.462117569389654e-08	0.0
ATP5MF	0.1646424079945546	0.0	7.462117569389654e-08	0.0
RPS13	0.1646075461973	0.0	7.462117569389654e-08	0.0
RPL10	0.1639392221116516	0.0	7.462117569389654e-08	0.0
SUCLG2	0.163893270340462	0.0	7.462117569389654e-08	0.0
RPS15	0.1638445798665854	0.0	7.462117569389654e-08	0.0
GOLM1	0.1637491176002346	0.0	7.462117569389654e-08	0.0
PFN1	0.1626648394742639	0.0	7.462117569389654e-08	0.0
PDLIM1	0.1620407249142908	0.0	7.462117569389654e-08	0.0
MGST2	0.1620116720322224	0.0	7.462117569389654e-08	0.0
S100A16	0.1617087782438692	0.0	7.462117569389654e-08	0.0
ECHS1	0.1615370035204889	0.0	7.462117569389654e-08	0.0
RPL23A	0.1613979694457364	0.0	7.462117569389654e-08	0.0
RPL26	0.1608477519588978	0.0	7.462117569389654e-08	0.0
RPL14	0.1607780353293921	0.0	7.462117569389654e-08	0.0
GAPDH	0.1606748154644654	0.0	7.462117569389654e-08	0.0
RPL30	0.16010471781788	0.0	7.462117569389654e-08	0.0
NAA38	0.160097371333888	0.0	7.462117569389654e-08	0.0
RPLP1	0.1598142360337374	0.0	7.462117569389654e-08	0.0
CISD3	0.1598052416975367	0.0	7.462117569389654e-08	0.0
RPL31	0.1592022526517111	0.0	7.462117569389654e-08	0.0
ADH1C	0.1587529958637029	0.0	7.462117569389654e-08	0.0
PHB1	0.1585083868920855	0.0	7.462117569389654e-08	0.0
MRPS33	0.1583591231167743	0.0	7.462117569389654e-08	0.0
RPL21	0.1582067705882494	0.0	7.462117569389654e-08	0.0
