Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
SRGN	0.4753206157637263	0.0	1.0110503408997435e-07	0.0
CXCR4	0.4390290536367439	0.0	1.0110503408997435e-07	0.0
IL7R	0.4008052422445029	0.0	1.0110503408997435e-07	0.0
BTG1	0.3976063815635911	0.0	1.0110503408997435e-07	0.0
B2M	0.3848193451454705	0.0	1.0110503408997435e-07	0.0
HLA-A	0.3824538449233102	0.0	1.0110503408997435e-07	0.0
PTPRC	0.3817212909967243	0.0	1.0110503408997435e-07	0.0
ARHGDIB	0.3688301686234016	0.0	1.0110503408997435e-07	0.0
TNFAIP3	0.3646565645904703	0.0	1.0110503408997435e-07	0.0
HLA-B	0.3577328600655711	0.0	1.0110503408997435e-07	0.0
CREM	0.3564569685448042	0.0	1.0110503408997435e-07	0.0
MT-RNR2	0.3487741296821183	0.0	1.0110503408997435e-07	0.0
CD44	0.3432940602944777	0.0	1.0110503408997435e-07	0.0
SMAP2	0.3418451451659154	0.0	1.0110503408997435e-07	0.0
SARAF	0.3348489857906381	0.0	1.0110503408997435e-07	0.0
PTMA	0.333221626139221	0.0	1.0110503408997435e-07	0.0
TSC22D3	0.3317469286501611	0.0	1.0110503408997435e-07	0.0
RPL29P4	0.3285089841849039	0.0	1.0110503408997435e-07	0.0
RPS27A	0.328305519604549	0.0	1.0110503408997435e-07	0.0
MT-RNR1	0.3260421300093023	0.0	1.0110503408997435e-07	0.0
EEF1A1	0.3230332162803756	0.0	1.0110503408997435e-07	0.0
SYTL3	0.3221429811508391	0.0	1.0110503408997435e-07	0.0
GPR183	0.3190234284022246	0.0	1.0110503408997435e-07	0.0
RPL10P9	0.3189845460046291	0.0	1.0110503408997435e-07	0.0
RPSA	0.312341080705397	0.0	1.0110503408997435e-07	0.0
FAM107B	0.3096768223048247	0.0	1.0110503408997435e-07	0.0
MT-CYB	0.3049840536178008	0.0	1.0110503408997435e-07	0.0
ARL4C	0.3022594960279776	0.0	1.0110503408997435e-07	0.0
MT-CO3	0.2981146988841895	0.0	1.0110503408997435e-07	0.0
VIM	0.2976521927578267	0.0	1.0110503408997435e-07	0.0
DDX24	0.2970805544256845	0.0	1.0110503408997435e-07	0.0
MGST1	0.2964867102019537	0.0	1.0110503408997435e-07	0.0
JUND	0.2939310374608492	0.0	1.0110503408997435e-07	0.0
PNRC1	0.2933679014068134	0.0	1.0110503408997435e-07	0.0
RPL10	0.2927683396566415	0.0	1.0110503408997435e-07	0.0
MAOA	0.2911697461904592	0.0	1.0110503408997435e-07	0.0
RPL21	0.2882914456394825	0.0	1.0110503408997435e-07	0.0
RPL3	0.2882315528398819	0.0	1.0110503408997435e-07	0.0
RGCC	0.2871793323813687	0.0	1.0110503408997435e-07	0.0
FAU	0.2868446072241367	0.0	1.0110503408997435e-07	0.0
NAP1L1	0.2851570477211297	0.0	1.0110503408997435e-07	0.0
RPL36AL	0.2820917714873448	0.0	1.0110503408997435e-07	0.0
RPS3	0.2818372867276187	0.0	1.0110503408997435e-07	0.0
CD48	0.2817627176426997	0.0	1.0110503408997435e-07	0.0
RPS15A	0.2778148690117691	0.0	1.0110503408997435e-07	0.0
RPL9	0.2777528796589598	0.0	1.0110503408997435e-07	0.0
STK17B	0.2772513391834504	0.0	1.0110503408997435e-07	0.0
RPS13	0.2767489850342464	0.0	1.0110503408997435e-07	0.0
MT-CO2	0.2764935672937871	0.0	1.0110503408997435e-07	0.0
LGALS3	0.2756313754030704	0.0	1.0110503408997435e-07	0.0
SAMSN1	0.2747634338426203	0.0	1.0110503408997435e-07	0.0
RPS3A	0.2729335222718734	0.0	1.0110503408997435e-07	0.0
YPEL5	0.2725885101094557	0.0	1.0110503408997435e-07	0.0
CD3E	0.2723718537280689	0.0	1.0110503408997435e-07	0.0
NPM1	0.2716813106860771	0.0	1.0110503408997435e-07	0.0
RPS27	0.2712743918629295	0.0	1.0110503408997435e-07	0.0
RGS1	0.2667251273740108	0.0	1.0110503408997435e-07	0.0
ADH1C	0.2648855990402708	0.0	1.0110503408997435e-07	0.0
ATP5MC1	0.2638723120246336	0.0	1.0110503408997435e-07	0.0
MT-ND4	0.2637777273432983	0.0	1.0110503408997435e-07	0.0
MT-CO1	0.2628755465999814	0.0	1.0110503408997435e-07	0.0
LGALS4	0.2627385451597847	0.0	1.0110503408997435e-07	0.0
EIF1	0.2621489339710797	0.0	1.0110503408997435e-07	0.0
