Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.2771460280470694	0.0	4.783024739982573e-08	0.0
HSPA1B	0.2140077949945508	0.0	4.783024739982573e-08	0.0
HSPA1A	0.2126507707087939	0.0	4.783024739982573e-08	0.0
MARCKS	0.2077099656958624	0.0	4.783024739982573e-08	0.0
CST3	0.1858283663335745	0.0	4.783024739982573e-08	0.0
DNAJB1	0.1809428866301335	0.0	4.783024739982573e-08	0.0
CDH19	0.1793007544652666	0.0	4.783024739982573e-08	0.0
CRYAB	0.1719638768268025	0.0	4.783024739982573e-08	0.0
NRXN1	0.1710407697627697	0.0	4.783024739982573e-08	0.0
PEBP1	0.1698576199014682	0.0	4.783024739982573e-08	0.0
PLP1	0.169386561275608	0.0	4.783024739982573e-08	0.0
TMEM176B	0.1685594666655609	0.0	4.783024739982573e-08	0.0
ALDH1A1	0.165535031335598	0.0	4.783024739982573e-08	0.0
KLF4	0.1626408784551233	0.0	4.783024739982573e-08	0.0
SRGN	0.1613450981612716	0.0	4.783024739982573e-08	0.0
EGR1	0.1612239798781388	0.0	4.783024739982573e-08	0.0
GPM6B	0.1608405607162518	0.0	4.783024739982573e-08	0.0
PTPRC	0.160090853336058	0.0	4.783024739982573e-08	0.0
LGI4	0.1597414019764533	0.0	4.783024739982573e-08	0.0
NDRG2	0.1561143471972186	0.0	4.783024739982573e-08	0.0
CXCR4	0.1541876482764965	0.0	4.783024739982573e-08	0.0
FOSB	0.153799254748002	0.0	4.783024739982573e-08	0.0
ARHGDIB	0.1527164580123005	0.0	4.783024739982573e-08	0.0
CSRP1	0.1524107428765942	0.0	4.783024739982573e-08	0.0
IL7R	0.1519787970715869	0.0	4.783024739982573e-08	0.0
SYTL3	0.1506842971806692	0.0	4.783024739982573e-08	0.0
CLU	0.1499584831280386	0.0	4.783024739982573e-08	0.0
SFRP5	0.1456212360325053	0.0	4.783024739982573e-08	0.0
SCN7A	0.1453318253537505	0.0	4.783024739982573e-08	0.0
CALM2	0.1452714337835437	0.0	4.783024739982573e-08	0.0
RHOB	0.143825008742647	0.0	4.783024739982573e-08	0.0
S100B	0.1434235158761367	0.0	4.783024739982573e-08	0.0
MYOT	0.1426611024597386	0.0	4.783024739982573e-08	0.0
PRDX1	0.1421441805912059	0.0	4.783024739982573e-08	0.0
MT1E	0.1419279655923143	0.0	4.783024739982573e-08	0.0
MAFF	0.1415768486875846	0.0	4.783024739982573e-08	0.0
NRXN3	0.1413282756534964	0.0	4.783024739982573e-08	0.0
HAND2-AS1	0.1410685529033958	0.0	4.783024739982573e-08	0.0
KCNMB4	0.1410026230490726	0.0	4.783024739982573e-08	0.0
DBI	0.1401079589905783	0.0	4.783024739982573e-08	0.0
PMP22	0.1400851493100116	0.0	4.783024739982573e-08	0.0
CLIC4	0.1398381248169825	0.0	4.783024739982573e-08	0.0
CD3D	0.1392429781116729	0.0	4.783024739982573e-08	0.0
CD3E	0.1387145142643435	0.0	4.783024739982573e-08	0.0
COMT	0.1374398623419727	0.0	4.783024739982573e-08	0.0
SMAP2	0.1359823145857318	0.0	4.783024739982573e-08	0.0
NCAM1	0.1346916158905379	0.0	4.783024739982573e-08	0.0
ATF3	0.1336949221382725	0.0	4.783024739982573e-08	0.0
CHL1	0.1336256827217166	0.0	4.783024739982573e-08	0.0
SPARC	0.1333966842989982	0.0	4.783024739982573e-08	0.0
TMEM176A	0.1329294428052291	0.0	4.783024739982573e-08	0.0
ACTG1	0.1316274534397057	0.0	4.783024739982573e-08	0.0
FOS	0.1316229735925304	0.0	4.783024739982573e-08	0.0
STK17B	0.1315078063947831	0.0	4.783024739982573e-08	0.0
SPARCL1	0.1313632769792695	0.0	4.783024739982573e-08	0.0
PPP1R1B	0.1308185690200165	0.0	4.783024739982573e-08	0.0
S100A16	0.1305600230897019	0.0	4.783024739982573e-08	0.0
FNBP1	0.1304582506737744	0.0	4.783024739982573e-08	0.0
NPTX2	0.1303045962548019	0.0	4.783024739982573e-08	0.0
S100A6	0.130043497396561	0.0	4.783024739982573e-08	0.0
HSP90AB1	0.1295988584073431	0.0	4.783024739982573e-08	0.0
CYTIP	0.1295433117357718	0.0	4.783024739982573e-08	0.0
GLIPR1	0.129318942224391	0.0	4.783024739982573e-08	0.0
NR4A1	0.1291677931227266	0.0	4.783024739982573e-08	0.0
JUNB	0.1290948003949412	0.0	4.783024739982573e-08	0.0
DNAJA1	0.1289357053420406	0.0	4.783024739982573e-08	0.0
SAMSN1	0.1289204283718092	0.0	4.783024739982573e-08	0.0
MAL	0.1287686003533392	0.0	4.783024739982573e-08	0.0
SAMHD1	0.1282966968528044	0.0	4.783024739982573e-08	0.0
CD7	0.1282836538349626	0.0	4.783024739982573e-08	0.0
CADM2	0.1271349842785202	0.0	4.783024739982573e-08	0.0
RGS1	0.1270561444745138	0.0	4.783024739982573e-08	0.0
NUCKS1	0.1268708252036393	0.0	4.783024739982573e-08	0.0
