Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.4228314548632484	0.0	1.2260663535419178e-07	0.0
MARCKS	0.3841576317247906	0.0	1.2260663535419178e-07	0.0
ACTG1	0.3738636885053779	0.0	1.2260663535419178e-07	0.0
CD24	0.3708633120685563	0.0	1.2260663535419178e-07	0.0
TXN	0.3707656687823156	0.0	1.2260663535419178e-07	0.0
TSPO	0.3663407226945205	0.0	1.2260663535419178e-07	0.0
PRDX5	0.3661829073843856	0.0	1.2260663535419178e-07	0.0
LGALS4	0.3627259579321277	0.0	1.2260663535419178e-07	0.0
DBI	0.3609716084483717	0.0	1.2260663535419178e-07	0.0
LGALS3	0.3602512324406954	0.0	1.2260663535419178e-07	0.0
PPP1R1B	0.3576834533992867	0.0	1.2260663535419178e-07	0.0
UGT2B17	0.3570749872334305	0.0	1.2260663535419178e-07	0.0
ATP5MC3	0.3532583161025682	0.0	1.2260663535419178e-07	0.0
KLF5	0.3529704156854985	0.0	1.2260663535419178e-07	0.0
ATP5MC1	0.3517100651748856	0.0	1.2260663535419178e-07	0.0
ITM2C	0.3493184806830739	0.0	1.2260663535419178e-07	0.0
COX5B	0.3476274364763564	0.0	1.2260663535419178e-07	0.0
ATP1B1	0.3464642193799023	0.0	1.2260663535419178e-07	0.0
SRGN	0.3452920221011034	0.0	1.2260663535419178e-07	0.0
COX5A	0.3439794956020631	0.0	1.2260663535419178e-07	0.0
EPCAM	0.3439764054714703	0.0	1.2260663535419178e-07	0.0
COX6C	0.3434808112962903	0.0	1.2260663535419178e-07	0.0
CDX1	0.3409595668435804	0.0	1.2260663535419178e-07	0.0
PTPRC	0.3373519107577664	0.0	1.2260663535419178e-07	0.0
S100A14	0.3367959469936913	0.0	1.2260663535419178e-07	0.0
PIGR	0.3340594453468176	0.0	1.2260663535419178e-07	0.0
CXCR4	0.3278603536487584	0.0	1.2260663535419178e-07	0.0
PHGR1	0.3260164285961248	0.0	1.2260663535419178e-07	0.0
HMGCS2	0.3228335541016108	0.0	1.2260663535419178e-07	0.0
CHCHD10	0.321724587637718	0.0	1.2260663535419178e-07	0.0
MT1E	0.3216510519654034	0.0	1.2260663535419178e-07	0.0
TMEM141	0.3213931754723673	0.0	1.2260663535419178e-07	0.0
RPL29P4	0.3207042261376219	0.0	1.2260663535419178e-07	0.0
TSPAN8	0.3198266248363994	0.0	1.2260663535419178e-07	0.0
CLDN3	0.3190090040991406	0.0	1.2260663535419178e-07	0.0
CLDN4	0.3158861663154495	0.0	1.2260663535419178e-07	0.0
ARHGDIB	0.3149418915065879	0.0	1.2260663535419178e-07	0.0
SPINT2	0.3128526132537811	0.0	1.2260663535419178e-07	0.0
HSPA1B	0.3128512479328075	0.0	1.2260663535419178e-07	0.0
RPL10P9	0.3121298100094872	0.0	1.2260663535419178e-07	0.0
C15orf48	0.3109855001568568	0.0	1.2260663535419178e-07	0.0
PEBP1	0.3103981519696074	0.0	1.2260663535419178e-07	0.0
GOLM1	0.3098051680831298	0.0	1.2260663535419178e-07	0.0
SYTL3	0.3096547147666174	0.0	1.2260663535419178e-07	0.0
