Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
TSPO	0.2377040027060154	0.0	8.339282546112235e-08	0.0
TSPAN8	0.2369123880050773	0.0	8.339282546112235e-08	0.0
LGALS3	0.2360057154971054	0.0	8.339282546112235e-08	0.0
TXN	0.2299514015944266	0.0	8.339282546112235e-08	0.0
CD24	0.2268444251097326	0.0	8.339282546112235e-08	0.0
CD9	0.2201130472520341	0.0	8.339282546112235e-08	0.0
ATP5MC1	0.2195852774439324	0.0	8.339282546112235e-08	0.0
UGT2B17	0.2139361656841035	0.0	8.339282546112235e-08	0.0
COX5A	0.2126025717803339	0.0	8.339282546112235e-08	0.0
PIGR	0.2102460113323077	0.0	8.339282546112235e-08	0.0
PRDX5	0.2078593079736858	0.0	8.339282546112235e-08	0.0
COX6C	0.2073053211387197	0.0	8.339282546112235e-08	0.0
COX6A1	0.2027144591043518	0.0	8.339282546112235e-08	0.0
LGALS4	0.2026424442979056	0.0	8.339282546112235e-08	0.0
FXYD3	0.2007954820582005	0.0	8.339282546112235e-08	0.0
COX5B	0.1966875977506658	0.0	8.339282546112235e-08	0.0
KLF5	0.1962447485053604	0.0	8.339282546112235e-08	0.0
FCGRT	0.1945538812709458	0.0	8.339282546112235e-08	0.0
ATP5MC3	0.1945269463246429	0.0	8.339282546112235e-08	0.0
TMEM141	0.1925494980022436	0.0	8.339282546112235e-08	0.0
C15orf48	0.191637491965716	0.0	8.339282546112235e-08	0.0
FAM162A	0.1904128063197225	0.0	8.339282546112235e-08	0.0
AGR2	0.1884962863030472	0.0	8.339282546112235e-08	0.0
EPCAM	0.1872386195488189	0.0	8.339282546112235e-08	0.0
ACTG1	0.1862836657918319	0.0	8.339282546112235e-08	0.0
MGST1	0.1850750306734727	0.0	8.339282546112235e-08	0.0
HMGCS2	0.1829687680823453	0.0	8.339282546112235e-08	0.0
LAMTOR4	0.1813510383795903	0.0	8.339282546112235e-08	0.0
AGR3	0.181116343425788	0.0	8.339282546112235e-08	0.0
COX4I1	0.1805736762248247	0.0	8.339282546112235e-08	0.0
CST3	0.1802034136004089	0.0	8.339282546112235e-08	0.0
S100A6	0.179798269304959	0.0	8.339282546112235e-08	0.0
UQCRH	0.1793583445903422	0.0	8.339282546112235e-08	0.0
CLDN3	0.1786780513434719	0.0	8.339282546112235e-08	0.0
ATP5PF	0.1772123500591197	0.0	8.339282546112235e-08	0.0
COX6B1	0.1770764287177071	0.0	8.339282546112235e-08	0.0
CLDN4	0.1770131492506573	0.0	8.339282546112235e-08	0.0
NANS	0.1754313202061985	0.0	8.339282546112235e-08	0.0
PPP1R1B	0.1741617272501802	0.0	8.339282546112235e-08	0.0
SPINT2	0.1736805934189808	0.0	8.339282546112235e-08	0.0
S100A10	0.1736062845535284	0.0	8.339282546112235e-08	0.0
GPR15LG	0.1726340346206137	0.0	8.339282546112235e-08	0.0
FAM3D	0.172425858866425	0.0	8.339282546112235e-08	0.0
ATP5PD	0.1721367598205493	0.0	8.339282546112235e-08	0.0
UQCRQ	0.1690492627611024	0.0	8.339282546112235e-08	0.0
S100A14	0.1690215359477707	0.0	8.339282546112235e-08	0.0
ECHS1	0.1685589896118284	0.0	8.339282546112235e-08	0.0
ATP5PO	0.1681828276709743	0.0	8.339282546112235e-08	0.0
SUCLG1	0.1679578824470724	0.0	8.339282546112235e-08	0.0
TMEM54	0.167865833509791	0.0	8.339282546112235e-08	0.0
PDLIM1	0.1668851657454379	0.0	8.339282546112235e-08	0.0
ADH1C	0.1668483539212556	0.0	8.339282546112235e-08	0.0
GPX2	0.1665841538934303	0.0	8.339282546112235e-08	0.0
CDX1	0.1644468914198822	0.0	8.339282546112235e-08	0.0
CYC1	0.1632960955863022	0.0	8.339282546112235e-08	0.0
CD63	0.1628861401622389	0.0	8.339282546112235e-08	0.0
TMSB10	0.1618208484883593	0.0	8.339282546112235e-08	0.0
SRGN	0.1606957029145848	0.0	8.339282546112235e-08	0.0
SNHG29	0.1594488890147424	0.0	8.339282546112235e-08	0.0
ATP5MC2	0.1593469205286819	0.0	8.339282546112235e-08	0.0
COX8A	0.1591951400742326	0.0	8.339282546112235e-08	0.0
PTPRC	0.159172268305297	0.0	8.339282546112235e-08	0.0
DBI	0.1590479737089332	0.0	8.339282546112235e-08	0.0
GOLM1	0.158821864479241	0.0	8.339282546112235e-08	0.0
GSTP1	0.1585688629269634	0.0	8.339282546112235e-08	0.0
S100A16	0.1580169578344629	0.0	8.339282546112235e-08	0.0
LEFTY1	0.1569116002461462	0.0	8.339282546112235e-08	0.0
SUCLG2	0.1558920635634586	0.0	8.339282546112235e-08	0.0
CXCR4	0.1554897243863098	0.0	8.339282546112235e-08	0.0
ARHGDIB	0.1550209546299257	0.0	8.339282546112235e-08	0.0
TIMM13	0.1547303845296139	0.0	8.339282546112235e-08	0.0
MAOA	0.1539719126971526	0.0	8.339282546112235e-08	0.0
UQCR10	0.1534239995231014	0.0	8.339282546112235e-08	0.0
NDUFB9	0.1530955678652817	0.0	8.339282546112235e-08	0.0
IL7R	0.1525620407152452	0.0	8.339282546112235e-08	0.0
ITM2C	0.1524211654448914	0.0	8.339282546112235e-08	0.0
DNPH1	0.1522310560421323	0.0	8.339282546112235e-08	0.0
COX7C	0.1510668204042621	0.0	8.339282546112235e-08	0.0
DSTN	0.1498480297423181	0.0	8.339282546112235e-08	0.0
PRELID1	0.149327675716431	0.0	8.339282546112235e-08	0.0
NXPE4	0.1492437301428781	0.0	8.339282546112235e-08	0.0
SYTL3	0.1489824981732727	0.0	8.339282546112235e-08	0.0
COX7A2	0.1476110630672124	0.0	8.339282546112235e-08	0.0
UQCRC1	0.1466367197986995	0.0	8.339282546112235e-08	0.0
COA3	0.1465970557418172	0.0	8.339282546112235e-08	0.0
RPL8	0.1456615662246462	0.0	8.339282546112235e-08	0.0
RPL23	0.1454846545499032	0.0	8.339282546112235e-08	0.0
CREM	0.1453978682385432	0.0	8.339282546112235e-08	0.0
MGST3	0.1453827199747226	0.0	8.339282546112235e-08	0.0
