Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.1311284541293062	0.0	1.2108615287287338e-07	0.0
TSPAN8	0.1224672900227436	0.0	1.2108615287287338e-07	0.0
ATP5MC1	0.1223852094012562	0.0	1.2108615287287338e-07	0.0
CD24	0.1211637977473729	0.0	1.2108615287287338e-07	0.0
AGR2	0.1202305676726827	0.0	1.2108615287287338e-07	0.0
PPP1R1B	0.1190430767144111	0.0	1.2108615287287338e-07	0.0
AGR3	0.1185428781987742	0.0	1.2108615287287338e-07	0.0
ADH1C	0.1136426682455074	0.0	1.2108615287287338e-07	0.0
GPX2	0.1118821397378058	0.0	1.2108615287287338e-07	0.0
PDLIM1	0.1095426968468762	0.0	1.2108615287287338e-07	0.0
SPINT2	0.1095277313818798	0.0	1.2108615287287338e-07	0.0
LEFTY1	0.1088862636211947	0.0	1.2108615287287338e-07	0.0
PIGR	0.1081717016234709	0.0	1.2108615287287338e-07	0.0
TSPO	0.1074944441086996	0.0	1.2108615287287338e-07	0.0
HMGCS2	0.1064833219315757	0.0	1.2108615287287338e-07	0.0
EPCAM	0.1053402716194223	0.0	1.2108615287287338e-07	0.0
LGALS4	0.1028545923642542	0.0	1.2108615287287338e-07	0.0
UGT2B17	0.1025956988173668	0.0	1.2108615287287338e-07	0.0
LGALS3	0.1022929852028825	0.0	1.2108615287287338e-07	0.0
C15orf48	0.0991923726475935	0.0	1.2108615287287338e-07	0.0
S100A14	0.0956580146907885	0.0	1.2108615287287338e-07	0.0
AKR1C3	0.0949633916518562	0.0	1.2108615287287338e-07	0.0
FAM3D	0.0943844831656356	0.0	1.2108615287287338e-07	0.0
FCGRT	0.0943497318333277	0.0	1.2108615287287338e-07	0.0
KRT18	0.0923782598409082	0.0	1.2108615287287338e-07	0.0
KRTCAP3	0.0919549787352087	0.0	1.2108615287287338e-07	0.0
TMEM141	0.0913761009456615	0.0	1.2108615287287338e-07	0.0
KLF5	0.0905966098603815	0.0	1.2108615287287338e-07	0.0
S100A16	0.0879360956277279	0.0	1.2108615287287338e-07	0.0
FXYD3	0.0877604555418782	0.0	1.2108615287287338e-07	0.0
TMEM98	0.0873651024598505	0.0	1.2108615287287338e-07	0.0
SRGN	0.0873152202756332	0.0	1.2108615287287338e-07	0.0
CLDN3	0.0861400293172932	0.0	1.2108615287287338e-07	0.0
UQCRC1	0.0858067766309748	0.0	1.2108615287287338e-07	0.0
CLDN4	0.0853189316239776	0.0	1.2108615287287338e-07	0.0
RAB25	0.0851501165289538	0.0	1.2108615287287338e-07	0.0
PRDX5	0.084547890424265	0.0	1.2108615287287338e-07	0.0
GOLM1	0.0841797663512396	0.0	1.2108615287287338e-07	0.0
TCEA3	0.0837108413260136	0.0	1.2108615287287338e-07	0.0
KRT8	0.0835835526092134	0.0	1.2108615287287338e-07	0.0
CXCR4	0.0833164733890297	0.0	1.2108615287287338e-07	0.0
GPR15LG	0.0831965771766293	0.0	1.2108615287287338e-07	0.0
CDX1	0.0796289965682892	0.0	1.2108615287287338e-07	0.0
SUCLG1	0.0792088912066242	0.0	1.2108615287287338e-07	0.0
CMBL	0.0791517916747302	0.0	1.2108615287287338e-07	0.0
TXN	0.0778927319841448	0.0	1.2108615287287338e-07	0.0
MAOA	0.0774654801304086	0.0	1.2108615287287338e-07	0.0
B3GNT7	0.0772084891524371	0.0	1.2108615287287338e-07	0.0
SPINK1	0.0768689767821987	0.0	1.2108615287287338e-07	0.0
RPL29P4	0.0767951562669664	0.0	1.2108615287287338e-07	0.0
TMEM54	0.0765509250029658	0.0	1.2108615287287338e-07	0.0
PTPRC	0.0764688348931795	0.0	1.2108615287287338e-07	0.0
LGALS9	0.0763038594886694	0.0	1.2108615287287338e-07	0.0
CLDN7	0.0757120061006734	0.0	1.2108615287287338e-07	0.0
ECHS1	0.0753329214848934	0.0	1.2108615287287338e-07	0.0
BTG1	0.0752769582574462	0.0	1.2108615287287338e-07	0.0
IL7R	0.0752324215896688	0.0	1.2108615287287338e-07	0.0
ARHGDIB	0.075069487002249	0.0	1.2108615287287338e-07	0.0
MDH2	0.0748044972013977	0.0	1.2108615287287338e-07	0.0
MGST2	0.0748022958604928	0.0	1.2108615287287338e-07	0.0
DECR1	0.0744576263434903	0.0	1.2108615287287338e-07	0.0
LGALS3BP	0.0739717628673999	0.0	1.2108615287287338e-07	0.0
NXPE4	0.0739526575236324	0.0	1.2108615287287338e-07	0.0
ACTG1	0.0739019413217504	0.0	1.2108615287287338e-07	0.0
CKMT1B	0.0737336306539146	0.0	1.2108615287287338e-07	0.0
SYTL3	0.0735696555583196	0.0	1.2108615287287338e-07	0.0
MGST1	0.0734467668056291	0.0	1.2108615287287338e-07	0.0
COX6C	0.0732450277022976	0.0	1.2108615287287338e-07	0.0
COA3	0.0731516558994818	0.0	1.2108615287287338e-07	0.0
ITM2C	0.0729835777585054	0.0	1.2108615287287338e-07	0.0
LAMTOR4	0.0729107013387183	0.0	1.2108615287287338e-07	0.0
ATP5PF	0.0721382280089183	0.0	1.2108615287287338e-07	0.0
CTTN	0.0719841846669194	0.0	1.2108615287287338e-07	0.0
NDUFB5	0.0718901343984784	0.0	1.2108615287287338e-07	0.0
PPA2	0.0714884138622244	0.0	1.2108615287287338e-07	0.0
ETHE1	0.0714424026401963	0.0	1.2108615287287338e-07	0.0
COX5A	0.0714129840843132	0.0	1.2108615287287338e-07	0.0
SMAP2	0.0712309186052031	0.0	1.2108615287287338e-07	0.0
RPL10P9	0.0709161973177244	0.0	1.2108615287287338e-07	0.0
PRSS3	0.0707110225430614	0.0	1.2108615287287338e-07	0.0
TSPAN3	0.0706205502900237	0.0	1.2108615287287338e-07	0.0
ATP5F1C	0.0705663610803767	0.0	1.2108615287287338e-07	0.0
TST	0.0704932293392913	0.0	1.2108615287287338e-07	0.0
CYC1	0.0704193757269942	0.0	1.2108615287287338e-07	0.0
CHP2	0.0697608478390462	0.0	1.2108615287287338e-07	0.0
DDX24	0.0696787483644273	0.0	1.2108615287287338e-07	0.0
NANS	0.0695308284614366	0.0	1.2108615287287338e-07	0.0
DNPH1	0.0694793731023859	0.0	1.2108615287287338e-07	0.0
CDX2	0.0693207360974836	0.0	1.2108615287287338e-07	0.0
TSC22D1	0.0689130625208232	0.0	1.2108615287287338e-07	0.0
KRT19	0.0686933671808444	0.0	1.2108615287287338e-07	0.0
CREM	0.06852164529077	0.0	1.2108615287287338e-07	0.0
DSG2	0.0684391731403986	0.0	1.2108615287287338e-07	0.0
PRDX3	0.0680329186384434	0.0	1.2108615287287338e-07	0.0
PPP1R14D	0.067873656026882	0.0	1.2108615287287338e-07	0.0
CDH1	0.0676882298135204	0.0	1.2108615287287338e-07	0.0
SCP2	0.0675005637931616	0.0	1.2108615287287338e-07	0.0
FAM162A	0.0673646624268387	0.0	1.2108615287287338e-07	0.0
ATP8B1	0.0669568745643107	0.0	1.2108615287287338e-07	0.0
S100A6	0.0669486035354486	0.0	1.2108615287287338e-07	0.0
TNFAIP3	0.0666778604155389	0.0	1.2108615287287338e-07	0.0
ACAT1	0.066284838350335	0.0	1.2108615287287338e-07	0.0
SQOR	0.0661680524907714	0.0	1.2108615287287338e-07	0.0
ATP5MC3	0.0661405680153504	0.0	1.2108615287287338e-07	0.0
ARL4C	0.0659476964125434	0.0	1.2108615287287338e-07	0.0
SLC1A1	0.0657210378962092	0.0	1.2108615287287338e-07	0.0
CD3D	0.0656384778451299	0.0	1.2108615287287338e-07	0.0
TSPAN6	0.065204504532576	0.0	1.2108615287287338e-07	0.0
CD63	0.0649000724248377	0.0	1.2108615287287338e-07	0.0
COX5B	0.064740202383323	0.0	1.2108615287287338e-07	0.0
DCTPP1	0.0646406994710446	0.0	1.2108615287287338e-07	0.0
CES2	0.0643422376875392	0.0	1.2108615287287338e-07	0.0
CA2	0.0641044245555376	0.0	1.2108615287287338e-07	0.0
PPIC	0.0638143005973173	0.0	1.2108615287287338e-07	0.0
GGH	0.0637353474833242	0.0	1.2108615287287338e-07	0.0
SAMSN1	0.063070516651882	0.0	1.2108615287287338e-07	0.0
PXMP2	0.0621743083526316	0.0	1.2108615287287338e-07	0.0
CD44	0.0619876062593044	0.0	1.2108615287287338e-07	0.0
LRATD1	0.0616754970227143	0.0	1.2108615287287338e-07	0.0
ST6GALNAC1	0.0615438277038042	0.0	1.2108615287287338e-07	0.0
RBM47	0.0615075577845208	0.0	1.2108615287287338e-07	0.0
PSMB5	0.0614919900571493	0.0	1.2108615287287338e-07	0.0
SDHB	0.0614793930208294	0.0	1.2108615287287338e-07	0.0
MT1E	0.0611263201894192	0.0	1.2108615287287338e-07	0.0
SDHD	0.0610539559239189	0.0	1.2108615287287338e-07	0.0
