Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.3996135940730245	0.0	7.513546033314771e-08	0.0
ACTG1	0.2940394753143967	0.0	7.513546033314771e-08	0.0
PPP1R1B	0.2922020700320221	0.0	7.513546033314771e-08	0.0
TXN	0.2805169078913454	0.0	7.513546033314771e-08	0.0
TSPO	0.2796225531247822	0.0	7.513546033314771e-08	0.0
CD24	0.2742318245748177	0.0	7.513546033314771e-08	0.0
PRDX5	0.2717924438087753	0.0	7.513546033314771e-08	0.0
LGALS4	0.2690389161948995	0.0	7.513546033314771e-08	0.0
MARCKS	0.267616108427728	0.0	7.513546033314771e-08	0.0
ATP5MC1	0.2669887852109994	0.0	7.513546033314771e-08	0.0
DBI	0.2657977554883204	0.0	7.513546033314771e-08	0.0
ATP1B1	0.2652181409477911	0.0	7.513546033314771e-08	0.0
KLF5	0.2644685080580934	0.0	7.513546033314771e-08	0.0
LGALS3	0.262372378997154	0.0	7.513546033314771e-08	0.0
COX5A	0.2614203443238603	0.0	7.513546033314771e-08	0.0
PEBP1	0.2589614682073191	0.0	7.513546033314771e-08	0.0
TSPAN8	0.2585275301433052	0.0	7.513546033314771e-08	0.0
UGT2B17	0.2540557897017215	0.0	7.513546033314771e-08	0.0
SRGN	0.2532141113564083	0.0	7.513546033314771e-08	0.0
ATP5MC3	0.2531328619055653	0.0	7.513546033314771e-08	0.0
ACTB	0.2527715071699239	0.0	7.513546033314771e-08	0.0
MT1E	0.2507322007861423	0.0	7.513546033314771e-08	0.0
PTPRC	0.2506729213921775	0.0	7.513546033314771e-08	0.0
PIGR	0.2493232959287289	0.0	7.513546033314771e-08	0.0
COX5B	0.2473297161064374	0.0	7.513546033314771e-08	0.0
EPCAM	0.2471424792025542	0.0	7.513546033314771e-08	0.0
TMEM141	0.2461498969037046	0.0	7.513546033314771e-08	0.0
SYTL3	0.2427984360930719	0.0	7.513546033314771e-08	0.0
TMSB10	0.2413955202812373	0.0	7.513546033314771e-08	0.0
CXCR4	0.2411941832307864	0.0	7.513546033314771e-08	0.0
CFL1	0.238977877371607	0.0	7.513546033314771e-08	0.0
HMGCS2	0.2378501283018158	0.0	7.513546033314771e-08	0.0
S100A10	0.2372274267079719	0.0	7.513546033314771e-08	0.0
COX6C	0.2369462307758823	0.0	7.513546033314771e-08	0.0
ARHGDIB	0.2359472543561277	0.0	7.513546033314771e-08	0.0
AGR2	0.2349049480031522	0.0	7.513546033314771e-08	0.0
RPL29P4	0.2315925818666361	0.0	7.513546033314771e-08	0.0
LEFTY1	0.2315651930253252	0.0	7.513546033314771e-08	0.0
PPIA	0.2298730992082225	0.0	7.513546033314771e-08	0.0
GSTP1	0.2298572122749441	0.0	7.513546033314771e-08	0.0
IL7R	0.2298186151385916	0.0	7.513546033314771e-08	0.0
AGR3	0.2297101902349983	0.0	7.513546033314771e-08	0.0
COX8A	0.2268802840528085	0.0	7.513546033314771e-08	0.0
CDX1	0.2254740730348357	0.0	7.513546033314771e-08	0.0
SPINT2	0.2245880010176324	0.0	7.513546033314771e-08	0.0
CLDN4	0.2240105630831214	0.0	7.513546033314771e-08	0.0
ITM2C	0.2236236197081338	0.0	7.513546033314771e-08	0.0
ECHS1	0.2229845282007088	0.0	7.513546033314771e-08	0.0
CD3D	0.2222461831652742	0.0	7.513546033314771e-08	0.0
SUCLG1	0.2217018326531355	0.0	7.513546033314771e-08	0.0
HSPE1	0.2205008533140687	0.0	7.513546033314771e-08	0.0
COX6A1	0.2204399225791452	0.0	7.513546033314771e-08	0.0
SUCLG2	0.220238408394826	0.0	7.513546033314771e-08	0.0
CD3E	0.2197321390570599	0.0	7.513546033314771e-08	0.0
GPX2	0.2191051056281413	0.0	7.513546033314771e-08	0.0
UQCR10	0.2186614111610223	0.0	7.513546033314771e-08	0.0
ATP5PF	0.218651704484955	0.0	7.513546033314771e-08	0.0
RPL10P9	0.2186113883226565	0.0	7.513546033314771e-08	0.0
NDUFA4	0.2180234438622517	0.0	7.513546033314771e-08	0.0
CYC1	0.2176403829925162	0.0	7.513546033314771e-08	0.0
S100A14	0.2168288267369834	0.0	7.513546033314771e-08	0.0
MGST3	0.2165379014143275	0.0	7.513546033314771e-08	0.0
MLEC	0.2153855596080699	0.0	7.513546033314771e-08	0.0
CLDN3	0.2144514382118492	0.0	7.513546033314771e-08	0.0
ADH1C	0.2143955673571851	0.0	7.513546033314771e-08	0.0
HSPA1B	0.2143220754832306	0.0	7.513546033314771e-08	0.0
ATP5PO	0.213529320943335	0.0	7.513546033314771e-08	0.0
RPS26	0.2133739456418294	0.0	7.513546033314771e-08	0.0
CREM	0.2094404704252417	0.0	7.513546033314771e-08	0.0
CYTIP	0.2088248396439487	0.0	7.513546033314771e-08	0.0
UQCRH	0.2081399347519252	0.0	7.513546033314771e-08	0.0
RPL23	0.2075678310564672	0.0	7.513546033314771e-08	0.0
SCP2	0.2059520663290133	0.0	7.513546033314771e-08	0.0
FAM162A	0.2055848116597434	0.0	7.513546033314771e-08	0.0
NET1	0.2053800297175893	0.0	7.513546033314771e-08	0.0
GOLM1	0.2048162407234528	0.0	7.513546033314771e-08	0.0
NDUFB9	0.2035934470383503	0.0	7.513546033314771e-08	0.0
ATP5MC2	0.203427730297541	0.0	7.513546033314771e-08	0.0
GLIPR1	0.2029783716871655	0.0	7.513546033314771e-08	0.0
RGS1	0.2025551252341445	0.0	7.513546033314771e-08	0.0
PHB1	0.2024977792698301	0.0	7.513546033314771e-08	0.0
SMAP2	0.2023716812448899	0.0	7.513546033314771e-08	0.0
MDH2	0.202307317597513	0.0	7.513546033314771e-08	0.0
MPC2	0.2021962200983834	0.0	7.513546033314771e-08	0.0
ATP5PD	0.2009904568006716	0.0	7.513546033314771e-08	0.0
PRDX3	0.2005170828256808	0.0	7.513546033314771e-08	0.0
RPS9	0.2003054241915616	0.0	7.513546033314771e-08	0.0
H3-3A	0.2002006117619527	0.0	7.513546033314771e-08	0.0
NANS	0.1994821967350936	0.0	7.513546033314771e-08	0.0
GAPDH	0.1991839441385712	0.0	7.513546033314771e-08	0.0
COX7A2	0.1983585481179911	0.0	7.513546033314771e-08	0.0
S100A16	0.1976891365312372	0.0	7.513546033314771e-08	0.0
CD7	0.1975774452160058	0.0	7.513546033314771e-08	0.0
RAC1	0.1974340448879713	0.0	7.513546033314771e-08	0.0
ATP5F1C	0.1966207245747554	0.0	7.513546033314771e-08	0.0
ATP5F1A	0.1964446621242201	0.0	7.513546033314771e-08	0.0
SNHG29	0.1964104915216186	0.0	7.513546033314771e-08	0.0
DSG2	0.1962494149019358	0.0	7.513546033314771e-08	0.0
GPR15LG	0.196248441729405	0.0	7.513546033314771e-08	0.0
COA3	0.1961151361860062	0.0	7.513546033314771e-08	0.0
ETFB	0.1959245090436261	0.0	7.513546033314771e-08	0.0
CDX2	0.1955163892364607	0.0	7.513546033314771e-08	0.0
SELENOW	0.1954764224332448	0.0	7.513546033314771e-08	0.0
SAMSN1	0.1950902414578437	0.0	7.513546033314771e-08	0.0
NDUFAB1	0.1948691847171376	0.0	7.513546033314771e-08	0.0
COX4I1	0.1944536290374026	0.0	7.513546033314771e-08	0.0
UQCRC2	0.1941788186350729	0.0	7.513546033314771e-08	0.0
TIMM13	0.1938974804222535	0.0	7.513546033314771e-08	0.0
MAOA	0.1938540983758996	0.0	7.513546033314771e-08	0.0
PRDX2	0.1928347451999582	0.0	7.513546033314771e-08	0.0
ATP5F1B	0.1926105567143201	0.0	7.513546033314771e-08	0.0
ATP8B1	0.1920854620563634	0.0	7.513546033314771e-08	0.0
KRT18	0.1920471914707257	0.0	7.513546033314771e-08	0.0
CALM2	0.1918585860937071	0.0	7.513546033314771e-08	0.0
TST	0.1915047240358956	0.0	7.513546033314771e-08	0.0
S100A6	0.1911531464063797	0.0	7.513546033314771e-08	0.0
KLRB1	0.1908401031995928	0.0	7.513546033314771e-08	0.0
IL32	0.1908222979184715	0.0	7.513546033314771e-08	0.0
DNPH1	0.1902902649388648	0.0	7.513546033314771e-08	0.0
CD96	0.1901038326958176	0.0	7.513546033314771e-08	0.0
MGST2	0.1895530218504991	0.0	7.513546033314771e-08	0.0
LAMTOR4	0.1894253024603031	0.0	7.513546033314771e-08	0.0
PHB2	0.189320001357201	0.0	7.513546033314771e-08	0.0
NRARP	0.1892453192321211	0.0	7.513546033314771e-08	0.0
TOB1	0.1889397422526005	0.0	7.513546033314771e-08	0.0
ATP5PB	0.1888418417610918	0.0	7.513546033314771e-08	0.0
UQCRQ	0.1884316866497514	0.0	7.513546033314771e-08	0.0
CCL5	0.1881222613265851	0.0	7.513546033314771e-08	0.0
NXPE4	0.1880747845273046	0.0	7.513546033314771e-08	0.0
ATP5MJ	0.1880676325763154	0.0	7.513546033314771e-08	0.0
HINT1	0.1877570701625509	0.0	7.513546033314771e-08	0.0
NDUFA12	0.1875969862312349	0.0	7.513546033314771e-08	0.0
ELF3	0.187385172246622	0.0	7.513546033314771e-08	0.0
RPL3	0.1870686871385501	0.0	7.513546033314771e-08	0.0
EVI2B	0.1868621483515674	0.0	7.513546033314771e-08	0.0
HSPA1A	0.1867098230000729	0.0	7.513546033314771e-08	0.0
PPDPF	0.1866735988030155	0.0	7.513546033314771e-08	0.0
PRXL2A	0.1865283004819585	0.0	7.513546033314771e-08	0.0
VIL1	0.1864676299498013	0.0	7.513546033314771e-08	0.0
NDUFB5	0.1863541849479295	0.0	7.513546033314771e-08	0.0
PDLIM1	0.1862685579561228	0.0	7.513546033314771e-08	0.0
CHCHD10	0.1856947642018273	0.0	7.513546033314771e-08	0.0
LINC-PINT	0.1851851698914227	0.0	7.513546033314771e-08	0.0
RAB25	0.185138892906504	0.0	7.513546033314771e-08	0.0
TCEA3	0.1851154519679788	0.0	7.513546033314771e-08	0.0
CHP2	0.1848524906989921	0.0	7.513546033314771e-08	0.0
MARCKSL1	0.1846752542730018	0.0	7.513546033314771e-08	0.0
C15orf48	0.1840563476967897	0.0	7.513546033314771e-08	0.0
ATP5MK	0.1839232224502489	0.0	7.513546033314771e-08	0.0
CLDN7	0.1838789684682895	0.0	7.513546033314771e-08	0.0
CD53	0.1838260088970684	0.0	7.513546033314771e-08	0.0
FCGRT	0.1834665842776121	0.0	7.513546033314771e-08	0.0
SERF2	0.1833863367465499	0.0	7.513546033314771e-08	0.0
MGST1	0.1828751620790651	0.0	7.513546033314771e-08	0.0
RPS18	0.1828187944214044	0.0	7.513546033314771e-08	0.0
EEF1A1	0.1824850483903212	0.0	7.513546033314771e-08	0.0
DSTN	0.1823745463034594	0.0	7.513546033314771e-08	0.0
RPL8	0.1822913906597002	0.0	7.513546033314771e-08	0.0
ARL4C	0.1822332311247786	0.0	7.513546033314771e-08	0.0
CDC42EP5	0.1820715161262821	0.0	7.513546033314771e-08	0.0
RPS6	0.1815540493596859	0.0	7.513546033314771e-08	0.0
CYCS	0.1811692703146173	0.0	7.513546033314771e-08	0.0
SQOR	0.1810501320550517	0.0	7.513546033314771e-08	0.0
SLC44A1	0.1803148530965961	0.0	7.513546033314771e-08	0.0
IMPA2	0.180084241259635	0.0	7.513546033314771e-08	0.0
FYN	0.1800232304664373	0.0	7.513546033314771e-08	0.0
FXYD3	0.1799787584069195	0.0	7.513546033314771e-08	0.0
ALDH2	0.1794387277708538	0.0	7.513546033314771e-08	0.0
RACK1	0.1793526301885477	0.0	7.513546033314771e-08	0.0
SLC25A5	0.1788772256950837	0.0	7.513546033314771e-08	0.0
TMEM59	0.1785734500260117	0.0	7.513546033314771e-08	0.0
TPI1	0.1785055814795686	0.0	7.513546033314771e-08	0.0
NDUFB10	0.1783943557068324	0.0	7.513546033314771e-08	0.0
CMBL	0.1781065277397654	0.0	7.513546033314771e-08	0.0
RPL13A	0.1780203249416708	0.0	7.513546033314771e-08	0.0
COX6B1	0.1778810236859996	0.0	7.513546033314771e-08	0.0
YBX1	0.1778483776236309	0.0	7.513546033314771e-08	0.0
ETHE1	0.1775462736179939	0.0	7.513546033314771e-08	0.0
DMAC1	0.1774687549207838	0.0	7.513546033314771e-08	0.0
NDUFA10	0.1772659600003631	0.0	7.513546033314771e-08	0.0
CD2	0.1772177104329414	0.0	7.513546033314771e-08	0.0
PHGR1	0.1769972408754293	0.0	7.513546033314771e-08	0.0
PTPRF	0.1760900912405297	0.0	7.513546033314771e-08	0.0
SDHD	0.1759422243121153	0.0	7.513546033314771e-08	0.0
FNBP1	0.1757972404077573	0.0	7.513546033314771e-08	0.0
TSC22D1	0.1757284786163821	0.0	7.513546033314771e-08	0.0
RPS11	0.1757281274366594	0.0	7.513546033314771e-08	0.0
HADH	0.1755527973694961	0.0	7.513546033314771e-08	0.0
TNFAIP3	0.1753501281925	0.0	7.513546033314771e-08	0.0
SRI	0.1751526124460712	0.0	7.513546033314771e-08	0.0
RPL15	0.1749790029515097	0.0	7.513546033314771e-08	0.0
RPL18A	0.1744776606869417	0.0	7.513546033314771e-08	0.0
PDE4B	0.1743646435709803	0.0	7.513546033314771e-08	0.0
KRT8	0.1738405886838089	0.0	7.513546033314771e-08	0.0
RBM47	0.1738393624738271	0.0	7.513546033314771e-08	0.0
CAMK2N1	0.17380922672308	0.0	7.513546033314771e-08	0.0
STK17B	0.1737276606244416	0.0	7.513546033314771e-08	0.0
MPST	0.1736846750796202	0.0	7.513546033314771e-08	0.0
