Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.5307601708853228	0.0	1.1798920438816552e-07	0.0
PPP1R1B	0.4841473580432857	0.0	1.1798920438816552e-07	0.0
TXN	0.4820183785523083	0.0	1.1798920438816552e-07	0.0
UGT2B17	0.4659746708796322	0.0	1.1798920438816552e-07	0.0
PRDX5	0.4614497807854879	0.0	1.1798920438816552e-07	0.0
ATP5MC1	0.4567561642726018	0.0	1.1798920438816552e-07	0.0
TSPAN8	0.4534545436098432	0.0	1.1798920438816552e-07	0.0
COX5A	0.4525356287961663	0.0	1.1798920438816552e-07	0.0
CD24	0.4504797433123311	0.0	1.1798920438816552e-07	0.0
RPL29P4	0.4499003261011889	0.0	1.1798920438816552e-07	0.0
ATP5MC3	0.4454409367987318	0.0	1.1798920438816552e-07	0.0
ADH1C	0.4413525755508147	0.0	1.1798920438816552e-07	0.0
LEFTY1	0.4407193101619621	0.0	1.1798920438816552e-07	0.0
TSPO	0.4337977780727654	0.0	1.1798920438816552e-07	0.0
RPL10P9	0.4325240939853648	0.0	1.1798920438816552e-07	0.0
ACTG1	0.4297595395049027	0.0	1.1798920438816552e-07	0.0
PIGR	0.4160322507397336	0.0	1.1798920438816552e-07	0.0
MT1E	0.4160104277438087	0.0	1.1798920438816552e-07	0.0
LGALS4	0.4144323136270572	0.0	1.1798920438816552e-07	0.0
HMGCS2	0.4105806809163324	0.0	1.1798920438816552e-07	0.0
KLF5	0.4093097018608895	0.0	1.1798920438816552e-07	0.0
DBI	0.4070765505986632	0.0	1.1798920438816552e-07	0.0
PEBP1	0.4056807394104045	0.0	1.1798920438816552e-07	0.0
LGALS3	0.4051877171684884	0.0	1.1798920438816552e-07	0.0
AGR2	0.4022358055828612	0.0	1.1798920438816552e-07	0.0
SUCLG1	0.3993101774154178	0.0	1.1798920438816552e-07	0.0
MGST1	0.3975982756076736	0.0	1.1798920438816552e-07	0.0
GPX2	0.3956208148826122	0.0	1.1798920438816552e-07	0.0
ATP5PO	0.3950929208990109	0.0	1.1798920438816552e-07	0.0
UQCRH	0.3949011316704012	0.0	1.1798920438816552e-07	0.0
PPIA	0.393982043845845	0.0	1.1798920438816552e-07	0.0
SPINT2	0.3937627599344185	0.0	1.1798920438816552e-07	0.0
SNHG29	0.3923507135238079	0.0	1.1798920438816552e-07	0.0
COX6C	0.3908739006873183	0.0	1.1798920438816552e-07	0.0
CDX2	0.3908038444099069	0.0	1.1798920438816552e-07	0.0
SUCLG2	0.3903154864308665	0.0	1.1798920438816552e-07	0.0
MGST3	0.3901907154698549	0.0	1.1798920438816552e-07	0.0
AGR3	0.389987425896984	0.0	1.1798920438816552e-07	0.0
ECHS1	0.3887127661253562	0.0	1.1798920438816552e-07	0.0
CDX1	0.387048410191245	0.0	1.1798920438816552e-07	0.0
ATP5MC2	0.3865685728812637	0.0	1.1798920438816552e-07	0.0
ATP5F1A	0.3848595312542586	0.0	1.1798920438816552e-07	0.0
GSTP1	0.3831199303363805	0.0	1.1798920438816552e-07	0.0
TMEM141	0.3815091046278601	0.0	1.1798920438816552e-07	0.0
RPS26	0.3814609793117021	0.0	1.1798920438816552e-07	0.0
ATP5F1B	0.3803427496010629	0.0	1.1798920438816552e-07	0.0
EPCAM	0.3790837355494983	0.0	1.1798920438816552e-07	0.0
ATP5PB	0.3789620500334902	0.0	1.1798920438816552e-07	0.0
MDH2	0.3782744556323676	0.0	1.1798920438816552e-07	0.0
MARCKS	0.3765555140387987	0.0	1.1798920438816552e-07	0.0
NDUFA4	0.3761855230299519	0.0	1.1798920438816552e-07	0.0
PHB2	0.376029172776692	0.0	1.1798920438816552e-07	0.0
CYC1	0.3758590137541142	0.0	1.1798920438816552e-07	0.0
MLEC	0.3742272528475112	0.0	1.1798920438816552e-07	0.0
NDUFAB1	0.3741779253257851	0.0	1.1798920438816552e-07	0.0
COX5B	0.3729480281845382	0.0	1.1798920438816552e-07	0.0
COX8A	0.3724329562090862	0.0	1.1798920438816552e-07	0.0
MPC2	0.3705855953425168	0.0	1.1798920438816552e-07	0.0
FAM162A	0.366104397606699	0.0	1.1798920438816552e-07	0.0
ATP5F1C	0.3658890167114199	0.0	1.1798920438816552e-07	0.0
PHB1	0.3653095600678877	0.0	1.1798920438816552e-07	0.0
PRDX3	0.3645031372226646	0.0	1.1798920438816552e-07	0.0
S100A14	0.3636672905568992	0.0	1.1798920438816552e-07	0.0
