Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD24	0.1813866219906116	0.0	1.290616905620767e-07	0.0
LGALS4	0.1765547076447815	0.0	1.290616905620767e-07	0.0
TSPAN8	0.1738945829794758	0.0	1.290616905620767e-07	0.0
EPCAM	0.169441736230743	0.0	1.290616905620767e-07	0.0
PIGR	0.1679388304246621	0.0	1.290616905620767e-07	0.0
LGALS3	0.1578645775599271	0.0	1.290616905620767e-07	0.0
C15orf48	0.1519143637003434	0.0	1.290616905620767e-07	0.0
ATP5MC3	0.1487107260877824	0.0	1.290616905620767e-07	0.0
CLDN3	0.1445052949960616	0.0	1.290616905620767e-07	0.0
CDX1	0.1442022822160636	0.0	1.290616905620767e-07	0.0
TSPO	0.1431038119608883	0.0	1.290616905620767e-07	0.0
ATP5MC1	0.1427503355718039	0.0	1.290616905620767e-07	0.0
UGT2B17	0.1418876276843339	0.0	1.290616905620767e-07	0.0
S100A14	0.1412421186878886	0.0	1.290616905620767e-07	0.0
ITM2C	0.1410647593368278	0.0	1.290616905620767e-07	0.0
CLDN4	0.1409651645961589	0.0	1.290616905620767e-07	0.0
KLF5	0.1404164958861846	0.0	1.290616905620767e-07	0.0
AGR3	0.1388236054100576	0.0	1.290616905620767e-07	0.0
KRT8	0.1377228155528444	0.0	1.290616905620767e-07	0.0
TMEM141	0.1377112749988045	0.0	1.290616905620767e-07	0.0
FXYD3	0.1370386347963519	0.0	1.290616905620767e-07	0.0
AGR2	0.1362209660099605	0.0	1.290616905620767e-07	0.0
COX5B	0.134357743292079	0.0	1.290616905620767e-07	0.0
COX5A	0.1331363323970646	0.0	1.290616905620767e-07	0.0
SPINT2	0.1328739210636751	0.0	1.290616905620767e-07	0.0
PRDX5	0.1327844554307008	0.0	1.290616905620767e-07	0.0
COX6C	0.1315851695970055	0.0	1.290616905620767e-07	0.0
HMGCS2	0.13079187595011	0.0	1.290616905620767e-07	0.0
CLDN7	0.1307176142254084	0.0	1.290616905620767e-07	0.0
KRT18	0.1296669722822741	0.0	1.290616905620767e-07	0.0
GOLM1	0.1295257968831464	0.0	1.290616905620767e-07	0.0
GPR15LG	0.1264038400494757	0.0	1.290616905620767e-07	0.0
FAM3D	0.1255712705016791	0.0	1.290616905620767e-07	0.0
TXN	0.1240918856802482	0.0	1.290616905620767e-07	0.0
TST	0.1240909907537215	0.0	1.290616905620767e-07	0.0
PHGR1	0.1225460788555743	0.0	1.290616905620767e-07	0.0
PPP1R1B	0.1223344095343596	0.0	1.290616905620767e-07	0.0
ELF3	0.1214895712590039	0.0	1.290616905620767e-07	0.0
CD9	0.1204149386182243	0.0	1.290616905620767e-07	0.0
SRGN	0.1197010794616163	0.0	1.290616905620767e-07	0.0
LEFTY1	0.1196210426040836	0.0	1.290616905620767e-07	0.0
GPX2	0.1186595959425239	0.0	1.290616905620767e-07	0.0
FAM162A	0.1184642297484643	0.0	1.290616905620767e-07	0.0
KRT19	0.1184239188476084	0.0	1.290616905620767e-07	0.0
DSP	0.1170922643154313	0.0	1.290616905620767e-07	0.0
TMEM54	0.116774420155001	0.0	1.290616905620767e-07	0.0
RPL10P9	0.1164332362801568	0.0	1.290616905620767e-07	0.0
DSG2	0.1153431815446143	0.0	1.290616905620767e-07	0.0
UQCRQ	0.1141976919211426	0.0	1.290616905620767e-07	0.0
RPL29P4	0.1128253353115414	0.0	1.290616905620767e-07	0.0
NANS	0.1119121967417959	0.0	1.290616905620767e-07	0.0
COX6A1	0.1118689691058564	0.0	1.290616905620767e-07	0.0
SRI	0.1116852999762988	0.0	1.290616905620767e-07	0.0
COX8A	0.1108486286951878	0.0	1.290616905620767e-07	0.0
PTPRC	0.1096484779688085	0.0	1.290616905620767e-07	0.0
COX4I1	0.1089281741249182	0.0	1.290616905620767e-07	0.0
AKR1C3	0.1080686571507689	0.0	1.290616905620767e-07	0.0
TNFAIP3	0.1067118283551856	0.0	1.290616905620767e-07	0.0
PDLIM1	0.1059171353319639	0.0	1.290616905620767e-07	0.0
ATP5PF	0.105722959205096	0.0	1.290616905620767e-07	0.0
UQCR10	0.1056967973328024	0.0	1.290616905620767e-07	0.0
CAMK2N1	0.1049665214644572	0.0	1.290616905620767e-07	0.0
CES2	0.1049639631923146	0.0	1.290616905620767e-07	0.0
SUCLG2	0.104862577933679	0.0	1.290616905620767e-07	0.0
IL7R	0.1045096957049722	0.0	1.290616905620767e-07	0.0
CDH1	0.1040268614075175	0.0	1.290616905620767e-07	0.0
SYTL3	0.1038344517207295	0.0	1.290616905620767e-07	0.0
ACTG1	0.1028970184492923	0.0	1.290616905620767e-07	0.0
COX6B1	0.1028151289783366	0.0	1.290616905620767e-07	0.0
TSPYL2	0.1027984973914094	0.0	1.290616905620767e-07	0.0
RBM47	0.102783543568399	0.0	1.290616905620767e-07	0.0
CDH17	0.1025412159516845	0.0	1.290616905620767e-07	0.0
CREM	0.1025038956815814	0.0	1.290616905620767e-07	0.0
SMIM22	0.1022435128645215	0.0	1.290616905620767e-07	0.0
SUCLG1	0.1020900119706579	0.0	1.290616905620767e-07	0.0
PPP1R14D	0.101733327817957	0.0	1.290616905620767e-07	0.0
TCEA3	0.1017104589643052	0.0	1.290616905620767e-07	0.0
ARHGDIB	0.1016276825372635	0.0	1.290616905620767e-07	0.0
CXCR4	0.1016093415759945	0.0	1.290616905620767e-07	0.0
CDC42EP5	0.1015950882831285	0.0	1.290616905620767e-07	0.0
S100A16	0.101214448920183	0.0	1.290616905620767e-07	0.0
CHCHD10	0.1007346793625998	0.0	1.290616905620767e-07	0.0
S100A10	0.1000090941570398	0.0	1.290616905620767e-07	0.0
ATP8B1	0.0995860099298498	0.0	1.290616905620767e-07	0.0
ETHE1	0.0995683629588886	0.0	1.290616905620767e-07	0.0
ATP5MJ	0.0993613893024817	0.0	1.290616905620767e-07	0.0
VIM	0.0993348709770389	0.0	1.290616905620767e-07	0.0
DSC2	0.0993029049928677	0.0	1.290616905620767e-07	0.0
SLC44A4	0.0985694861803944	0.0	1.290616905620767e-07	0.0
ADH1C	0.0985061722957397	0.0	1.290616905620767e-07	0.0
CYC1	0.0983297129448337	0.0	1.290616905620767e-07	0.0
NXPE4	0.0981856007795041	0.0	1.290616905620767e-07	0.0
UQCRH	0.0979663878599774	0.0	1.290616905620767e-07	0.0
VIL1	0.0975552712737056	0.0	1.290616905620767e-07	0.0
FYN	0.0973472825403091	0.0	1.290616905620767e-07	0.0
ATP5PD	0.0973323073610574	0.0	1.290616905620767e-07	0.0
PRSS3	0.0973032039096403	0.0	1.290616905620767e-07	0.0
NDUFB7	0.0971661832240153	0.0	1.290616905620767e-07	0.0
FCGRT	0.0970230204998943	0.0	1.290616905620767e-07	0.0
MAOA	0.0962190974302669	0.0	1.290616905620767e-07	0.0
LGALS9	0.0960257582931017	0.0	1.290616905620767e-07	0.0
