Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD9	0.2265326575208094	0.0	3.341323923958181e-07	0.0
NDUFB7	0.2182911771275457	0.0	3.341323923958181e-07	0.0
KRT18	0.2151232812525805	0.0	3.341323923958181e-07	0.0
TSPAN8	0.2108004181743777	0.0	3.341323923958181e-07	0.0
ATP5MC3	0.2107041932482913	0.0	3.341323923958181e-07	0.0
UGT2B17	0.2058530825787655	0.0	3.341323923958181e-07	0.0
EPCAM	0.2049566944083611	0.0	3.341323923958181e-07	0.0
PIGR	0.2045974070943805	0.0	3.341323923958181e-07	0.0
LGALS4	0.2036338836929501	0.0	3.341323923958181e-07	0.0
PPP1R1B	0.2036064438227436	0.0	3.341323923958181e-07	0.0
PTPRC	0.2013078050676527	0.0	3.341323923958181e-07	0.0
CXCR4	0.2010904702641597	0.0	3.341323923958181e-07	0.0
SRGN	0.1987633866800388	0.0	3.341323923958181e-07	0.0
ATP5MC1	0.1981834132582151	0.0	3.341323923958181e-07	0.0
ATP5F1D	0.1974882255833085	0.0	3.341323923958181e-07	0.0
ARHGDIB	0.1956914792081707	0.0	3.341323923958181e-07	0.0
CD24	0.194623982564767	0.0	3.341323923958181e-07	0.0
SYTL3	0.1932982198852076	0.0	3.341323923958181e-07	0.0
HMGCS2	0.1902826479682506	0.0	3.341323923958181e-07	0.0
IL7R	0.1858787475863804	0.0	3.341323923958181e-07	0.0
TSPO	0.1851963005783656	0.0	3.341323923958181e-07	0.0
ADH1C	0.1849954112856669	0.0	3.341323923958181e-07	0.0
RPL29P4	0.1849179590169884	0.0	3.341323923958181e-07	0.0
ATP1B1	0.1834460869124539	0.0	3.341323923958181e-07	0.0
COX5A	0.1833128858182792	0.0	3.341323923958181e-07	0.0
KLF5	0.1810171735914059	0.0	3.341323923958181e-07	0.0
LEFTY1	0.1778957900223252	0.0	3.341323923958181e-07	0.0
CD3D	0.1773035313107886	0.0	3.341323923958181e-07	0.0
CD3E	0.1771770684381629	0.0	3.341323923958181e-07	0.0
AGR2	0.1770126419811592	0.0	3.341323923958181e-07	0.0
LGALS3	0.1762655686465121	0.0	3.341323923958181e-07	0.0
PRDX5	0.1757068395289395	0.0	3.341323923958181e-07	0.0
SAMSN1	0.1726407952896211	0.0	3.341323923958181e-07	0.0
LINC-PINT	0.1722771710246394	0.0	3.341323923958181e-07	0.0
KRT8	0.1719113445756008	0.0	3.341323923958181e-07	0.0
DBI	0.171623815398124	0.0	3.341323923958181e-07	0.0
UQCRC1	0.1700888927040194	0.0	3.341323923958181e-07	0.0
TXN	0.1690449092415472	0.0	3.341323923958181e-07	0.0
RGS1	0.1689870720114218	0.0	3.341323923958181e-07	0.0
GPX2	0.1673354922733325	0.0	3.341323923958181e-07	0.0
S100A10	0.1641018495609814	0.0	3.341323923958181e-07	0.0
TMEM141	0.1634394950351861	0.0	3.341323923958181e-07	0.0
DNPH1	0.1631517108820538	0.0	3.341323923958181e-07	0.0
ECHS1	0.1628534903391673	0.0	3.341323923958181e-07	0.0
EVI2B	0.1626135060776853	0.0	3.341323923958181e-07	0.0
SPINT2	0.1617822285131932	0.0	3.341323923958181e-07	0.0
SUCLG1	0.1615394786864034	0.0	3.341323923958181e-07	0.0
C15orf48	0.1612443280583679	0.0	3.341323923958181e-07	0.0
CREM	0.1601177601514999	0.0	3.341323923958181e-07	0.0
AGR3	0.1599753624470857	0.0	3.341323923958181e-07	0.0
SCP2	0.1598040713920309	0.0	3.341323923958181e-07	0.0
GPR15LG	0.1595238195046854	0.0	3.341323923958181e-07	0.0
ITM2C	0.1594060629413292	0.0	3.341323923958181e-07	0.0
ARL4C	0.1577318763698602	0.0	3.341323923958181e-07	0.0
CYC1	0.1565119938533218	0.0	3.341323923958181e-07	0.0
NXPE4	0.15642741190383	0.0	3.341323923958181e-07	0.0
MT1E	0.1560544199350421	0.0	3.341323923958181e-07	0.0
GLIPR1	0.1558732864047785	0.0	3.341323923958181e-07	0.0
CDX2	0.154638962917522	0.0	3.341323923958181e-07	0.0
RPL10P9	0.15274453001643	0.0	3.341323923958181e-07	0.0
MDH2	0.1524559145334824	0.0	3.341323923958181e-07	0.0
CHP2	0.150724554238593	0.0	3.341323923958181e-07	0.0
MGST1	0.1507213712583417	0.0	3.341323923958181e-07	0.0
MARCKS	0.1506953372527112	0.0	3.341323923958181e-07	0.0
SMAP2	0.1506636171046503	0.0	3.341323923958181e-07	0.0
CD2	0.1505366638415074	0.0	3.341323923958181e-07	0.0
KLRB1	0.1499179499958226	0.0	3.341323923958181e-07	0.0
RUNX3	0.1498845580038743	0.0	3.341323923958181e-07	0.0
GPR160	0.1493880924562377	0.0	3.341323923958181e-07	0.0
S100A14	0.1488518896377591	0.0	3.341323923958181e-07	0.0
CD48	0.1484717819545878	0.0	3.341323923958181e-07	0.0
GOLM1	0.1482058746334253	0.0	3.341323923958181e-07	0.0
ALDH2	0.1480040004612091	0.0	3.341323923958181e-07	0.0
CLDN7	0.1479385115976276	0.0	3.341323923958181e-07	0.0
TNFAIP3	0.1477339734897119	0.0	3.341323923958181e-07	0.0
ETHE1	0.1476045066957199	0.0	3.341323923958181e-07	0.0
PRDX3	0.1475705827743688	0.0	3.341323923958181e-07	0.0
SQOR	0.1468970584040919	0.0	3.341323923958181e-07	0.0
CYTIP	0.1467932025016713	0.0	3.341323923958181e-07	0.0
CD96	0.1467759099213465	0.0	3.341323923958181e-07	0.0
PEBP1	0.1467564919516852	0.0	3.341323923958181e-07	0.0
CMBL	0.1466168648267287	0.0	3.341323923958181e-07	0.0
MT1G	0.1463924047043472	0.0	3.341323923958181e-07	0.0
MGST2	0.1462777576854136	0.0	3.341323923958181e-07	0.0
ATP5PO	0.1462460168606022	0.0	3.341323923958181e-07	0.0
NDUFV1	0.1461174616508821	0.0	3.341323923958181e-07	0.0
ATP5PB	0.1460211874314861	0.0	3.341323923958181e-07	0.0
SUCLG2	0.1457045759320843	0.0	3.341323923958181e-07	0.0
IL32	0.1451893302576329	0.0	3.341323923958181e-07	0.0
FAM162A	0.1451358683104439	0.0	3.341323923958181e-07	0.0
CES2	0.1448914348413867	0.0	3.341323923958181e-07	0.0
FYN	0.144802991401008	0.0	3.341323923958181e-07	0.0
ISG20	0.1445876456921296	0.0	3.341323923958181e-07	0.0
TSPYL2	0.1443458708040442	0.0	3.341323923958181e-07	0.0
CD52	0.1441551312438637	0.0	3.341323923958181e-07	0.0
DSG2	0.1441331818117226	0.0	3.341323923958181e-07	0.0
MTND1P23	0.1434725636992409	0.0	3.341323923958181e-07	0.0
MPC2	0.1431615765221986	0.0	3.341323923958181e-07	0.0
CD7	0.1424789835764408	0.0	3.341323923958181e-07	0.0
PDE4B	0.1422157076873235	0.0	3.341323923958181e-07	0.0
COA3	0.141675863549248	0.0	3.341323923958181e-07	0.0
ATP5PF	0.1415334871097595	0.0	3.341323923958181e-07	0.0
ELF3	0.1414206724795621	0.0	3.341323923958181e-07	0.0
AKAP13	0.1408102630552232	0.0	3.341323923958181e-07	0.0
APP	0.1406620511896625	0.0	3.341323923958181e-07	0.0
CCL5	0.1402530292751637	0.0	3.341323923958181e-07	0.0
ATP8B1	0.1397479259084153	0.0	3.341323923958181e-07	0.0
ATP5F1A	0.1396393502715807	0.0	3.341323923958181e-07	0.0
MAOA	0.1395337657779961	0.0	3.341323923958181e-07	0.0
MGST3	0.1394998465578134	0.0	3.341323923958181e-07	0.0
MLEC	0.1393769098521191	0.0	3.341323923958181e-07	0.0
COX6C	0.1389814582081021	0.0	3.341323923958181e-07	0.0
TGFB1	0.1387188888551147	0.0	3.341323923958181e-07	0.0
CDX1	0.1386749850844064	0.0	3.341323923958181e-07	0.0
PARP8	0.1384371793497874	0.0	3.341323923958181e-07	0.0
ACADS	0.1379507151240647	0.0	3.341323923958181e-07	0.0
PCBD1	0.1373281351850468	0.0	3.341323923958181e-07	0.0
CD44	0.137254627630565	0.0	3.341323923958181e-07	0.0
LAMTOR4	0.137240120650502	0.0	3.341323923958181e-07	0.0
NDUFB3	0.1372254801887828	0.0	3.341323923958181e-07	0.0
CLDN4	0.1368897910835306	0.0	3.341323923958181e-07	0.0
TUFM	0.136818257681287	0.0	3.341323923958181e-07	0.0
NDUFB9	0.1367609176122233	0.0	3.341323923958181e-07	0.0
CLDN3	0.1366649909136993	0.0	3.341323923958181e-07	0.0
IDH1	0.1359057195953535	0.0	3.341323923958181e-07	0.0
TIMM13	0.1358491230818328	0.0	3.341323923958181e-07	0.0
NDUFB5	0.1358353711595699	0.0	3.341323923958181e-07	0.0
ARHGAP9	0.1347266456716739	0.0	3.341323923958181e-07	0.0
PHB1	0.134438374562756	0.0	3.341323923958181e-07	0.0
S100A16	0.1342765704599164	0.0	3.341323923958181e-07	0.0
ATP5F1B	0.1341661440733756	0.0	3.341323923958181e-07	0.0
RORA	0.1341615327433214	0.0	3.341323923958181e-07	0.0
COX6A1	0.1340267983646099	0.0	3.341323923958181e-07	0.0
STAP2	0.1336129643992409	0.0	3.341323923958181e-07	0.0
UQCR10	0.1322463843584428	0.0	3.341323923958181e-07	0.0
PRR15L	0.1321906807083966	0.0	3.341323923958181e-07	0.0
UQCRC2	0.1320510202052928	0.0	3.341323923958181e-07	0.0
MPST	0.1317765478086905	0.0	3.341323923958181e-07	0.0
PCK1	0.1316274573625347	0.0	3.341323923958181e-07	0.0
HADH	0.1316182058637559	0.0	3.341323923958181e-07	0.0
STAT4	0.1314631379807874	0.0	3.341323923958181e-07	0.0
SDHD	0.1312614729437385	0.0	3.341323923958181e-07	0.0
RAB25	0.1310784314745298	0.0	3.341323923958181e-07	0.0
PRXL2A	0.1309013732888767	0.0	3.341323923958181e-07	0.0
NR3C1	0.1308379278570701	0.0	3.341323923958181e-07	0.0
SRI	0.1301935041196558	0.0	3.341323923958181e-07	0.0
CD53	0.1299376620458632	0.0	3.341323923958181e-07	0.0
FIS1	0.1293675754194042	0.0	3.341323923958181e-07	0.0
