Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.0740011066704556	0.0	2.7444038401794505e-08	0.0
RPL30	0.073574192397232	0.0	2.7444038401794505e-08	0.0
RPS27	0.0730871259902591	0.0	2.7444038401794505e-08	0.0
BTG1	0.0719072909251948	0.0	2.7444038401794505e-08	0.0
RPL34	0.0712619486624441	0.0	2.7444038401794505e-08	0.0
RPL39	0.0710397717701321	0.0	2.7444038401794505e-08	0.0
JUND	0.0688088409382958	0.0	2.7444038401794505e-08	0.0
EEF1A1	0.0687948714809258	0.0	2.7444038401794505e-08	0.0
TXNDC5	0.0686601794062179	0.0	2.7444038401794505e-08	0.0
RPS14	0.0673139645243907	0.0	2.7444038401794505e-08	0.0
DUSP1	0.0658888899595929	0.0	2.7444038401794505e-08	0.0
SEC11C	0.0643926259455378	0.0	2.7444038401794505e-08	0.0
PNRC1	0.0642960202914164	0.0	2.7444038401794505e-08	0.0
TSC22D3	0.063512844453777	0.0	2.7444038401794505e-08	0.0
RPS12	0.0634879836879964	0.0	2.7444038401794505e-08	0.0
RPS3	0.0634378517105798	0.0	2.7444038401794505e-08	0.0
TXNIP	0.0628671653489969	0.0	2.7444038401794505e-08	0.0
RPL32	0.0622951346547403	0.0	2.7444038401794505e-08	0.0
FOS	0.0598634311336871	0.0	2.7444038401794505e-08	0.0
RPS27A	0.0596937728971013	0.0	2.7444038401794505e-08	0.0
RPL11	0.0593709009683683	0.0	2.7444038401794505e-08	0.0
JCHAIN	0.0584087266364369	0.0	2.7444038401794505e-08	0.0
RPS25	0.0582330235454736	0.0	2.7444038401794505e-08	0.0
RPL10	0.0575660469660395	0.0	2.7444038401794505e-08	0.0
ITM2B	0.0571012673948022	0.0	2.7444038401794505e-08	0.0
RPS23	0.0568965239543485	0.0	2.7444038401794505e-08	0.0
RPL13	0.056507906011193	0.0	2.7444038401794505e-08	0.0
POU2AF1	0.0560454759186387	0.0	2.7444038401794505e-08	0.0
MYDGF	0.0558737246396293	0.0	2.7444038401794505e-08	0.0
TOMM7	0.0558288743799965	0.0	2.7444038401794505e-08	0.0
DERL3	0.0557586764574015	0.0	2.7444038401794505e-08	0.0
RPS3A	0.0554866278820109	0.0	2.7444038401794505e-08	0.0
ZFP36L2	0.0551437908925189	0.0	2.7444038401794505e-08	0.0
SUB1	0.0545128138323753	0.0	2.7444038401794505e-08	0.0
RPL14	0.0536586381598638	0.0	2.7444038401794505e-08	0.0
CD69	0.053384809789451	0.0	2.7444038401794505e-08	0.0
ZFAS1	0.0532775264410818	0.0	2.7444038401794505e-08	0.0
MYBL2	0.0530551126479937	0.0	2.7444038401794505e-08	0.0
IL7R	0.0527465749220024	0.0	2.7444038401794505e-08	0.0
IGLL5	0.0526831292428912	0.0	2.7444038401794505e-08	0.0
FAU	0.0526009307726296	0.0	2.7444038401794505e-08	0.0
RPS4Y1	0.0523878099822401	0.0	2.7444038401794505e-08	0.0
RPL35A	0.0522893497079256	0.0	2.7444038401794505e-08	0.0
PFDN5	0.0520538067413536	0.0	2.7444038401794505e-08	0.0
PRDX4	0.0519838319639472	0.0	2.7444038401794505e-08	0.0
TNFRSF17	0.0519222599239422	0.0	2.7444038401794505e-08	0.0
CD38	0.0518081932499276	0.0	2.7444038401794505e-08	0.0
RPS15A	0.0510233797699861	0.0	2.7444038401794505e-08	0.0
