Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.1699198435132591	0.0	3.0982868634095136e-08	0.0
MZB1	0.125975163147645	0.0	3.0982868634095136e-08	0.0
HLA-DPB1	0.1237361871152959	0.0	3.0982868634095136e-08	0.0
IRF8	0.1223892197749859	0.0	3.0982868634095136e-08	0.0
MS4A1	0.1192996585033554	0.0	3.0982868634095136e-08	0.0
CD74	0.1175313052855365	0.0	3.0982868634095136e-08	0.0
XBP1	0.1117542966281126	0.0	3.0982868634095136e-08	0.0
FKBP11	0.1097988544039218	0.0	3.0982868634095136e-08	0.0
HLA-DPA1	0.1094485598291946	0.0	3.0982868634095136e-08	0.0
CD83	0.1080771470752952	0.0	3.0982868634095136e-08	0.0
BANK1	0.1059351490418897	0.0	3.0982868634095136e-08	0.0
CD3E	0.1033559887601398	0.0	3.0982868634095136e-08	0.0
DCN	0.102171090020161	0.0	3.0982868634095136e-08	0.0
ARHGAP24	0.1020650599377566	0.0	3.0982868634095136e-08	0.0
FBLN1	0.101277791790781	0.0	3.0982868634095136e-08	0.0
C1S	0.1005368970733694	0.0	3.0982868634095136e-08	0.0
LAMA2	0.1003458086903572	0.0	3.0982868634095136e-08	0.0
NAPSB_ENSG00000131401	0.1003040531335733	0.0	3.0982868634095136e-08	0.0
CD79A	0.100007747745183	0.0	3.0982868634095136e-08	0.0
ADH1B	0.0999453187070939	0.0	3.0982868634095136e-08	0.0
APOD	0.0991868937436259	0.0	3.0982868634095136e-08	0.0
MMP2	0.0990285726427819	0.0	3.0982868634095136e-08	0.0
SPOCK1	0.0989684658780903	0.0	3.0982868634095136e-08	0.0
LUM	0.0983925296062954	0.0	3.0982868634095136e-08	0.0
C3_ENSG00000125730	0.097996793657546	0.0	3.0982868634095136e-08	0.0
IGFBP5	0.0975633628795146	0.0	3.0982868634095136e-08	0.0
HLA-DRB1	0.0970090769881023	0.0	3.0982868634095136e-08	0.0
CD38	0.0968646579206415	0.0	3.0982868634095136e-08	0.0
IGHG1	0.0966949662611147	0.0	3.0982868634095136e-08	0.0
FSTL1	0.0964392076868105	0.0	3.0982868634095136e-08	0.0
DERL3	0.0963975596173002	0.0	3.0982868634095136e-08	0.0
NID1	0.095066100997503	0.0	3.0982868634095136e-08	0.0
IL32	0.0944417546009281	0.0	3.0982868634095136e-08	0.0
IGLL5	0.0939730341115039	0.0	3.0982868634095136e-08	0.0
EFEMP1	0.0935855231739618	0.0	3.0982868634095136e-08	0.0
FBLN2	0.0935524212421101	0.0	3.0982868634095136e-08	0.0
SVEP1	0.0934568520571381	0.0	3.0982868634095136e-08	0.0
C1R	0.0930836424584506	0.0	3.0982868634095136e-08	0.0
MXRA8	0.0930560726752378	0.0	3.0982868634095136e-08	0.0
HSPB6	0.0929807362789918	0.0	3.0982868634095136e-08	0.0
ABCA8	0.0926396007556067	0.0	3.0982868634095136e-08	0.0
BLK	0.0918377846207881	0.0	3.0982868634095136e-08	0.0
HTRA3	0.0915594764876191	0.0	3.0982868634095136e-08	0.0
MGST1	0.0914194262334199	0.0	3.0982868634095136e-08	0.0
MARCHF1	0.0911991800427259	0.0	3.0982868634095136e-08	0.0
OLFML3	0.091190381487022	0.0	3.0982868634095136e-08	0.0
PODN	0.0909095059117254	0.0	3.0982868634095136e-08	0.0
SCARA5	0.0904327577436295	0.0	3.0982868634095136e-08	0.0
CRISPLD2	0.0900508712885547	0.0	3.0982868634095136e-08	0.0
NOVA1	0.089994904916095	0.0	3.0982868634095136e-08	0.0
ABCA6	0.0894019889691364	0.0	3.0982868634095136e-08	0.0
COL3A1	0.0893795775900988	0.0	3.0982868634095136e-08	0.0
PDGFRA	0.0892679251301035	0.0	3.0982868634095136e-08	0.0
TNFRSF17	0.0888799030474566	0.0	3.0982868634095136e-08	0.0
RARRES2	0.0887942247383674	0.0	3.0982868634095136e-08	0.0
CXCL14	0.0887320338003445	0.0	3.0982868634095136e-08	0.0
COL6A1	0.0884906128943699	0.0	3.0982868634095136e-08	0.0
NNMT	0.0881191443620107	0.0	3.0982868634095136e-08	0.0
CD3D	0.0880468024242271	0.0	3.0982868634095136e-08	0.0
LAMB1	0.0878972845697681	0.0	3.0982868634095136e-08	0.0
EGFR	0.0878034701073996	0.0	3.0982868634095136e-08	0.0
SEC11C	0.0877148255321249	0.0	3.0982868634095136e-08	0.0
SRPX	0.0873494844520963	0.0	3.0982868634095136e-08	0.0
PRELP	0.0862577220135097	0.0	3.0982868634095136e-08	0.0
TNXB	0.0862557196814059	0.0	3.0982868634095136e-08	0.0
CCN5	0.0858168050561359	0.0	3.0982868634095136e-08	0.0
DCLK1	0.0856320939453876	0.0	3.0982868634095136e-08	0.0
IGHG3	0.0855914269829777	0.0	3.0982868634095136e-08	0.0
SERPINF1	0.0855836662424635	0.0	3.0982868634095136e-08	0.0
ISLR	0.0854590366903112	0.0	3.0982868634095136e-08	0.0
GPX3	0.0854295322369513	0.0	3.0982868634095136e-08	0.0
PRDM1	0.0852196123619407	0.0	3.0982868634095136e-08	0.0
TXNDC5	0.0847583990837631	0.0	3.0982868634095136e-08	0.0
PDGFRL	0.0842690472211601	0.0	3.0982868634095136e-08	0.0
CALD1	0.0841745256537722	0.0	3.0982868634095136e-08	0.0
CYP4B1	0.0841580323497005	0.0	3.0982868634095136e-08	0.0
COL4A2	0.0838464622586385	0.0	3.0982868634095136e-08	0.0
GALNT15	0.0835477767327754	0.0	3.0982868634095136e-08	0.0
ABCA9	0.083493953524822	0.0	3.0982868634095136e-08	0.0
COL1A2	0.0832469314699866	0.0	3.0982868634095136e-08	0.0
VIT	0.0830456265669621	0.0	3.0982868634095136e-08	0.0
SOD3	0.0821430201452392	0.0	3.0982868634095136e-08	0.0
SERPING1	0.0820133467389776	0.0	3.0982868634095136e-08	0.0
H19_ENSG00000130600	0.0817185004496534	0.0	3.0982868634095136e-08	0.0
COL6A3	0.0816495381021383	0.0	3.0982868634095136e-08	0.0
SDF2L1	0.0811746514321439	0.0	3.0982868634095136e-08	0.0
IGHG2	0.0811020122737785	0.0	3.0982868634095136e-08	0.0
JCHAIN	0.0809610375132625	0.0	3.0982868634095136e-08	0.0
HLA-DMA	0.0809236989414291	0.0	3.0982868634095136e-08	0.0
MGP	0.0808960035741132	0.0	3.0982868634095136e-08	0.0
FCRLA	0.0808315403927918	0.0	3.0982868634095136e-08	0.0
NFIB	0.0805692625646009	0.0	3.0982868634095136e-08	0.0
COL6A2	0.080426861674972	0.0	3.0982868634095136e-08	0.0
SPARCL1	0.0803618454959433	0.0	3.0982868634095136e-08	0.0
CXCL12	0.0802483470266272	0.0	3.0982868634095136e-08	0.0
TIMP3	0.0802271426167403	0.0	3.0982868634095136e-08	0.0
CD248	0.0801814493809715	0.0	3.0982868634095136e-08	0.0
PLPP3	0.0800855753431791	0.0	3.0982868634095136e-08	0.0
FBN1	0.0800139331290071	0.0	3.0982868634095136e-08	0.0
LHFPL6	0.0799680294663608	0.0	3.0982868634095136e-08	0.0
PLAC9	0.0792506500349942	0.0	3.0982868634095136e-08	0.0
C7_ENSG00000112936	0.0790996275479284	0.0	3.0982868634095136e-08	0.0
HTRA1	0.0785935023590868	0.0	3.0982868634095136e-08	0.0
IGFBP6	0.0785049064787689	0.0	3.0982868634095136e-08	0.0
MAP1B	0.0784611925799916	0.0	3.0982868634095136e-08	0.0
DIO3OS	0.0779962617953255	0.0	3.0982868634095136e-08	0.0
IGKC	0.0771942693619354	0.0	3.0982868634095136e-08	0.0
MFAP4	0.0770978635591257	0.0	3.0982868634095136e-08	0.0
PDGFRB	0.0770035977600375	0.0	3.0982868634095136e-08	0.0
CD19	0.0769736340024426	0.0	3.0982868634095136e-08	0.0
FBLN5	0.0769220800180063	0.0	3.0982868634095136e-08	0.0
CD34	0.0762763489607374	0.0	3.0982868634095136e-08	0.0
GPC3	0.0761747208082007	0.0	3.0982868634095136e-08	0.0
CILP	0.07593729745788	0.0	3.0982868634095136e-08	0.0
CFD	0.0757910446467841	0.0	3.0982868634095136e-08	0.0
RBPMS	0.0757468256102463	0.0	3.0982868634095136e-08	0.0
LY86	0.0755699389805842	0.0	3.0982868634095136e-08	0.0
IL7R	0.0753694670811284	0.0	3.0982868634095136e-08	0.0
LINC03034	0.0747693363014438	0.0	3.0982868634095136e-08	0.0
GSN	0.0735619018356972	0.0	3.0982868634095136e-08	0.0
CYTOR	0.0733907629834688	0.0	3.0982868634095136e-08	0.0
ANGPTL4	0.0727972372246039	0.0	3.0982868634095136e-08	0.0
MT1M	0.0725542757544435	0.0	3.0982868634095136e-08	0.0
CD37	0.0720543917544355	0.0	3.0982868634095136e-08	0.0
CYBRD1	0.0716272996268889	0.0	3.0982868634095136e-08	0.0
MFGE8	0.0714291597873488	0.0	3.0982868634095136e-08	0.0
HVCN1	0.0710933336465747	0.0	3.0982868634095136e-08	0.0
LRP1	0.071076526894007	0.0	3.0982868634095136e-08	0.0
CD2	0.0709187094254546	0.0	3.0982868634095136e-08	0.0
LYN	0.0707018200919741	0.0	3.0982868634095136e-08	0.0
CD52	0.0706374034131302	0.0	3.0982868634095136e-08	0.0
SDC1	0.0706033444539813	0.0	3.0982868634095136e-08	0.0
RHOBTB3	0.0705316794161585	0.0	3.0982868634095136e-08	0.0
IGFBP7	0.0702167031781444	0.0	3.0982868634095136e-08	0.0
SWAP70	0.0700482850867251	0.0	3.0982868634095136e-08	0.0
NEXN	0.0699871671994132	0.0	3.0982868634095136e-08	0.0
THBS2	0.0696612065517179	0.0	3.0982868634095136e-08	0.0
NUCB2	0.0696279865965574	0.0	3.0982868634095136e-08	0.0
PRRX1	0.0694684123815657	0.0	3.0982868634095136e-08	0.0
TNS2	0.0694405176101424	0.0	3.0982868634095136e-08	0.0
FMO2	0.0689732428721428	0.0	3.0982868634095136e-08	0.0
RNASE4	0.068698251423301	0.0	3.0982868634095136e-08	0.0
CRYAB	0.0681471765649655	0.0	3.0982868634095136e-08	0.0
TNFRSF13C	0.0681315266871002	0.0	3.0982868634095136e-08	0.0
