Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
IL7R	0.1245298603632275	0.0	3.0078955382514484e-08	0.0
BTG1	0.114120905225443	0.0	3.0078955382514484e-08	0.0
CD3E	0.1101698239183543	0.0	3.0078955382514484e-08	0.0
CD69	0.1100023269678166	0.0	3.0078955382514484e-08	0.0
RPS27	0.1087594069999054	0.0	3.0078955382514484e-08	0.0
RPL30	0.1075463479111696	0.0	3.0078955382514484e-08	0.0
MZB1	0.1064293867621609	0.0	3.0078955382514484e-08	0.0
RPL34	0.1049047243417239	0.0	3.0078955382514484e-08	0.0
SARAF	0.1042103937472669	0.0	3.0078955382514484e-08	0.0
RPS27A	0.1038167055571264	0.0	3.0078955382514484e-08	0.0
EEF1A1	0.100962005768151	0.0	3.0078955382514484e-08	0.0
RPS3	0.1002228667557181	0.0	3.0078955382514484e-08	0.0
TXNDC5	0.1002150556571603	0.0	3.0078955382514484e-08	0.0
RPS12	0.0989093059802124	0.0	3.0078955382514484e-08	0.0
RPL39	0.0982441901378752	0.0	3.0078955382514484e-08	0.0
JUND	0.0979470503978433	0.0	3.0078955382514484e-08	0.0
RPL32	0.0959960506645147	0.0	3.0078955382514484e-08	0.0
DUSP1	0.0951974256318545	0.0	3.0078955382514484e-08	0.0
RPL10	0.0938346726973841	0.0	3.0078955382514484e-08	0.0
PNRC1	0.0925812577179279	0.0	3.0078955382514484e-08	0.0
RPS23	0.0920585108830003	0.0	3.0078955382514484e-08	0.0
CD79A	0.0918480466086936	0.0	3.0078955382514484e-08	0.0
RPS14	0.0908184357711714	0.0	3.0078955382514484e-08	0.0
MEF2C	0.0900634773323772	0.0	3.0078955382514484e-08	0.0
RPL13	0.0892615688725946	0.0	3.0078955382514484e-08	0.0
RPS25	0.0891498621962667	0.0	3.0078955382514484e-08	0.0
RPL14	0.0876497069275047	0.0	3.0078955382514484e-08	0.0
RPS3A	0.0876352709494015	0.0	3.0078955382514484e-08	0.0
ZFP36L2	0.0870107117024325	0.0	3.0078955382514484e-08	0.0
RPS15A	0.0870056300965329	0.0	3.0078955382514484e-08	0.0
TSC22D3	0.0866441765447902	0.0	3.0078955382514484e-08	0.0
RPL11	0.0863220621114439	0.0	3.0078955382514484e-08	0.0
RPL35A	0.0852091442288744	0.0	3.0078955382514484e-08	0.0
FOS	0.0841794465441143	0.0	3.0078955382514484e-08	0.0
DERL3	0.0837863643009357	0.0	3.0078955382514484e-08	0.0
RPS21	0.0837320342971163	0.0	3.0078955382514484e-08	0.0
SEC11C	0.0835552546039732	0.0	3.0078955382514484e-08	0.0
DNAJB1	0.0835234017546312	0.0	3.0078955382514484e-08	0.0
CD74	0.0832495454190062	0.0	3.0078955382514484e-08	0.0
CXCR4	0.0831588335889854	0.0	3.0078955382514484e-08	0.0
POU2AF1	0.0827637920082393	0.0	3.0078955382514484e-08	0.0
TXNIP	0.0809025782556899	0.0	3.0078955382514484e-08	0.0
RPL19	0.0799654454841357	0.0	3.0078955382514484e-08	0.0
RPL3	0.0797937055679706	0.0	3.0078955382514484e-08	0.0
PRDX4	0.0797223286870011	0.0	3.0078955382514484e-08	0.0
RPS13	0.0796391995374012	0.0	3.0078955382514484e-08	0.0
RPL37	0.0787312646875531	0.0	3.0078955382514484e-08	0.0
FAU	0.0784827552959637	0.0	3.0078955382514484e-08	0.0
RPS4Y1	0.0783792130690568	0.0	3.0078955382514484e-08	0.0
TPT1	0.0782381328073651	0.0	3.0078955382514484e-08	0.0
EIF1	0.0773030704711461	0.0	3.0078955382514484e-08	0.0
JUNB	0.0770142370489706	0.0	3.0078955382514484e-08	0.0
RPL41	0.0763406332311676	0.0	3.0078955382514484e-08	0.0
JCHAIN	0.0762588452522853	0.0	3.0078955382514484e-08	0.0
RPL9	0.0751385965783033	0.0	3.0078955382514484e-08	0.0
RPS28	0.0750274894424862	0.0	3.0078955382514484e-08	0.0
CD38	0.0740382947670147	0.0	3.0078955382514484e-08	0.0
CTSH	0.0738018626033576	0.0	3.0078955382514484e-08	0.0
TNFAIP3	0.0737888043458823	0.0	3.0078955382514484e-08	0.0
TOMM7	0.0735589693616382	0.0	3.0078955382514484e-08	0.0
ETS1	0.073035352403016	0.0	3.0078955382514484e-08	0.0
NOP53	0.0724401309209509	0.0	3.0078955382514484e-08	0.0
ITM2B	0.0722600492613152	0.0	3.0078955382514484e-08	0.0
IFITM1	0.0722106406370231	0.0	3.0078955382514484e-08	0.0
PFDN5	0.0714316332066063	0.0	3.0078955382514484e-08	0.0
RPL28	0.0706475638715067	0.0	3.0078955382514484e-08	0.0
CCND3	0.070377044744061	0.0	3.0078955382514484e-08	0.0
SEL1L3	0.0690845567860539	0.0	3.0078955382514484e-08	0.0
MYDGF	0.0679626063180067	0.0	3.0078955382514484e-08	0.0
LINC03034	0.0675292129341651	0.0	3.0078955382514484e-08	0.0
RPS18	0.0665540306792255	0.0	3.0078955382514484e-08	0.0
RPS15	0.0663676139857553	0.0	3.0078955382514484e-08	0.0
LEPROTL1	0.0657555773599864	0.0	3.0078955382514484e-08	0.0
TNFRSF17	0.0656808326736047	0.0	3.0078955382514484e-08	0.0
RPS29	0.0655930093170944	0.0	3.0078955382514484e-08	0.0
COMMD6	0.0653332954266541	0.0	3.0078955382514484e-08	0.0
UBE2J1	0.064852389339506	0.0	3.0078955382514484e-08	0.0
EAF2	0.0645196198312826	0.0	3.0078955382514484e-08	0.0
CD3D	0.0644774421309536	0.0	3.0078955382514484e-08	0.0
NFKBIA	0.0638855404336908	0.0	3.0078955382514484e-08	0.0
RPS4X	0.0636319736350704	0.0	3.0078955382514484e-08	0.0
FCRL5	0.0636072558369465	0.0	3.0078955382514484e-08	0.0
ZFAS1	0.0632229556962138	0.0	3.0078955382514484e-08	0.0
RPL36	0.0629243740635372	0.0	3.0078955382514484e-08	0.0
FYN	0.0627911946038237	0.0	3.0078955382514484e-08	0.0
FCGR2B	0.0626106118460376	0.0	3.0078955382514484e-08	0.0
RPL18	0.0618954389894599	0.0	3.0078955382514484e-08	0.0
RPL26	0.0611312386577814	0.0	3.0078955382514484e-08	0.0
RPL12	0.0605638561818962	0.0	3.0078955382514484e-08	0.0
IGHG1	0.0599538145775867	0.0	3.0078955382514484e-08	0.0
PTGER4	0.0598826182804758	0.0	3.0078955382514484e-08	0.0
HSP90B1	0.0595008698714211	0.0	3.0078955382514484e-08	0.0
MYL12A	0.0590007037323268	0.0	3.0078955382514484e-08	0.0
SRGN	0.0586199042670379	0.0	3.0078955382514484e-08	0.0
RPS6	0.0584166288559971	0.0	3.0078955382514484e-08	0.0
PDIA6	0.058262671316901	0.0	3.0078955382514484e-08	0.0
EEF1D	0.0582216339162293	0.0	3.0078955382514484e-08	0.0
BLNK	0.0580846887635439	0.0	3.0078955382514484e-08	0.0
COBLL1	0.0578422709808529	0.0	3.0078955382514484e-08	0.0
PARP8	0.0577010932078211	0.0	3.0078955382514484e-08	0.0
SDF2L1	0.0574919382362237	0.0	3.0078955382514484e-08	0.0
RPS19	0.0573620967202984	0.0	3.0078955382514484e-08	0.0
IGLL5	0.0570716138356832	0.0	3.0078955382514484e-08	0.0
LCK	0.0568832717838105	0.0	3.0078955382514484e-08	0.0
FKBP5	0.0567068827298371	0.0	3.0078955382514484e-08	0.0
S100A4	0.0565029527698004	0.0	3.0078955382514484e-08	0.0
PDIA4	0.0563992384551259	0.0	3.0078955382514484e-08	0.0
XBP1	0.0563568973439441	0.0	3.0078955382514484e-08	0.0
CCNH	0.0562286864012286	0.0	3.0078955382514484e-08	0.0
RPL21	0.0561920458627066	0.0	3.0078955382514484e-08	0.0
TCF7	0.0561503879913564	0.0	3.0078955382514484e-08	0.0
RRBP1	0.0560291634203882	0.0	3.0078955382514484e-08	0.0
SSR3	0.0559695245063068	0.0	3.0078955382514484e-08	0.0
SYK	0.0556686925576354	0.0	3.0078955382514484e-08	0.0
HDLBP	0.0555989551822542	0.0	3.0078955382514484e-08	0.0
EVL	0.0555944282636483	0.0	3.0078955382514484e-08	0.0
RPL5	0.0555630836361947	0.0	3.0078955382514484e-08	0.0
FYB1	0.0555185827279118	0.0	3.0078955382514484e-08	0.0
NACA	0.0554802564993362	0.0	3.0078955382514484e-08	0.0
IL32	0.0551950743618666	0.0	3.0078955382514484e-08	0.0
ITM2C	0.0546321249613846	0.0	3.0078955382514484e-08	0.0
SSR4	0.0542475589524176	0.0	3.0078955382514484e-08	0.0
SPCS3	0.0542364302943169	0.0	3.0078955382514484e-08	0.0
PTPRC	0.0541213954756654	0.0	3.0078955382514484e-08	0.0
HSPA8	0.0538170894015921	0.0	3.0078955382514484e-08	0.0
TMSB4X	0.0538071596515856	0.0	3.0078955382514484e-08	0.0
PPIB	0.0537653809736751	0.0	3.0078955382514484e-08	0.0
KDELR2	0.0536978810049921	0.0	3.0078955382514484e-08	0.0
IGKC	0.053370956924333	0.0	3.0078955382514484e-08	0.0
IGHG3	0.0533080599290935	0.0	3.0078955382514484e-08	0.0
RPL29	0.0528167444074341	0.0	3.0078955382514484e-08	0.0
GAS5	0.0524644542568489	0.0	3.0078955382514484e-08	0.0
RPL24	0.0524369784083961	0.0	3.0078955382514484e-08	0.0
TLE5	0.052226041939619	0.0	3.0078955382514484e-08	0.0
DUSP2	0.052206314516041	0.0	3.0078955382514484e-08	0.0
ENSG00000285417.1	0.052163910524869	0.0	3.0078955382514484e-08	0.0
LMAN1	0.0517745109775361	0.0	3.0078955382514484e-08	0.0
RPL38	0.0516248503975397	0.0	3.0078955382514484e-08	0.0
SEC61B	0.0515090055233944	0.0	3.0078955382514484e-08	0.0
CPNE5	0.0512255698376629	0.0	3.0078955382514484e-08	0.0
ARL4C	0.0511480173999009	0.0	3.0078955382514484e-08	0.0
SNHG6	0.0508748040655658	0.0	3.0078955382514484e-08	0.0
RACK1	0.0507144061879188	0.0	3.0078955382514484e-08	0.0
RPS5	0.0503659306479554	0.0	3.0078955382514484e-08	0.0
FXYD5	0.0503284721278016	0.0	3.0078955382514484e-08	0.0
IGHG2	0.0503097252096694	0.0	3.0078955382514484e-08	0.0
MYBL2	0.0500442341245147	0.0	3.0078955382514484e-08	0.0
ZFP36	0.0499850518605271	0.0	3.0078955382514484e-08	0.0
