Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD74	0.1622259568659855	0.0	2.0163404145273532e-08	0.0
HLA-DRA	0.1520136041017386	0.0	2.0163404145273532e-08	0.0
MS4A1	0.1175248960194079	0.0	2.0163404145273532e-08	0.0
HLA-DPA1	0.1156839258871116	0.0	2.0163404145273532e-08	0.0
CD3E	0.1148477077175748	0.0	2.0163404145273532e-08	0.0
CD79A	0.1147247151949022	0.0	2.0163404145273532e-08	0.0
HLA-DPB1	0.1144639821048203	0.0	2.0163404145273532e-08	0.0
IRF8	0.1048626292671154	0.0	2.0163404145273532e-08	0.0
BANK1	0.101321516015584	0.0	2.0163404145273532e-08	0.0
IL7R	0.0986826834027052	0.0	2.0163404145273532e-08	0.0
CD3D	0.0879662389570322	0.0	2.0163404145273532e-08	0.0
NAPSB_ENSG00000131401	0.0842020079762925	0.0	2.0163404145273532e-08	0.0
CD83	0.0823540827782024	0.0	2.0163404145273532e-08	0.0
BLK	0.0817613749787709	0.0	2.0163404145273532e-08	0.0
CD37	0.081703410788321	0.0	2.0163404145273532e-08	0.0
FYN	0.0810496759986032	0.0	2.0163404145273532e-08	0.0
ARHGAP24	0.0801293197865833	0.0	2.0163404145273532e-08	0.0
TNFAIP3	0.0791396755684773	0.0	2.0163404145273532e-08	0.0
RPL39	0.0780623825615264	0.0	2.0163404145273532e-08	0.0
RPL34	0.0779647428535012	0.0	2.0163404145273532e-08	0.0
IL32	0.0776039222132306	0.0	2.0163404145273532e-08	0.0
RPS27	0.0775516983865261	0.0	2.0163404145273532e-08	0.0
MZB1	0.0770357659606255	0.0	2.0163404145273532e-08	0.0
CD19	0.0764311455166344	0.0	2.0163404145273532e-08	0.0
HLA-DRB1	0.0761508594546232	0.0	2.0163404145273532e-08	0.0
RPL30	0.0739001453552473	0.0	2.0163404145273532e-08	0.0
EEF1A1	0.073530083670156	0.0	2.0163404145273532e-08	0.0
FCRLA	0.072591596255872	0.0	2.0163404145273532e-08	0.0
RPS23	0.0719045372641578	0.0	2.0163404145273532e-08	0.0
RPL32	0.0717096591232797	0.0	2.0163404145273532e-08	0.0
CD52	0.0716426602478411	0.0	2.0163404145273532e-08	0.0
RPS12	0.0714552300449736	0.0	2.0163404145273532e-08	0.0
HLA-DMA	0.0712761619878407	0.0	2.0163404145273532e-08	0.0
XBP1	0.0703585786980775	0.0	2.0163404145273532e-08	0.0
LEPROTL1	0.0697072238620315	0.0	2.0163404145273532e-08	0.0
BTG1	0.0694359633721653	0.0	2.0163404145273532e-08	0.0
RPL13	0.0677267458301233	0.0	2.0163404145273532e-08	0.0
CD7	0.06756540174843	0.0	2.0163404145273532e-08	0.0
CD2	0.0669299233109718	0.0	2.0163404145273532e-08	0.0
RPS14	0.0668973635337469	0.0	2.0163404145273532e-08	0.0
CD247	0.0666676069591884	0.0	2.0163404145273532e-08	0.0
MARCHF1	0.0658462081673857	0.0	2.0163404145273532e-08	0.0
RPS25	0.065709969635255	0.0	2.0163404145273532e-08	0.0
LAPTM5	0.0654014953154658	0.0	2.0163404145273532e-08	0.0
RPS27A	0.0650367301649915	0.0	2.0163404145273532e-08	0.0
MEF2C	0.0643569144192395	0.0	2.0163404145273532e-08	0.0
RPL10	0.0641600844709757	0.0	2.0163404145273532e-08	0.0
RPS28	0.0637466554410595	0.0	2.0163404145273532e-08	0.0
TXNDC5	0.0637247723639058	0.0	2.0163404145273532e-08	0.0
ITK	0.0636689197859521	0.0	2.0163404145273532e-08	0.0
RPS3A	0.0631950335391873	0.0	2.0163404145273532e-08	0.0
MARCKS	0.0630824216624918	0.0	2.0163404145273532e-08	0.0
