Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.0666571367559009	0.0	6.429244698195969e-08	0.0
MS4A1	0.063709396659003	0.0	6.429244698195969e-08	0.0
CD79A	0.0600647663633072	0.0	6.429244698195969e-08	0.0
CD74	0.0582081189774651	0.0	6.429244698195969e-08	0.0
BANK1	0.0538055197422811	0.0	6.429244698195969e-08	0.0
HLA-DPA1	0.0533393920390413	0.0	6.429244698195969e-08	0.0
HLA-DPB1	0.0516862310653868	0.0	6.429244698195969e-08	0.0
IRF8	0.0497318677160945	0.0	6.429244698195969e-08	0.0
BLK	0.0440917392236755	0.0	6.429244698195969e-08	0.0
NAPSB_ENSG00000131401	0.0436537323865176	0.0	6.429244698195969e-08	0.0
FCRLA	0.0392559367614457	0.0	6.429244698195969e-08	0.0
CD19	0.0380303024993531	0.0	6.429244698195969e-08	0.0
CD37	0.0363450237237536	0.0	6.429244698195969e-08	0.0
CD3E	0.0358052889102787	0.0	6.429244698195969e-08	0.0
ARHGAP24	0.0350787881405898	0.0	6.429244698195969e-08	0.0
CD83	0.0324694460278613	0.0	6.429244698195969e-08	0.0
MARCHF1	0.031874621374235	0.0	6.429244698195969e-08	0.0
CD52	0.0310916349529962	0.0	6.429244698195969e-08	0.0
TNFRSF13C	0.0307164297830672	0.0	6.429244698195969e-08	0.0
MEF2C	0.0302963358977372	0.0	6.429244698195969e-08	0.0
LINC01781	0.0302401918986745	0.0	6.429244698195969e-08	0.0
IL32	0.0298806803275582	0.0	6.429244698195969e-08	0.0
CD3D	0.0297547853690989	0.0	6.429244698195969e-08	0.0
HLA-DRB1	0.0284422073490249	0.0	6.429244698195969e-08	0.0
IL7R	0.0284260943918866	0.0	6.429244698195969e-08	0.0
HLA-DMA	0.0283490205087449	0.0	6.429244698195969e-08	0.0
LY86	0.0281035629621242	0.0	6.429244698195969e-08	0.0
RALGPS2	0.0280235296223189	0.0	6.429244698195969e-08	0.0
HVCN1	0.0261508112881262	0.0	6.429244698195969e-08	0.0
ADAM28	0.0257979974383531	0.0	6.429244698195969e-08	0.0
POU2F2	0.0257582910330276	0.0	6.429244698195969e-08	0.0
TNFAIP3	0.0252809329765304	0.0	6.429244698195969e-08	0.0
SRGN	0.0252380376996879	0.0	6.429244698195969e-08	0.0
XBP1	0.0248803406684792	0.0	6.429244698195969e-08	0.0
LAPTM5	0.024738707361139	0.0	6.429244698195969e-08	0.0
MARCKS	0.0246595945807806	0.0	6.429244698195969e-08	0.0
SMIM14	0.0245649736896364	0.0	6.429244698195969e-08	0.0
FYB1	0.0244686981765641	0.0	6.429244698195969e-08	0.0
HLA-DQB1	0.0243102777907452	0.0	6.429244698195969e-08	0.0
TXNIP	0.024176900903627	0.0	6.429244698195969e-08	0.0
SWAP70	0.0239193258526045	0.0	6.429244698195969e-08	0.0
CD79B	0.0239159518656666	0.0	6.429244698195969e-08	0.0
SCIMP	0.023706531738612	0.0	6.429244698195969e-08	0.0
