Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.076078531471244	0.0	5.101111320686685e-08	0.0
RPL34	0.0681269108159877	0.0	5.101111320686685e-08	0.0
TXNDC5	0.0674287517894089	0.0	5.101111320686685e-08	0.0
RPL30	0.0672517056916084	0.0	5.101111320686685e-08	0.0
RPL39	0.0645514418948745	0.0	5.101111320686685e-08	0.0
RPS27	0.0644638328249321	0.0	5.101111320686685e-08	0.0
RPL32	0.0638843251933282	0.0	5.101111320686685e-08	0.0
EEF1A1	0.0632741280507874	0.0	5.101111320686685e-08	0.0
DERL3	0.0631309046813984	0.0	5.101111320686685e-08	0.0
RPS12	0.0616103733314854	0.0	5.101111320686685e-08	0.0
RPS27A	0.0615531529284925	0.0	5.101111320686685e-08	0.0
SEC11C	0.061518998700596	0.0	5.101111320686685e-08	0.0
BTG1	0.0600264704315003	0.0	5.101111320686685e-08	0.0
RPS3A	0.0589825305224056	0.0	5.101111320686685e-08	0.0
RPS3	0.0588977529768328	0.0	5.101111320686685e-08	0.0
JCHAIN	0.0574720968057894	0.0	5.101111320686685e-08	0.0
RPS14	0.0570717071082422	0.0	5.101111320686685e-08	0.0
RPL13	0.0568759448337563	0.0	5.101111320686685e-08	0.0
RPL11	0.0565694878816723	0.0	5.101111320686685e-08	0.0
RPL10	0.0562770743256188	0.0	5.101111320686685e-08	0.0
TNFRSF17	0.0560102813933514	0.0	5.101111320686685e-08	0.0
IL7R	0.0554336123749244	0.0	5.101111320686685e-08	0.0
RPS15A	0.0552027295218023	0.0	5.101111320686685e-08	0.0
RPS23	0.0551289840992866	0.0	5.101111320686685e-08	0.0
SARAF	0.0547264927555246	0.0	5.101111320686685e-08	0.0
PRDX4	0.0546441775996163	0.0	5.101111320686685e-08	0.0
CD38	0.0544257969502903	0.0	5.101111320686685e-08	0.0
CD3E	0.053892099645162	0.0	5.101111320686685e-08	0.0
RPS13	0.0537816023489642	0.0	5.101111320686685e-08	0.0
RPL14	0.0536934705649235	0.0	5.101111320686685e-08	0.0
DUSP1	0.0524685781936246	0.0	5.101111320686685e-08	0.0
RPL37	0.0521593279712712	0.0	5.101111320686685e-08	0.0
MYDGF	0.0519948636268574	0.0	5.101111320686685e-08	0.0
SDF2L1	0.0514748501971179	0.0	5.101111320686685e-08	0.0
RPS21	0.0513881698284666	0.0	5.101111320686685e-08	0.0
RPL35A	0.0511067364788683	0.0	5.101111320686685e-08	0.0
RPS25	0.0510499944315764	0.0	5.101111320686685e-08	0.0
JUND	0.0507339268809357	0.0	5.101111320686685e-08	0.0
POU2AF1	0.0502153601866681	0.0	5.101111320686685e-08	0.0
RPS28	0.0494120437335036	0.0	5.101111320686685e-08	0.0
RPL19	0.0492989385738265	0.0	5.101111320686685e-08	0.0
RPL9	0.0488570890958348	0.0	5.101111320686685e-08	0.0
CD69	0.0483927099243163	0.0	5.101111320686685e-08	0.0
TPT1	0.0481676182637405	0.0	5.101111320686685e-08	0.0
PDIA6	0.0481319781474334	0.0	5.101111320686685e-08	0.0
RPL3	0.0480693515444582	0.0	5.101111320686685e-08	0.0
FAU	0.0479401796245574	0.0	5.101111320686685e-08	0.0
LINC03034	0.0475936099613004	0.0	5.101111320686685e-08	0.0
PFDN5	0.0470967524124308	0.0	5.101111320686685e-08	0.0
FKBP11	0.0467645020156092	0.0	5.101111320686685e-08	0.0
XBP1	0.0466150500070658	0.0	5.101111320686685e-08	0.0
HSP90B1	0.0463527107225264	0.0	5.101111320686685e-08	0.0
PPIB	0.0461142792868318	0.0	5.101111320686685e-08	0.0
PNRC1	0.0457910765833106	0.0	5.101111320686685e-08	0.0
IGHG1	0.045734417048515	0.0	5.101111320686685e-08	0.0
RPL41	0.0453134038000376	0.0	5.101111320686685e-08	0.0
RPL18	0.0451273017867168	0.0	5.101111320686685e-08	0.0
RPL12	0.044912609527857	0.0	5.101111320686685e-08	0.0
SSR3	0.0448661713606479	0.0	5.101111320686685e-08	0.0
PDIA4	0.0446618017728637	0.0	5.101111320686685e-08	0.0
RPL36	0.0442382607279933	0.0	5.101111320686685e-08	0.0
RPL28	0.0440876964371691	0.0	5.101111320686685e-08	0.0
TXNIP	0.0436891129606627	0.0	5.101111320686685e-08	0.0
EEF1D	0.043214231352822	0.0	5.101111320686685e-08	0.0
RPS4X	0.0431884358588917	0.0	5.101111320686685e-08	0.0
IGHG2	0.0429642089741036	0.0	5.101111320686685e-08	0.0
FOS	0.0428448896289886	0.0	5.101111320686685e-08	0.0
RPL29	0.042842944223508	0.0	5.101111320686685e-08	0.0
ZFP36L2	0.042770377459712	0.0	5.101111320686685e-08	0.0
IGLL5	0.042658494262519	0.0	5.101111320686685e-08	0.0
FCRL5	0.0425860633472264	0.0	5.101111320686685e-08	0.0
NOP53	0.0425335205058476	0.0	5.101111320686685e-08	0.0
RPL5	0.0420416253881163	0.0	5.101111320686685e-08	0.0
SSR4	0.0418098004520972	0.0	5.101111320686685e-08	0.0
RPS4Y1	0.0416060652391413	0.0	5.101111320686685e-08	0.0
SLAMF7	0.0415485533936619	0.0	5.101111320686685e-08	0.0
MYBL2	0.0415220649786062	0.0	5.101111320686685e-08	0.0
UBE2J1	0.0414455045166336	0.0	5.101111320686685e-08	0.0
RPS6	0.0413688074279927	0.0	5.101111320686685e-08	0.0
HLA-DRA	0.0412698337932218	0.0	5.101111320686685e-08	0.0
TSC22D3	0.0411376845526759	0.0	5.101111320686685e-08	0.0
CTSH	0.0411293866074015	0.0	5.101111320686685e-08	0.0
IGKC	0.0410967940907057	0.0	5.101111320686685e-08	0.0
RPS15	0.0410875808178632	0.0	5.101111320686685e-08	0.0
TOMM7	0.0410840551386139	0.0	5.101111320686685e-08	0.0
LGALS1	0.0410140040526535	0.0	5.101111320686685e-08	0.0
LMAN1	0.0409861952764038	0.0	5.101111320686685e-08	0.0
IGHG3	0.0409189724261691	0.0	5.101111320686685e-08	0.0
RPS5	0.0403972822122933	0.0	5.101111320686685e-08	0.0
GGH	0.040203708319017	0.0	5.101111320686685e-08	0.0
SEC61B	0.0401416299401091	0.0	5.101111320686685e-08	0.0
FTH1	0.0401050315156826	0.0	5.101111320686685e-08	0.0
SUB1	0.0400559127767176	0.0	5.101111320686685e-08	0.0
NACA	0.0399097336990946	0.0	5.101111320686685e-08	0.0
KDELR2	0.0398692438993054	0.0	5.101111320686685e-08	0.0
TYROBP	0.0397052338392018	0.0	5.101111320686685e-08	0.0
SPCS3	0.0396818952596015	0.0	5.101111320686685e-08	0.0
SPI1	0.0393894591986197	0.0	5.101111320686685e-08	0.0
RPS19	0.0392826268646725	0.0	5.101111320686685e-08	0.0
IFITM1	0.039204716617605	0.0	5.101111320686685e-08	0.0
CYTOR	0.0391263776666557	0.0	5.101111320686685e-08	0.0
CTSZ	0.0390365543925688	0.0	5.101111320686685e-08	0.0
RPL26	0.0388933735045606	0.0	5.101111320686685e-08	0.0
RPL18A	0.0386924675839133	0.0	5.101111320686685e-08	0.0
JUNB	0.0386443794512533	0.0	5.101111320686685e-08	0.0
SPCS2	0.0384253481435742	0.0	5.101111320686685e-08	0.0
RPS18	0.0383897492288214	0.0	5.101111320686685e-08	0.0
RPL21	0.0383125293375447	0.0	5.101111320686685e-08	0.0
ENSG00000258572.1	0.0380806794257791	0.0	5.101111320686685e-08	0.0
RRBP1	0.0377940920476708	0.0	5.101111320686685e-08	0.0
RPL24	0.0377308007694667	0.0	5.101111320686685e-08	0.0
FTL	0.0372998003253151	0.0	5.101111320686685e-08	0.0
TYMS	0.0369800971862838	0.0	5.101111320686685e-08	0.0
SDC1	0.0369644855677445	0.0	5.101111320686685e-08	0.0
CD74	0.0368485906605567	0.0	5.101111320686685e-08	0.0
HDLBP	0.0364151136690164	0.0	5.101111320686685e-08	0.0
RACK1	0.0360757016784444	0.0	5.101111320686685e-08	0.0
IGHA1	0.0358815487942417	0.0	5.101111320686685e-08	0.0
RPN2	0.0356226929866312	0.0	5.101111320686685e-08	0.0
ZBP1	0.0355155462952483	0.0	5.101111320686685e-08	0.0
CRELD2	0.03543462917184	0.0	5.101111320686685e-08	0.0
CXCR4	0.0354070286480024	0.0	5.101111320686685e-08	0.0
ZFAS1	0.0353796880505504	0.0	5.101111320686685e-08	0.0
RPL8	0.0353341934191489	0.0	5.101111320686685e-08	0.0
HM13	0.035254650979999	0.0	5.101111320686685e-08	0.0
COMMD6	0.0347532285902866	0.0	5.101111320686685e-08	0.0
ETS1	0.0345338899155518	0.0	5.101111320686685e-08	0.0
CD3D	0.0345202131358461	0.0	5.101111320686685e-08	0.0
GRN	0.0344881083643267	0.0	5.101111320686685e-08	0.0
HSPA5	0.0344251878167863	0.0	5.101111320686685e-08	0.0
LYZ	0.0343022255419883	0.0	5.101111320686685e-08	0.0
ABCB9	0.0342801495494715	0.0	5.101111320686685e-08	0.0
TMSB4X	0.0341739482392586	0.0	5.101111320686685e-08	0.0
DNAJB1	0.0341577730575761	0.0	5.101111320686685e-08	0.0
APOC1	0.0338237156035227	0.0	5.101111320686685e-08	0.0
EIF1	0.0336810851951685	0.0	5.101111320686685e-08	0.0
CST3	0.0335862034659171	0.0	5.101111320686685e-08	0.0
CAPG	0.0335241265090053	0.0	5.101111320686685e-08	0.0
APOE	0.0335112888679086	0.0	5.101111320686685e-08	0.0
FNDC3B	0.0334295810020931	0.0	5.101111320686685e-08	0.0
FCER1G	0.0334148168431777	0.0	5.101111320686685e-08	0.0
EAF2	0.033315941361191	0.0	5.101111320686685e-08	0.0
ENSG00000257221.4	0.0331558625124144	0.0	5.101111320686685e-08	0.0
CLPTM1L	0.0331345428694239	0.0	5.101111320686685e-08	0.0
LEPROTL1	0.0330937708408276	0.0	5.101111320686685e-08	0.0
TXNDC11	0.0330691950917092	0.0	5.101111320686685e-08	0.0
TCF7	0.0330511912062961	0.0	5.101111320686685e-08	0.0
MKI67	0.0329441512379925	0.0	5.101111320686685e-08	0.0
RRM2	0.0328440491377615	0.0	5.101111320686685e-08	0.0
