Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.1855415914733078	0.0	2.657000991741257e-08	0.0
CD79A	0.1851086390266537	0.0	2.657000991741257e-08	0.0
CD74	0.1825697631105672	0.0	2.657000991741257e-08	0.0
MS4A1	0.1799243140501029	0.0	2.657000991741257e-08	0.0
HLA-DPA1	0.1578489901932305	0.0	2.657000991741257e-08	0.0
BANK1	0.1556902812908902	0.0	2.657000991741257e-08	0.0
HLA-DPB1	0.1443995835163733	0.0	2.657000991741257e-08	0.0
IRF8	0.1437018251299469	0.0	2.657000991741257e-08	0.0
CD3E	0.138584870634611	0.0	2.657000991741257e-08	0.0
IL7R	0.137522020282837	0.0	2.657000991741257e-08	0.0
BLK	0.1251392384685803	0.0	2.657000991741257e-08	0.0
NAPSB_ENSG00000131401	0.1246431199956592	0.0	2.657000991741257e-08	0.0
CD19	0.1243329311478728	0.0	2.657000991741257e-08	0.0
MEF2C	0.1180453685772228	0.0	2.657000991741257e-08	0.0
ARHGAP24	0.1151713498612225	0.0	2.657000991741257e-08	0.0
FCRLA	0.1126592143734983	0.0	2.657000991741257e-08	0.0
RALGPS2	0.1050276735488483	0.0	2.657000991741257e-08	0.0
TNFAIP3	0.1046902241865784	0.0	2.657000991741257e-08	0.0
CD83	0.1039851544053538	0.0	2.657000991741257e-08	0.0
HLA-DMA	0.1013779453423766	0.0	2.657000991741257e-08	0.0
CD3D	0.1011787799855824	0.0	2.657000991741257e-08	0.0
HLA-DRB1	0.0987411598879078	0.0	2.657000991741257e-08	0.0
IL32	0.0970389255832	0.0	2.657000991741257e-08	0.0
MARCHF1	0.0942627579140037	0.0	2.657000991741257e-08	0.0
SRGN	0.0912668130914149	0.0	2.657000991741257e-08	0.0
SWAP70	0.0906707556042891	0.0	2.657000991741257e-08	0.0
CD79B	0.0903410064716956	0.0	2.657000991741257e-08	0.0
TNFRSF13C	0.0876949723406622	0.0	2.657000991741257e-08	0.0
LEPROTL1	0.0876091067184807	0.0	2.657000991741257e-08	0.0
MARCKS	0.0869774228774863	0.0	2.657000991741257e-08	0.0
LY86	0.086695704233181	0.0	2.657000991741257e-08	0.0
FYB1	0.0818654092406087	0.0	2.657000991741257e-08	0.0
ADAM28	0.0814532937953329	0.0	2.657000991741257e-08	0.0
LINC01781	0.081121936030952	0.0	2.657000991741257e-08	0.0
TNFRSF13B	0.0810691574617143	0.0	2.657000991741257e-08	0.0
SEL1L3	0.0809569951515675	0.0	2.657000991741257e-08	0.0
POU2AF1	0.0799171371915722	0.0	2.657000991741257e-08	0.0
HVCN1	0.0791584295414913	0.0	2.657000991741257e-08	0.0
LYN	0.0750837927290475	0.0	2.657000991741257e-08	0.0
NIBAN3	0.0741068884765144	0.0	2.657000991741257e-08	0.0
FYN	0.0739609035055062	0.0	2.657000991741257e-08	0.0
SMIM14	0.0735937985060892	0.0	2.657000991741257e-08	0.0
CD2	0.0723164587641003	0.0	2.657000991741257e-08	0.0
SARAF	0.0716203538741655	0.0	2.657000991741257e-08	0.0
HLA-DRB5	0.0715790176387311	0.0	2.657000991741257e-08	0.0
ARL4C	0.0713962826241782	0.0	2.657000991741257e-08	0.0
LCK	0.0705654932877095	0.0	2.657000991741257e-08	0.0
MZB1	0.0695359557251045	0.0	2.657000991741257e-08	0.0
DNAJB1	0.0694604059313062	0.0	2.657000991741257e-08	0.0
HLA-DQB1	0.0693120681955271	0.0	2.657000991741257e-08	0.0
FOS	0.0691649643141735	0.0	2.657000991741257e-08	0.0
CD37	0.0689240427611775	0.0	2.657000991741257e-08	0.0
CD7	0.0688246359483407	0.0	2.657000991741257e-08	0.0
NFKBIA	0.0687969411471203	0.0	2.657000991741257e-08	0.0
POU2F2	0.0686776239747855	0.0	2.657000991741257e-08	0.0
VPREB3	0.067523385267734	0.0	2.657000991741257e-08	0.0
ITM2B	0.0667852449223804	0.0	2.657000991741257e-08	0.0
ITK	0.0661722740153374	0.0	2.657000991741257e-08	0.0
CD24	0.0655759871849415	0.0	2.657000991741257e-08	0.0
LINC00926	0.0653917396251574	0.0	2.657000991741257e-08	0.0
CD22	0.064590422693511	0.0	2.657000991741257e-08	0.0
SCIMP	0.0641534587770169	0.0	2.657000991741257e-08	0.0
LAT2	0.0638471397250011	0.0	2.657000991741257e-08	0.0
NCF4	0.0634795117112408	0.0	2.657000991741257e-08	0.0
FCGR2B	0.0634264462192373	0.0	2.657000991741257e-08	0.0
CD3G	0.0632984670109619	0.0	2.657000991741257e-08	0.0
BLNK	0.0625294092995793	0.0	2.657000991741257e-08	0.0
ANXA1	0.061791532391301	0.0	2.657000991741257e-08	0.0
HLA-DMB	0.0617843530503167	0.0	2.657000991741257e-08	0.0
CYBB	0.0615938388624332	0.0	2.657000991741257e-08	0.0
STAG3	0.0611444503944733	0.0	2.657000991741257e-08	0.0
CD247	0.0605675202648653	0.0	2.657000991741257e-08	0.0
COBLL1	0.060193646678341	0.0	2.657000991741257e-08	0.0
LINC02397	0.0598999049519717	0.0	2.657000991741257e-08	0.0
BCL11A	0.058885974775297	0.0	2.657000991741257e-08	0.0
CITED2	0.0587031433428002	0.0	2.657000991741257e-08	0.0
TCF4	0.0580530993529831	0.0	2.657000991741257e-08	0.0
GNG7	0.0578433413406579	0.0	2.657000991741257e-08	0.0
AIM2	0.0574478505470722	0.0	2.657000991741257e-08	0.0
FGD2	0.0573444220952839	0.0	2.657000991741257e-08	0.0
HLA-DQA1	0.0573322366783239	0.0	2.657000991741257e-08	0.0
AAK1	0.0571009800414272	0.0	2.657000991741257e-08	0.0
FCRL1	0.0569460656390842	0.0	2.657000991741257e-08	0.0
CD52	0.0567768442272133	0.0	2.657000991741257e-08	0.0
CYBA	0.0565309960957462	0.0	2.657000991741257e-08	0.0
SYK	0.0557022488608928	0.0	2.657000991741257e-08	0.0
TXNDC5	0.0553093915019969	0.0	2.657000991741257e-08	0.0
CTSH	0.0551684907435828	0.0	2.657000991741257e-08	0.0
DERL3	0.0544928337486946	0.0	2.657000991741257e-08	0.0
BTK	0.0539565970913773	0.0	2.657000991741257e-08	0.0
PLCG2	0.053835325923432	0.0	2.657000991741257e-08	0.0
CTSZ	0.0535389665517927	0.0	2.657000991741257e-08	0.0
ENSG00000285417.1	0.0532819641911354	0.0	2.657000991741257e-08	0.0
SYNGR2	0.0531050875499033	0.0	2.657000991741257e-08	0.0
FKBP5	0.0526428017728461	0.0	2.657000991741257e-08	0.0
GIMAP7	0.0523588280345691	0.0	2.657000991741257e-08	0.0
ZAP70	0.0522935045398518	0.0	2.657000991741257e-08	0.0
XBP1	0.0522669483085824	0.0	2.657000991741257e-08	0.0
RGCC	0.0518880231073166	0.0	2.657000991741257e-08	0.0
CD40	0.0518353234829055	0.0	2.657000991741257e-08	0.0
CAMK4	0.0518008192923443	0.0	2.657000991741257e-08	0.0
TSPAN3	0.0517212530934193	0.0	2.657000991741257e-08	0.0
LAPTM5	0.0513331537402913	0.0	2.657000991741257e-08	0.0
TP53INP1	0.0512670408568812	0.0	2.657000991741257e-08	0.0
ETS1	0.0505600753736872	0.0	2.657000991741257e-08	0.0
DUSP2	0.0502271208803846	0.0	2.657000991741257e-08	0.0
BASP1	0.0501990136870229	0.0	2.657000991741257e-08	0.0
JCHAIN	0.0499452261765871	0.0	2.657000991741257e-08	0.0
NDFIP1	0.0499409134158981	0.0	2.657000991741257e-08	0.0
RUBCNL	0.049767142180175	0.0	2.657000991741257e-08	0.0
GLUL	0.0497339900079661	0.0	2.657000991741257e-08	0.0
LEF1	0.0493618388548909	0.0	2.657000991741257e-08	0.0
PAX5	0.0490360206737535	0.0	2.657000991741257e-08	0.0
AFF3	0.0485897567668019	0.0	2.657000991741257e-08	0.0
GIMAP4	0.0481278712348392	0.0	2.657000991741257e-08	0.0
IGHM	0.0478659115076342	0.0	2.657000991741257e-08	0.0
ZFP36	0.047839938079162	0.0	2.657000991741257e-08	0.0
FCRL5	0.0478138111296722	0.0	2.657000991741257e-08	0.0
TRAT1	0.0476622315164077	0.0	2.657000991741257e-08	0.0
INPP4B	0.0476074394951534	0.0	2.657000991741257e-08	0.0
CD69	0.0472538622442972	0.0	2.657000991741257e-08	0.0
LINC01857	0.0471948694869724	0.0	2.657000991741257e-08	0.0
FCER2	0.0470647366623954	0.0	2.657000991741257e-08	0.0
ZFP36L2	0.0469979028673625	0.0	2.657000991741257e-08	0.0
CXXC5	0.0467172173735024	0.0	2.657000991741257e-08	0.0
SKAP1	0.0466631428306522	0.0	2.657000991741257e-08	0.0
HCST	0.0465353484917324	0.0	2.657000991741257e-08	0.0
S100A6	0.0458915917228163	0.0	2.657000991741257e-08	0.0
TOB1	0.0458541736358843	0.0	2.657000991741257e-08	0.0
NT5E	0.0452874498080531	0.0	2.657000991741257e-08	0.0
ID2	0.0450869706366133	0.0	2.657000991741257e-08	0.0
IGHA1	0.0447607742899486	0.0	2.657000991741257e-08	0.0
SEC11C	0.0447056542165056	0.0	2.657000991741257e-08	0.0
IL6ST	0.0446099012732473	0.0	2.657000991741257e-08	0.0
CST7	0.0442701454260434	0.0	2.657000991741257e-08	0.0
PPP2R5C	0.0442552601816368	0.0	2.657000991741257e-08	0.0
SP140	0.0442252171673465	0.0	2.657000991741257e-08	0.0
MYADM	0.0441096329184621	0.0	2.657000991741257e-08	0.0
IGLL5	0.0440979344716099	0.0	2.657000991741257e-08	0.0
LY9	0.0440821674387797	0.0	2.657000991741257e-08	0.0
HLA-DOB	0.0440182689808508	0.0	2.657000991741257e-08	0.0
CCDC50	0.0439584653343407	0.0	2.657000991741257e-08	0.0
NCF1	0.0439423066148996	0.0	2.657000991741257e-08	0.0
ALOX5	0.0439069323329065	0.0	2.657000991741257e-08	0.0
IGHG1	0.0438398460163038	0.0	2.657000991741257e-08	0.0
MT-CO1	0.0438293929967096	0.0	2.657000991741257e-08	0.0
PRKCH	0.0434803264413589	0.0	2.657000991741257e-08	0.0
BCL11B	0.0434511669907928	0.0	2.657000991741257e-08	0.0
DUSP1	0.0430268560767844	0.0	2.657000991741257e-08	0.0
LTB	0.0429833347565111	0.0	2.657000991741257e-08	0.0
IGHG2	0.0428422969446691	0.0	2.657000991741257e-08	0.0
PLEKHF2	0.042248454837514	0.0	2.657000991741257e-08	0.0
CLECL1P	0.0422471334077148	0.0	2.657000991741257e-08	0.0
DRAM2	0.0420217906838099	0.0	2.657000991741257e-08	0.0
IGKC	0.0419501053932421	0.0	2.657000991741257e-08	0.0
FKBP11	0.0419296786296324	0.0	2.657000991741257e-08	0.0
SYTL3	0.0418284824466881	0.0	2.657000991741257e-08	0.0
PTGER4	0.0417536007896731	0.0	2.657000991741257e-08	0.0
IGHG3	0.0415926314115739	0.0	2.657000991741257e-08	0.0
SAMHD1	0.0413250230436737	0.0	2.657000991741257e-08	0.0
EAF2	0.0411859825190772	0.0	2.657000991741257e-08	0.0
MT-ND3	0.0411827504497388	0.0	2.657000991741257e-08	0.0
BCAS4	0.0407042364557603	0.0	2.657000991741257e-08	0.0
CD38	0.0406851008805847	0.0	2.657000991741257e-08	0.0
TNFRSF17	0.0406023354385347	0.0	2.657000991741257e-08	0.0
PARP8	0.0405382057001633	0.0	2.657000991741257e-08	0.0
SPI1	0.0401914192446962	0.0	2.657000991741257e-08	0.0
IFITM1	0.040178183649754	0.0	2.657000991741257e-08	0.0
SPOCK2	0.0399485432397801	0.0	2.657000991741257e-08	0.0
TLR10	0.0394524413403606	0.0	2.657000991741257e-08	0.0
CBLB	0.0394475829944412	0.0	2.657000991741257e-08	0.0
EZR	0.0394469815205601	0.0	2.657000991741257e-08	0.0
REL	0.0393722454330977	0.0	2.657000991741257e-08	0.0
S100A4	0.0391363031055687	0.0	2.657000991741257e-08	0.0
PRDM1	0.0388754905842128	0.0	2.657000991741257e-08	0.0
CIITA	0.0388650886886228	0.0	2.657000991741257e-08	0.0
C12orf57	0.0386054584360685	0.0	2.657000991741257e-08	0.0
OXNAD1	0.0382098422770051	0.0	2.657000991741257e-08	0.0
PDLIM1	0.0380215520692357	0.0	2.657000991741257e-08	0.0
STX7	0.0379330618206814	0.0	2.657000991741257e-08	0.0
CD5	0.0379322227816918	0.0	2.657000991741257e-08	0.0
LCP2	0.0377097934832889	0.0	2.657000991741257e-08	0.0
PRKCB	0.0376237015890917	0.0	2.657000991741257e-08	0.0
MT-ND2	0.0376086807651145	0.0	2.657000991741257e-08	0.0
NEK6	0.0375616196767561	0.0	2.657000991741257e-08	0.0
JUNB	0.0374788893168416	0.0	2.657000991741257e-08	0.0
ISG20	0.0374621958783207	0.0	2.657000991741257e-08	0.0
GRN	0.0374377090457838	0.0	2.657000991741257e-08	0.0
PARP15	0.0373075182096216	0.0	2.657000991741257e-08	0.0
TCF7	0.0371551656158984	0.0	2.657000991741257e-08	0.0
ERN1	0.0370900826102225	0.0	2.657000991741257e-08	0.0
PRKCQ-AS1	0.0370204458303173	0.0	2.657000991741257e-08	0.0
