Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD74	0.2064851431636355	0.0	1.7444954753173925e-08	0.0
HLA-DRA	0.1965479407502719	0.0	1.7444954753173925e-08	0.0
HLA-DPA1	0.1722178245820604	0.0	1.7444954753173925e-08	0.0
IL7R	0.1684897334161216	0.0	1.7444954753173925e-08	0.0
CD79A	0.1638680399831559	0.0	1.7444954753173925e-08	0.0
MS4A1	0.1589144676073104	0.0	1.7444954753173925e-08	0.0
HLA-DPB1	0.1584152329259144	0.0	1.7444954753173925e-08	0.0
CD3E	0.1483239591752188	0.0	1.7444954753173925e-08	0.0
BANK1	0.1313931760065214	0.0	1.7444954753173925e-08	0.0
IRF8	0.1297399852141859	0.0	1.7444954753173925e-08	0.0
NAPSB_ENSG00000131401	0.108036864040656	0.0	1.7444954753173925e-08	0.0
ARHGAP24	0.1053180967124148	0.0	1.7444954753173925e-08	0.0
CD83	0.1052914826524781	0.0	1.7444954753173925e-08	0.0
MEF2C	0.1049689064563494	0.0	1.7444954753173925e-08	0.0
HLA-DMA	0.1040489041404279	0.0	1.7444954753173925e-08	0.0
HLA-DRB1	0.1039101051673027	0.0	1.7444954753173925e-08	0.0
BLK	0.103491809923545	0.0	1.7444954753173925e-08	0.0
TNFAIP3	0.1027463844745889	0.0	1.7444954753173925e-08	0.0
CD19	0.1024733301203425	0.0	1.7444954753173925e-08	0.0
CD3D	0.1002736644255462	0.0	1.7444954753173925e-08	0.0
FCRLA	0.091724407004466	0.0	1.7444954753173925e-08	0.0
MARCKS	0.0897540890899121	0.0	1.7444954753173925e-08	0.0
LEPROTL1	0.0897004052896911	0.0	1.7444954753173925e-08	0.0
CYBA	0.0873944511039019	0.0	1.7444954753173925e-08	0.0
RALGPS2	0.0850960576821402	0.0	1.7444954753173925e-08	0.0
SWAP70	0.0845459880586997	0.0	1.7444954753173925e-08	0.0
SARAF	0.0834715786288825	0.0	1.7444954753173925e-08	0.0
MARCHF1	0.0809867796899233	0.0	1.7444954753173925e-08	0.0
IL32	0.0809051145979181	0.0	1.7444954753173925e-08	0.0
LY86	0.0805590551777047	0.0	1.7444954753173925e-08	0.0
ITK	0.0784654744984606	0.0	1.7444954753173925e-08	0.0
DNAJB1	0.0767415703611477	0.0	1.7444954753173925e-08	0.0
FYN	0.0747447380489866	0.0	1.7444954753173925e-08	0.0
HVCN1	0.0744908895745052	0.0	1.7444954753173925e-08	0.0
TNFRSF13C	0.0743272722168952	0.0	1.7444954753173925e-08	0.0
LYN	0.0735960113869774	0.0	1.7444954753173925e-08	0.0
FYB1	0.0734733830410267	0.0	1.7444954753173925e-08	0.0
CD79B	0.0730330223950976	0.0	1.7444954753173925e-08	0.0
CD7	0.0715030726396495	0.0	1.7444954753173925e-08	0.0
ARL4C	0.0713254070931454	0.0	1.7444954753173925e-08	0.0
CTSH	0.0701029790605029	0.0	1.7444954753173925e-08	0.0
LEF1	0.068389481939304	0.0	1.7444954753173925e-08	0.0
TNFRSF13B	0.0683004783013512	0.0	1.7444954753173925e-08	0.0
ADAM28	0.0679640688588197	0.0	1.7444954753173925e-08	0.0
SRGN	0.0679085596653151	0.0	1.7444954753173925e-08	0.0
CD37	0.0666959633335481	0.0	1.7444954753173925e-08	0.0
POU2AF1	0.0660380659474126	0.0	1.7444954753173925e-08	0.0
HLA-DRB5	0.065261137124193	0.0	1.7444954753173925e-08	0.0
SMIM14	0.0647775918679353	0.0	1.7444954753173925e-08	0.0
CD247	0.064494059980008	0.0	1.7444954753173925e-08	0.0
CTSZ	0.0643829249795899	0.0	1.7444954753173925e-08	0.0
SEL1L3	0.0643110371863351	0.0	1.7444954753173925e-08	0.0
SCIMP	0.0643048165982679	0.0	1.7444954753173925e-08	0.0
AAK1	0.0639316697593301	0.0	1.7444954753173925e-08	0.0
GIMAP7	0.0637995704264216	0.0	1.7444954753173925e-08	0.0
CYBB	0.0637828123635999	0.0	1.7444954753173925e-08	0.0
CITED2	0.0637703825695989	0.0	1.7444954753173925e-08	0.0
HLA-DQB1	0.0630277437640957	0.0	1.7444954753173925e-08	0.0
SYNGR2	0.0629433403093023	0.0	1.7444954753173925e-08	0.0
POU2F2	0.0623431854638553	0.0	1.7444954753173925e-08	0.0
LAPTM5	0.0622179199974097	0.0	1.7444954753173925e-08	0.0
SYK	0.0619733526071772	0.0	1.7444954753173925e-08	0.0
LINC01781	0.0619290174415037	0.0	1.7444954753173925e-08	0.0
NFKBIA	0.061638463520276	0.0	1.7444954753173925e-08	0.0
CAMK4	0.0616298449996893	0.0	1.7444954753173925e-08	0.0
LCK	0.0612898977403418	0.0	1.7444954753173925e-08	0.0
FCGR2B	0.0609222402205567	0.0	1.7444954753173925e-08	0.0
NDFIP1	0.0604424167972109	0.0	1.7444954753173925e-08	0.0
CD52	0.0602895430790215	0.0	1.7444954753173925e-08	0.0
CD3G	0.0594798434612168	0.0	1.7444954753173925e-08	0.0
IL6ST	0.0588867878298228	0.0	1.7444954753173925e-08	0.0
CD2	0.0588768286115719	0.0	1.7444954753173925e-08	0.0
INPP4B	0.0587553586895153	0.0	1.7444954753173925e-08	0.0
TOB1	0.0580387132801428	0.0	1.7444954753173925e-08	0.0
GIMAP4	0.0579350737642475	0.0	1.7444954753173925e-08	0.0
LAT2	0.056927641178924	0.0	1.7444954753173925e-08	0.0
ETS1	0.0567514916659298	0.0	1.7444954753173925e-08	0.0
PLCG2	0.0564552329004731	0.0	1.7444954753173925e-08	0.0
NCF4	0.056393886144531	0.0	1.7444954753173925e-08	0.0
HLA-DMB	0.0557271437841829	0.0	1.7444954753173925e-08	0.0
FGD2	0.0554471097293055	0.0	1.7444954753173925e-08	0.0
CD22	0.0554099464877244	0.0	1.7444954753173925e-08	0.0
SPOCK2	0.0549612540734957	0.0	1.7444954753173925e-08	0.0
FOS	0.054950373532373	0.0	1.7444954753173925e-08	0.0
CD69	0.0545596996957763	0.0	1.7444954753173925e-08	0.0
TCF4	0.0539463307761826	0.0	1.7444954753173925e-08	0.0
ZAP70	0.0536237443140725	0.0	1.7444954753173925e-08	0.0
NIBAN3	0.0534866307898902	0.0	1.7444954753173925e-08	0.0
BASP1	0.0531928267781185	0.0	1.7444954753173925e-08	0.0
ZFP36L2	0.0531311581151578	0.0	1.7444954753173925e-08	0.0
GNG7	0.0528992659198072	0.0	1.7444954753173925e-08	0.0
BLNK	0.0521106744393566	0.0	1.7444954753173925e-08	0.0
LINC00926	0.0515238564311063	0.0	1.7444954753173925e-08	0.0
PRKCQ-AS1	0.0513555366209108	0.0	1.7444954753173925e-08	0.0
TSPAN3	0.0510047491433454	0.0	1.7444954753173925e-08	0.0
TCF7	0.0500953119701514	0.0	1.7444954753173925e-08	0.0
CD40	0.0494464830595417	0.0	1.7444954753173925e-08	0.0
IFITM1	0.0492833029703389	0.0	1.7444954753173925e-08	0.0
HLA-DQA1	0.0492250380491908	0.0	1.7444954753173925e-08	0.0
COBLL1	0.0483470112820651	0.0	1.7444954753173925e-08	0.0
C12orf57	0.048311226790272	0.0	1.7444954753173925e-08	0.0
BCL11B	0.0480949068398281	0.0	1.7444954753173925e-08	0.0
BCL11A	0.0475652355260933	0.0	1.7444954753173925e-08	0.0
ITM2B	0.0475231042764087	0.0	1.7444954753173925e-08	0.0
VPREB3	0.0472316980713661	0.0	1.7444954753173925e-08	0.0
ANXA1	0.047119837248791	0.0	1.7444954753173925e-08	0.0
PRKCH	0.0469466913323711	0.0	1.7444954753173925e-08	0.0
LINC02397	0.0469278170000047	0.0	1.7444954753173925e-08	0.0
RGCC	0.046702217975149	0.0	1.7444954753173925e-08	0.0
CD24	0.0465971255655379	0.0	1.7444954753173925e-08	0.0
AIM2	0.0465155903897586	0.0	1.7444954753173925e-08	0.0
FBXO32	0.0460801302515761	0.0	1.7444954753173925e-08	0.0
ENSG00000285417.1	0.0458190678353834	0.0	1.7444954753173925e-08	0.0
SPI1	0.0457796321636381	0.0	1.7444954753173925e-08	0.0
