Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1310644721134886	0.0	2.3078099219389777e-08	0.0
TXNDC5	0.1227997036415024	0.0	2.3078099219389777e-08	0.0
RPL30	0.1208999277575798	0.0	2.3078099219389777e-08	0.0
RPL34	0.1190228938366589	0.0	2.3078099219389777e-08	0.0
RPS27	0.1170329951714974	0.0	2.3078099219389777e-08	0.0
BTG1	0.1148673769819324	0.0	2.3078099219389777e-08	0.0
RPL39	0.1132308842272604	0.0	2.3078099219389777e-08	0.0
DERL3	0.1125810054420768	0.0	2.3078099219389777e-08	0.0
EEF1A1	0.1114402915518529	0.0	2.3078099219389777e-08	0.0
RPS27A	0.1100930803559247	0.0	2.3078099219389777e-08	0.0
RPS12	0.1094756165443573	0.0	2.3078099219389777e-08	0.0
RPL32	0.1078714241605238	0.0	2.3078099219389777e-08	0.0
PRDX4	0.1056120122741325	0.0	2.3078099219389777e-08	0.0
JUND	0.1055559310668707	0.0	2.3078099219389777e-08	0.0
IL7R	0.1042326432735348	0.0	2.3078099219389777e-08	0.0
DUSP1	0.10345599913236	0.0	2.3078099219389777e-08	0.0
SEC11C	0.1029627926786503	0.0	2.3078099219389777e-08	0.0
RPS3	0.1014384359571687	0.0	2.3078099219389777e-08	0.0
RPS3A	0.1014134510450404	0.0	2.3078099219389777e-08	0.0
POU2AF1	0.1013053261305272	0.0	2.3078099219389777e-08	0.0
RPL10	0.0984988354130362	0.0	2.3078099219389777e-08	0.0
PNRC1	0.0981058690189351	0.0	2.3078099219389777e-08	0.0
RPS23	0.0980704789811304	0.0	2.3078099219389777e-08	0.0
RPL11	0.0954021291762873	0.0	2.3078099219389777e-08	0.0
JCHAIN	0.0949193083316968	0.0	2.3078099219389777e-08	0.0
SARAF	0.0949092004205298	0.0	2.3078099219389777e-08	0.0
CD38	0.094635834277384	0.0	2.3078099219389777e-08	0.0
MYDGF	0.0942816586980681	0.0	2.3078099219389777e-08	0.0
RPS14	0.0941211150747806	0.0	2.3078099219389777e-08	0.0
RPL13	0.0940670640483197	0.0	2.3078099219389777e-08	0.0
RPS25	0.092092960393966	0.0	2.3078099219389777e-08	0.0
RPS15A	0.0916779108263597	0.0	2.3078099219389777e-08	0.0
PDIA6	0.0901024754139188	0.0	2.3078099219389777e-08	0.0
TNFRSF17	0.0896222665927703	0.0	2.3078099219389777e-08	0.0
