Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.2758467886144735	0.0	2.040163899301068e-08	0.0
MS4A1	0.2427491010002581	0.0	2.040163899301068e-08	0.0
HLA-DPB1	0.2143817443689461	0.0	2.040163899301068e-08	0.0
BANK1	0.2124483378455773	0.0	2.040163899301068e-08	0.0
IRF8	0.212147575233754	0.0	2.040163899301068e-08	0.0
CD74	0.2049291002800484	0.0	2.040163899301068e-08	0.0
HLA-DPA1	0.1990924230920421	0.0	2.040163899301068e-08	0.0
NAPSB_ENSG00000131401	0.1923987502543812	0.0	2.040163899301068e-08	0.0
CD79A	0.1868812572292256	0.0	2.040163899301068e-08	0.0
BLK	0.1867123023131244	0.0	2.040163899301068e-08	0.0
ARHGAP24	0.182919808312001	0.0	2.040163899301068e-08	0.0
CD83	0.1776739914790689	0.0	2.040163899301068e-08	0.0
CD19	0.1677765289541664	0.0	2.040163899301068e-08	0.0
FCRLA	0.156335051790578	0.0	2.040163899301068e-08	0.0
MARCHF1	0.1551897998606344	0.0	2.040163899301068e-08	0.0
HLA-DRB1	0.1512732295907045	0.0	2.040163899301068e-08	0.0
CD37	0.1495476026214409	0.0	2.040163899301068e-08	0.0
TNFRSF13C	0.1384745011978227	0.0	2.040163899301068e-08	0.0
SWAP70	0.1369752083457599	0.0	2.040163899301068e-08	0.0
LY86	0.1350238671771156	0.0	2.040163899301068e-08	0.0
HLA-DMA	0.1324030901679477	0.0	2.040163899301068e-08	0.0
CD52	0.1312969983121256	0.0	2.040163899301068e-08	0.0
SMIM14	0.1242440975872314	0.0	2.040163899301068e-08	0.0
ADAM28	0.1239816875680417	0.0	2.040163899301068e-08	0.0
XBP1	0.1230402766627944	0.0	2.040163899301068e-08	0.0
TXNIP	0.122348588048068	0.0	2.040163899301068e-08	0.0
RALGPS2	0.1222722618619316	0.0	2.040163899301068e-08	0.0
LAPTM5	0.1222118229795039	0.0	2.040163899301068e-08	0.0
HVCN1	0.1212613045916661	0.0	2.040163899301068e-08	0.0
LINC01781	0.1202991025049161	0.0	2.040163899301068e-08	0.0
SCIMP	0.1143711754810712	0.0	2.040163899301068e-08	0.0
FKBP11	0.1136797952046635	0.0	2.040163899301068e-08	0.0
NIBAN3	0.1103832494448025	0.0	2.040163899301068e-08	0.0
LINC00926	0.1100698170976013	0.0	2.040163899301068e-08	0.0
MZB1	0.1086904252301974	0.0	2.040163899301068e-08	0.0
PPIB	0.1086763205426375	0.0	2.040163899301068e-08	0.0
SDF2L1	0.108602590004161	0.0	2.040163899301068e-08	0.0
CD22	0.1078038571402755	0.0	2.040163899301068e-08	0.0
BCL11A	0.1072898370541632	0.0	2.040163899301068e-08	0.0
ZFP36L1	0.1059686157865038	0.0	2.040163899301068e-08	0.0
MARCKS	0.1059481333907399	0.0	2.040163899301068e-08	0.0
ZFAS1	0.1048536452066312	0.0	2.040163899301068e-08	0.0
LYN	0.103626828667259	0.0	2.040163899301068e-08	0.0
HLA-DMB	0.1014928264557785	0.0	2.040163899301068e-08	0.0
HLA-DQB1	0.0995712253489031	0.0	2.040163899301068e-08	0.0
PRDM1	0.0989568629982054	0.0	2.040163899301068e-08	0.0
SEC11C	0.0989371724746975	0.0	2.040163899301068e-08	0.0
CD40	0.0988413599183985	0.0	2.040163899301068e-08	0.0
STAG3	0.0973542536713575	0.0	2.040163899301068e-08	0.0
VPREB3	0.0969211496754161	0.0	2.040163899301068e-08	0.0
RPL39	0.0969101179183902	0.0	2.040163899301068e-08	0.0
HLA-DRB5	0.0955770442190036	0.0	2.040163899301068e-08	0.0
CYBB	0.0943038884698785	0.0	2.040163899301068e-08	0.0
RPL34	0.0936207308768565	0.0	2.040163899301068e-08	0.0
AFF3	0.0930686158054507	0.0	2.040163899301068e-08	0.0
MEF2C	0.0927970377020511	0.0	2.040163899301068e-08	0.0
SUB1	0.0926721344373898	0.0	2.040163899301068e-08	0.0
CD24	0.0917663724178277	0.0	2.040163899301068e-08	0.0
POU2F2	0.0913817182774025	0.0	2.040163899301068e-08	0.0
PFDN5	0.0907075070586996	0.0	2.040163899301068e-08	0.0
LINC02397	0.0903130934517255	0.0	2.040163899301068e-08	0.0
RPS23	0.0896657484792167	0.0	2.040163899301068e-08	0.0
MYDGF	0.089406834312792	0.0	2.040163899301068e-08	0.0
CYTOR	0.0857573780559036	0.0	2.040163899301068e-08	0.0
RUBCNL	0.0847120312544815	0.0	2.040163899301068e-08	0.0
FGD2	0.0845940439642592	0.0	2.040163899301068e-08	0.0
RPL12	0.0844552088763537	0.0	2.040163899301068e-08	0.0
TXNDC5	0.0837313776479815	0.0	2.040163899301068e-08	0.0
HSP90B1	0.0834840240120224	0.0	2.040163899301068e-08	0.0
RPL9	0.0833960194500965	0.0	2.040163899301068e-08	0.0
TSPAN3	0.0827039023400942	0.0	2.040163899301068e-08	0.0
SSR4	0.0825308972471945	0.0	2.040163899301068e-08	0.0
PRDX4	0.0823827399354699	0.0	2.040163899301068e-08	0.0
EEF1A1	0.0822652392755535	0.0	2.040163899301068e-08	0.0
CD38	0.0821022734037432	0.0	2.040163899301068e-08	0.0
AIM2	0.0820139687608168	0.0	2.040163899301068e-08	0.0
RPS14	0.0818503784983204	0.0	2.040163899301068e-08	0.0
RPL32	0.0812062846987303	0.0	2.040163899301068e-08	0.0
NT5E	0.0812036262048768	0.0	2.040163899301068e-08	0.0
HSPA5	0.0809583919189589	0.0	2.040163899301068e-08	0.0
CD3E	0.0801781516020917	0.0	2.040163899301068e-08	0.0
LTB	0.0801480832724093	0.0	2.040163899301068e-08	0.0
LY9	0.0800465879251662	0.0	2.040163899301068e-08	0.0
LAT2	0.0794225654801662	0.0	2.040163899301068e-08	0.0
MT-ND3	0.0784116348306384	0.0	2.040163899301068e-08	0.0
RPS27	0.0780807405332288	0.0	2.040163899301068e-08	0.0
NUCB2	0.0778098710974675	0.0	2.040163899301068e-08	0.0
RPS12	0.0777820486477012	0.0	2.040163899301068e-08	0.0
AQP3	0.0777410506604095	0.0	2.040163899301068e-08	0.0
PLEKHF2	0.077641297269172	0.0	2.040163899301068e-08	0.0
TMSB4X	0.077589505868069	0.0	2.040163899301068e-08	0.0
FCRL1	0.077462562007385	0.0	2.040163899301068e-08	0.0
FCER2	0.0774353682500448	0.0	2.040163899301068e-08	0.0
DERL3	0.0773067448466938	0.0	2.040163899301068e-08	0.0
SEC61B	0.0769160488267681	0.0	2.040163899301068e-08	0.0
PAX5	0.0768022702266293	0.0	2.040163899301068e-08	0.0
RPL13	0.0762013445828941	0.0	2.040163899301068e-08	0.0
PARP15	0.0761156959694932	0.0	2.040163899301068e-08	0.0
PDIA4	0.07611485702933	0.0	2.040163899301068e-08	0.0
TNFRSF13B	0.0761092720791122	0.0	2.040163899301068e-08	0.0
HLA-DQA1	0.0760428565960879	0.0	2.040163899301068e-08	0.0
FTH1	0.0755950856994534	0.0	2.040163899301068e-08	0.0
RNASET2	0.0747190786735889	0.0	2.040163899301068e-08	0.0
PDIA6	0.074652533315374	0.0	2.040163899301068e-08	0.0
RPS9	0.0745373467681755	0.0	2.040163899301068e-08	0.0
GAS5	0.0739173265234447	0.0	2.040163899301068e-08	0.0
RPL37	0.0735745299056026	0.0	2.040163899301068e-08	0.0
REL	0.0733245400420407	0.0	2.040163899301068e-08	0.0
RPS25	0.0732409964786315	0.0	2.040163899301068e-08	0.0
