Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
RPL34	0.0784384648587572	0.0	1.8206637418654745e-08	0.0
RPL30	0.0778860841795353	0.0	1.8206637418654745e-08	0.0
RPL39	0.0758018839193549	0.0	1.8206637418654745e-08	0.0
RPL32	0.0738932483540778	0.0	1.8206637418654745e-08	0.0
RPS12	0.0725307307228827	0.0	1.8206637418654745e-08	0.0
EEF1A1	0.0707509327086331	0.0	1.8206637418654745e-08	0.0
RPS27	0.0703372375119182	0.0	1.8206637418654745e-08	0.0
MZB1	0.0676396049657128	0.0	1.8206637418654745e-08	0.0
RPS3A	0.0673884133805121	0.0	1.8206637418654745e-08	0.0
RPS27A	0.066980203854962	0.0	1.8206637418654745e-08	0.0
RPS14	0.0655626978092272	0.0	1.8206637418654745e-08	0.0
RPL10	0.0654277209034355	0.0	1.8206637418654745e-08	0.0
RPS3	0.0651493322505194	0.0	1.8206637418654745e-08	0.0
RPS23	0.0645144588627225	0.0	1.8206637418654745e-08	0.0
RPL11	0.0641760980478294	0.0	1.8206637418654745e-08	0.0
RPL13	0.0639246795576359	0.0	1.8206637418654745e-08	0.0
RPS15A	0.0600541748025748	0.0	1.8206637418654745e-08	0.0
TXNDC5	0.0599048393181652	0.0	1.8206637418654745e-08	0.0
RPS13	0.0594476759878267	0.0	1.8206637418654745e-08	0.0
RPL35A	0.058003038708645	0.0	1.8206637418654745e-08	0.0
RPS21	0.0577460430755056	0.0	1.8206637418654745e-08	0.0
RPS25	0.0570887790590819	0.0	1.8206637418654745e-08	0.0
RPS28	0.0568102039338295	0.0	1.8206637418654745e-08	0.0
RPL19	0.056702929136966	0.0	1.8206637418654745e-08	0.0
BTG1	0.0563454978564184	0.0	1.8206637418654745e-08	0.0
DERL3	0.0563223049216692	0.0	1.8206637418654745e-08	0.0
FAU	0.0558412396910216	0.0	1.8206637418654745e-08	0.0
SEC11C	0.0542669732335484	0.0	1.8206637418654745e-08	0.0
RPL3	0.0541282185071636	0.0	1.8206637418654745e-08	0.0
RPL37	0.0540667111788528	0.0	1.8206637418654745e-08	0.0
RPL9	0.0539808367757773	0.0	1.8206637418654745e-08	0.0
TNFRSF17	0.053384823054618	0.0	1.8206637418654745e-08	0.0
TPT1	0.053352831706659	0.0	1.8206637418654745e-08	0.0
