Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.2030783436681688	0.0	2.9510670553446827e-08	0.0
MS4A1	0.1677123437809451	0.0	2.9510670553446827e-08	0.0
HLA-DPB1	0.1595277253353453	0.0	2.9510670553446827e-08	0.0
IRF8	0.1577705515642838	0.0	2.9510670553446827e-08	0.0
BANK1	0.1528521864074337	0.0	2.9510670553446827e-08	0.0
NAPSB_ENSG00000131401	0.1423710818444675	0.0	2.9510670553446827e-08	0.0
XBP1	0.1410744060300278	0.0	2.9510670553446827e-08	0.0
ARHGAP24	0.1377844528101397	0.0	2.9510670553446827e-08	0.0
MZB1	0.1344193771268078	0.0	2.9510670553446827e-08	0.0
CD83	0.1343262217591506	0.0	2.9510670553446827e-08	0.0
HLA-DPA1	0.1336236753888994	0.0	2.9510670553446827e-08	0.0
FKBP11	0.1316882403720956	0.0	2.9510670553446827e-08	0.0
BLK	0.1281612969959941	0.0	2.9510670553446827e-08	0.0
CD38	0.1225314397134068	0.0	2.9510670553446827e-08	0.0
PRDM1	0.1196667996532118	0.0	2.9510670553446827e-08	0.0
FCRLA	0.1192046291547325	0.0	2.9510670553446827e-08	0.0
HLA-DRB1	0.1180970579199258	0.0	2.9510670553446827e-08	0.0
MARCHF1	0.1180881927859496	0.0	2.9510670553446827e-08	0.0
CD79A	0.1163064199468957	0.0	2.9510670553446827e-08	0.0
CD19	0.1145622316514974	0.0	2.9510670553446827e-08	0.0
SDF2L1	0.111406828382121	0.0	2.9510670553446827e-08	0.0
DERL3	0.1093046163812098	0.0	2.9510670553446827e-08	0.0
SEC11C	0.1089749366782311	0.0	2.9510670553446827e-08	0.0
LY86	0.1085743795161904	0.0	2.9510670553446827e-08	0.0
CYTOR	0.1066831697810985	0.0	2.9510670553446827e-08	0.0
TXNDC5	0.1040503796779624	0.0	2.9510670553446827e-08	0.0
SWAP70	0.1030369694560668	0.0	2.9510670553446827e-08	0.0
TNFRSF17	0.1017003615062432	0.0	2.9510670553446827e-08	0.0
CD74	0.0999000435289986	0.0	2.9510670553446827e-08	0.0
IGHG1	0.0993160303183314	0.0	2.9510670553446827e-08	0.0
ZFAS1	0.0988667985542412	0.0	2.9510670553446827e-08	0.0
TNFRSF13C	0.0985224207167468	0.0	2.9510670553446827e-08	0.0
CD37	0.0973716326477091	0.0	2.9510670553446827e-08	0.0
SMIM14	0.0954162193264498	0.0	2.9510670553446827e-08	0.0
CD52	0.09489914273821	0.0	2.9510670553446827e-08	0.0
PRDX4	0.093474380696831	0.0	2.9510670553446827e-08	0.0
ZBP1	0.0927649447780116	0.0	2.9510670553446827e-08	0.0
AQP3	0.0926977837251236	0.0	2.9510670553446827e-08	0.0
ERN1	0.0922019006455232	0.0	2.9510670553446827e-08	0.0
NUCB2	0.0914638353099147	0.0	2.9510670553446827e-08	0.0
IGLL5	0.0914065958761361	0.0	2.9510670553446827e-08	0.0
PPIB	0.090947944827142	0.0	2.9510670553446827e-08	0.0
HLA-DMA	0.0909297142806795	0.0	2.9510670553446827e-08	0.0
HVCN1	0.0906723555800998	0.0	2.9510670553446827e-08	0.0
JCHAIN	0.0898907122980508	0.0	2.9510670553446827e-08	0.0
HSPA5	0.0884907490760221	0.0	2.9510670553446827e-08	0.0
PDIA4	0.0876848795732826	0.0	2.9510670553446827e-08	0.0
IGHG3	0.0865121140259323	0.0	2.9510670553446827e-08	0.0
LINC03034	0.0863998348252264	0.0	2.9510670553446827e-08	0.0
SCIMP	0.0857359336592741	0.0	2.9510670553446827e-08	0.0
MYDGF	0.0852722460759965	0.0	2.9510670553446827e-08	0.0
ISG20	0.0850927788428492	0.0	2.9510670553446827e-08	0.0
SUB1	0.0842352487195931	0.0	2.9510670553446827e-08	0.0
GGH	0.0841747217310771	0.0	2.9510670553446827e-08	0.0
HLA-DMB	0.0831717720235171	0.0	2.9510670553446827e-08	0.0
SLC38A5	0.0830752668321217	0.0	2.9510670553446827e-08	0.0
ZFP36L1	0.0827628795122754	0.0	2.9510670553446827e-08	0.0
IGHG2	0.0827107694449842	0.0	2.9510670553446827e-08	0.0
MANF	0.0817108490045521	0.0	2.9510670553446827e-08	0.0
CD22	0.079763427087392	0.0	2.9510670553446827e-08	0.0
LAPTM5	0.0794867706901255	0.0	2.9510670553446827e-08	0.0
TENT5C	0.0794387005025089	0.0	2.9510670553446827e-08	0.0
HSP90B1	0.0793832704531748	0.0	2.9510670553446827e-08	0.0
TXNIP	0.0789327887855737	0.0	2.9510670553446827e-08	0.0
LINC01781	0.07855656993932	0.0	2.9510670553446827e-08	0.0
ADAM28	0.0782646730997589	0.0	2.9510670553446827e-08	0.0
HMGB3	0.0780029199549974	0.0	2.9510670553446827e-08	0.0
LMAN1	0.0780021762043834	0.0	2.9510670553446827e-08	0.0
NIBAN3	0.0779173277797853	0.0	2.9510670553446827e-08	0.0
HLA-DQB1	0.0770865553932242	0.0	2.9510670553446827e-08	0.0
PDIA6	0.0767215742821416	0.0	2.9510670553446827e-08	0.0
LINC00926	0.0767019132841728	0.0	2.9510670553446827e-08	0.0
GLCCI1	0.0766658640808256	0.0	2.9510670553446827e-08	0.0
IGKC	0.0756684324570915	0.0	2.9510670553446827e-08	0.0
SDC1	0.075401392719237	0.0	2.9510670553446827e-08	0.0
GMPPB	0.0749804394093789	0.0	2.9510670553446827e-08	0.0
PIM2	0.0742179739196332	0.0	2.9510670553446827e-08	0.0
SSR4	0.0738905166208699	0.0	2.9510670553446827e-08	0.0
S100A6	0.0737979024557133	0.0	2.9510670553446827e-08	0.0
CYBB	0.0736920699096427	0.0	2.9510670553446827e-08	0.0
SPAG4	0.0736748375861206	0.0	2.9510670553446827e-08	0.0
HLA-DRB5	0.0733537539645014	0.0	2.9510670553446827e-08	0.0
SSR3	0.0732038213973522	0.0	2.9510670553446827e-08	0.0
FTH1	0.0727240538655695	0.0	2.9510670553446827e-08	0.0
GSN	0.0723830361815286	0.0	2.9510670553446827e-08	0.0
SPCS3	0.0721781676571837	0.0	2.9510670553446827e-08	0.0
VPREB3	0.07184254659234	0.0	2.9510670553446827e-08	0.0
TYMS	0.0714225490669864	0.0	2.9510670553446827e-08	0.0
FER1L4	0.0712745384799101	0.0	2.9510670553446827e-08	0.0
ABCB9	0.0712019005350322	0.0	2.9510670553446827e-08	0.0
SLAMF7	0.0701537345614313	0.0	2.9510670553446827e-08	0.0
MARCKS	0.0698066067983741	0.0	2.9510670553446827e-08	0.0
CHPF	0.0690309053691673	0.0	2.9510670553446827e-08	0.0
CKAP4	0.0689516895619126	0.0	2.9510670553446827e-08	0.0
KDELR2	0.0688121868173023	0.0	2.9510670553446827e-08	0.0
CRELD2	0.0687496413471033	0.0	2.9510670553446827e-08	0.0
BCL11A	0.0684607527645403	0.0	2.9510670553446827e-08	0.0
IGHG4	0.0684599537212057	0.0	2.9510670553446827e-08	0.0
RPN2	0.0682094044487524	0.0	2.9510670553446827e-08	0.0
MEF2C	0.0680564075380753	0.0	2.9510670553446827e-08	0.0
ITM2C	0.0678566570645911	0.0	2.9510670553446827e-08	0.0
CD3E	0.067693342857748	0.0	2.9510670553446827e-08	0.0
AFF3	0.0676436299659258	0.0	2.9510670553446827e-08	0.0
MKI67	0.0673149934351157	0.0	2.9510670553446827e-08	0.0
NT5DC2	0.0672783259190964	0.0	2.9510670553446827e-08	0.0
P4HB	0.0672477226758787	0.0	2.9510670553446827e-08	0.0
CD40	0.0671750356123771	0.0	2.9510670553446827e-08	0.0
TXNDC11	0.0670531888312908	0.0	2.9510670553446827e-08	0.0
RALGPS2	0.0668729515142309	0.0	2.9510670553446827e-08	0.0
SEC61A1	0.0666189314451934	0.0	2.9510670553446827e-08	0.0
LYN	0.0665776613237808	0.0	2.9510670553446827e-08	0.0
CLPTM1L	0.0663549284721059	0.0	2.9510670553446827e-08	0.0
STAG3	0.0662084768605766	0.0	2.9510670553446827e-08	0.0
DCPS	0.0661043401888288	0.0	2.9510670553446827e-08	0.0
CST3	0.0659453030515955	0.0	2.9510670553446827e-08	0.0
TRIB1	0.0659149139849198	0.0	2.9510670553446827e-08	0.0
STT3A	0.0658003786819752	0.0	2.9510670553446827e-08	0.0
PARP15	0.0657412934657824	0.0	2.9510670553446827e-08	0.0
CFD	0.0646023859484699	0.0	2.9510670553446827e-08	0.0
TMSB4X	0.0640473178927718	0.0	2.9510670553446827e-08	0.0
ANKRD36BP2_ENSG00000230006	0.0640459321528308	0.0	2.9510670553446827e-08	0.0
HYOU1	0.063336772160967	0.0	2.9510670553446827e-08	0.0
MT-ND2	0.0632338859690231	0.0	2.9510670553446827e-08	0.0
REL	0.0631964425177614	0.0	2.9510670553446827e-08	0.0
CHST2	0.0630436673868183	0.0	2.9510670553446827e-08	0.0
SERPING1	0.0630425625004426	0.0	2.9510670553446827e-08	0.0
SELENOP	0.0626569188447081	0.0	2.9510670553446827e-08	0.0
AHNAK	0.0625604222351384	0.0	2.9510670553446827e-08	0.0
SEC24A	0.0623807458920779	0.0	2.9510670553446827e-08	0.0
SPCS2	0.0623328429488343	0.0	2.9510670553446827e-08	0.0
RUBCNL	0.0622499496609492	0.0	2.9510670553446827e-08	0.0
LRP1	0.0618332969268785	0.0	2.9510670553446827e-08	0.0
CD24	0.0617721400493523	0.0	2.9510670553446827e-08	0.0
FGD2	0.0608930144554031	0.0	2.9510670553446827e-08	0.0
LINC01857	0.0608618238418683	0.0	2.9510670553446827e-08	0.0
IGLC2	0.0607551036781265	0.0	2.9510670553446827e-08	0.0
POU2F2	0.060649213860403	0.0	2.9510670553446827e-08	0.0
FNDC3B	0.060417271690975	0.0	2.9510670553446827e-08	0.0
GPX3	0.0598747475536262	0.0	2.9510670553446827e-08	0.0
POU2AF1	0.0598680262280959	0.0	2.9510670553446827e-08	0.0
TNFRSF13B	0.0597947986289506	0.0	2.9510670553446827e-08	0.0
SRPRB	0.0597750129427581	0.0	2.9510670553446827e-08	0.0
CAPG	0.059711174123545	0.0	2.9510670553446827e-08	0.0
ENSG00000258572.1	0.0596781568762938	0.0	2.9510670553446827e-08	0.0
CD3D	0.0593617124161083	0.0	2.9510670553446827e-08	0.0
GAS5	0.0592467248170353	0.0	2.9510670553446827e-08	0.0
RRM2	0.0592444695361025	0.0	2.9510670553446827e-08	0.0
FCGRT	0.05920237631453	0.0	2.9510670553446827e-08	0.0
CHPT1	0.0590639146675432	0.0	2.9510670553446827e-08	0.0
PLPP5	0.0590364395001151	0.0	2.9510670553446827e-08	0.0
OSTC	0.0589512333033418	0.0	2.9510670553446827e-08	0.0
SEC61B	0.058798426155524	0.0	2.9510670553446827e-08	0.0
PFDN5	0.0587612128346874	0.0	2.9510670553446827e-08	0.0
RRBP1	0.0586568242925994	0.0	2.9510670553446827e-08	0.0
SAR1B	0.0585532464177824	0.0	2.9510670553446827e-08	0.0
DNAJB11	0.0585507670613063	0.0	2.9510670553446827e-08	0.0
TXNDC15	0.0585244618844921	0.0	2.9510670553446827e-08	0.0
TMED9	0.0583071927547255	0.0	2.9510670553446827e-08	0.0
PIM1	0.0581532819273002	0.0	2.9510670553446827e-08	0.0
CCDC167	0.0580334973141033	0.0	2.9510670553446827e-08	0.0
BCAS4	0.0578728155557839	0.0	2.9510670553446827e-08	0.0
H1-5	0.057326644471204	0.0	2.9510670553446827e-08	0.0
LMAN2	0.0573255228955806	0.0	2.9510670553446827e-08	0.0
CDKN3	0.0572828534497007	0.0	2.9510670553446827e-08	0.0
RNASET2	0.0572418894403912	0.0	2.9510670553446827e-08	0.0
H1-10	0.0571305372722393	0.0	2.9510670553446827e-08	0.0
ALG5	0.0570884862907948	0.0	2.9510670553446827e-08	0.0
LTB	0.0567064836165572	0.0	2.9510670553446827e-08	0.0
DDOST	0.0564915541740592	0.0	2.9510670553446827e-08	0.0
AIM2	0.0564903443926368	0.0	2.9510670553446827e-08	0.0
SLC35B1	0.0564431625330773	0.0	2.9510670553446827e-08	0.0
ENSG00000257221.4	0.0563414934250875	0.0	2.9510670553446827e-08	0.0
HLA-DQA1	0.0562281836240068	0.0	2.9510670553446827e-08	0.0
SEC61G	0.0560013746155458	0.0	2.9510670553446827e-08	0.0
CEBPD	0.0559924257569214	0.0	2.9510670553446827e-08	0.0
IL32	0.055982119291044	0.0	2.9510670553446827e-08	0.0
SPI1	0.0559766045420552	0.0	2.9510670553446827e-08	0.0
CTSB	0.0556178624298432	0.0	2.9510670553446827e-08	0.0
PDIA5	0.0555819173479137	0.0	2.9510670553446827e-08	0.0
PYCR1	0.0555730341041537	0.0	2.9510670553446827e-08	0.0
APOE	0.0554599678671303	0.0	2.9510670553446827e-08	0.0
ALOX5	0.0554160495821705	0.0	2.9510670553446827e-08	0.0
HDLBP	0.0551273214266365	0.0	2.9510670553446827e-08	0.0
CD82	0.0550530901732304	0.0	2.9510670553446827e-08	0.0
SHCBP1	0.0550010302369766	0.0	2.9510670553446827e-08	0.0
CEP128	0.0549293405002431	0.0	2.9510670553446827e-08	0.0
HM13	0.0549025791229992	0.0	2.9510670553446827e-08	0.0
IL13RA1	0.0547994146095027	0.0	2.9510670553446827e-08	0.0
SLC7A5	0.0547423976692879	0.0	2.9510670553446827e-08	0.0
MIR4435-2HG	0.0544622070677573	0.0	2.9510670553446827e-08	0.0
LAT2	0.0541957174948368	0.0	2.9510670553446827e-08	0.0
BHLHA15	0.0541604501936295	0.0	2.9510670553446827e-08	0.0
APOC1	0.0538675916649739	0.0	2.9510670553446827e-08	0.0
FCRL5	0.0538276364614604	0.0	2.9510670553446827e-08	0.0
SEC13	0.053788272422244	0.0	2.9510670553446827e-08	0.0
BUB1	0.0536034287352581	0.0	2.9510670553446827e-08	0.0
POLD4	0.0535889458282555	0.0	2.9510670553446827e-08	0.0
SELPLG	0.0535738124769367	0.0	2.9510670553446827e-08	0.0
PAX5	0.0534296819091334	0.0	2.9510670553446827e-08	0.0
ERLEC1	0.0533592755282965	0.0	2.9510670553446827e-08	0.0
DERL1	0.0533215822207465	0.0	2.9510670553446827e-08	0.0
ITGA6	0.0531836187080203	0.0	2.9510670553446827e-08	0.0
NT5E	0.0531447048795335	0.0	2.9510670553446827e-08	0.0
DRAM2	0.0530752401055415	0.0	2.9510670553446827e-08	0.0
GINS2	0.0530741230860465	0.0	2.9510670553446827e-08	0.0
TYROBP	0.0530089256927558	0.0	2.9510670553446827e-08	0.0
IDH2	0.0528747594150718	0.0	2.9510670553446827e-08	0.0
ZWINT	0.0527353793137574	0.0	2.9510670553446827e-08	0.0
TMEM176B	0.0526609453215488	0.0	2.9510670553446827e-08	0.0
SELENOS	0.0523938142004154	0.0	2.9510670553446827e-08	0.0
NUPR1	0.0523229016827036	0.0	2.9510670553446827e-08	0.0
CIITA	0.0522610765975877	0.0	2.9510670553446827e-08	0.0
PHF19	0.0521641827331489	0.0	2.9510670553446827e-08	0.0
PIK3AP1	0.0521352147833174	0.0	2.9510670553446827e-08	0.0
LIME1	0.0520930860065491	0.0	2.9510670553446827e-08	0.0
BIRC5	0.0520008308787915	0.0	2.9510670553446827e-08	0.0
FKBP2	0.0519405716522071	0.0	2.9510670553446827e-08	0.0
PDK1	0.0518058083989586	0.0	2.9510670553446827e-08	0.0
SRGN	0.0517168333519263	0.0	2.9510670553446827e-08	0.0
LRRC59	0.0517097153928796	0.0	2.9510670553446827e-08	0.0
TK1	0.0515555072895804	0.0	2.9510670553446827e-08	0.0
FCRL1	0.0515390472983422	0.0	2.9510670553446827e-08	0.0
SRM	0.0514148170845571	0.0	2.9510670553446827e-08	0.0
LINC02397	0.0513468500386631	0.0	2.9510670553446827e-08	0.0
CD163	0.0512779238789798	0.0	2.9510670553446827e-08	0.0
FCER2	0.0511326212713171	0.0	2.9510670553446827e-08	0.0
S100A10	0.051121091504502	0.0	2.9510670553446827e-08	0.0
MEI1	0.0508596647033216	0.0	2.9510670553446827e-08	0.0
HMCES	0.0507827320741814	0.0	2.9510670553446827e-08	0.0
MYBL2	0.0506885789649818	0.0	2.9510670553446827e-08	0.0
FCMR	0.050676709512029	0.0	2.9510670553446827e-08	0.0
TSPAN33	0.0506599424336049	0.0	2.9510670553446827e-08	0.0
UVRAG	0.0505601835031781	0.0	2.9510670553446827e-08	0.0
ASPM	0.0505579906295198	0.0	2.9510670553446827e-08	0.0
CD7	0.0505186356034453	0.0	2.9510670553446827e-08	0.0
TFPI	0.0504596975494835	0.0	2.9510670553446827e-08	0.0
PSME2	0.0502177756767743	0.0	2.9510670553446827e-08	0.0
PTTG1	0.0501349159179777	0.0	2.9510670553446827e-08	0.0
CNPY3	0.0499678279760491	0.0	2.9510670553446827e-08	0.0
CLECL1P	0.049738273110871	0.0	2.9510670553446827e-08	0.0
NOTCH2	0.0497052242526746	0.0	2.9510670553446827e-08	0.0
CD79B	0.0496744813468249	0.0	2.9510670553446827e-08	0.0
BRI3	0.0496353560721136	0.0	2.9510670553446827e-08	0.0
SPCS1	0.0496346886061041	0.0	2.9510670553446827e-08	0.0
DAB2	0.0495900206143806	0.0	2.9510670553446827e-08	0.0
BCL2L11	0.0495036914787507	0.0	2.9510670553446827e-08	0.0
TNFAIP3	0.0494275262337107	0.0	2.9510670553446827e-08	0.0
DUSP1	0.0494202887135226	0.0	2.9510670553446827e-08	0.0
NCF4	0.0493452472294461	0.0	2.9510670553446827e-08	0.0
RNF130	0.0492196534044777	0.0	2.9510670553446827e-08	0.0
LY9	0.0492088234579237	0.0	2.9510670553446827e-08	0.0
CLSPN	0.0492071578578012	0.0	2.9510670553446827e-08	0.0
GLUL	0.0490563446227446	0.0	2.9510670553446827e-08	0.0
GPNMB	0.0490385930522139	0.0	2.9510670553446827e-08	0.0
S100A11	0.0490078029039592	0.0	2.9510670553446827e-08	0.0
SEL1L3	0.048930328486565	0.0	2.9510670553446827e-08	0.0
LYZ	0.0487386459899714	0.0	2.9510670553446827e-08	0.0
MLEC	0.0487254937636934	0.0	2.9510670553446827e-08	0.0
TOMM7	0.0486877976517426	0.0	2.9510670553446827e-08	0.0
SP110	0.0486412092000267	0.0	2.9510670553446827e-08	0.0
IL7R	0.0485754051322028	0.0	2.9510670553446827e-08	0.0
TMEM176A	0.0485434618015458	0.0	2.9510670553446827e-08	0.0
FCER1G	0.0483729912992454	0.0	2.9510670553446827e-08	0.0
SEC24D	0.048357107978471	0.0	2.9510670553446827e-08	0.0
NXPE3	0.0483365010309454	0.0	2.9510670553446827e-08	0.0
UAP1	0.0482978834183958	0.0	2.9510670553446827e-08	0.0
RPN1	0.0482444489093529	0.0	2.9510670553446827e-08	0.0
BMP8B	0.0481691392897725	0.0	2.9510670553446827e-08	0.0
GAS6	0.0481080951591737	0.0	2.9510670553446827e-08	0.0
GMPPA	0.048093300045844	0.0	2.9510670553446827e-08	0.0
HSPA13	0.0480364858822693	0.0	2.9510670553446827e-08	0.0
IFITM3	0.0479554766462035	0.0	2.9510670553446827e-08	0.0
SPARC	0.047843552624774	0.0	2.9510670553446827e-08	0.0
SYPL1	0.0474965163268829	0.0	2.9510670553446827e-08	0.0
COPE	0.0474831064341927	0.0	2.9510670553446827e-08	0.0
SERPINF1	0.047467920617009	0.0	2.9510670553446827e-08	0.0
CD320	0.0474154303009881	0.0	2.9510670553446827e-08	0.0
MIR193BHG	0.0471333960886795	0.0	2.9510670553446827e-08	0.0
CCNA2	0.0469272134006359	0.0	2.9510670553446827e-08	0.0
BTG1	0.0466928924862832	0.0	2.9510670553446827e-08	0.0
NOP53	0.0466602206146475	0.0	2.9510670553446827e-08	0.0
TOP2A	0.0466168810082897	0.0	2.9510670553446827e-08	0.0
CENPU	0.0466134151265536	0.0	2.9510670553446827e-08	0.0
H1-2	0.0464049319384633	0.0	2.9510670553446827e-08	0.0
C1QC	0.0463864228296572	0.0	2.9510670553446827e-08	0.0
NUSAP1	0.0463661619486756	0.0	2.9510670553446827e-08	0.0
RPL38	0.0462587513815104	0.0	2.9510670553446827e-08	0.0
C1QB	0.0462508445273485	0.0	2.9510670553446827e-08	0.0
MAD2L1	0.046101166380109	0.0	2.9510670553446827e-08	0.0
