Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.2079851511036905	0.0	3.734617740203132e-08	0.0
MZB1	0.1859577929370086	0.0	3.734617740203132e-08	0.0
XBP1	0.1798747907587916	0.0	3.734617740203132e-08	0.0
CD74	0.1731449604279798	0.0	3.734617740203132e-08	0.0
FKBP11	0.1649527310281682	0.0	3.734617740203132e-08	0.0
HLA-DPB1	0.1573029544528379	0.0	3.734617740203132e-08	0.0
HLA-DPA1	0.152184407688673	0.0	3.734617740203132e-08	0.0
MS4A1	0.1505607442482267	0.0	3.734617740203132e-08	0.0
SEC11C	0.1484306617450787	0.0	3.734617740203132e-08	0.0
TXNDC5	0.1441704651580828	0.0	3.734617740203132e-08	0.0
CD38	0.1430987518801253	0.0	3.734617740203132e-08	0.0
DERL3	0.1411927798967313	0.0	3.734617740203132e-08	0.0
IRF8	0.1382846867808912	0.0	3.734617740203132e-08	0.0
CD37	0.1333288190336313	0.0	3.734617740203132e-08	0.0
SDF2L1	0.1318769324751096	0.0	3.734617740203132e-08	0.0
TXNIP	0.1303009085070624	0.0	3.734617740203132e-08	0.0
BANK1	0.1302380850720557	0.0	3.734617740203132e-08	0.0
PPIB	0.1280872707805027	0.0	3.734617740203132e-08	0.0
RPL39	0.1241971217943018	0.0	3.734617740203132e-08	0.0
MYDGF	0.1236349313309228	0.0	3.734617740203132e-08	0.0
CD79A	0.1231290706526829	0.0	3.734617740203132e-08	0.0
RPL34	0.1219885423683097	0.0	3.734617740203132e-08	0.0
PRDX4	0.1217798400546535	0.0	3.734617740203132e-08	0.0
ARHGAP24	0.1216059727776131	0.0	3.734617740203132e-08	0.0
JCHAIN	0.1201402661780143	0.0	3.734617740203132e-08	0.0
CD83	0.119923658663945	0.0	3.734617740203132e-08	0.0
NAPSB_ENSG00000131401	0.1170423219114891	0.0	3.734617740203132e-08	0.0
IGHG1	0.1163670187075525	0.0	3.734617740203132e-08	0.0
TNFRSF17	0.116186250294244	0.0	3.734617740203132e-08	0.0
BLK	0.1158372855912195	0.0	3.734617740203132e-08	0.0
HSP90B1	0.1147500331687231	0.0	3.734617740203132e-08	0.0
PFDN5	0.1141941457860178	0.0	3.734617740203132e-08	0.0
LAPTM5	0.1141269920271005	0.0	3.734617740203132e-08	0.0
IGLL5	0.1136255953082714	0.0	3.734617740203132e-08	0.0
CYTOR	0.111445366022401	0.0	3.734617740203132e-08	0.0
SSR4	0.1109627974230542	0.0	3.734617740203132e-08	0.0
IGHG3	0.1084267871811186	0.0	3.734617740203132e-08	0.0
CD52	0.1084197239123446	0.0	3.734617740203132e-08	0.0
PDIA4	0.107939856239963	0.0	3.734617740203132e-08	0.0
EEF1A1	0.1071603561893467	0.0	3.734617740203132e-08	0.0
RPS27	0.1068932686258	0.0	3.734617740203132e-08	0.0
RPL32	0.1067833473632464	0.0	3.734617740203132e-08	0.0
DCN	0.106635091757465	0.0	3.734617740203132e-08	0.0
ADH1B	0.106611555391086	0.0	3.734617740203132e-08	0.0
