Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
HLA-DRA	0.0947605708847866	0.0	6.892276523594768e-08	0.0
CD74	0.0800699844540348	0.0	6.892276523594768e-08	0.0
CD79A	0.0730908428523942	0.0	6.892276523594768e-08	0.0
MS4A1	0.0729274155506023	0.0	6.892276523594768e-08	0.0
IL7R	0.067284358645497	0.0	6.892276523594768e-08	0.0
BANK1	0.0647674312357417	0.0	6.892276523594768e-08	0.0
CD3E	0.0647494344194144	0.0	6.892276523594768e-08	0.0
IRF8	0.0646065618678349	0.0	6.892276523594768e-08	0.0
HLA-DPB1	0.0623043992011258	0.0	6.892276523594768e-08	0.0
ARHGAP24	0.0621671667401896	0.0	6.892276523594768e-08	0.0
HLA-DPA1	0.0604760526937916	0.0	6.892276523594768e-08	0.0
NAPSB_ENSG00000131401	0.059003252632773	0.0	6.892276523594768e-08	0.0
CD19	0.0559348916497802	0.0	6.892276523594768e-08	0.0
FCRLA	0.0554171659178728	0.0	6.892276523594768e-08	0.0
HLA-DRB1	0.0554115840464116	0.0	6.892276523594768e-08	0.0
BLK	0.0530880481383259	0.0	6.892276523594768e-08	0.0
MARCKS	0.0515364881173988	0.0	6.892276523594768e-08	0.0
LY86	0.0488644162179893	0.0	6.892276523594768e-08	0.0
MEF2C	0.0481336903714047	0.0	6.892276523594768e-08	0.0
MARCHF1	0.0480955879959609	0.0	6.892276523594768e-08	0.0
CD69	0.0474877766513104	0.0	6.892276523594768e-08	0.0
TNFAIP3	0.0463485867601136	0.0	6.892276523594768e-08	0.0
LYN	0.0456014903039821	0.0	6.892276523594768e-08	0.0
LINC01781	0.044375255524305	0.0	6.892276523594768e-08	0.0
SARAF	0.0443418348029181	0.0	6.892276523594768e-08	0.0
ZFP36L2	0.0429256891586867	0.0	6.892276523594768e-08	0.0
HLA-DMA	0.0426384882453583	0.0	6.892276523594768e-08	0.0
JUND	0.0425218425789252	0.0	6.892276523594768e-08	0.0
ADAM28	0.0419416077220939	0.0	6.892276523594768e-08	0.0
CD83	0.0417432904552319	0.0	6.892276523594768e-08	0.0
SWAP70	0.0415879801789653	0.0	6.892276523594768e-08	0.0
TSC22D3	0.0412606741211273	0.0	6.892276523594768e-08	0.0
HVCN1	0.040834424388734	0.0	6.892276523594768e-08	0.0
CD3D	0.0405205341112824	0.0	6.892276523594768e-08	0.0
BTG1	0.039807134119975	0.0	6.892276523594768e-08	0.0
DUSP1	0.0389616274773369	0.0	6.892276523594768e-08	0.0
CYBB	0.0383314318406774	0.0	6.892276523594768e-08	0.0
DUSP2	0.0381444286316943	0.0	6.892276523594768e-08	0.0
IL32	0.0377177704555263	0.0	6.892276523594768e-08	0.0
CD24	0.0376408113545898	0.0	6.892276523594768e-08	0.0
