Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1265432721974682	0.0	5.251975002123794e-08	0.0
TXNDC5	0.11642052057711	0.0	5.251975002123794e-08	0.0
BTG1	0.1054497074601445	0.0	5.251975002123794e-08	0.0
PRDX4	0.105127968774595	0.0	5.251975002123794e-08	0.0
DERL3	0.1038052516953397	0.0	5.251975002123794e-08	0.0
RPL34	0.1028047789894648	0.0	5.251975002123794e-08	0.0
RPS27	0.1020915983722253	0.0	5.251975002123794e-08	0.0
RPL39	0.1020883133718209	0.0	5.251975002123794e-08	0.0
JUND	0.1004581569963686	0.0	5.251975002123794e-08	0.0
SEC11C	0.0999936145633666	0.0	5.251975002123794e-08	0.0
RPL30	0.0997989135417577	0.0	5.251975002123794e-08	0.0
DUSP1	0.0995749926144402	0.0	5.251975002123794e-08	0.0
EEF1A1	0.095556018422656	0.0	5.251975002123794e-08	0.0
POU2AF1	0.0907620384153686	0.0	5.251975002123794e-08	0.0
PNRC1	0.0894706642248828	0.0	5.251975002123794e-08	0.0
RPS12	0.0892997206198322	0.0	5.251975002123794e-08	0.0
JCHAIN	0.0886826494065354	0.0	5.251975002123794e-08	0.0
RPL32	0.0866693917179005	0.0	5.251975002123794e-08	0.0
CD38	0.0845579234542693	0.0	5.251975002123794e-08	0.0
TNFRSF17	0.0844727050218025	0.0	5.251975002123794e-08	0.0
PDIA6	0.0840216112260923	0.0	5.251975002123794e-08	0.0
SDF2L1	0.0838940704309192	0.0	5.251975002123794e-08	0.0
MYDGF	0.0834839455725189	0.0	5.251975002123794e-08	0.0
SARAF	0.0828271318112768	0.0	5.251975002123794e-08	0.0
RPS27A	0.0820582669716436	0.0	5.251975002123794e-08	0.0
PPIB	0.0813088350324093	0.0	5.251975002123794e-08	0.0
TXNIP	0.0812271539257835	0.0	5.251975002123794e-08	0.0
TSC22D3	0.0812004412933517	0.0	5.251975002123794e-08	0.0
LINC03034	0.080162532066458	0.0	5.251975002123794e-08	0.0
IGHG1	0.0798782166081615	0.0	5.251975002123794e-08	0.0
IGLL5	0.0798750540607474	0.0	5.251975002123794e-08	0.0
RPS14	0.0796779640069537	0.0	5.251975002123794e-08	0.0
RPS23	0.0789061526748158	0.0	5.251975002123794e-08	0.0
HSP90B1	0.0779206327758248	0.0	5.251975002123794e-08	0.0
PDIA4	0.0777216803111314	0.0	5.251975002123794e-08	0.0
PFDN5	0.07758298286069	0.0	5.251975002123794e-08	0.0
TPT1	0.0775144600546453	0.0	5.251975002123794e-08	0.0
RPS3A	0.0773752408047461	0.0	5.251975002123794e-08	0.0
RPL13	0.0772724148893905	0.0	5.251975002123794e-08	0.0
MYBL2	0.0770354234628966	0.0	5.251975002123794e-08	0.0
IGKC	0.0768108153795603	0.0	5.251975002123794e-08	0.0
RPS3	0.0758237478932981	0.0	5.251975002123794e-08	0.0
SSR4	0.0756093363010668	0.0	5.251975002123794e-08	0.0
IL7R	0.0754471916918493	0.0	5.251975002123794e-08	0.0
FOS	0.0753955986338101	0.0	5.251975002123794e-08	0.0
SSR3	0.0753898962276167	0.0	5.251975002123794e-08	0.0
RPL10	0.0752011275669719	0.0	5.251975002123794e-08	0.0
CD69	0.0750288864281796	0.0	5.251975002123794e-08	0.0
TYMS	0.0750044087910541	0.0	5.251975002123794e-08	0.0
RPS25	0.074437800645652	0.0	5.251975002123794e-08	0.0
CXCR4	0.0741904680007903	0.0	5.251975002123794e-08	0.0
IGHG2	0.0728795011686707	0.0	5.251975002123794e-08	0.0
ZFP36L2	0.0723156409509434	0.0	5.251975002123794e-08	0.0
EIF1	0.0717806518424382	0.0	5.251975002123794e-08	0.0
IGHG3	0.0717379749006461	0.0	5.251975002123794e-08	0.0
RPL11	0.0715817632077939	0.0	5.251975002123794e-08	0.0
LMAN1	0.0707628344643108	0.0	5.251975002123794e-08	0.0
GGH	0.0705332142506396	0.0	5.251975002123794e-08	0.0
XBP1	0.0698434647592541	0.0	5.251975002123794e-08	0.0
RPS15A	0.0693553720553864	0.0	5.251975002123794e-08	0.0
SEC61B	0.0689425062342767	0.0	5.251975002123794e-08	0.0
