Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1063220137061021	0.0	3.928993879192386e-08	0.0
BTG1	0.1041465370334247	0.0	3.928993879192386e-08	0.0
RPL30	0.0980313153069214	0.0	3.928993879192386e-08	0.0
IL7R	0.0970742330075107	0.0	3.928993879192386e-08	0.0
RPS27A	0.0967791132630325	0.0	3.928993879192386e-08	0.0
RPS3	0.0966834258249259	0.0	3.928993879192386e-08	0.0
RPL34	0.0965630070518703	0.0	3.928993879192386e-08	0.0
RPS27	0.0962608678463288	0.0	3.928993879192386e-08	0.0
TXNDC5	0.0961127915235246	0.0	3.928993879192386e-08	0.0
EEF1A1	0.0954856228248588	0.0	3.928993879192386e-08	0.0
RPS12	0.0941983947039215	0.0	3.928993879192386e-08	0.0
RPL32	0.0936182513187121	0.0	3.928993879192386e-08	0.0
RPS23	0.0910065302946143	0.0	3.928993879192386e-08	0.0
RPL14	0.0907212314190806	0.0	3.928993879192386e-08	0.0
RPL39	0.089547522318421	0.0	3.928993879192386e-08	0.0
CD69	0.0884245221309316	0.0	3.928993879192386e-08	0.0
JUND	0.0880022181040252	0.0	3.928993879192386e-08	0.0
DERL3	0.0872504666457536	0.0	3.928993879192386e-08	0.0
JCHAIN	0.0869417994248245	0.0	3.928993879192386e-08	0.0
RPL11	0.0866634622459711	0.0	3.928993879192386e-08	0.0
RPS25	0.0864083426208371	0.0	3.928993879192386e-08	0.0
CD3E	0.0863646248309866	0.0	3.928993879192386e-08	0.0
RPS14	0.0856559256990675	0.0	3.928993879192386e-08	0.0
RPL10	0.0843459760518053	0.0	3.928993879192386e-08	0.0
SARAF	0.0835423158111663	0.0	3.928993879192386e-08	0.0
RPL35A	0.0832998653693321	0.0	3.928993879192386e-08	0.0
DUSP1	0.0831290793939249	0.0	3.928993879192386e-08	0.0
RPL13	0.0830796777807978	0.0	3.928993879192386e-08	0.0
RPS21	0.082726394351618	0.0	3.928993879192386e-08	0.0
RPS15A	0.0822286616136962	0.0	3.928993879192386e-08	0.0
PNRC1	0.08194104916571	0.0	3.928993879192386e-08	0.0
RPL19	0.0815422669432372	0.0	3.928993879192386e-08	0.0
RPS13	0.0812651420834127	0.0	3.928993879192386e-08	0.0
CD79A	0.0811839172418808	0.0	3.928993879192386e-08	0.0
FAU	0.0810858857261149	0.0	3.928993879192386e-08	0.0
RPL37	0.0803406681897489	0.0	3.928993879192386e-08	0.0
RPS3A	0.0794752514422102	0.0	3.928993879192386e-08	0.0
RPL9	0.0785703217649567	0.0	3.928993879192386e-08	0.0
TSC22D3	0.0781939840649073	0.0	3.928993879192386e-08	0.0
RPL41	0.0777634163289248	0.0	3.928993879192386e-08	0.0
EIF1	0.0750713637532818	0.0	3.928993879192386e-08	0.0
RPL28	0.0739537332369704	0.0	3.928993879192386e-08	0.0
ZFP36L2	0.0738615262946435	0.0	3.928993879192386e-08	0.0
RPS28	0.0730367540328909	0.0	3.928993879192386e-08	0.0
FOS	0.0727455760239327	0.0	3.928993879192386e-08	0.0
RPS4Y1	0.0718656740539052	0.0	3.928993879192386e-08	0.0
PRDX4	0.0708910689964472	0.0	3.928993879192386e-08	0.0
RPL12	0.0698752476829156	0.0	3.928993879192386e-08	0.0
TOMM7	0.069683472690655	0.0	3.928993879192386e-08	0.0
SEC11C	0.0690901772252165	0.0	3.928993879192386e-08	0.0
RPL3	0.0690828707239641	0.0	3.928993879192386e-08	0.0
TXNIP	0.0689915450150471	0.0	3.928993879192386e-08	0.0
TPT1	0.0689183317317832	0.0	3.928993879192386e-08	0.0
COMMD6	0.0688340842107499	0.0	3.928993879192386e-08	0.0
JUNB	0.0677461166792507	0.0	3.928993879192386e-08	0.0
RPL36	0.0674012617888151	0.0	3.928993879192386e-08	0.0
PFDN5	0.0671612819921813	0.0	3.928993879192386e-08	0.0
RPS15	0.0668968986330695	0.0	3.928993879192386e-08	0.0
RPS18	0.0665724164945058	0.0	3.928993879192386e-08	0.0
MEF2C	0.0665359051500764	0.0	3.928993879192386e-08	0.0
NOP53	0.0653203738832755	0.0	3.928993879192386e-08	0.0
NACA	0.0650685145139719	0.0	3.928993879192386e-08	0.0
CXCR4	0.064962514474527	0.0	3.928993879192386e-08	0.0
RPL18	0.0646233972850063	0.0	3.928993879192386e-08	0.0
ETS1	0.0642540317250048	0.0	3.928993879192386e-08	0.0
SSR4	0.0641014272439374	0.0	3.928993879192386e-08	0.0
CD38	0.0635144014776153	0.0	3.928993879192386e-08	0.0
SPAG4	0.0633603787665971	0.0	3.928993879192386e-08	0.0
RPL24	0.0629209960897623	0.0	3.928993879192386e-08	0.0
TNFAIP3	0.0626363299161492	0.0	3.928993879192386e-08	0.0
ZFAS1	0.0625536286191216	0.0	3.928993879192386e-08	0.0
ITM2B	0.0624038201879613	0.0	3.928993879192386e-08	0.0
LINC03034	0.0623594539257102	0.0	3.928993879192386e-08	0.0
RPL5	0.0622373282727977	0.0	3.928993879192386e-08	0.0
CCND3	0.062234002623195	0.0	3.928993879192386e-08	0.0
RPS6	0.0620430460137925	0.0	3.928993879192386e-08	0.0
FYN	0.0619298910443679	0.0	3.928993879192386e-08	0.0
DNAJB1	0.0619264582840963	0.0	3.928993879192386e-08	0.0
RPS4X	0.0616927020650589	0.0	3.928993879192386e-08	0.0
POU2AF1	0.0616587152613988	0.0	3.928993879192386e-08	0.0
SEL1L3	0.061485290356453	0.0	3.928993879192386e-08	0.0
RPL26	0.0609032692298588	0.0	3.928993879192386e-08	0.0
RPS19	0.0605186185884995	0.0	3.928993879192386e-08	0.0
IGHG1	0.0602527478920652	0.0	3.928993879192386e-08	0.0
RPS29	0.0600035766566449	0.0	3.928993879192386e-08	0.0
IFITM1	0.0592708230393409	0.0	3.928993879192386e-08	0.0
