	I	pval_norm	var_norm	pval_norm_fdr_bh
CD3E	0.04982567484017397	0.0	4.544198643041706e-08	0.0
HLA-DRA	0.043279782299401465	0.0	4.544198643041706e-08	0.0
CD74	0.040643951499220156	0.0	4.544198643041706e-08	0.0
MZB1	0.03901155725488721	0.0	4.544198643041706e-08	0.0
IL7R	0.038062865659187796	0.0	4.544198643041706e-08	0.0
CD79A	0.0374723848842232	0.0	4.544198643041706e-08	0.0
CD3D	0.03507516157522333	0.0	4.544198643041706e-08	0.0
TXNDC5	0.03464347615501888	0.0	4.544198643041706e-08	0.0
SARAF	0.03440744982614758	0.0	4.544198643041706e-08	0.0
MS4A1	0.03269579024486539	0.0	4.544198643041706e-08	0.0
MEF2C	0.032230698385215334	0.0	4.544198643041706e-08	0.0
RPL30	0.03217284976922771	0.0	4.544198643041706e-08	0.0
IL32	0.03210745912033307	0.0	4.544198643041706e-08	0.0
IRF8	0.031442749258298736	0.0	4.544198643041706e-08	0.0
DERL3	0.03128623939227776	0.0	4.544198643041706e-08	0.0
RPL34	0.031226739094855897	0.0	4.544198643041706e-08	0.0
HLA-DPB1	0.031113254309939355	0.0	4.544198643041706e-08	0.0
SEC11C	0.031059854429548627	0.0	4.544198643041706e-08	0.0
POU2AF1	0.03097914744777152	0.0	4.544198643041706e-08	0.0
RPS27A	0.030689362888033856	0.0	4.544198643041706e-08	0.0
LCK	0.03045534800184536	0.0	4.544198643041706e-08	0.0
RPS27	0.030106262001661666	0.0	4.544198643041706e-08	0.0
BANK1	0.029945467084008887	0.0	4.544198643041706e-08	0.0
ARHGAP24	0.029494781405466197	0.0	4.544198643041706e-08	0.0
RPL32	0.029328005464220697	0.0	4.544198643041706e-08	0.0
HLA-DPA1	0.029123881585291642	0.0	4.544198643041706e-08	0.0
LEPROTL1	0.028916669198352524	0.0	4.544198643041706e-08	0.0
BTG1	0.028733410044034454	0.0	4.544198643041706e-08	0.0
RPL39	0.02870680900512219	0.0	4.544198643041706e-08	0.0
EEF1A1	0.028548693304002604	0.0	4.544198643041706e-08	0.0
RPS3	0.028434979442345337	0.0	4.544198643041706e-08	0.0
CTSZ	0.02837807234061174	0.0	4.544198643041706e-08	0.0
CD38	0.028335882825641624	0.0	4.544198643041706e-08	0.0
RPS12	0.02822053507610133	0.0	4.544198643041706e-08	0.0
NAPSB_ENSG00000131401	0.02811674878662516	0.0	4.544198643041706e-08	0.0
CD83	0.028089890320761358	0.0	4.544198643041706e-08	0.0
JCHAIN	0.02786364849915946	0.0	4.544198643041706e-08	0.0
PRDX4	0.027774586052309785	0.0	4.544198643041706e-08	0.0
CD69	0.02776746749082365	0.0	4.544198643041706e-08	0.0
ETS1	0.027705223157920768	0.0	4.544198643041706e-08	0.0
SDF2L1	0.02740733124690971	0.0	4.544198643041706e-08	0.0
RPS3A	0.027242937465416193	0.0	4.544198643041706e-08	0.0
TNFRSF17	0.02682485147274625	0.0	4.544198643041706e-08	0.0
FKBP11	0.026576498579991052	0.0	4.544198643041706e-08	0.0
CD19	0.026531175214806805	0.0	4.544198643041706e-08	0.0
DUSP1	0.026281527134479087	0.0	4.544198643041706e-08	0.0
MARCKS	0.026274060025368244	0.0	4.544198643041706e-08	0.0
RPL13	0.026175324941992525	0.0	4.544198643041706e-08	0.0
ZFP36L2	0.026147201412639993	0.0	4.544198643041706e-08	0.0
FCRL5	0.02612043360859798	0.0	4.544198643041706e-08	0.0
HLA-DRB1	0.025972083997636456	0.0	4.544198643041706e-08	0.0
RPL10	0.025954899401848024	0.0	4.544198643041706e-08	0.0
FCRLA	0.02591418349694402	0.0	4.544198643041706e-08	0.0
CTSH	0.025826481833583482	0.0	4.544198643041706e-08	0.0
RPS15A	0.025794207089347015	0.0	4.544198643041706e-08	0.0
