Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
CD74	0.2916944489340252	0.0	1.6300184470475434e-08	0.0
HLA-DRA	0.2821717531772746	0.0	1.6300184470475434e-08	0.0
CD3E	0.2412145430613001	0.0	1.6300184470475434e-08	0.0
HLA-DPA1	0.2250722181799733	0.0	1.6300184470475434e-08	0.0
HLA-DPB1	0.2101206986919286	0.0	1.6300184470475434e-08	0.0
IL7R	0.2014330164823538	0.0	1.6300184470475434e-08	0.0
CD79A	0.2010411267046816	0.0	1.6300184470475434e-08	0.0
MS4A1	0.1950483612723738	0.0	1.6300184470475434e-08	0.0
CD3D	0.1872574987357467	0.0	1.6300184470475434e-08	0.0
IRF8	0.1753545930536912	0.0	1.6300184470475434e-08	0.0
IL32	0.1611165051066322	0.0	1.6300184470475434e-08	0.0
BANK1	0.1601108358996817	0.0	1.6300184470475434e-08	0.0
CD83	0.1559201543685579	0.0	1.6300184470475434e-08	0.0
HLA-DRB1	0.1502381640836955	0.0	1.6300184470475434e-08	0.0
ARHGAP24	0.1417248647627673	0.0	1.6300184470475434e-08	0.0
NAPSB_ENSG00000131401	0.1413507205796438	0.0	1.6300184470475434e-08	0.0
LEPROTL1	0.1413328390749977	0.0	1.6300184470475434e-08	0.0
HLA-DMA	0.1402175424470678	0.0	1.6300184470475434e-08	0.0
TNFAIP3	0.1354220245862331	0.0	1.6300184470475434e-08	0.0
BLK	0.1305660628751588	0.0	1.6300184470475434e-08	0.0
MEF2C	0.1295375795435328	0.0	1.6300184470475434e-08	0.0
CD7	0.1276071994901818	0.0	1.6300184470475434e-08	0.0
CD2	0.1267688556455157	0.0	1.6300184470475434e-08	0.0
LCK	0.1266865100177957	0.0	1.6300184470475434e-08	0.0
MARCKS	0.1247868268650068	0.0	1.6300184470475434e-08	0.0
CD19	0.1227462781885769	0.0	1.6300184470475434e-08	0.0
FYN	0.1207119834281558	0.0	1.6300184470475434e-08	0.0
ARL4C	0.1181658187315645	0.0	1.6300184470475434e-08	0.0
SWAP70	0.1181507993666558	0.0	1.6300184470475434e-08	0.0
ITK	0.1175704385841946	0.0	1.6300184470475434e-08	0.0
FCRLA	0.1167841715714894	0.0	1.6300184470475434e-08	0.0
MARCHF1	0.1158607710881809	0.0	1.6300184470475434e-08	0.0
CD3G	0.1138013296934161	0.0	1.6300184470475434e-08	0.0
RALGPS2	0.1131781703921594	0.0	1.6300184470475434e-08	0.0
CD247	0.1094590190365653	0.0	1.6300184470475434e-08	0.0
FYB1	0.108569786986159	0.0	1.6300184470475434e-08	0.0
LYN	0.1075554299155299	0.0	1.6300184470475434e-08	0.0
SARAF	0.1071115402305811	0.0	1.6300184470475434e-08	0.0
CTSZ	0.1050222199636504	0.0	1.6300184470475434e-08	0.0
DNAJB1	0.104814354846657	0.0	1.6300184470475434e-08	0.0
ZAP70	0.1036082923550798	0.0	1.6300184470475434e-08	0.0
SRGN	0.1024962620395827	0.0	1.6300184470475434e-08	0.0
LEF1	0.1022926426646573	0.0	1.6300184470475434e-08	0.0
GIMAP7	0.1007684036808287	0.0	1.6300184470475434e-08	0.0
SKAP1	0.0981233001706264	0.0	1.6300184470475434e-08	0.0
LY86	0.0979144844779742	0.0	1.6300184470475434e-08	0.0
CAMK4	0.0957663040203219	0.0	1.6300184470475434e-08	0.0
INPP4B	0.0947246864473444	0.0	1.6300184470475434e-08	0.0
HVCN1	0.0946164470314814	0.0	1.6300184470475434e-08	0.0
CTSH	0.093655265047086	0.0	1.6300184470475434e-08	0.0
CYBA	0.0926561566629572	0.0	1.6300184470475434e-08	0.0
GIMAP4	0.0923076357741479	0.0	1.6300184470475434e-08	0.0
TNFRSF13C	0.0921176133940373	0.0	1.6300184470475434e-08	0.0
BCL11B	0.0919654163250724	0.0	1.6300184470475434e-08	0.0
CYBB	0.0911152962871562	0.0	1.6300184470475434e-08	0.0
CITED2	0.0892060494602933	0.0	1.6300184470475434e-08	0.0
POU2F2	0.0884110338824707	0.0	1.6300184470475434e-08	0.0
AAK1	0.0883759534846209	0.0	1.6300184470475434e-08	0.0
SYK	0.0877258211755524	0.0	1.6300184470475434e-08	0.0
ETS1	0.0874960793985731	0.0	1.6300184470475434e-08	0.0
ADAM28	0.086056803657103	0.0	1.6300184470475434e-08	0.0
CD79B	0.0860360628065606	0.0	1.6300184470475434e-08	0.0
SEL1L3	0.0858429317729171	0.0	1.6300184470475434e-08	0.0
SPI1	0.0845117483414943	0.0	1.6300184470475434e-08	0.0
SYNGR2	0.0843773060043396	0.0	1.6300184470475434e-08	0.0
PRKCH	0.0842112029959207	0.0	1.6300184470475434e-08	0.0
CD37	0.0830516308724305	0.0	1.6300184470475434e-08	0.0
SCIMP	0.0830279543858697	0.0	1.6300184470475434e-08	0.0
HLA-DMB	0.0829175556710389	0.0	1.6300184470475434e-08	0.0
SMIM14	0.0827283357829043	0.0	1.6300184470475434e-08	0.0
GRN	0.0820536813126593	0.0	1.6300184470475434e-08	0.0
IFITM1	0.0818774686156199	0.0	1.6300184470475434e-08	0.0
FCGR2B	0.0815503663781513	0.0	1.6300184470475434e-08	0.0
CD69	0.0813570472075999	0.0	1.6300184470475434e-08	0.0
LAPTM5	0.0812656382574455	0.0	1.6300184470475434e-08	0.0
HLA-DQB1	0.0799909791565151	0.0	1.6300184470475434e-08	0.0
SYTL3	0.0796875725282975	0.0	1.6300184470475434e-08	0.0
C12orf57	0.0796441703566433	0.0	1.6300184470475434e-08	0.0
PRKCQ-AS1	0.0789452510651871	0.0	1.6300184470475434e-08	0.0
BASP1	0.0789298034920713	0.0	1.6300184470475434e-08	0.0
TNFRSF13B	0.0788078930620959	0.0	1.6300184470475434e-08	0.0
CD5	0.0785896732589065	0.0	1.6300184470475434e-08	0.0
PTGER4	0.0782206709377284	0.0	1.6300184470475434e-08	0.0
NCF4	0.0778141668662181	0.0	1.6300184470475434e-08	0.0
FGD2	0.0776982858277254	0.0	1.6300184470475434e-08	0.0
HLA-DRB5	0.0775541933432831	0.0	1.6300184470475434e-08	0.0
LINC01781	0.0758145637344382	0.0	1.6300184470475434e-08	0.0
ZFP36L2	0.0752758916022385	0.0	1.6300184470475434e-08	0.0
CD52	0.0745988885426597	0.0	1.6300184470475434e-08	0.0
OXNAD1	0.0745721857367336	0.0	1.6300184470475434e-08	0.0
PLAAT4	0.0743855168176464	0.0	1.6300184470475434e-08	0.0
NFKBIA	0.0742655507021179	0.0	1.6300184470475434e-08	0.0
TRAT1	0.0740064143504775	0.0	1.6300184470475434e-08	0.0
SPOCK2	0.0738816338627351	0.0	1.6300184470475434e-08	0.0
CTSS	0.0734409773416678	0.0	1.6300184470475434e-08	0.0
NDFIP1	0.0730793003365342	0.0	1.6300184470475434e-08	0.0
POU2AF1	0.0729337895457517	0.0	1.6300184470475434e-08	0.0
PLCG2	0.0728140461271783	0.0	1.6300184470475434e-08	0.0
LINC00926	0.0727018039015843	0.0	1.6300184470475434e-08	0.0
SAT1	0.0718965224575996	0.0	1.6300184470475434e-08	0.0
CD22	0.0718355238205656	0.0	1.6300184470475434e-08	0.0
CD6	0.0714933487957687	0.0	1.6300184470475434e-08	0.0
DUSP2	0.071203120221054	0.0	1.6300184470475434e-08	0.0
FBXO32	0.0710350336519744	0.0	1.6300184470475434e-08	0.0
RGCC	0.0708820352115268	0.0	1.6300184470475434e-08	0.0
NIBAN3	0.0707868485837888	0.0	1.6300184470475434e-08	0.0
LAT2	0.0702914774039057	0.0	1.6300184470475434e-08	0.0
TSPAN3	0.0699730794871739	0.0	1.6300184470475434e-08	0.0
TCF4	0.0690632133865232	0.0	1.6300184470475434e-08	0.0
GPR171	0.0689049165694742	0.0	1.6300184470475434e-08	0.0
BCL11A	0.0688942701455975	0.0	1.6300184470475434e-08	0.0
PPP2R5C	0.0675740064988394	0.0	1.6300184470475434e-08	0.0
LGALS1	0.0670835438444689	0.0	1.6300184470475434e-08	0.0
IPCEF1	0.0667065574602472	0.0	1.6300184470475434e-08	0.0
PARP8	0.0667059077611576	0.0	1.6300184470475434e-08	0.0
TRBC1	0.0665792804753801	0.0	1.6300184470475434e-08	0.0
MT-CO1	0.0655682234979365	0.0	1.6300184470475434e-08	0.0
TOB1	0.0655447939924628	0.0	1.6300184470475434e-08	0.0
GNG7	0.0651569903365518	0.0	1.6300184470475434e-08	0.0
MAL	0.065086508180571	0.0	1.6300184470475434e-08	0.0
STX7	0.0644315225461942	0.0	1.6300184470475434e-08	0.0
RORA	0.0643311940533758	0.0	1.6300184470475434e-08	0.0
IL6ST	0.0641144640810991	0.0	1.6300184470475434e-08	0.0
CD40	0.0639114290794247	0.0	1.6300184470475434e-08	0.0
TXK	0.0632886100719092	0.0	1.6300184470475434e-08	0.0
ZNF831	0.062748723928201	0.0	1.6300184470475434e-08	0.0
CTSW	0.0625767967616551	0.0	1.6300184470475434e-08	0.0
KLRB1	0.0624038046547889	0.0	1.6300184470475434e-08	0.0
PIK3AP1	0.0615070306479977	0.0	1.6300184470475434e-08	0.0
CD40LG	0.0614602799068391	0.0	1.6300184470475434e-08	0.0
BLNK	0.0614365013251389	0.0	1.6300184470475434e-08	0.0
COBLL1	0.0606699817010263	0.0	1.6300184470475434e-08	0.0
FOS	0.0606049127580365	0.0	1.6300184470475434e-08	0.0
AFF3	0.0600275026972057	0.0	1.6300184470475434e-08	0.0
HLA-DQA1	0.0597327257959214	0.0	1.6300184470475434e-08	0.0
PARP15	0.05928653214719	0.0	1.6300184470475434e-08	0.0
VPREB3	0.0588027055466024	0.0	1.6300184470475434e-08	0.0
CXXC5	0.0586014401307853	0.0	1.6300184470475434e-08	0.0
GZMM	0.0583116622079733	0.0	1.6300184470475434e-08	0.0
REL	0.0574926845130188	0.0	1.6300184470475434e-08	0.0
STAG3	0.0572592912479009	0.0	1.6300184470475434e-08	0.0
CD24	0.0570525867542401	0.0	1.6300184470475434e-08	0.0
TCF7	0.0570237548631878	0.0	1.6300184470475434e-08	0.0
CBLB	0.0568160671309906	0.0	1.6300184470475434e-08	0.0
CTLA4	0.0568020346285193	0.0	1.6300184470475434e-08	0.0
ICOS	0.0567907602875531	0.0	1.6300184470475434e-08	0.0
HCST	0.0567676349377376	0.0	1.6300184470475434e-08	0.0
ANXA1	0.0567546583496195	0.0	1.6300184470475434e-08	0.0
CST7	0.0566200916981835	0.0	1.6300184470475434e-08	0.0
BTK	0.0559207898599551	0.0	1.6300184470475434e-08	0.0
GPX1	0.0556359998298841	0.0	1.6300184470475434e-08	0.0
PRKCB	0.0555228092827648	0.0	1.6300184470475434e-08	0.0
ENSG00000285417.1	0.0550804372880403	0.0	1.6300184470475434e-08	0.0
LINC02397	0.0549702667621565	0.0	1.6300184470475434e-08	0.0
ID2	0.0545718866070768	0.0	1.6300184470475434e-08	0.0
WAKMAR2	0.0542841902780122	0.0	1.6300184470475434e-08	0.0
AIM2	0.0542552158769386	0.0	1.6300184470475434e-08	0.0
RUBCNL	0.0541604469871656	0.0	1.6300184470475434e-08	0.0
GPRIN3	0.0540310136638522	0.0	1.6300184470475434e-08	0.0
ALOX5	0.0539628647030942	0.0	1.6300184470475434e-08	0.0
ABRACL	0.0539546799880388	0.0	1.6300184470475434e-08	0.0
TC2N	0.0538904470675759	0.0	1.6300184470475434e-08	0.0
POLD4	0.0538596012338801	0.0	1.6300184470475434e-08	0.0
CAPG	0.0537276829075149	0.0	1.6300184470475434e-08	0.0
CNPY3	0.0536691900413431	0.0	1.6300184470475434e-08	0.0
CCL5	0.0535150346833985	0.0	1.6300184470475434e-08	0.0
ERN1	0.0534641970105027	0.0	1.6300184470475434e-08	0.0
PRDM1	0.0532273036007702	0.0	1.6300184470475434e-08	0.0
OAZ1	0.0528873875137561	0.0	1.6300184470475434e-08	0.0
SATB1	0.0527664435279897	0.0	1.6300184470475434e-08	0.0
CD28	0.0524410253324554	0.0	1.6300184470475434e-08	0.0
DRAM2	0.0521853992948992	0.0	1.6300184470475434e-08	0.0
IFNGR2	0.0519701680882689	0.0	1.6300184470475434e-08	0.0
IL13RA1	0.0519077877610217	0.0	1.6300184470475434e-08	0.0
COTL1	0.0515091646971067	0.0	1.6300184470475434e-08	0.0
LINC00861	0.0513561467920458	0.0	1.6300184470475434e-08	0.0
IGHM	0.0512825994329641	0.0	1.6300184470475434e-08	0.0
CIITA	0.0510988802149877	0.0	1.6300184470475434e-08	0.0
THEMIS	0.0510868395214458	0.0	1.6300184470475434e-08	0.0
PITPNC1	0.0510040018299071	0.0	1.6300184470475434e-08	0.0
SNX10	0.0509286416249238	0.0	1.6300184470475434e-08	0.0
STING1	0.0507777845789525	0.0	1.6300184470475434e-08	0.0
LINC01857	0.0505665504577029	0.0	1.6300184470475434e-08	0.0
CD86	0.0502703347145757	0.0	1.6300184470475434e-08	0.0
BTG2	0.0502690873975652	0.0	1.6300184470475434e-08	0.0
ITM2A	0.0500507906394409	0.0	1.6300184470475434e-08	0.0
AQP3	0.049811431527101	0.0	1.6300184470475434e-08	0.0
CD8A	0.0497723160139585	0.0	1.6300184470475434e-08	0.0
SH2D1A	0.0497375976828498	0.0	1.6300184470475434e-08	0.0
TP53INP1	0.049624756968402	0.0	1.6300184470475434e-08	0.0
LY9	0.0494661757603716	0.0	1.6300184470475434e-08	0.0
MT-ND4	0.0492191007615687	0.0	1.6300184470475434e-08	0.0
ITM2B	0.0492004600391746	0.0	1.6300184470475434e-08	0.0
JUNB	0.0490560657711531	0.0	1.6300184470475434e-08	0.0
PAX5	0.048908852997756	0.0	1.6300184470475434e-08	0.0
PTPN6	0.0485224104546188	0.0	1.6300184470475434e-08	0.0
PIK3R1	0.0483885803397192	0.0	1.6300184470475434e-08	0.0
PDE3B	0.0482365290356569	0.0	1.6300184470475434e-08	0.0
ZFP36	0.048135302195226	0.0	1.6300184470475434e-08	0.0
MT-CO3	0.0478492881491343	0.0	1.6300184470475434e-08	0.0
CCDC50	0.0476228403233519	0.0	1.6300184470475434e-08	0.0
CHPT1	0.0475728372862757	0.0	1.6300184470475434e-08	0.0
STAT4	0.0474606782474893	0.0	1.6300184470475434e-08	0.0
WDFY4	0.0472661104967559	0.0	1.6300184470475434e-08	0.0
