Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
IL7R	0.1455717829251079	0.0	4.797222945112126e-08	0.0
CD79A	0.1370447445096701	0.0	4.797222945112126e-08	0.0
CD74	0.1319627531940616	0.0	4.797222945112126e-08	0.0
MZB1	0.1238935352785348	0.0	4.797222945112126e-08	0.0
TXNDC5	0.1217614501658159	0.0	4.797222945112126e-08	0.0
POU2AF1	0.1163815579334668	0.0	4.797222945112126e-08	0.0
CD3E	0.1143502447160651	0.0	4.797222945112126e-08	0.0
MEF2C	0.109611742674611	0.0	4.797222945112126e-08	0.0
SARAF	0.1069740764405229	0.0	4.797222945112126e-08	0.0
DERL3	0.1058272384823874	0.0	4.797222945112126e-08	0.0
MS4A1	0.1019320886156551	0.0	4.797222945112126e-08	0.0
FOS	0.1003328689767361	0.0	4.797222945112126e-08	0.0
HLA-DRA	0.0986448384999233	0.0	4.797222945112126e-08	0.0
HLA-DPA1	0.0966093349341626	0.0	4.797222945112126e-08	0.0
TNFAIP3	0.0953564491492564	0.0	4.797222945112126e-08	0.0
SEC11C	0.093395099834691	0.0	4.797222945112126e-08	0.0
JCHAIN	0.0933031916601974	0.0	4.797222945112126e-08	0.0
DUSP1	0.0932542338818229	0.0	4.797222945112126e-08	0.0
DNAJB1	0.0931896088328897	0.0	4.797222945112126e-08	0.0
TNFRSF17	0.0893955367877059	0.0	4.797222945112126e-08	0.0
CD69	0.0870921744959608	0.0	4.797222945112126e-08	0.0
JUND	0.0869859780889858	0.0	4.797222945112126e-08	0.0
SEL1L3	0.0867279289934542	0.0	4.797222945112126e-08	0.0
CD38	0.0836750064667858	0.0	4.797222945112126e-08	0.0
HLA-DPB1	0.0832274378978992	0.0	4.797222945112126e-08	0.0
BTG1	0.0827321798745711	0.0	4.797222945112126e-08	0.0
CD19	0.0819757960111249	0.0	4.797222945112126e-08	0.0
IGLL5	0.0814258369705565	0.0	4.797222945112126e-08	0.0
BANK1	0.0809357009863477	0.0	4.797222945112126e-08	0.0
ZFP36L2	0.0806659569815633	0.0	4.797222945112126e-08	0.0
LINC03034	0.0802300900321256	0.0	4.797222945112126e-08	0.0
PRDX4	0.0798588436363627	0.0	4.797222945112126e-08	0.0
IRF8	0.0790547906393477	0.0	4.797222945112126e-08	0.0
ITM2B	0.0782281870679952	0.0	4.797222945112126e-08	0.0
IGHG1	0.0781822655107676	0.0	4.797222945112126e-08	0.0
NFKBIA	0.0777305347072517	0.0	4.797222945112126e-08	0.0
RPL30	0.0762319613128604	0.0	4.797222945112126e-08	0.0
RPL34	0.0758802759941027	0.0	4.797222945112126e-08	0.0
FCRL5	0.07581179189698	0.0	4.797222945112126e-08	0.0
RPS27	0.0756983645568788	0.0	4.797222945112126e-08	0.0
PNRC1	0.0746974138975051	0.0	4.797222945112126e-08	0.0
LEPROTL1	0.0737644244610322	0.0	4.797222945112126e-08	0.0
EEF1A1	0.073759390378964	0.0	4.797222945112126e-08	0.0
TSC22D3	0.073729979148313	0.0	4.797222945112126e-08	0.0
IGHG3	0.073527271565694	0.0	4.797222945112126e-08	0.0
IGHG2	0.072189803950641	0.0	4.797222945112126e-08	0.0
EAF2	0.0720781101592122	0.0	4.797222945112126e-08	0.0
RPL39	0.0714720395475973	0.0	4.797222945112126e-08	0.0
UBE2J1	0.0712003049969623	0.0	4.797222945112126e-08	0.0
CD3D	0.0708497203503563	0.0	4.797222945112126e-08	0.0
SRGN	0.0706057822745902	0.0	4.797222945112126e-08	0.0
JUNB	0.0703554776775021	0.0	4.797222945112126e-08	0.0
IGKC	0.0703272096208639	0.0	4.797222945112126e-08	0.0
NAPSB_ENSG00000131401	0.0702611801182406	0.0	4.797222945112126e-08	0.0
TPT1	0.0696129761585803	0.0	4.797222945112126e-08	0.0
BLK	0.0693988137009379	0.0	4.797222945112126e-08	0.0
MARCKS	0.0693797474271935	0.0	4.797222945112126e-08	0.0
EIF1	0.0686186262157767	0.0	4.797222945112126e-08	0.0
RPS27A	0.0685875710159015	0.0	4.797222945112126e-08	0.0
RPS12	0.0682170433635567	0.0	4.797222945112126e-08	0.0
FYN	0.0679471187736903	0.0	4.797222945112126e-08	0.0
BLNK	0.0675883240649131	0.0	4.797222945112126e-08	0.0
COBLL1	0.0670616922422565	0.0	4.797222945112126e-08	0.0
TNFRSF13B	0.0667316401753484	0.0	4.797222945112126e-08	0.0
CTSH	0.0665434179835218	0.0	4.797222945112126e-08	0.0
IGHA1	0.066536864657868	0.0	4.797222945112126e-08	0.0
FCRLA	0.0654382836527339	0.0	4.797222945112126e-08	0.0
CD79B	0.0650224685287654	0.0	4.797222945112126e-08	0.0
RPL32	0.0629000604567538	0.0	4.797222945112126e-08	0.0
RALGPS2	0.0626445808376378	0.0	4.797222945112126e-08	0.0
FYB1	0.0625173561569931	0.0	4.797222945112126e-08	0.0
ETS1	0.0618878413734703	0.0	4.797222945112126e-08	0.0
MYBL2	0.0617746137195259	0.0	4.797222945112126e-08	0.0
MYDGF	0.0612679443092286	0.0	4.797222945112126e-08	0.0
ENSG00000285417.1	0.0602810906232374	0.0	4.797222945112126e-08	0.0
GGH	0.0602679197891262	0.0	4.797222945112126e-08	0.0
CYBA	0.0596972305640912	0.0	4.797222945112126e-08	0.0
PDIA4	0.05938083065324	0.0	4.797222945112126e-08	0.0
FKBP5	0.0585541066433125	0.0	4.797222945112126e-08	0.0
IFITM1	0.0584279485920306	0.0	4.797222945112126e-08	0.0
PDLIM1	0.0582754519805799	0.0	4.797222945112126e-08	0.0
RPS3	0.057971302326241	0.0	4.797222945112126e-08	0.0
PFDN5	0.0576541614839108	0.0	4.797222945112126e-08	0.0
IL32	0.0570974099521817	0.0	4.797222945112126e-08	0.0
RPL10	0.0570660671578435	0.0	4.797222945112126e-08	0.0
ANXA1	0.0569916268744319	0.0	4.797222945112126e-08	0.0
PDIA6	0.0567249916375902	0.0	4.797222945112126e-08	0.0
RPL14	0.0565452330135831	0.0	4.797222945112126e-08	0.0
HLA-DMA	0.0564826916442305	0.0	4.797222945112126e-08	0.0
ARHGAP24	0.0560793894024402	0.0	4.797222945112126e-08	0.0
ITK	0.0558971152638908	0.0	4.797222945112126e-08	0.0
PLCG2	0.0558473597343399	0.0	4.797222945112126e-08	0.0
FCGR2B	0.0558335579428403	0.0	4.797222945112126e-08	0.0
NDFIP1	0.0555783874861161	0.0	4.797222945112126e-08	0.0
RPS3A	0.0555628904127793	0.0	4.797222945112126e-08	0.0
ENSG00000258572.1	0.0553939422110045	0.0	4.797222945112126e-08	0.0
CPNE5	0.055378083012212	0.0	4.797222945112126e-08	0.0
SPAG4	0.0547993641251288	0.0	4.797222945112126e-08	0.0
ZFP36	0.0547196564888085	0.0	4.797222945112126e-08	0.0
S100A4	0.0546342163458645	0.0	4.797222945112126e-08	0.0
SYK	0.0544856442560421	0.0	4.797222945112126e-08	0.0
LY86	0.054433715075773	0.0	4.797222945112126e-08	0.0
SDC1	0.0541916797575142	0.0	4.797222945112126e-08	0.0
ARL4C	0.0541431577245763	0.0	4.797222945112126e-08	0.0
TP53INP1	0.0538521257976988	0.0	4.797222945112126e-08	0.0
HSP90B1	0.0537863295432322	0.0	4.797222945112126e-08	0.0
SSR4	0.0537289019750545	0.0	4.797222945112126e-08	0.0
LMAN1	0.0527626027909403	0.0	4.797222945112126e-08	0.0
SWAP70	0.0525156569993289	0.0	4.797222945112126e-08	0.0
FKBP11	0.0523805608452418	0.0	4.797222945112126e-08	0.0
LINC01781	0.0522637099210921	0.0	4.797222945112126e-08	0.0
RPS25	0.0521877868917153	0.0	4.797222945112126e-08	0.0
ENSG00000257221.4	0.0521786538453414	0.0	4.797222945112126e-08	0.0
SDF2L1	0.0520950968550893	0.0	4.797222945112126e-08	0.0
GNG7	0.0520345794822798	0.0	4.797222945112126e-08	0.0
RPL13	0.0519961532747194	0.0	4.797222945112126e-08	0.0
FXYD5	0.0517454490306108	0.0	4.797222945112126e-08	0.0
TCF7	0.0516612504184755	0.0	4.797222945112126e-08	0.0
ITM2C	0.0513967554910008	0.0	4.797222945112126e-08	0.0
BASP1	0.0513089558580246	0.0	4.797222945112126e-08	0.0
CXXC5	0.0509739110368504	0.0	4.797222945112126e-08	0.0
HLA-DRB1	0.0508899568770704	0.0	4.797222945112126e-08	0.0
RPS13	0.0508697672731955	0.0	4.797222945112126e-08	0.0
RPS23	0.0508264870488104	0.0	4.797222945112126e-08	0.0
IGLC2	0.0504468872971449	0.0	4.797222945112126e-08	0.0
SSR3	0.0503649798993862	0.0	4.797222945112126e-08	0.0
HSH2D	0.0502618900680108	0.0	4.797222945112126e-08	0.0
RPL11	0.0501404592892385	0.0	4.797222945112126e-08	0.0
BTK	0.0500736083212391	0.0	4.797222945112126e-08	0.0
SPOCK2	0.0500710322270873	0.0	4.797222945112126e-08	0.0
RPS14	0.0498147635863245	0.0	4.797222945112126e-08	0.0
SPCS3	0.0496190516720196	0.0	4.797222945112126e-08	0.0
MARCHF1	0.049525532524728	0.0	4.797222945112126e-08	0.0
ZBP1	0.0494757550653628	0.0	4.797222945112126e-08	0.0
JUN	0.0492014432103048	0.0	4.797222945112126e-08	0.0
CD7	0.0491681027296136	0.0	4.797222945112126e-08	0.0
ATP5MC1	0.049134517930364	0.0	4.797222945112126e-08	0.0
CLIC4	0.04906261094933	0.0	4.797222945112126e-08	0.0
PNOC	0.0489466256148351	0.0	4.797222945112126e-08	0.0
RPS15A	0.0488389060278555	0.0	4.797222945112126e-08	0.0
CCND3	0.0488170252327618	0.0	4.797222945112126e-08	0.0
LCK	0.0487638547401491	0.0	4.797222945112126e-08	0.0
RPS4Y1	0.048395215965774	0.0	4.797222945112126e-08	0.0
CLPTM1L	0.0482815996775581	0.0	4.797222945112126e-08	0.0
DUSP2	0.0482467614761873	0.0	4.797222945112126e-08	0.0
S100A10	0.0481414344662349	0.0	4.797222945112126e-08	0.0
DENND5B	0.0480713151958251	0.0	4.797222945112126e-08	0.0
RRBP1	0.0480091172756115	0.0	4.797222945112126e-08	0.0
ADAM28	0.0478881057054686	0.0	4.797222945112126e-08	0.0
HDLBP	0.0476911877431047	0.0	4.797222945112126e-08	0.0
XBP1	0.0476260359597711	0.0	4.797222945112126e-08	0.0
CAMK4	0.0475911021021521	0.0	4.797222945112126e-08	0.0
RPS21	0.0475160789374789	0.0	4.797222945112126e-08	0.0
PLPP5	0.0471640544793044	0.0	4.797222945112126e-08	0.0
AAK1	0.0471099192449267	0.0	4.797222945112126e-08	0.0
RPL35A	0.0469509757637799	0.0	4.797222945112126e-08	0.0
SPCS2	0.0467247771617668	0.0	4.797222945112126e-08	0.0
MYADM	0.0466656665166907	0.0	4.797222945112126e-08	0.0
RPL9	0.0465506268196636	0.0	4.797222945112126e-08	0.0
IGHG4	0.046500837871741	0.0	4.797222945112126e-08	0.0
GIMAP7	0.0464846888048217	0.0	4.797222945112126e-08	0.0
ABCB9	0.0462635935596922	0.0	4.797222945112126e-08	0.0
CKAP4	0.0458317405782955	0.0	4.797222945112126e-08	0.0
HVCN1	0.0456013432006143	0.0	4.797222945112126e-08	0.0
C12orf57	0.0455599833225472	0.0	4.797222945112126e-08	0.0
TCF4	0.0454464547786799	0.0	4.797222945112126e-08	0.0
HMGB3	0.0450995174864163	0.0	4.797222945112126e-08	0.0
TLE5	0.0450433522614373	0.0	4.797222945112126e-08	0.0
TOB1	0.0448122133260217	0.0	4.797222945112126e-08	0.0
CD83	0.0447121575496576	0.0	4.797222945112126e-08	0.0
FAU	0.0447028850100532	0.0	4.797222945112126e-08	0.0
RPL19	0.0445712957824731	0.0	4.797222945112126e-08	0.0
NOP53	0.0444807271503241	0.0	4.797222945112126e-08	0.0
S100A6	0.0444158123098955	0.0	4.797222945112126e-08	0.0
LINC02397	0.0443201153012028	0.0	4.797222945112126e-08	0.0
FER1L4	0.0443055587905375	0.0	4.797222945112126e-08	0.0
