Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.3158425908439709	0.0	1.7076703347249937e-08	0.0
TXNDC5	0.2979981652655402	0.0	1.7076703347249937e-08	0.0
JCHAIN	0.2946114555766967	0.0	1.7076703347249937e-08	0.0
POU2AF1	0.2497520495274808	0.0	1.7076703347249937e-08	0.0
MYBL2	0.2494622978023714	0.0	1.7076703347249937e-08	0.0
TNFRSF17	0.2274817102879022	0.0	1.7076703347249937e-08	0.0
SEC11C	0.2230317183767834	0.0	1.7076703347249937e-08	0.0
RRM2	0.22111844011227	0.0	1.7076703347249937e-08	0.0
CD38	0.219576559181709	0.0	1.7076703347249937e-08	0.0
PRDX4	0.2107175270446886	0.0	1.7076703347249937e-08	0.0
IGLL5	0.2094922383766799	0.0	1.7076703347249937e-08	0.0
IGKC	0.2026161259844026	0.0	1.7076703347249937e-08	0.0
DERL3	0.2026132815843112	0.0	1.7076703347249937e-08	0.0
PDIA4	0.1954768947671626	0.0	1.7076703347249937e-08	0.0
SDF2L1	0.1945164315607864	0.0	1.7076703347249937e-08	0.0
TYMS	0.1941957717870146	0.0	1.7076703347249937e-08	0.0
IGHG2	0.1854467360237997	0.0	1.7076703347249937e-08	0.0
H1-5	0.1852305895812431	0.0	1.7076703347249937e-08	0.0
GGH	0.1839047798827335	0.0	1.7076703347249937e-08	0.0
IGHG1	0.1755010934851512	0.0	1.7076703347249937e-08	0.0
MKI67	0.1752980388469353	0.0	1.7076703347249937e-08	0.0
CDC20	0.169639990609415	0.0	1.7076703347249937e-08	0.0
IFITM1	0.166754984898235	0.0	1.7076703347249937e-08	0.0
ITM2C	0.1629627294616828	0.0	1.7076703347249937e-08	0.0
IGLC2	0.1623525312843427	0.0	1.7076703347249937e-08	0.0
SHCBP1	0.1620844343407734	0.0	1.7076703347249937e-08	0.0
ENSG00000258572.1	0.1617619243331338	0.0	1.7076703347249937e-08	0.0
PNRC1	0.1589454446372045	0.0	1.7076703347249937e-08	0.0
ZWINT	0.1565118497776179	0.0	1.7076703347249937e-08	0.0
TK1	0.1505388197633499	0.0	1.7076703347249937e-08	0.0
CENPW	0.1502377592335771	0.0	1.7076703347249937e-08	0.0
BUB1	0.1449490137943695	0.0	1.7076703347249937e-08	0.0
BIRC5	0.1436653420728131	0.0	1.7076703347249937e-08	0.0
ENSG00000257221.4	0.1398884146354746	0.0	1.7076703347249937e-08	0.0
CCNA2	0.1390134615376251	0.0	1.7076703347249937e-08	0.0
GINS2	0.1378983663523162	0.0	1.7076703347249937e-08	0.0
PPIB	0.135696035328612	0.0	1.7076703347249937e-08	0.0
STT3A	0.1344673366360787	0.0	1.7076703347249937e-08	0.0
IGHA1	0.1339324596734462	0.0	1.7076703347249937e-08	0.0
CRELD2	0.1331690150251009	0.0	1.7076703347249937e-08	0.0
IGHG3	0.1325444102452095	0.0	1.7076703347249937e-08	0.0
LINC03034	0.1308145753823838	0.0	1.7076703347249937e-08	0.0
GMPPB	0.1307306813651037	0.0	1.7076703347249937e-08	0.0
PTTG1	0.1297008570438808	0.0	1.7076703347249937e-08	0.0
TPX2	0.1295538818981479	0.0	1.7076703347249937e-08	0.0
HMGB3	0.1283721581642415	0.0	1.7076703347249937e-08	0.0
NCAPG	0.1281902480209421	0.0	1.7076703347249937e-08	0.0
CDKN3	0.1272626993984101	0.0	1.7076703347249937e-08	0.0
CDC6	0.1266764066776257	0.0	1.7076703347249937e-08	0.0
NUSAP1	0.1262133461165139	0.0	1.7076703347249937e-08	0.0
ASPM	0.1248135970048836	0.0	1.7076703347249937e-08	0.0
HYOU1	0.1241153748486113	0.0	1.7076703347249937e-08	0.0
ABCB9	0.1219990964129745	0.0	1.7076703347249937e-08	0.0
UBE2C	0.1209532677171611	0.0	1.7076703347249937e-08	0.0
CENPM	0.1191470778210823	0.0	1.7076703347249937e-08	0.0
CCNB2	0.1188334194180373	0.0	1.7076703347249937e-08	0.0
BHLHA15	0.1180197341040422	0.0	1.7076703347249937e-08	0.0
CLPTM1L	0.1174471099403467	0.0	1.7076703347249937e-08	0.0
FCRL5	0.1171161025819586	0.0	1.7076703347249937e-08	0.0
PLK1	0.1169864806004605	0.0	1.7076703347249937e-08	0.0
UBE2T	0.1162777505684539	0.0	1.7076703347249937e-08	0.0
CCNB1	0.1158699347664279	0.0	1.7076703347249937e-08	0.0
IGHV6-1	0.1157830683378818	0.0	1.7076703347249937e-08	0.0
PKMYT1	0.1154853243166902	0.0	1.7076703347249937e-08	0.0
SLC38A5	0.115114570074866	0.0	1.7076703347249937e-08	0.0
CDCA3	0.11338074376215	0.0	1.7076703347249937e-08	0.0
FOXM1	0.1133524976127411	0.0	1.7076703347249937e-08	0.0
FKBP11	0.1130603751391337	0.0	1.7076703347249937e-08	0.0
SLC1A4	0.1129691956555992	0.0	1.7076703347249937e-08	0.0
APOBEC3B	0.1113710841274016	0.0	1.7076703347249937e-08	0.0
TRIP13	0.1107675108205323	0.0	1.7076703347249937e-08	0.0
IGHV3-74	0.1099919645603782	0.0	1.7076703347249937e-08	0.0
SHMT2	0.1099446020593851	0.0	1.7076703347249937e-08	0.0
CDK1	0.1098593892664815	0.0	1.7076703347249937e-08	0.0
TROAP	0.109722506189971	0.0	1.7076703347249937e-08	0.0
KIFC1	0.1073125021319904	0.0	1.7076703347249937e-08	0.0
LAMP5	0.1072809310094379	0.0	1.7076703347249937e-08	0.0
MAD2L1	0.1070988973884937	0.0	1.7076703347249937e-08	0.0
H2AC12	0.106562791225332	0.0	1.7076703347249937e-08	0.0
PNOC	0.1050835404983691	0.0	1.7076703347249937e-08	0.0
FEN1	0.105047995278081	0.0	1.7076703347249937e-08	0.0
ENSG00000285417.1	0.10500164998683	0.0	1.7076703347249937e-08	0.0
TXNDC11	0.1048715013990932	0.0	1.7076703347249937e-08	0.0
ANKRD36BP2_ENSG00000230006	0.1044239379836003	0.0	1.7076703347249937e-08	0.0
BMP8B	0.1034386521845112	0.0	1.7076703347249937e-08	0.0
KIF11	0.1027054627227633	0.0	1.7076703347249937e-08	0.0
DLGAP5	0.1026583446797714	0.0	1.7076703347249937e-08	0.0
CDT1	0.1014238992388255	0.0	1.7076703347249937e-08	0.0
AURKB	0.1013517225641621	0.0	1.7076703347249937e-08	0.0
IRF4	0.1004228637611024	0.0	1.7076703347249937e-08	0.0
KNL1	0.1001357428290228	0.0	1.7076703347249937e-08	0.0
CENPU	0.0998768063620584	0.0	1.7076703347249937e-08	0.0
TNFAIP3	0.0992970038570595	0.0	1.7076703347249937e-08	0.0
CPNE5	0.0991188753845284	0.0	1.7076703347249937e-08	0.0
NCAPH	0.0991022001752923	0.0	1.7076703347249937e-08	0.0
SPC25	0.0965464597294714	0.0	1.7076703347249937e-08	0.0
LCK	0.0963674282663914	0.0	1.7076703347249937e-08	0.0
CDCA2	0.095585037853047	0.0	1.7076703347249937e-08	0.0
DIAPH3	0.0948974105613134	0.0	1.7076703347249937e-08	0.0
CHPF	0.0948505835081851	0.0	1.7076703347249937e-08	0.0
CDC45	0.0948257166907599	0.0	1.7076703347249937e-08	0.0
GTSE1	0.0947694435243292	0.0	1.7076703347249937e-08	0.0
IFITM2	0.0946936450934481	0.0	1.7076703347249937e-08	0.0
HMMR	0.0946213298278091	0.0	1.7076703347249937e-08	0.0
H3C8	0.0944458485460067	0.0	1.7076703347249937e-08	0.0
CDCA5	0.0943810238919243	0.0	1.7076703347249937e-08	0.0
IGHG4	0.0937732826849734	0.0	1.7076703347249937e-08	0.0
DUSP2	0.0932777906205265	0.0	1.7076703347249937e-08	0.0
CDCA8	0.0907574329468782	0.0	1.7076703347249937e-08	0.0
CENPA	0.0905412005248553	0.0	1.7076703347249937e-08	0.0
H2AC16	0.0904267896542207	0.0	1.7076703347249937e-08	0.0
SPAG5	0.0902191102445705	0.0	1.7076703347249937e-08	0.0
PIM2	0.0895086370807008	0.0	1.7076703347249937e-08	0.0
PHF19	0.0894537481923024	0.0	1.7076703347249937e-08	0.0
FER1L4	0.0889116854129163	0.0	1.7076703347249937e-08	0.0
LINC02362	0.0878305351371566	0.0	1.7076703347249937e-08	0.0
SPAG4	0.0878305002432927	0.0	1.7076703347249937e-08	0.0
DTL	0.0873224161379697	0.0	1.7076703347249937e-08	0.0
PREB	0.0870673553401512	0.0	1.7076703347249937e-08	0.0
MCM2	0.0870270537166221	0.0	1.7076703347249937e-08	0.0
ESCO2	0.0860285764604828	0.0	1.7076703347249937e-08	0.0
ZBP1	0.0858052909214113	0.0	1.7076703347249937e-08	0.0
TOR3A	0.0857598008701126	0.0	1.7076703347249937e-08	0.0
SKA3	0.0856094929809634	0.0	1.7076703347249937e-08	0.0
DHFR	0.0854493514158714	0.0	1.7076703347249937e-08	0.0
MCM5	0.085086248376731	0.0	1.7076703347249937e-08	0.0
ORC6	0.0846086426620345	0.0	1.7076703347249937e-08	0.0
CHST2	0.0840201668418491	0.0	1.7076703347249937e-08	0.0
CCR10	0.0840199506551571	0.0	1.7076703347249937e-08	0.0
OIP5	0.0840066106602638	0.0	1.7076703347249937e-08	0.0
C11orf24	0.0839760044419393	0.0	1.7076703347249937e-08	0.0
CDC25A	0.0839190731135016	0.0	1.7076703347249937e-08	0.0
H2BC11	0.0838732617454083	0.0	1.7076703347249937e-08	0.0
IGHM	0.0835232968657899	0.0	1.7076703347249937e-08	0.0
PARPBP	0.0830766601710723	0.0	1.7076703347249937e-08	0.0
H2AC13	0.0828833366492643	0.0	1.7076703347249937e-08	0.0
CHAC2	0.0822677665510846	0.0	1.7076703347249937e-08	0.0
CDKN2A	0.0821497886731115	0.0	1.7076703347249937e-08	0.0
MCM10	0.0814347694487712	0.0	1.7076703347249937e-08	0.0
CEP55	0.080812241247557	0.0	1.7076703347249937e-08	0.0
SKA1	0.0806598156351094	0.0	1.7076703347249937e-08	0.0
HJURP	0.0806483795870531	0.0	1.7076703347249937e-08	0.0
POLQ	0.0803265042539391	0.0	1.7076703347249937e-08	0.0
DEPDC1B	0.0802662689730776	0.0	1.7076703347249937e-08	0.0
KIF4A	0.0797493900881918	0.0	1.7076703347249937e-08	0.0
MELK	0.0796954033090622	0.0	1.7076703347249937e-08	0.0
NFKBIA	0.0793734362404974	0.0	1.7076703347249937e-08	0.0
CENPN	0.0789478438312007	0.0	1.7076703347249937e-08	0.0
SLAMF7	0.0789387204527561	0.0	1.7076703347249937e-08	0.0
SNORD3A	0.0786994447039245	0.0	1.7076703347249937e-08	0.0
CENPE	0.0770658160242827	0.0	1.7076703347249937e-08	0.0
GMPPA	0.0768444445361878	0.0	1.7076703347249937e-08	0.0
TCF3	0.0766682065490024	0.0	1.7076703347249937e-08	0.0
BUB1B	0.0766009874656819	0.0	1.7076703347249937e-08	0.0
LRR1	0.0765920331694525	0.0	1.7076703347249937e-08	0.0
POC1A	0.0764004032906354	0.0	1.7076703347249937e-08	0.0
NDC80	0.0762004558832496	0.0	1.7076703347249937e-08	0.0
RAD51	0.0757033348378587	0.0	1.7076703347249937e-08	0.0
ZNF215	0.0753211178807303	0.0	1.7076703347249937e-08	0.0
GPSM3	0.0752993713432236	0.0	1.7076703347249937e-08	0.0
NLRP7	0.0751753584231861	0.0	1.7076703347249937e-08	0.0
KIF23	0.0748322261854036	0.0	1.7076703347249937e-08	0.0
DCPS	0.0748028995467881	0.0	1.7076703347249937e-08	0.0
KIF15	0.0747421715628109	0.0	1.7076703347249937e-08	0.0
ITM2B	0.0747201753556074	0.0	1.7076703347249937e-08	0.0
U3_ENSG00000212195	0.0747113963679604	0.0	1.7076703347249937e-08	0.0
TGFB1	0.0743503684433067	0.0	1.7076703347249937e-08	0.0
ARHGAP11A	0.0741812641486391	0.0	1.7076703347249937e-08	0.0
PPP1R15A	0.0741001770071421	0.0	1.7076703347249937e-08	0.0
MRPS24	0.0738658356203126	0.0	1.7076703347249937e-08	0.0
HPDL	0.0734141145805085	0.0	1.7076703347249937e-08	0.0
TMEM214	0.0730236963731272	0.0	1.7076703347249937e-08	0.0
RAD51AP1	0.0727837252937386	0.0	1.7076703347249937e-08	0.0
RECQL4	0.0727832363277794	0.0	1.7076703347249937e-08	0.0
VOPP1	0.0725674269653039	0.0	1.7076703347249937e-08	0.0
MIXL1	0.0723216099801957	0.0	1.7076703347249937e-08	0.0
UHRF1	0.0720140220116465	0.0	1.7076703347249937e-08	0.0
MCM7	0.0717475291235189	0.0	1.7076703347249937e-08	0.0
BFSP2	0.0711692819772337	0.0	1.7076703347249937e-08	0.0
IGHV4-34	0.0708868970613219	0.0	1.7076703347249937e-08	0.0
TNFRSF13B	0.070473477984279	0.0	1.7076703347249937e-08	0.0
H1-4	0.070206356472385	0.0	1.7076703347249937e-08	0.0
RNASEH2A	0.0699463790281156	0.0	1.7076703347249937e-08	0.0
VARS1	0.0698406577242531	0.0	1.7076703347249937e-08	0.0
ENSG00000248571.1	0.0690776766209999	0.0	1.7076703347249937e-08	0.0
E2F2	0.0687542842832852	0.0	1.7076703347249937e-08	0.0
TP73	0.0686393460922571	0.0	1.7076703347249937e-08	0.0
STIL	0.0685665774025036	0.0	1.7076703347249937e-08	0.0
ARHGAP9	0.0684526973743227	0.0	1.7076703347249937e-08	0.0
NME2	0.0681040142041939	0.0	1.7076703347249937e-08	0.0
ST6GALNAC4	0.0678789890259096	0.0	1.7076703347249937e-08	0.0
H2BC9	0.0678780461274927	0.0	1.7076703347249937e-08	0.0
IGKV4-1	0.0677586928981419	0.0	1.7076703347249937e-08	0.0
FANCI	0.0675584465765512	0.0	1.7076703347249937e-08	0.0
NUF2	0.0674442251168878	0.0	1.7076703347249937e-08	0.0
ASF1B	0.0669772583331031	0.0	1.7076703347249937e-08	0.0
DEPDC1	0.0663332055558922	0.0	1.7076703347249937e-08	0.0
CHAF1A	0.0656074543888686	0.0	1.7076703347249937e-08	0.0
KLHL14	0.0652924113030157	0.0	1.7076703347249937e-08	0.0
DTNB-AS1	0.0652837918008682	0.0	1.7076703347249937e-08	0.0
KIF14	0.0648642225433263	0.0	1.7076703347249937e-08	0.0
IGKV1-39	0.0646731737751544	0.0	1.7076703347249937e-08	0.0
NFKBIZ	0.064429553006868	0.0	1.7076703347249937e-08	0.0
RNVU1-26	0.0642653353164179	0.0	1.7076703347249937e-08	0.0
LCP2	0.0641727883686464	0.0	1.7076703347249937e-08	0.0
B9D1	0.0639759735683382	0.0	1.7076703347249937e-08	0.0
CIP2A	0.0639627103750079	0.0	1.7076703347249937e-08	0.0
IGKV3-20	0.0638824037690467	0.0	1.7076703347249937e-08	0.0
CST7	0.0631373935017541	0.0	1.7076703347249937e-08	0.0
