Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.2237752650290735	0.0	1.5595009061617304e-08	0.0
JCHAIN	0.2140674337270461	0.0	1.5595009061617304e-08	0.0
TXNDC5	0.2116563976370584	0.0	1.5595009061617304e-08	0.0
IGKC	0.1586851290671996	0.0	1.5595009061617304e-08	0.0
MYBL2	0.1584704015670296	0.0	1.5595009061617304e-08	0.0
RRM2	0.1569215946602717	0.0	1.5595009061617304e-08	0.0
SEC11C	0.1479209197205178	0.0	1.5595009061617304e-08	0.0
CD38	0.1475614528889131	0.0	1.5595009061617304e-08	0.0
TNFRSF17	0.1420492478240767	0.0	1.5595009061617304e-08	0.0
IGLC2	0.1415165604734323	0.0	1.5595009061617304e-08	0.0
PRDX4	0.1408432962155266	0.0	1.5595009061617304e-08	0.0
H1-5	0.1399767630699471	0.0	1.5595009061617304e-08	0.0
POU2AF1	0.1394763816341703	0.0	1.5595009061617304e-08	0.0
CDC20	0.1373554384311563	0.0	1.5595009061617304e-08	0.0
TYMS	0.134656526998285	0.0	1.5595009061617304e-08	0.0
DERL3	0.1334392296217414	0.0	1.5595009061617304e-08	0.0
IGLL5	0.1327160357297169	0.0	1.5595009061617304e-08	0.0
IGHG2	0.1295005770078196	0.0	1.5595009061617304e-08	0.0
PDIA4	0.1274432209821438	0.0	1.5595009061617304e-08	0.0
HSP90B1	0.1256900215654005	0.0	1.5595009061617304e-08	0.0
SDF2L1	0.122551199416302	0.0	1.5595009061617304e-08	0.0
MKI67	0.1213120974328537	0.0	1.5595009061617304e-08	0.0
IGHG1	0.1157034903049042	0.0	1.5595009061617304e-08	0.0
MYDGF	0.1134871873353132	0.0	1.5595009061617304e-08	0.0
GGH	0.1109458231223056	0.0	1.5595009061617304e-08	0.0
IGHV3-74	0.1088287952241063	0.0	1.5595009061617304e-08	0.0
IGHA1	0.1087315071603019	0.0	1.5595009061617304e-08	0.0
SHCBP1	0.1086892495946985	0.0	1.5595009061617304e-08	0.0
ZWINT	0.1046324476464926	0.0	1.5595009061617304e-08	0.0
CENPW	0.1011486436247737	0.0	1.5595009061617304e-08	0.0
XBP1	0.09826983658328	0.0	1.5595009061617304e-08	0.0
CCNA2	0.0959594494377798	0.0	1.5595009061617304e-08	0.0
PPIB	0.0957110443881671	0.0	1.5595009061617304e-08	0.0
IGHV6-1	0.0952496844208122	0.0	1.5595009061617304e-08	0.0
TK1	0.0942038723713243	0.0	1.5595009061617304e-08	0.0
TPX2	0.0932331709987571	0.0	1.5595009061617304e-08	0.0
BIRC5	0.0925705090594639	0.0	1.5595009061617304e-08	0.0
PNRC1	0.0917972466601985	0.0	1.5595009061617304e-08	0.0
UBE2C	0.0916111295564321	0.0	1.5595009061617304e-08	0.0
BUB1	0.090840583130136	0.0	1.5595009061617304e-08	0.0
NUSAP1	0.0878704607481439	0.0	1.5595009061617304e-08	0.0
ENSG00000258572.1	0.087430658475339	0.0	1.5595009061617304e-08	0.0
ENSG00000257221.4	0.0865414496952217	0.0	1.5595009061617304e-08	0.0
ASPM	0.0853814277289208	0.0	1.5595009061617304e-08	0.0
ITM2C	0.0850586643877995	0.0	1.5595009061617304e-08	0.0
PLK1	0.0843644976717385	0.0	1.5595009061617304e-08	0.0
GMPPB	0.0838320846940219	0.0	1.5595009061617304e-08	0.0
NCAPG	0.0836247971674862	0.0	1.5595009061617304e-08	0.0
GINS2	0.0834812628003218	0.0	1.5595009061617304e-08	0.0
CCNB1	0.0828932811655633	0.0	1.5595009061617304e-08	0.0
HYOU1	0.0812418091595155	0.0	1.5595009061617304e-08	0.0
IFITM1	0.0811010208739125	0.0	1.5595009061617304e-08	0.0
CCNB2	0.0804963868403447	0.0	1.5595009061617304e-08	0.0
UBE2J1	0.0803688219776243	0.0	1.5595009061617304e-08	0.0
CRELD2	0.0800372232799295	0.0	1.5595009061617304e-08	0.0
PTTG1	0.0797262536354108	0.0	1.5595009061617304e-08	0.0
H2AC12	0.0789318817635796	0.0	1.5595009061617304e-08	0.0
CDC6	0.0788325708998735	0.0	1.5595009061617304e-08	0.0
CDKN3	0.077959680250591	0.0	1.5595009061617304e-08	0.0
STT3A	0.0755483664195289	0.0	1.5595009061617304e-08	0.0
FKBP11	0.0748027156015551	0.0	1.5595009061617304e-08	0.0
CDK1	0.0745147565823358	0.0	1.5595009061617304e-08	0.0
UBE2T	0.0732132327473177	0.0	1.5595009061617304e-08	0.0
SLC1A4	0.0728059414157336	0.0	1.5595009061617304e-08	0.0
TROAP	0.0715329052812381	0.0	1.5595009061617304e-08	0.0
IGHG3	0.0705742063479411	0.0	1.5595009061617304e-08	0.0
ANKRD36BP2_ENSG00000230006	0.0703737019852951	0.0	1.5595009061617304e-08	0.0
KIFC1	0.0700827067401349	0.0	1.5595009061617304e-08	0.0
H2AC16	0.0694015478053931	0.0	1.5595009061617304e-08	0.0
SLC38A5	0.0693117189200116	0.0	1.5595009061617304e-08	0.0
DLGAP5	0.0691404639247337	0.0	1.5595009061617304e-08	0.0
CDCA3	0.068993091798658	0.0	1.5595009061617304e-08	0.0
AURKB	0.0681282060813349	0.0	1.5595009061617304e-08	0.0
PKMYT1	0.0680725441822843	0.0	1.5595009061617304e-08	0.0
H2AC13	0.0679058297561643	0.0	1.5595009061617304e-08	0.0
ABCB9	0.0675987813604661	0.0	1.5595009061617304e-08	0.0
LAMP5	0.0668755754963539	0.0	1.5595009061617304e-08	0.0
CD3E	0.0665442199610079	0.0	1.5595009061617304e-08	0.0
KNL1	0.0665092810944298	0.0	1.5595009061617304e-08	0.0
CENPM	0.0654023761793629	0.0	1.5595009061617304e-08	0.0
TRIP13	0.0650827927402991	0.0	1.5595009061617304e-08	0.0
TXNDC11	0.064218879037846	0.0	1.5595009061617304e-08	0.0
SHMT2	0.0637127246076425	0.0	1.5595009061617304e-08	0.0
APOBEC3B	0.0631631564205162	0.0	1.5595009061617304e-08	0.0
FOXM1	0.0631619172346692	0.0	1.5595009061617304e-08	0.0
CDT1	0.0629133363659892	0.0	1.5595009061617304e-08	0.0
GAB1	0.0628250804846064	0.0	1.5595009061617304e-08	0.0
KIF11	0.0627323465479744	0.0	1.5595009061617304e-08	0.0
CDCA8	0.0624116848105818	0.0	1.5595009061617304e-08	0.0
CDCA2	0.0615640158538194	0.0	1.5595009061617304e-08	0.0
IGKV1-39	0.0615302517644914	0.0	1.5595009061617304e-08	0.0
CHPF	0.0612974441307987	0.0	1.5595009061617304e-08	0.0
BHLHA15	0.0608060865511156	0.0	1.5595009061617304e-08	0.0
FEN1	0.06044466558733	0.0	1.5595009061617304e-08	0.0
IGHV4-34	0.0604249452792267	0.0	1.5595009061617304e-08	0.0
SEC13	0.0603626927458563	0.0	1.5595009061617304e-08	0.0
LINC03034	0.0597679688860687	0.0	1.5595009061617304e-08	0.0
MAD2L1	0.059539656968309	0.0	1.5595009061617304e-08	0.0
IRF4	0.0590549385415322	0.0	1.5595009061617304e-08	0.0
HMMR	0.0586787285191894	0.0	1.5595009061617304e-08	0.0
IGHM	0.0586068999155572	0.0	1.5595009061617304e-08	0.0
NCAPH	0.0582304752723015	0.0	1.5595009061617304e-08	0.0
LCK	0.0577160442372098	0.0	1.5595009061617304e-08	0.0
H3C8	0.0576005901742911	0.0	1.5595009061617304e-08	0.0
CENPA	0.0565789005816166	0.0	1.5595009061617304e-08	0.0
CDCA5	0.0564767620952234	0.0	1.5595009061617304e-08	0.0
PHF19	0.0561693865480691	0.0	1.5595009061617304e-08	0.0
GTSE1	0.0558794672793837	0.0	1.5595009061617304e-08	0.0
IGKV1D-39	0.0550692374063511	0.0	1.5595009061617304e-08	0.0
H2BC11	0.0548409867503758	0.0	1.5595009061617304e-08	0.0
H1-4	0.0546120085062117	0.0	1.5595009061617304e-08	0.0
SPC25	0.0545807176590368	0.0	1.5595009061617304e-08	0.0
EAF2	0.0544117646847622	0.0	1.5595009061617304e-08	0.0
CCR10	0.0542611067189273	0.0	1.5595009061617304e-08	0.0
PIM2	0.0540642245550135	0.0	1.5595009061617304e-08	0.0
CENPU	0.0536800342809052	0.0	1.5595009061617304e-08	0.0
CEP55	0.0530590533430074	0.0	1.5595009061617304e-08	0.0
DTL	0.05302122793503	0.0	1.5595009061617304e-08	0.0
TUBG1	0.0528932818346348	0.0	1.5595009061617304e-08	0.0
MCM10	0.0525888909599205	0.0	1.5595009061617304e-08	0.0
SPAG5	0.0525180239059749	0.0	1.5595009061617304e-08	0.0
SPAG4	0.0524036026574164	0.0	1.5595009061617304e-08	0.0
IGLV2-5	0.0515358148538681	0.0	1.5595009061617304e-08	0.0
FER1L4	0.0514639378505813	0.0	1.5595009061617304e-08	0.0
LINC02362	0.0511191024591671	0.0	1.5595009061617304e-08	0.0
FCRL5	0.0510825651777615	0.0	1.5595009061617304e-08	0.0
CDC45	0.0510562466987757	0.0	1.5595009061617304e-08	0.0
H4C6	0.0496316550847581	0.0	1.5595009061617304e-08	0.0
DIAPH3	0.0495307728358954	0.0	1.5595009061617304e-08	0.0
MIR193BHG	0.0494891963681208	0.0	1.5595009061617304e-08	0.0
ZBP1	0.0493632008112795	0.0	1.5595009061617304e-08	0.0
DDOST	0.0493191137020951	0.0	1.5595009061617304e-08	0.0
IGHG4	0.0490128031686702	0.0	1.5595009061617304e-08	0.0
KIF23	0.0486756997372692	0.0	1.5595009061617304e-08	0.0
CHST2	0.0485227661709779	0.0	1.5595009061617304e-08	0.0
MCM4	0.0478956114223456	0.0	1.5595009061617304e-08	0.0
ASF1B	0.0472012207301768	0.0	1.5595009061617304e-08	0.0
HJURP	0.0470465551379056	0.0	1.5595009061617304e-08	0.0
DHFR	0.0467186224302311	0.0	1.5595009061617304e-08	0.0
CPNE5	0.0466162471477527	0.0	1.5595009061617304e-08	0.0
MCM2	0.046502089234148	0.0	1.5595009061617304e-08	0.0
DUSP2	0.0463084303726737	0.0	1.5595009061617304e-08	0.0
H2BC4	0.0462925343051125	0.0	1.5595009061617304e-08	0.0
ESCO2	0.0462476754006948	0.0	1.5595009061617304e-08	0.0
SKA3	0.0459001907991282	0.0	1.5595009061617304e-08	0.0
BUB1B	0.0453639144731301	0.0	1.5595009061617304e-08	0.0
PREB	0.0451636957673809	0.0	1.5595009061617304e-08	0.0
BMP8B	0.0449704727901727	0.0	1.5595009061617304e-08	0.0
POC1A	0.0443739885064819	0.0	1.5595009061617304e-08	0.0
NDC80	0.0442689339655387	0.0	1.5595009061617304e-08	0.0
ARHGAP11A	0.0441387761196964	0.0	1.5595009061617304e-08	0.0
DEPDC1B	0.0439772246912003	0.0	1.5595009061617304e-08	0.0
MCM5	0.0437625543124247	0.0	1.5595009061617304e-08	0.0
NLRP7	0.043374717014254	0.0	1.5595009061617304e-08	0.0
H3C12	0.0431854664808785	0.0	1.5595009061617304e-08	0.0
SNORD3A	0.0429723565214822	0.0	1.5595009061617304e-08	0.0
MCM7	0.042940337059806	0.0	1.5595009061617304e-08	0.0
ZNF215	0.0427834081284932	0.0	1.5595009061617304e-08	0.0
SKA1	0.0427463260699808	0.0	1.5595009061617304e-08	0.0
KIF15	0.0425652448288101	0.0	1.5595009061617304e-08	0.0
PARPBP	0.0424445836306502	0.0	1.5595009061617304e-08	0.0
IGKV3-11	0.042074515352169	0.0	1.5595009061617304e-08	0.0
CHAC2	0.0419513565565247	0.0	1.5595009061617304e-08	0.0
IGLV2-14	0.041950178875099	0.0	1.5595009061617304e-08	0.0
KLHL14	0.0416642218274141	0.0	1.5595009061617304e-08	0.0
RECQL4	0.041634194252776	0.0	1.5595009061617304e-08	0.0
OIP5	0.0413030318645852	0.0	1.5595009061617304e-08	0.0
H2BC9	0.0411340705277945	0.0	1.5595009061617304e-08	0.0
IGKV1-9	0.0410373378727752	0.0	1.5595009061617304e-08	0.0
STIL	0.0409785096930565	0.0	1.5595009061617304e-08	0.0
RAD51	0.0408254675753153	0.0	1.5595009061617304e-08	0.0
PNOC	0.0407738936651555	0.0	1.5595009061617304e-08	0.0
