Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.126935564495528	0.0	1.2631954076924868e-08	0.0
JCHAIN	0.124522345313301	0.0	1.2631954076924868e-08	0.0
IGLL5	0.108409981092787	0.0	1.2631954076924868e-08	0.0
TXNDC5	0.1056686154185478	0.0	1.2631954076924868e-08	0.0
RRM2	0.1001914260318422	0.0	1.2631954076924868e-08	0.0
MYBL2	0.0949623673308952	0.0	1.2631954076924868e-08	0.0
IGHG2	0.0938420776774053	0.0	1.2631954076924868e-08	0.0
TYMS	0.0904954090130129	0.0	1.2631954076924868e-08	0.0
TNFRSF17	0.0895639597068392	0.0	1.2631954076924868e-08	0.0
POU2AF1	0.0895605373759483	0.0	1.2631954076924868e-08	0.0
DERL3	0.0832076283778626	0.0	1.2631954076924868e-08	0.0
CD38	0.0831803920343625	0.0	1.2631954076924868e-08	0.0
IGHA1	0.0784865446463851	0.0	1.2631954076924868e-08	0.0
ENSG00000258572.1	0.0759214767804867	0.0	1.2631954076924868e-08	0.0
H1-5	0.0744131765102367	0.0	1.2631954076924868e-08	0.0
MKI67	0.0726138681620284	0.0	1.2631954076924868e-08	0.0
IGHG1	0.0713859672726418	0.0	1.2631954076924868e-08	0.0
CD3E	0.0691708918707095	0.0	1.2631954076924868e-08	0.0
IGHV6-1	0.0640271781646324	0.0	1.2631954076924868e-08	0.0
SHCBP1	0.0621813145941921	0.0	1.2631954076924868e-08	0.0
BIRC5	0.0615385262628599	0.0	1.2631954076924868e-08	0.0
LINC03034	0.0572220719022887	0.0	1.2631954076924868e-08	0.0
CCNA2	0.0567270575421943	0.0	1.2631954076924868e-08	0.0
ZWINT	0.0565731745092662	0.0	1.2631954076924868e-08	0.0
ENSG00000257221.4	0.0553804991349905	0.0	1.2631954076924868e-08	0.0
CDC20	0.0545986592930294	0.0	1.2631954076924868e-08	0.0
TK1	0.053604090392242	0.0	1.2631954076924868e-08	0.0
IGHV3-74	0.0518643144343966	0.0	1.2631954076924868e-08	0.0
FOXM1	0.0514998255202288	0.0	1.2631954076924868e-08	0.0
TPX2	0.0502549871946671	0.0	1.2631954076924868e-08	0.0
GINS2	0.0500684187162345	0.0	1.2631954076924868e-08	0.0
PNRC1	0.0495209870749191	0.0	1.2631954076924868e-08	0.0
FCRL5	0.0494347946360007	0.0	1.2631954076924868e-08	0.0
PKMYT1	0.0494028466931191	0.0	1.2631954076924868e-08	0.0
NCAPG	0.0482449723528616	0.0	1.2631954076924868e-08	0.0
IGKV4-1	0.0482218639929444	0.0	1.2631954076924868e-08	0.0
CDCA3	0.0473675398575515	0.0	1.2631954076924868e-08	0.0
CCNB2	0.0470046135564189	0.0	1.2631954076924868e-08	0.0
CENPW	0.0469399662826074	0.0	1.2631954076924868e-08	0.0
CCNB1	0.0466674492482424	0.0	1.2631954076924868e-08	0.0
ABCB9	0.0465143042264969	0.0	1.2631954076924868e-08	0.0
IFITM1	0.0465131074204547	0.0	1.2631954076924868e-08	0.0
H3C8	0.0461007654954532	0.0	1.2631954076924868e-08	0.0
BUB1	0.0458603527317531	0.0	1.2631954076924868e-08	0.0
AURKB	0.0453351500473121	0.0	1.2631954076924868e-08	0.0
