Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.2082366070741256	0.0	1.8628704771950252e-08	0.0
JCHAIN	0.1979608586951752	0.0	1.8628704771950252e-08	0.0
TXNDC5	0.1875946389247887	0.0	1.8628704771950252e-08	0.0
IGLC2	0.1480967394600753	0.0	1.8628704771950252e-08	0.0
RRM2	0.1461086289376325	0.0	1.8628704771950252e-08	0.0
CD38	0.1353292403375116	0.0	1.8628704771950252e-08	0.0
DERL3	0.1340737422768563	0.0	1.8628704771950252e-08	0.0
SEC11C	0.1323575852683791	0.0	1.8628704771950252e-08	0.0
MYBL2	0.1307341944454418	0.0	1.8628704771950252e-08	0.0
TNFRSF17	0.1302936111310535	0.0	1.8628704771950252e-08	0.0
IGLL5	0.1293323659359367	0.0	1.8628704771950252e-08	0.0
H1-5	0.1253050106211941	0.0	1.8628704771950252e-08	0.0
CDC20	0.1237326585441184	0.0	1.8628704771950252e-08	0.0
POU2AF1	0.119233937564986	0.0	1.8628704771950252e-08	0.0
IGHG2	0.1171638231347788	0.0	1.8628704771950252e-08	0.0
TYMS	0.1139278297953403	0.0	1.8628704771950252e-08	0.0
IGHV3-74	0.1123068570266391	0.0	1.8628704771950252e-08	0.0
IGHA1	0.1112397304313753	0.0	1.8628704771950252e-08	0.0
IGHG1	0.1076448710820726	0.0	1.8628704771950252e-08	0.0
MKI67	0.1050605440709492	0.0	1.8628704771950252e-08	0.0
SHCBP1	0.0999812041868939	0.0	1.8628704771950252e-08	0.0
ZWINT	0.0978997445033376	0.0	1.8628704771950252e-08	0.0
IGHV6-1	0.097771213892858	0.0	1.8628704771950252e-08	0.0
CENPW	0.0884741998974639	0.0	1.8628704771950252e-08	0.0
FKBP11	0.0839933837749113	0.0	1.8628704771950252e-08	0.0
ITM2C	0.0836822105003319	0.0	1.8628704771950252e-08	0.0
BUB1	0.0814283116155006	0.0	1.8628704771950252e-08	0.0
BIRC5	0.0813582622237444	0.0	1.8628704771950252e-08	0.0
CCNA2	0.0788552197897762	0.0	1.8628704771950252e-08	0.0
TPX2	0.0780824475952107	0.0	1.8628704771950252e-08	0.0
H2AC12	0.0773007090911307	0.0	1.8628704771950252e-08	0.0
ENSG00000258572.1	0.0771665922333399	0.0	1.8628704771950252e-08	0.0
TK1	0.0760499790612024	0.0	1.8628704771950252e-08	0.0
UBE2C	0.0751432378859831	0.0	1.8628704771950252e-08	0.0
CCNB2	0.0745239258860894	0.0	1.8628704771950252e-08	0.0
ASPM	0.0724637658726021	0.0	1.8628704771950252e-08	0.0
ENSG00000257221.4	0.0720704229110981	0.0	1.8628704771950252e-08	0.0
NUSAP1	0.071875052333243	0.0	1.8628704771950252e-08	0.0
LAMP5	0.0710270527997476	0.0	1.8628704771950252e-08	0.0
STT3A	0.0696880994003325	0.0	1.8628704771950252e-08	0.0
ANKRD36BP2_ENSG00000230006	0.0689489297516666	0.0	1.8628704771950252e-08	0.0
GINS2	0.0688010034297259	0.0	1.8628704771950252e-08	0.0
HYOU1	0.0680380504272649	0.0	1.8628704771950252e-08	0.0
NCAPG	0.0679484447297165	0.0	1.8628704771950252e-08	0.0
ABCB9	0.0675422013786972	0.0	1.8628704771950252e-08	0.0
DUSP2	0.0673232472742981	0.0	1.8628704771950252e-08	0.0
CDKN3	0.0658017844726966	0.0	1.8628704771950252e-08	0.0
CDC6	0.0653078745549193	0.0	1.8628704771950252e-08	0.0
CCNB1	0.065111143512016	0.0	1.8628704771950252e-08	0.0
CTSW	0.0643437596222412	0.0	1.8628704771950252e-08	0.0
GMPPB	0.0640765793567433	0.0	1.8628704771950252e-08	0.0
PLK1	0.0639613968437476	0.0	1.8628704771950252e-08	0.0
MAD2L1	0.0615759343708866	0.0	1.8628704771950252e-08	0.0
CDCA3	0.0613853155819792	0.0	1.8628704771950252e-08	0.0
ZAP70	0.0610434016372222	0.0	1.8628704771950252e-08	0.0
CDK1	0.0609771264699809	0.0	1.8628704771950252e-08	0.0
TROAP	0.0608474956753229	0.0	1.8628704771950252e-08	0.0
UBE2T	0.0603470122894339	0.0	1.8628704771950252e-08	0.0
CHPF	0.0596480731932396	0.0	1.8628704771950252e-08	0.0
PRF1	0.0591794237211832	0.0	1.8628704771950252e-08	0.0
IGHV4-34	0.0588429522960034	0.0	1.8628704771950252e-08	0.0
PKMYT1	0.0585964993343641	0.0	1.8628704771950252e-08	0.0
SLC1A4	0.058562548479059	0.0	1.8628704771950252e-08	0.0
IGHM	0.0583546920467535	0.0	1.8628704771950252e-08	0.0
BHLHA15	0.0581760248720662	0.0	1.8628704771950252e-08	0.0
IGKV1-39	0.0581032922798623	0.0	1.8628704771950252e-08	0.0
FOXM1	0.0581011956796829	0.0	1.8628704771950252e-08	0.0
SLC38A5	0.0579728803206762	0.0	1.8628704771950252e-08	0.0
AURKB	0.0573292428164839	0.0	1.8628704771950252e-08	0.0
PIM2	0.0573143642541684	0.0	1.8628704771950252e-08	0.0
DLGAP5	0.0572378729164226	0.0	1.8628704771950252e-08	0.0
IFITM1	0.0564797641247544	0.0	1.8628704771950252e-08	0.0
NKG7	0.0564521122551369	0.0	1.8628704771950252e-08	0.0
SHMT2	0.0563320318480807	0.0	1.8628704771950252e-08	0.0
H3C8	0.0560939470183475	0.0	1.8628704771950252e-08	0.0
CENPM	0.0560022821179335	0.0	1.8628704771950252e-08	0.0
IGLV2-5	0.0555052713231468	0.0	1.8628704771950252e-08	0.0
CD22	0.0551710590489545	0.0	1.8628704771950252e-08	0.0
LINC03034	0.0548971622688931	0.0	1.8628704771950252e-08	0.0
KIFC1	0.0547315037196242	0.0	1.8628704771950252e-08	0.0
NAPSB_ENSG00000131401	0.0544326244584147	0.0	1.8628704771950252e-08	0.0
SPAG4	0.0541546866426571	0.0	1.8628704771950252e-08	0.0
KNL1	0.0539891679270541	0.0	1.8628704771950252e-08	0.0
H2AC13	0.0538923055787178	0.0	1.8628704771950252e-08	0.0
CDCA2	0.053295090315244	0.0	1.8628704771950252e-08	0.0
KIF11	0.0530158558073909	0.0	1.8628704771950252e-08	0.0
CDCA8	0.0525317002206156	0.0	1.8628704771950252e-08	0.0
TRIP13	0.0523406733996535	0.0	1.8628704771950252e-08	0.0
IGKV1D-39	0.0523301301295915	0.0	1.8628704771950252e-08	0.0
FER1L4	0.0518934153582417	0.0	1.8628704771950252e-08	0.0
IRF4	0.0518109178274127	0.0	1.8628704771950252e-08	0.0
BLK	0.0510916305221535	0.0	1.8628704771950252e-08	0.0
FCRLA	0.0508631359139757	0.0	1.8628704771950252e-08	0.0
CDT1	0.0502043386786534	0.0	1.8628704771950252e-08	0.0
APOBEC3B	0.0497453803153737	0.0	1.8628704771950252e-08	0.0
CCR10	0.0494197342005938	0.0	1.8628704771950252e-08	0.0
H2AC16	0.0493019215715005	0.0	1.8628704771950252e-08	0.0
FCRL5	0.0477452242438989	0.0	1.8628704771950252e-08	0.0
H2BC11	0.047494058782291	0.0	1.8628704771950252e-08	0.0
NCAPH	0.0471909992428948	0.0	1.8628704771950252e-08	0.0
FEN1	0.0471754205844486	0.0	1.8628704771950252e-08	0.0
GTSE1	0.0469315164015482	0.0	1.8628704771950252e-08	0.0
NIBAN3	0.0469198276187089	0.0	1.8628704771950252e-08	0.0
LINC02362	0.0464379219839896	0.0	1.8628704771950252e-08	0.0
CDCA5	0.0463982833986785	0.0	1.8628704771950252e-08	0.0
CR2	0.0458616996002886	0.0	1.8628704771950252e-08	0.0
H1-4	0.0452429975625132	0.0	1.8628704771950252e-08	0.0
H4C6	0.0450408404125007	0.0	1.8628704771950252e-08	0.0
EAF2	0.0449746512563977	0.0	1.8628704771950252e-08	0.0
HMMR	0.044812459594695	0.0	1.8628704771950252e-08	0.0
CD19	0.0439725291220478	0.0	1.8628704771950252e-08	0.0
LINC01857	0.0438097976137537	0.0	1.8628704771950252e-08	0.0
MCM10	0.0435627629587435	0.0	1.8628704771950252e-08	0.0
CDC45	0.0433276751855091	0.0	1.8628704771950252e-08	0.0
CENPA	0.0432776796593496	0.0	1.8628704771950252e-08	0.0
ENSG00000285417.1	0.0431568427943941	0.0	1.8628704771950252e-08	0.0
IGKV2-29	0.0421858497110927	0.0	1.8628704771950252e-08	0.0
SPAG5	0.0421599525553366	0.0	1.8628704771950252e-08	0.0
KLHL14	0.0419722385336792	0.0	1.8628704771950252e-08	0.0
IGKV3-11	0.0412421846057471	0.0	1.8628704771950252e-08	0.0
SSR4	0.040990525965698	0.0	1.8628704771950252e-08	0.0
ZBP1	0.0409800540633312	0.0	1.8628704771950252e-08	0.0
TNFRSF13B	0.0408686369180266	0.0	1.8628704771950252e-08	0.0
IGLV2-14	0.0406556688653434	0.0	1.8628704771950252e-08	0.0
IGHG4	0.040617125403967	0.0	1.8628704771950252e-08	0.0
SKA1	0.0400748620128103	0.0	1.8628704771950252e-08	0.0
NDC80	0.0394535730658395	0.0	1.8628704771950252e-08	0.0
NLRP7	0.0394426672761397	0.0	1.8628704771950252e-08	0.0
HJURP	0.0392271366928885	0.0	1.8628704771950252e-08	0.0
BUB1B	0.0390929508691222	0.0	1.8628704771950252e-08	0.0
PREB	0.0388979761919193	0.0	1.8628704771950252e-08	0.0
ESCO2	0.0385987316945717	0.0	1.8628704771950252e-08	0.0
IL2RB	0.0384927736586357	0.0	1.8628704771950252e-08	0.0
DTL	0.0384420474032	0.0	1.8628704771950252e-08	0.0
ORC6	0.0383504395677761	0.0	1.8628704771950252e-08	0.0
KIF23	0.0378929644424204	0.0	1.8628704771950252e-08	0.0
SPI1	0.0376860728039128	0.0	1.8628704771950252e-08	0.0
H2AC17	0.0374827651433598	0.0	1.8628704771950252e-08	0.0
