Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.3675936012359505	0.0	1.4412816503797744e-08	0.0
TXNDC5	0.3630738523287603	0.0	1.4412816503797744e-08	0.0
JCHAIN	0.3427537500141155	0.0	1.4412816503797744e-08	0.0
SEC11C	0.2737760381206739	0.0	1.4412816503797744e-08	0.0
HSP90B1	0.2590884285380352	0.0	1.4412816503797744e-08	0.0
CD38	0.2518444953169613	0.0	1.4412816503797744e-08	0.0
IGKC	0.2506287774346251	0.0	1.4412816503797744e-08	0.0
MYBL2	0.2505362398418965	0.0	1.4412816503797744e-08	0.0
PRDX4	0.2491679398985411	0.0	1.4412816503797744e-08	0.0
PDIA4	0.2468414527228785	0.0	1.4412816503797744e-08	0.0
MYDGF	0.2421600502295249	0.0	1.4412816503797744e-08	0.0
POU2AF1	0.2387891822651379	0.0	1.4412816503797744e-08	0.0
SSR3	0.2374665138312314	0.0	1.4412816503797744e-08	0.0
SDF2L1	0.2347321381548093	0.0	1.4412816503797744e-08	0.0
RRM2	0.2291210709369999	0.0	1.4412816503797744e-08	0.0
IGLL5	0.2225472403605021	0.0	1.4412816503797744e-08	0.0
IGLC2	0.2182795929593659	0.0	1.4412816503797744e-08	0.0
TNFRSF17	0.2180938611994326	0.0	1.4412816503797744e-08	0.0
DERL3	0.2147402764082956	0.0	1.4412816503797744e-08	0.0
H1-5	0.2116751363538031	0.0	1.4412816503797744e-08	0.0
IGHG2	0.2065947361009133	0.0	1.4412816503797744e-08	0.0
TYMS	0.2060821895367707	0.0	1.4412816503797744e-08	0.0
PPIB	0.2028759438398733	0.0	1.4412816503797744e-08	0.0
XBP1	0.2022661795462457	0.0	1.4412816503797744e-08	0.0
CDC20	0.1890851295722499	0.0	1.4412816503797744e-08	0.0
IGHA1	0.1839326870300371	0.0	1.4412816503797744e-08	0.0
GGH	0.1813519021276194	0.0	1.4412816503797744e-08	0.0
ITM2C	0.1771311180673277	0.0	1.4412816503797744e-08	0.0
IFITM1	0.172729379580665	0.0	1.4412816503797744e-08	0.0
IGHG1	0.1706910435516481	0.0	1.4412816503797744e-08	0.0
MKI67	0.1685576149165907	0.0	1.4412816503797744e-08	0.0
FKBP11	0.1656148504616394	0.0	1.4412816503797744e-08	0.0
IGHV3-74	0.1626301166625696	0.0	1.4412816503797744e-08	0.0
PNRC1	0.1586848982170539	0.0	1.4412816503797744e-08	0.0
SHCBP1	0.1586187691561404	0.0	1.4412816503797744e-08	0.0
ZWINT	0.1570102603528594	0.0	1.4412816503797744e-08	0.0
HYOU1	0.1567654710311448	0.0	1.4412816503797744e-08	0.0
CRELD2	0.1554956706229522	0.0	1.4412816503797744e-08	0.0
IGHV6-1	0.1529857730503373	0.0	1.4412816503797744e-08	0.0
CENPW	0.1523523526881244	0.0	1.4412816503797744e-08	0.0
UBE2J1	0.1485174741381131	0.0	1.4412816503797744e-08	0.0
GMPPB	0.1470619222570482	0.0	1.4412816503797744e-08	0.0
STT3A	0.1445669676991626	0.0	1.4412816503797744e-08	0.0
TK1	0.1418898760057629	0.0	1.4412816503797744e-08	0.0
ENSG00000257221.4	0.1408340179352795	0.0	1.4412816503797744e-08	0.0
ENSG00000258572.1	0.1402806980573942	0.0	1.4412816503797744e-08	0.0
PTTG1	0.1388362603801406	0.0	1.4412816503797744e-08	0.0
RPN1	0.137314131916362	0.0	1.4412816503797744e-08	0.0
DUSP1	0.1367712038584566	0.0	1.4412816503797744e-08	0.0
SRPRB	0.1342903213617959	0.0	1.4412816503797744e-08	0.0
CLPTM1L	0.1333846341358552	0.0	1.4412816503797744e-08	0.0
CCNA2	0.1325840182175215	0.0	1.4412816503797744e-08	0.0
BUB1	0.1315308331454997	0.0	1.4412816503797744e-08	0.0
SHMT2	0.130550585459696	0.0	1.4412816503797744e-08	0.0
SEC13	0.1270291480779228	0.0	1.4412816503797744e-08	0.0
TPX2	0.1261596678804972	0.0	1.4412816503797744e-08	0.0
BIRC5	0.1257703675227073	0.0	1.4412816503797744e-08	0.0
TXNDC11	0.1248938857041119	0.0	1.4412816503797744e-08	0.0
NUSAP1	0.1234975822476602	0.0	1.4412816503797744e-08	0.0
PIM2	0.1233651800547502	0.0	1.4412816503797744e-08	0.0
ASPM	0.1205202777646924	0.0	1.4412816503797744e-08	0.0
SLC38A5	0.1200541581577382	0.0	1.4412816503797744e-08	0.0
H2AC12	0.1199923002614602	0.0	1.4412816503797744e-08	0.0
UBE2C	0.1198160006902282	0.0	1.4412816503797744e-08	0.0
GINS2	0.1196224833762677	0.0	1.4412816503797744e-08	0.0
CCNB1	0.1191821441105542	0.0	1.4412816503797744e-08	0.0
HMGB3	0.1190773157585845	0.0	1.4412816503797744e-08	0.0
ABCB9	0.1188873376570596	0.0	1.4412816503797744e-08	0.0
LCK	0.1170991150795885	0.0	1.4412816503797744e-08	0.0
CDKN3	0.1155200515737699	0.0	1.4412816503797744e-08	0.0
CDC6	0.1150525174169148	0.0	1.4412816503797744e-08	0.0
