Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1771267244348312	0.0	2.1470758738098525e-08	0.0
JCHAIN	0.1685716824474777	0.0	2.1470758738098525e-08	0.0
TXNDC5	0.1680520389540557	0.0	2.1470758738098525e-08	0.0
TNFRSF17	0.133736029949857	0.0	2.1470758738098525e-08	0.0
RRM2	0.133578918701366	0.0	2.1470758738098525e-08	0.0
MYBL2	0.1290727683764483	0.0	2.1470758738098525e-08	0.0
CD38	0.128430788645777	0.0	2.1470758738098525e-08	0.0
IGLL5	0.1247580946015818	0.0	2.1470758738098525e-08	0.0
SEC11C	0.1241523379718264	0.0	2.1470758738098525e-08	0.0
TYMS	0.1205010058398997	0.0	2.1470758738098525e-08	0.0
DERL3	0.1190702583180084	0.0	2.1470758738098525e-08	0.0
PRDX4	0.1161709737859509	0.0	2.1470758738098525e-08	0.0
GGH	0.1160842439274228	0.0	2.1470758738098525e-08	0.0
POU2AF1	0.1160374889405573	0.0	2.1470758738098525e-08	0.0
IGHG2	0.115712071346747	0.0	2.1470758738098525e-08	0.0
IGKC	0.1122006511362256	0.0	2.1470758738098525e-08	0.0
MKI67	0.107688504951672	0.0	2.1470758738098525e-08	0.0
CDC20	0.1072218396412647	0.0	2.1470758738098525e-08	0.0
PDIA4	0.1070374190445329	0.0	2.1470758738098525e-08	0.0
SHCBP1	0.1068216838574632	0.0	2.1470758738098525e-08	0.0
H1-5	0.1064574020970214	0.0	2.1470758738098525e-08	0.0
SDF2L1	0.1059337077378876	0.0	2.1470758738098525e-08	0.0
ZWINT	0.0998860615405302	0.0	2.1470758738098525e-08	0.0
HSP90B1	0.0989533409420173	0.0	2.1470758738098525e-08	0.0
ENSG00000258572.1	0.0974528868761074	0.0	2.1470758738098525e-08	0.0
IGHG1	0.0955231771460497	0.0	2.1470758738098525e-08	0.0
IGLC2	0.0909715663859259	0.0	2.1470758738098525e-08	0.0
GINS2	0.090836195620779	0.0	2.1470758738098525e-08	0.0
ITM2C	0.0888579325893192	0.0	2.1470758738098525e-08	0.0
CCNA2	0.0887215791547514	0.0	2.1470758738098525e-08	0.0
TK1	0.0881850257309426	0.0	2.1470758738098525e-08	0.0
BUB1	0.0878511544785012	0.0	2.1470758738098525e-08	0.0
BIRC5	0.0860972337640071	0.0	2.1470758738098525e-08	0.0
