Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1440694966572358	0.0	1.86248041528461e-08	0.0
JCHAIN	0.1387499279792882	0.0	1.86248041528461e-08	0.0
POU2AF1	0.1337129939658236	0.0	1.86248041528461e-08	0.0
TXNDC5	0.1245519538257552	0.0	1.86248041528461e-08	0.0
MYBL2	0.1151255751077259	0.0	1.86248041528461e-08	0.0
LCK	0.1014575551744899	0.0	1.86248041528461e-08	0.0
IFITM1	0.0997149405398037	0.0	1.86248041528461e-08	0.0
IGLL5	0.0992853298259595	0.0	1.86248041528461e-08	0.0
DERL3	0.0969956274652553	0.0	1.86248041528461e-08	0.0
RRM2	0.0965405275707989	0.0	1.86248041528461e-08	0.0
IGHG2	0.0946387688714652	0.0	1.86248041528461e-08	0.0
DUSP2	0.0893282073628281	0.0	1.86248041528461e-08	0.0
TNFRSF17	0.0886435941993876	0.0	1.86248041528461e-08	0.0
H1-5	0.0867024429037034	0.0	1.86248041528461e-08	0.0
IGLC2	0.0866901653006497	0.0	1.86248041528461e-08	0.0
CD7	0.0851534843054102	0.0	1.86248041528461e-08	0.0
IGHG1	0.0845504306763029	0.0	1.86248041528461e-08	0.0
ZAP70	0.0809943506743975	0.0	1.86248041528461e-08	0.0
TYMS	0.0808040284340059	0.0	1.86248041528461e-08	0.0
SEC11C	0.077929605484054	0.0	1.86248041528461e-08	0.0
IGHV6-1	0.0777278046441015	0.0	1.86248041528461e-08	0.0
CD38	0.07621124055662	0.0	1.86248041528461e-08	0.0
ITM2C	0.0732492660117161	0.0	1.86248041528461e-08	0.0
IGHA1	0.0722331530783909	0.0	1.86248041528461e-08	0.0
CD247	0.0686748007285314	0.0	1.86248041528461e-08	0.0
MKI67	0.068603277855489	0.0	1.86248041528461e-08	0.0
PDIA4	0.0672389353703212	0.0	1.86248041528461e-08	0.0
CTSW	0.0667549464879372	0.0	1.86248041528461e-08	0.0
FCRL5	0.0665043314587192	0.0	1.86248041528461e-08	0.0
CDC20	0.0663066695378022	0.0	1.86248041528461e-08	0.0
ENSG00000257221.4	0.0645904067798688	0.0	1.86248041528461e-08	0.0
SHCBP1	0.0624207956031984	0.0	1.86248041528461e-08	0.0
PRF1	0.0623509383077243	0.0	1.86248041528461e-08	0.0
EAF2	0.0618711753170973	0.0	1.86248041528461e-08	0.0
ZWINT	0.0612234806369323	0.0	1.86248041528461e-08	0.0
SDF2L1	0.0599795308916449	0.0	1.86248041528461e-08	0.0
ENSG00000285417.1	0.0596530710756263	0.0	1.86248041528461e-08	0.0
GZMM	0.05939424833161	0.0	1.86248041528461e-08	0.0
IGHM	0.0590834646325285	0.0	1.86248041528461e-08	0.0
GZMA	0.0569904602638812	0.0	1.86248041528461e-08	0.0
ENSG00000258572.1	0.0558064330504575	0.0	1.86248041528461e-08	0.0
H2AC12	0.0549923876184396	0.0	1.86248041528461e-08	0.0
BIRC5	0.054744598448272	0.0	1.86248041528461e-08	0.0
TK1	0.0546737536771182	0.0	1.86248041528461e-08	0.0
CST7	0.054010680849407	0.0	1.86248041528461e-08	0.0
TNFRSF13B	0.053919942645491	0.0	1.86248041528461e-08	0.0
CCNA2	0.0535375440875682	0.0	1.86248041528461e-08	0.0
NUSAP1	0.0530422802477419	0.0	1.86248041528461e-08	0.0
KLRD1	0.052911468357172	0.0	1.86248041528461e-08	0.0
CENPW	0.0524749236223958	0.0	1.86248041528461e-08	0.0
NKG7	0.052395142982314	0.0	1.86248041528461e-08	0.0
LINC03034	0.0516479370264132	0.0	1.86248041528461e-08	0.0
IGLV2-14	0.0515729654204775	0.0	1.86248041528461e-08	0.0
TPX2	0.0512679594948402	0.0	1.86248041528461e-08	0.0
IGHV3-74	0.0506384595649018	0.0	1.86248041528461e-08	0.0
UBE2C	0.0499366627322844	0.0	1.86248041528461e-08	0.0
CDKN3	0.0490177060666376	0.0	1.86248041528461e-08	0.0
BUB1	0.0479891269419763	0.0	1.86248041528461e-08	0.0
H2AC13	0.0472184458960446	0.0	1.86248041528461e-08	0.0
GINS2	0.0467862122282724	0.0	1.86248041528461e-08	0.0
PLK1	0.0455347861386227	0.0	1.86248041528461e-08	0.0
ANKRD36BP2_ENSG00000230006	0.0455168445378143	0.0	1.86248041528461e-08	0.0
IGHV4-34	0.0453775118609369	0.0	1.86248041528461e-08	0.0
PNOC	0.0448687036104201	0.0	1.86248041528461e-08	0.0
BLNK	0.0448133660135022	0.0	1.86248041528461e-08	0.0
LAMP5	0.0441893662554406	0.0	1.86248041528461e-08	0.0
CDK1	0.044005363920118	0.0	1.86248041528461e-08	0.0
HYOU1	0.0437558018644329	0.0	1.86248041528461e-08	0.0
CDC6	0.0433767625595665	0.0	1.86248041528461e-08	0.0
NCAPG	0.0432709280966953	0.0	1.86248041528461e-08	0.0
STT3A	0.0429910846309905	0.0	1.86248041528461e-08	0.0
STAT4	0.0429236708045501	0.0	1.86248041528461e-08	0.0
CCNB2	0.0428329311369698	0.0	1.86248041528461e-08	0.0
CRELD2	0.0428289894303457	0.0	1.86248041528461e-08	0.0
SHMT2	0.042669662216155	0.0	1.86248041528461e-08	0.0
BHLHA15	0.0421379116651856	0.0	1.86248041528461e-08	0.0
ASPM	0.0417709856491472	0.0	1.86248041528461e-08	0.0
CCNB1	0.0415364082103435	0.0	1.86248041528461e-08	0.0
IGLV2-5	0.0413595577630091	0.0	1.86248041528461e-08	0.0
H3C8	0.0407111268645939	0.0	1.86248041528461e-08	0.0
CENPM	0.0406439276754221	0.0	1.86248041528461e-08	0.0
CD19	0.040123609165333	0.0	1.86248041528461e-08	0.0
CDCA3	0.0401080701196635	0.0	1.86248041528461e-08	0.0
IGKV4-1	0.0397566094846496	0.0	1.86248041528461e-08	0.0
FER1L4	0.0389705606723129	0.0	1.86248041528461e-08	0.0
SPAG4	0.0388970371937685	0.0	1.86248041528461e-08	0.0
IGHG4	0.0388813693251314	0.0	1.86248041528461e-08	0.0
IRF4	0.0386369992456745	0.0	1.86248041528461e-08	0.0
IL2RB	0.038546334742135	0.0	1.86248041528461e-08	0.0
ABCB9	0.0381880493397924	0.0	1.86248041528461e-08	0.0
GMPPB	0.0381020948485946	0.0	1.86248041528461e-08	0.0
AURKB	0.0376664171181439	0.0	1.86248041528461e-08	0.0
KLHL14	0.0375137918498753	0.0	1.86248041528461e-08	0.0
PKMYT1	0.0375025279577364	0.0	1.86248041528461e-08	0.0
KNL1	0.0374713250314992	0.0	1.86248041528461e-08	0.0
GPR65	0.0369747345691889	0.0	1.86248041528461e-08	0.0
SCML4	0.0368312938125988	0.0	1.86248041528461e-08	0.0
TRIP13	0.0367839724652584	0.0	1.86248041528461e-08	0.0
MATK	0.0364668980692947	0.0	1.86248041528461e-08	0.0
TROAP	0.0363736535580182	0.0	1.86248041528461e-08	0.0
KIFC1	0.0361216553927506	0.0	1.86248041528461e-08	0.0
FOXM1	0.0361042465692564	0.0	1.86248041528461e-08	0.0
CDCA8	0.0356272823848773	0.0	1.86248041528461e-08	0.0
SLC1A4	0.0354499171005107	0.0	1.86248041528461e-08	0.0
H2AC16	0.0350268141880456	0.0	1.86248041528461e-08	0.0
CPNE5	0.0344735608034628	0.0	1.86248041528461e-08	0.0
CDT1	0.0341375154966342	0.0	1.86248041528461e-08	0.0
GTSE1	0.0338135305937054	0.0	1.86248041528461e-08	0.0
CCL4	0.0337305416316251	0.0	1.86248041528461e-08	0.0
SEL1L3	0.033691402921936	0.0	1.86248041528461e-08	0.0
CENPA	0.0334017263910155	0.0	1.86248041528461e-08	0.0
H4C6	0.0333680545911794	0.0	1.86248041528461e-08	0.0
PTPRCAP	0.0332520925677557	0.0	1.86248041528461e-08	0.0
KIF11	0.0331269399141642	0.0	1.86248041528461e-08	0.0
IGHV5-51	0.032830990199643	0.0	1.86248041528461e-08	0.0
DLGAP5	0.0328169105664411	0.0	1.86248041528461e-08	0.0
TGFB1	0.0326619431427309	0.0	1.86248041528461e-08	0.0
LINC02362	0.0325966201591714	0.0	1.86248041528461e-08	0.0
IGHV4-39	0.0323558911405164	0.0	1.86248041528461e-08	0.0
CASP4LP_ENSG00000235505	0.0323288647164251	0.0	1.86248041528461e-08	0.0
LCP2	0.0323240018496497	0.0	1.86248041528461e-08	0.0
DENND2D	0.0322917816544046	0.0	1.86248041528461e-08	0.0
ARHGAP9	0.0319142403143423	0.0	1.86248041528461e-08	0.0
TXK	0.0318777592729644	0.0	1.86248041528461e-08	0.0
MAD2L1	0.0316393984812746	0.0	1.86248041528461e-08	0.0
FCRLA	0.0316333001494271	0.0	1.86248041528461e-08	0.0
ARHGEF1	0.0316325102546891	0.0	1.86248041528461e-08	0.0
SPON2	0.0316117455550843	0.0	1.86248041528461e-08	0.0
HMMR	0.0314387896641063	0.0	1.86248041528461e-08	0.0
NCAPH	0.0313987614526614	0.0	1.86248041528461e-08	0.0
TBC1D10C	0.0313529778444943	0.0	1.86248041528461e-08	0.0
PAXX	0.0310241410381071	0.0	1.86248041528461e-08	0.0
NFKBIA	0.0309995599123432	0.0	1.86248041528461e-08	0.0
