Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1344237657090948	0.0	2.5391130010086995e-08	0.0
JCHAIN	0.129450425722053	0.0	2.5391130010086995e-08	0.0
TXNDC5	0.1229431050687087	0.0	2.5391130010086995e-08	0.0
POU2AF1	0.1066573237357847	0.0	2.5391130010086995e-08	0.0
MYBL2	0.1010904471896337	0.0	2.5391130010086995e-08	0.0
RRM2	0.0980312624021922	0.0	2.5391130010086995e-08	0.0
DERL3	0.0979172623214692	0.0	2.5391130010086995e-08	0.0
TNFRSF17	0.0943525291306524	0.0	2.5391130010086995e-08	0.0
IGLL5	0.0906963051475259	0.0	2.5391130010086995e-08	0.0
PRDX4	0.0873501321241741	0.0	2.5391130010086995e-08	0.0
SEC11C	0.0864746468420075	0.0	2.5391130010086995e-08	0.0
H1-5	0.0854314551422764	0.0	2.5391130010086995e-08	0.0
CD38	0.0837933627786471	0.0	2.5391130010086995e-08	0.0
TYMS	0.0819809124066659	0.0	2.5391130010086995e-08	0.0
MKI67	0.0801796343054592	0.0	2.5391130010086995e-08	0.0
IGLC2	0.0800927758281036	0.0	2.5391130010086995e-08	0.0
IGHG2	0.0777013367605112	0.0	2.5391130010086995e-08	0.0
PDIA4	0.0769708818193924	0.0	2.5391130010086995e-08	0.0
IGHG1	0.0732049664683214	0.0	2.5391130010086995e-08	0.0
CDC20	0.0725263234267848	0.0	2.5391130010086995e-08	0.0
ITM2C	0.0720324345165741	0.0	2.5391130010086995e-08	0.0
HSP90B1	0.0709290575329366	0.0	2.5391130010086995e-08	0.0
GGH	0.068749056687256	0.0	2.5391130010086995e-08	0.0
IGHA1	0.0670155581296222	0.0	2.5391130010086995e-08	0.0
IFITM1	0.0668453311881868	0.0	2.5391130010086995e-08	0.0
ENSG00000257221.4	0.0647118182565043	0.0	2.5391130010086995e-08	0.0
SHCBP1	0.064467311679537	0.0	2.5391130010086995e-08	0.0
ZWINT	0.0620722228523678	0.0	2.5391130010086995e-08	0.0
BIRC5	0.0601847837398862	0.0	2.5391130010086995e-08	0.0
BUB1	0.0600595213908007	0.0	2.5391130010086995e-08	0.0
IGHV6-1	0.0576976030928141	0.0	2.5391130010086995e-08	0.0
PNRC1	0.0571944041705374	0.0	2.5391130010086995e-08	0.0
UBE2C	0.0569785172798409	0.0	2.5391130010086995e-08	0.0
ENSG00000258572.1	0.0558808320656042	0.0	2.5391130010086995e-08	0.0
NUSAP1	0.0557286434495957	0.0	2.5391130010086995e-08	0.0
MAD2L1	0.0556538520087094	0.0	2.5391130010086995e-08	0.0
TK1	0.0555830599053069	0.0	2.5391130010086995e-08	0.0
STT3A	0.0552152299883772	0.0	2.5391130010086995e-08	0.0
HYOU1	0.0531051850556791	0.0	2.5391130010086995e-08	0.0
CENPW	0.0528829142083749	0.0	2.5391130010086995e-08	0.0
H2AC12	0.0525746089377811	0.0	2.5391130010086995e-08	0.0
CDKN3	0.0524746603776697	0.0	2.5391130010086995e-08	0.0
CCNA2	0.0521083186653855	0.0	2.5391130010086995e-08	0.0
IGHG3	0.051922716620885	0.0	2.5391130010086995e-08	0.0
XBP1	0.0515749055207428	0.0	2.5391130010086995e-08	0.0
PLK1	0.051512254393426	0.0	2.5391130010086995e-08	0.0
LINC03034	0.0514919204776366	0.0	2.5391130010086995e-08	0.0
CENPM	0.0514829666010269	0.0	2.5391130010086995e-08	0.0
IGHV3-74	0.0509928595497071	0.0	2.5391130010086995e-08	0.0
HMGB3	0.050905263174294	0.0	2.5391130010086995e-08	0.0
ASPM	0.04994202801971	0.0	2.5391130010086995e-08	0.0
IRF4	0.049619187011034	0.0	2.5391130010086995e-08	0.0
FCRL5	0.0495294899526919	0.0	2.5391130010086995e-08	0.0
GINS2	0.0495193061608903	0.0	2.5391130010086995e-08	0.0
