Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.316538978413159	0.0	1.724213070849605e-08	0.0
TXNDC5	0.3097552977085675	0.0	1.724213070849605e-08	0.0
JCHAIN	0.2941028141708762	0.0	1.724213070849605e-08	0.0
POU2AF1	0.2413062720300752	0.0	1.724213070849605e-08	0.0
IGKC	0.2308836103759443	0.0	1.724213070849605e-08	0.0
SEC11C	0.224636840469686	0.0	1.724213070849605e-08	0.0
MYBL2	0.2220828376948267	0.0	1.724213070849605e-08	0.0
HSP90B1	0.2044265759933505	0.0	1.724213070849605e-08	0.0
PRDX4	0.1929805867423395	0.0	1.724213070849605e-08	0.0
PDIA4	0.1925053603217178	0.0	1.724213070849605e-08	0.0
IGLC2	0.1898707772402705	0.0	1.724213070849605e-08	0.0
CD38	0.1868279592559325	0.0	1.724213070849605e-08	0.0
RRM2	0.1833033108356082	0.0	1.724213070849605e-08	0.0
H1-5	0.1759723923312554	0.0	1.724213070849605e-08	0.0
IGLL5	0.1689422696236272	0.0	1.724213070849605e-08	0.0
IGHG2	0.168205810934684	0.0	1.724213070849605e-08	0.0
DERL3	0.1641709018535447	0.0	1.724213070849605e-08	0.0
SDF2L1	0.1630972019963409	0.0	1.724213070849605e-08	0.0
IGHA1	0.160685746295816	0.0	1.724213070849605e-08	0.0
PPIB	0.1595070271647581	0.0	1.724213070849605e-08	0.0
ITM2C	0.1579171319876896	0.0	1.724213070849605e-08	0.0
TNFRSF17	0.1550694484607397	0.0	1.724213070849605e-08	0.0
IGHV3-74	0.1545832983163426	0.0	1.724213070849605e-08	0.0
TYMS	0.1493795374317504	0.0	1.724213070849605e-08	0.0
IGHV6-1	0.1444094153948656	0.0	1.724213070849605e-08	0.0
IGHG1	0.1426202457555742	0.0	1.724213070849605e-08	0.0
XBP1	0.1421937724232981	0.0	1.724213070849605e-08	0.0
CDC20	0.1405058003839973	0.0	1.724213070849605e-08	0.0
IFITM1	0.1274065888355662	0.0	1.724213070849605e-08	0.0
FKBP11	0.1259360678113185	0.0	1.724213070849605e-08	0.0
HYOU1	0.1199051668645831	0.0	1.724213070849605e-08	0.0
MKI67	0.1182364460690791	0.0	1.724213070849605e-08	0.0
IGHM	0.1134906771355261	0.0	1.724213070849605e-08	0.0
SHMT2	0.1123658752293319	0.0	1.724213070849605e-08	0.0
H1-4	0.1120590543671788	0.0	1.724213070849605e-08	0.0
PNRC1	0.1119556140840914	0.0	1.724213070849605e-08	0.0
GGH	0.1111142393579249	0.0	1.724213070849605e-08	0.0
CRELD2	0.1104919788871248	0.0	1.724213070849605e-08	0.0
UBE2J1	0.1099558559267247	0.0	1.724213070849605e-08	0.0
ZWINT	0.1072114378180259	0.0	1.724213070849605e-08	0.0
SHCBP1	0.105699199841259	0.0	1.724213070849605e-08	0.0
CENPW	0.104483456849976	0.0	1.724213070849605e-08	0.0
STT3A	0.1034201842386784	0.0	1.724213070849605e-08	0.0
PIM2	0.1026202365423531	0.0	1.724213070849605e-08	0.0
ENSG00000257221.4	0.1023417267812124	0.0	1.724213070849605e-08	0.0
IGLV2-5	0.1015807312236824	0.0	1.724213070849605e-08	0.0
H2AC12	0.0970122740422998	0.0	1.724213070849605e-08	0.0
RPN1	0.0956620850137243	0.0	1.724213070849605e-08	0.0
IGHV4-34	0.095318507853887	0.0	1.724213070849605e-08	0.0
SRPRB	0.0935308934185807	0.0	1.724213070849605e-08	0.0
GMPPB	0.0925268690920138	0.0	1.724213070849605e-08	0.0
TPX2	0.0913574993550868	0.0	1.724213070849605e-08	0.0
IGHV5-51	0.0902674405073074	0.0	1.724213070849605e-08	0.0
FCRL5	0.0895832710637071	0.0	1.724213070849605e-08	0.0
CLPTM1L	0.0892354675211781	0.0	1.724213070849605e-08	0.0
CCNB1	0.088598314723356	0.0	1.724213070849605e-08	0.0
PTTG1	0.0884744280287024	0.0	1.724213070849605e-08	0.0
TK1	0.0882829566034153	0.0	1.724213070849605e-08	0.0
IGKV3-11	0.0882446014201232	0.0	1.724213070849605e-08	0.0
CCNA2	0.0873793841463285	0.0	1.724213070849605e-08	0.0
UBE2C	0.0861591463288145	0.0	1.724213070849605e-08	0.0
SSR4	0.0858188827423343	0.0	1.724213070849605e-08	0.0
TXNDC11	0.0855441206735202	0.0	1.724213070849605e-08	0.0
SLC1A4	0.0840474852440789	0.0	1.724213070849605e-08	0.0
ENSG00000258572.1	0.0838070520276235	0.0	1.724213070849605e-08	0.0
BUB1	0.0836993080273875	0.0	1.724213070849605e-08	0.0
BIRC5	0.0825351873106115	0.0	1.724213070849605e-08	0.0
EAF2	0.0816721308924859	0.0	1.724213070849605e-08	0.0
IRF4	0.0815277413783443	0.0	1.724213070849605e-08	0.0
IGHG3	0.0811374902528305	0.0	1.724213070849605e-08	0.0
