Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.1175757343268985	0.0	1.4567743996652453e-08	0.0
TXNDC5	0.1148554038889132	0.0	1.4567743996652453e-08	0.0
JCHAIN	0.1103118837260275	0.0	1.4567743996652453e-08	0.0
SEC11C	0.0860298102282176	0.0	1.4567743996652453e-08	0.0
POU2AF1	0.0857436444506265	0.0	1.4567743996652453e-08	0.0
HSP90B1	0.0840509615080842	0.0	1.4567743996652453e-08	0.0
MYBL2	0.0834348798025214	0.0	1.4567743996652453e-08	0.0
PRDX4	0.0800601066485059	0.0	1.4567743996652453e-08	0.0
PDIA4	0.0784556056871397	0.0	1.4567743996652453e-08	0.0
CD38	0.0773558945272449	0.0	1.4567743996652453e-08	0.0
SDF2L1	0.0764708924989033	0.0	1.4567743996652453e-08	0.0
RRM2	0.0749020435211129	0.0	1.4567743996652453e-08	0.0
IGKC	0.0747010172723257	0.0	1.4567743996652453e-08	0.0
DERL3	0.0725499825081107	0.0	1.4567743996652453e-08	0.0
TNFRSF17	0.0721487944814603	0.0	1.4567743996652453e-08	0.0
IGLC2	0.0714406849463282	0.0	1.4567743996652453e-08	0.0
IGLL5	0.0697932142527847	0.0	1.4567743996652453e-08	0.0
H1-5	0.0682496486842797	0.0	1.4567743996652453e-08	0.0
ITM2C	0.0668583250160868	0.0	1.4567743996652453e-08	0.0
TYMS	0.0651245427136425	0.0	1.4567743996652453e-08	0.0
PPIB	0.0637732379295916	0.0	1.4567743996652453e-08	0.0
IFITM1	0.0621654129578271	0.0	1.4567743996652453e-08	0.0
IGHG2	0.0611384589257372	0.0	1.4567743996652453e-08	0.0
IGHA1	0.0585785126553788	0.0	1.4567743996652453e-08	0.0
XBP1	0.058429115925353	0.0	1.4567743996652453e-08	0.0
FKBP11	0.0583889184934637	0.0	1.4567743996652453e-08	0.0
CDC20	0.0581614595409075	0.0	1.4567743996652453e-08	0.0
GGH	0.0564983090252319	0.0	1.4567743996652453e-08	0.0
PNRC1	0.0564173501560442	0.0	1.4567743996652453e-08	0.0
IFITM2	0.0563643584151134	0.0	1.4567743996652453e-08	0.0
MKI67	0.056005747293463	0.0	1.4567743996652453e-08	0.0
IGHG1	0.053280139996473	0.0	1.4567743996652453e-08	0.0
PLAUR	0.0531791025327281	0.0	1.4567743996652453e-08	0.0
FPR1	0.0518711924370767	0.0	1.4567743996652453e-08	0.0
HYOU1	0.0515654877161575	0.0	1.4567743996652453e-08	0.0
CRELD2	0.0513999685327295	0.0	1.4567743996652453e-08	0.0
IGHV3-74	0.0511781544243983	0.0	1.4567743996652453e-08	0.0
