Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
JCHAIN	0.1808492978735921	0.0	3.6055630564844295e-08	0.0
MZB1	0.1804630764850178	0.0	3.6055630564844295e-08	0.0
TXNDC5	0.1510545883713532	0.0	3.6055630564844295e-08	0.0
IGLC2	0.1260469101806634	0.0	3.6055630564844295e-08	0.0
DERL3	0.1156039777848474	0.0	3.6055630564844295e-08	0.0
CD3E	0.1140209981494236	0.0	3.6055630564844295e-08	0.0
IGLL5	0.1136598754475407	0.0	3.6055630564844295e-08	0.0
POU2AF1	0.1121647685509089	0.0	3.6055630564844295e-08	0.0
IGHA1	0.1110812361812241	0.0	3.6055630564844295e-08	0.0
RRM2	0.1039440783252472	0.0	3.6055630564844295e-08	0.0
MYBL2	0.1029844556477413	0.0	3.6055630564844295e-08	0.0
CD69	0.1029412541694987	0.0	3.6055630564844295e-08	0.0
CD38	0.1023753172076916	0.0	3.6055630564844295e-08	0.0
TNFRSF17	0.101130821554171	0.0	3.6055630564844295e-08	0.0
IGHG2	0.1007202007888994	0.0	3.6055630564844295e-08	0.0
IGHG1	0.0977151476521492	0.0	3.6055630564844295e-08	0.0
IGHV3-74	0.0970999761571836	0.0	3.6055630564844295e-08	0.0
IGHV6-1	0.0942788823275787	0.0	3.6055630564844295e-08	0.0
PRDX4	0.0932337958881222	0.0	3.6055630564844295e-08	0.0
SEC11C	0.0917577214568795	0.0	3.6055630564844295e-08	0.0
H1-5	0.0882700513315796	0.0	3.6055630564844295e-08	0.0
LCK	0.0860679600477419	0.0	3.6055630564844295e-08	0.0
TYMS	0.0835362944847658	0.0	3.6055630564844295e-08	0.0
MKI67	0.0817120611718688	0.0	3.6055630564844295e-08	0.0
PDIA4	0.0760250953922057	0.0	3.6055630564844295e-08	0.0
CDC20	0.0752182863329151	0.0	3.6055630564844295e-08	0.0
SDF2L1	0.0743541172706049	0.0	3.6055630564844295e-08	0.0
ENSG00000257221.4	0.0647687757662297	0.0	3.6055630564844295e-08	0.0
IGHM	0.0646488173922242	0.0	3.6055630564844295e-08	0.0
BASP1	0.0639992215527884	0.0	3.6055630564844295e-08	0.0
IFITM1	0.0634960040178607	0.0	3.6055630564844295e-08	0.0
XBP1	0.0615468995918631	0.0	3.6055630564844295e-08	0.0
DUSP2	0.0611846603801242	0.0	3.6055630564844295e-08	0.0
IGLV2-14	0.060146661327231	0.0	3.6055630564844295e-08	0.0
ABCB9	0.0598789522838108	0.0	3.6055630564844295e-08	0.0
SHCBP1	0.0591346613129067	0.0	3.6055630564844295e-08	0.0
UBE2C	0.0587298878869969	0.0	3.6055630564844295e-08	0.0
BIRC5	0.0587161559399873	0.0	3.6055630564844295e-08	0.0
CD79A	0.0586951485282803	0.0	3.6055630564844295e-08	0.0
ENSG00000258572.1	0.0586625757046578	0.0	3.6055630564844295e-08	0.0
TPX2	0.0561491521276951	0.0	3.6055630564844295e-08	0.0
H2AC12	0.0556366982241955	0.0	3.6055630564844295e-08	0.0
ANKRD36BP2_ENSG00000230006	0.0552310731957654	0.0	3.6055630564844295e-08	0.0
BUB1	0.0548548665878647	0.0	3.6055630564844295e-08	0.0
IGLV2-5	0.0546087041092022	0.0	3.6055630564844295e-08	0.0
SOCS1	0.0543330386213078	0.0	3.6055630564844295e-08	0.0
CD7	0.0535793159149745	0.0	3.6055630564844295e-08	0.0
ZAP70	0.0533809310590903	0.0	3.6055630564844295e-08	0.0
ITM2C	0.0526088816507189	0.0	3.6055630564844295e-08	0.0
FER1L4	0.0524149792901744	0.0	3.6055630564844295e-08	0.0
SPI1	0.0510673102986775	0.0	3.6055630564844295e-08	0.0
TK1	0.050266721098515	0.0	3.6055630564844295e-08	0.0
IGHV4-34	0.0501670805881508	0.0	3.6055630564844295e-08	0.0
HYOU1	0.0495204872134891	0.0	3.6055630564844295e-08	0.0
ZWINT	0.0494803381459237	0.0	3.6055630564844295e-08	0.0
LINC03034	0.0493632692277534	0.0	3.6055630564844295e-08	0.0
FCRL5	0.0493443892057269	0.0	3.6055630564844295e-08	0.0
H2AC13	0.0493229361297262	0.0	3.6055630564844295e-08	0.0
CCNA2	0.0493146657103573	0.0	3.6055630564844295e-08	0.0
STT3A	0.0487189528078023	0.0	3.6055630564844295e-08	0.0
G0S2	0.0486139975933398	0.0	3.6055630564844295e-08	0.0
LAMP5	0.0481571296805161	0.0	3.6055630564844295e-08	0.0
CDK1	0.0474211650172929	0.0	3.6055630564844295e-08	0.0
NUSAP1	0.047100769637789	0.0	3.6055630564844295e-08	0.0
CCNB2	0.0470781542348343	0.0	3.6055630564844295e-08	0.0
GINS2	0.0466609001149995	0.0	3.6055630564844295e-08	0.0
CD19	0.0462967626036667	0.0	3.6055630564844295e-08	0.0
ENSG00000285417.1	0.0459669242722851	0.0	3.6055630564844295e-08	0.0
CDKN3	0.0458723610654891	0.0	3.6055630564844295e-08	0.0
NCAPG	0.0457611167630875	0.0	3.6055630564844295e-08	0.0
PLK1	0.045731080998002	0.0	3.6055630564844295e-08	0.0
CAMK4	0.0447821108498109	0.0	3.6055630564844295e-08	0.0
PRKCH	0.0444313057518401	0.0	3.6055630564844295e-08	0.0
EAF2	0.0440196155786566	0.0	3.6055630564844295e-08	0.0
TNFRSF13B	0.0434655538514923	0.0	3.6055630564844295e-08	0.0
IGHG4	0.042944249459046	0.0	3.6055630564844295e-08	0.0
IL1B	0.0428130632880546	0.0	3.6055630564844295e-08	0.0
FCRLA	0.0426440718197378	0.0	3.6055630564844295e-08	0.0
CD247	0.0425345693509401	0.0	3.6055630564844295e-08	0.0
SPAG4	0.0425236490972498	0.0	3.6055630564844295e-08	0.0
BLK	0.0420902357116372	0.0	3.6055630564844295e-08	0.0
H3C8	0.0414149687350083	0.0	3.6055630564844295e-08	0.0
CHPF	0.0413444917011657	0.0	3.6055630564844295e-08	0.0
BLNK	0.041303822676004	0.0	3.6055630564844295e-08	0.0
KNL1	0.0405757591187663	0.0	3.6055630564844295e-08	0.0
IGHV4-39	0.0403363493982433	0.0	3.6055630564844295e-08	0.0
TRAT1	0.0401201678776626	0.0	3.6055630564844295e-08	0.0
TROAP	0.0396599371969304	0.0	3.6055630564844295e-08	0.0
FOXM1	0.0395177616701805	0.0	3.6055630564844295e-08	0.0
NIBAN3	0.0395019343167819	0.0	3.6055630564844295e-08	0.0
INPP4B	0.0392737069878324	0.0	3.6055630564844295e-08	0.0
CD6	0.0390956369014115	0.0	3.6055630564844295e-08	0.0
IGKV4-1	0.039034172437437	0.0	3.6055630564844295e-08	0.0
SCML4	0.0389406267122682	0.0	3.6055630564844295e-08	0.0
AURKB	0.0388008533075741	0.0	3.6055630564844295e-08	0.0
SLC1A4	0.0384095145760658	0.0	3.6055630564844295e-08	0.0
H2AC16	0.0383255453549489	0.0	3.6055630564844295e-08	0.0
CCNB1	0.0382859534481889	0.0	3.6055630564844295e-08	0.0
GMPPB	0.0381142919928474	0.0	3.6055630564844295e-08	0.0
CDCA3	0.0375631964571491	0.0	3.6055630564844295e-08	0.0
DLGAP5	0.0375504550695606	0.0	3.6055630564844295e-08	0.0
CDC6	0.0373947270817598	0.0	3.6055630564844295e-08	0.0
KLHL14	0.0369804524668902	0.0	3.6055630564844295e-08	0.0
FKBP11	0.0369116846283062	0.0	3.6055630564844295e-08	0.0
BHLHA15	0.0363965252595458	0.0	3.6055630564844295e-08	0.0
TRIP13	0.0362463022307695	0.0	3.6055630564844295e-08	0.0
LINC01857	0.0358245956075737	0.0	3.6055630564844295e-08	0.0
LINC02362	0.0354690721472234	0.0	3.6055630564844295e-08	0.0
PNOC	0.0352033362798041	0.0	3.6055630564844295e-08	0.0
GZMM	0.0350723390886227	0.0	3.6055630564844295e-08	0.0
HMMR	0.0349001842561384	0.0	3.6055630564844295e-08	0.0
EEF1A1	0.0347722167564829	0.0	3.6055630564844295e-08	0.0
GTSE1	0.034426851136962	0.0	3.6055630564844295e-08	0.0
PKMYT1	0.0343264719477688	0.0	3.6055630564844295e-08	0.0
KIFC1	0.0341565274714473	0.0	3.6055630564844295e-08	0.0
KIF11	0.0340921230637215	0.0	3.6055630564844295e-08	0.0
CPNE5	0.0338714062398692	0.0	3.6055630564844295e-08	0.0
SKAP1	0.0336562224704231	0.0	3.6055630564844295e-08	0.0
LEF1	0.0336250002502221	0.0	3.6055630564844295e-08	0.0
PRF1	0.0334464891288873	0.0	3.6055630564844295e-08	0.0
IGHV3-33	0.0333395988457411	0.0	3.6055630564844295e-08	0.0
CTSW	0.0331333929434609	0.0	3.6055630564844295e-08	0.0
IGLV2-23	0.0328970675908262	0.0	3.6055630564844295e-08	0.0
IGKV1-39	0.0325866884867966	0.0	3.6055630564844295e-08	0.0
UBE2T	0.0325628962084127	0.0	3.6055630564844295e-08	0.0
TNFSF8	0.032470419707213	0.0	3.6055630564844295e-08	0.0
CDCA8	0.0324603260557085	0.0	3.6055630564844295e-08	0.0
TNFAIP3	0.0324201401350805	0.0	3.6055630564844295e-08	0.0
IGKV2-29	0.0322999531020601	0.0	3.6055630564844295e-08	0.0
IRF4	0.0321850822590714	0.0	3.6055630564844295e-08	0.0
H2BC11	0.0320108681468992	0.0	3.6055630564844295e-08	0.0
FCER2	0.0319369852731692	0.0	3.6055630564844295e-08	0.0
CR2	0.0319121831867863	0.0	3.6055630564844295e-08	0.0
CSF3R	0.0317854358528483	0.0	3.6055630564844295e-08	0.0
FPR1	0.03173454918366	0.0	3.6055630564844295e-08	0.0
ZNF215	0.031620363199713	0.0	3.6055630564844295e-08	0.0
SHMT2	0.0313513156711782	0.0	3.6055630564844295e-08	0.0
CDCA2	0.0312053996972523	0.0	3.6055630564844295e-08	0.0
CD5	0.0311485321764897	0.0	3.6055630564844295e-08	0.0
S100A12	0.0310934347812628	0.0	3.6055630564844295e-08	0.0
IGKV3-11	0.030912436796812	0.0	3.6055630564844295e-08	0.0
CHST2	0.0308369405857768	0.0	3.6055630564844295e-08	0.0
NKG7	0.0307793711053687	0.0	3.6055630564844295e-08	0.0
TXK	0.0306580227861258	0.0	3.6055630564844295e-08	0.0
IGHV5-51	0.0305149462715788	0.0	3.6055630564844295e-08	0.0
PBX4	0.0303609120757244	0.0	3.6055630564844295e-08	0.0
IL1R2	0.0301546284958665	0.0	3.6055630564844295e-08	0.0
IGLV1-40	0.0301467868866625	0.0	3.6055630564844295e-08	0.0
IGKV1-9	0.0300579292517642	0.0	3.6055630564844295e-08	0.0
NCF1	0.0300345025636002	0.0	3.6055630564844295e-08	0.0
H4C6	0.030003939545713	0.0	3.6055630564844295e-08	0.0
RPS14	0.0299769894990611	0.0	3.6055630564844295e-08	0.0
IGKV1D-39	0.0295714553203644	0.0	3.6055630564844295e-08	0.0
NCF4	0.029569809105959	0.0	3.6055630564844295e-08	0.0
CCR10	0.0293019422424421	0.0	3.6055630564844295e-08	0.0
RPL10	0.0292694372616657	0.0	3.6055630564844295e-08	0.0
IL1RN	0.0292618952395985	0.0	3.6055630564844295e-08	0.0
SLC38A5	0.029034642346925	0.0	3.6055630564844295e-08	0.0
PLAUR	0.0286903196935599	0.0	3.6055630564844295e-08	0.0
HCK	0.0286713449915656	0.0	3.6055630564844295e-08	0.0
DOK3	0.0286655595847318	0.0	3.6055630564844295e-08	0.0
IGKV3-20	0.0285510557791267	0.0	3.6055630564844295e-08	0.0
GZMA	0.0284028206675596	0.0	3.6055630564844295e-08	0.0
H2BC4	0.0283774820871753	0.0	3.6055630564844295e-08	0.0
PHF1	0.0280553897357957	0.0	3.6055630564844295e-08	0.0
IGLV6-57	0.0279748897632437	0.0	3.6055630564844295e-08	0.0
LINC01781	0.0279001051468545	0.0	3.6055630564844295e-08	0.0
MYO7B	0.0277295891864647	0.0	3.6055630564844295e-08	0.0
RPL11	0.0276902895109767	0.0	3.6055630564844295e-08	0.0
KLRD1	0.027685376659108	0.0	3.6055630564844295e-08	0.0
IGLC3	0.0276663351919732	0.0	3.6055630564844295e-08	0.0
CENPM	0.0272965950748741	0.0	3.6055630564844295e-08	0.0
UHRF1	0.0272234938138855	0.0	3.6055630564844295e-08	0.0
CDT1	0.0271967642536504	0.0	3.6055630564844295e-08	0.0
ENSG00000233912.1	0.0271546958689933	0.0	3.6055630564844295e-08	0.0
PLEK	0.0270049048537603	0.0	3.6055630564844295e-08	0.0
THEMIS	0.0269857919081898	0.0	3.6055630564844295e-08	0.0
MCM10	0.0269531038430909	0.0	3.6055630564844295e-08	0.0
SEL1L3	0.0267275460547891	0.0	3.6055630564844295e-08	0.0
CENPA	0.0266885869042964	0.0	3.6055630564844295e-08	0.0
TLR10	0.0263033159056786	0.0	3.6055630564844295e-08	0.0
ARHGEF1	0.0260063936523246	0.0	3.6055630564844295e-08	0.0
FCGR3B	0.025995855493385	0.0	3.6055630564844295e-08	0.0
PELATON	0.0258394356104887	0.0	3.6055630564844295e-08	0.0
LAT2	0.0258369545800821	0.0	3.6055630564844295e-08	0.0
H1-4	0.0257081247321799	0.0	3.6055630564844295e-08	0.0
DUSP5	0.0256683435790823	0.0	3.6055630564844295e-08	0.0
ZNF831	0.0253919524770078	0.0	3.6055630564844295e-08	0.0
E2F2	0.0253900575158821	0.0	3.6055630564844295e-08	0.0
SNX22	0.0253024706501023	0.0	3.6055630564844295e-08	0.0
RPS13	0.0251699862072742	0.0	3.6055630564844295e-08	0.0
ZBP1	0.0251573487946799	0.0	3.6055630564844295e-08	0.0
S100P	0.0250787696635314	0.0	3.6055630564844295e-08	0.0
AQP9	0.0250539967653766	0.0	3.6055630564844295e-08	0.0
RPS5	0.0249507559569321	0.0	3.6055630564844295e-08	0.0
CD180	0.0249061734609659	0.0	3.6055630564844295e-08	0.0
H3C7	0.0247550081843214	0.0	3.6055630564844295e-08	0.0
RPLP0	0.0247373876305993	0.0	3.6055630564844295e-08	0.0
SLC25A37	0.0246406800325283	0.0	3.6055630564844295e-08	0.0
RPL18	0.0245569319094613	0.0	3.6055630564844295e-08	0.0
RPS15	0.0244969564748279	0.0	3.6055630564844295e-08	0.0
H3C12	0.0244761033921658	0.0	3.6055630564844295e-08	0.0
IGLV3-1	0.0244665928696324	0.0	3.6055630564844295e-08	0.0
PLCG2	0.024407830654671	0.0	3.6055630564844295e-08	0.0
NLRP7	0.0244073995345029	0.0	3.6055630564844295e-08	0.0
LILRA4	0.0243576512716378	0.0	3.6055630564844295e-08	0.0
PTPRCAP	0.0243386240214592	0.0	3.6055630564844295e-08	0.0
SPAG5	0.0242277787891988	0.0	3.6055630564844295e-08	0.0
CST7	0.0241552227215551	0.0	3.6055630564844295e-08	0.0
RECQL4	0.0240499926671206	0.0	3.6055630564844295e-08	0.0
