Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.2740764414946615	0.0	1.7671524562774393e-08	0.0
JCHAIN	0.2602053981207666	0.0	1.7671524562774393e-08	0.0
TXNDC5	0.2388428341448354	0.0	1.7671524562774393e-08	0.0
MYBL2	0.2318201325092345	0.0	1.7671524562774393e-08	0.0
RRM2	0.2261676516769718	0.0	1.7671524562774393e-08	0.0
TNFRSF17	0.2250414143955446	0.0	1.7671524562774393e-08	0.0
IGLL5	0.2146502092068453	0.0	1.7671524562774393e-08	0.0
POU2AF1	0.2066437314786537	0.0	1.7671524562774393e-08	0.0
IGHG2	0.1932732748602943	0.0	1.7671524562774393e-08	0.0
TYMS	0.1926992991404703	0.0	1.7671524562774393e-08	0.0
CD38	0.1905731019062253	0.0	1.7671524562774393e-08	0.0
DERL3	0.1886722953812702	0.0	1.7671524562774393e-08	0.0
ENSG00000258572.1	0.1800254017617164	0.0	1.7671524562774393e-08	0.0
MKI67	0.175073777683596	0.0	1.7671524562774393e-08	0.0
IGHG1	0.1739505293128897	0.0	1.7671524562774393e-08	0.0
SHCBP1	0.1671784051825172	0.0	1.7671524562774393e-08	0.0
ZWINT	0.1659225817264528	0.0	1.7671524562774393e-08	0.0
H1-5	0.1622633555712112	0.0	1.7671524562774393e-08	0.0
CDC20	0.1583931584438802	0.0	1.7671524562774393e-08	0.0
GINS2	0.1549838975668115	0.0	1.7671524562774393e-08	0.0
BIRC5	0.1519496237240526	0.0	1.7671524562774393e-08	0.0
TK1	0.1446598170916332	0.0	1.7671524562774393e-08	0.0
LINC03034	0.1406400392244125	0.0	1.7671524562774393e-08	0.0
BUB1	0.1400371386684857	0.0	1.7671524562774393e-08	0.0
CCNA2	0.139650868934387	0.0	1.7671524562774393e-08	0.0
CENPW	0.1366099678523993	0.0	1.7671524562774393e-08	0.0
CDC6	0.1324351981226993	0.0	1.7671524562774393e-08	0.0
ENSG00000257221.4	0.1310372794478072	0.0	1.7671524562774393e-08	0.0
TPX2	0.1300853222619017	0.0	1.7671524562774393e-08	0.0
CCNB2	0.1297376518984722	0.0	1.7671524562774393e-08	0.0
