Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.2792906856351781	0.0	1.9520742853744612e-08	0.0
JCHAIN	0.2643122704993221	0.0	1.9520742853744612e-08	0.0
TXNDC5	0.2587456517144179	0.0	1.9520742853744612e-08	0.0
IGKC	0.2052562622568824	0.0	1.9520742853744612e-08	0.0
RRM2	0.1920844889235039	0.0	1.9520742853744612e-08	0.0
CD38	0.1867126108774015	0.0	1.9520742853744612e-08	0.0
SEC11C	0.1851405670021924	0.0	1.9520742853744612e-08	0.0
PRDX4	0.1803759179692711	0.0	1.9520742853744612e-08	0.0
MYBL2	0.1796646150321569	0.0	1.9520742853744612e-08	0.0
TNFRSF17	0.1780113188491543	0.0	1.9520742853744612e-08	0.0
IGLL5	0.1767989002748156	0.0	1.9520742853744612e-08	0.0
DERL3	0.1756594868244405	0.0	1.9520742853744612e-08	0.0
IGHG2	0.1728283969711779	0.0	1.9520742853744612e-08	0.0
IGLC2	0.1695640033050249	0.0	1.9520742853744612e-08	0.0
PDIA4	0.1651505499988959	0.0	1.9520742853744612e-08	0.0
H1-5	0.1625153480237136	0.0	1.9520742853744612e-08	0.0
TYMS	0.1613295247649871	0.0	1.9520742853744612e-08	0.0
POU2AF1	0.1609848495851287	0.0	1.9520742853744612e-08	0.0
CDC20	0.159781940668142	0.0	1.9520742853744612e-08	0.0
SDF2L1	0.1578112579230361	0.0	1.9520742853744612e-08	0.0
GGH	0.1452057886711836	0.0	1.9520742853744612e-08	0.0
MKI67	0.1444849148079474	0.0	1.9520742853744612e-08	0.0
IGHA1	0.1443483311246998	0.0	1.9520742853744612e-08	0.0
IGHG1	0.1422682006016037	0.0	1.9520742853744612e-08	0.0
SHCBP1	0.1376957792568282	0.0	1.9520742853744612e-08	0.0
ZWINT	0.1286277349737926	0.0	1.9520742853744612e-08	0.0
IGHV3-74	0.1285191846404497	0.0	1.9520742853744612e-08	0.0
PPIB	0.1268710316343472	0.0	1.9520742853744612e-08	0.0
IGHV6-1	0.1259516210586201	0.0	1.9520742853744612e-08	0.0
XBP1	0.1252076587396545	0.0	1.9520742853744612e-08	0.0
ENSG00000258572.1	0.1215483669998514	0.0	1.9520742853744612e-08	0.0
CENPW	0.1192861219398489	0.0	1.9520742853744612e-08	0.0
CCNA2	0.1167755802514847	0.0	1.9520742853744612e-08	0.0
ITM2C	0.1142915409984779	0.0	1.9520742853744612e-08	0.0
BIRC5	0.1142872982021808	0.0	1.9520742853744612e-08	0.0
TK1	0.1142226730513946	0.0	1.9520742853744612e-08	0.0
TPX2	0.1128935899539585	0.0	1.9520742853744612e-08	0.0
BUB1	0.1100642734787761	0.0	1.9520742853744612e-08	0.0
ENSG00000257221.4	0.1083872948528776	0.0	1.9520742853744612e-08	0.0
IFITM1	0.1082069513572626	0.0	1.9520742853744612e-08	0.0
ASPM	0.104159714040084	0.0	1.9520742853744612e-08	0.0
PNRC1	0.1035100166541386	0.0	1.9520742853744612e-08	0.0
HYOU1	0.1028402218701224	0.0	1.9520742853744612e-08	0.0
GMPPB	0.1026770469170069	0.0	1.9520742853744612e-08	0.0
CCNB2	0.1021464068833798	0.0	1.9520742853744612e-08	0.0
CDKN3	0.1021373110938075	0.0	1.9520742853744612e-08	0.0
PLK1	0.1019153008314026	0.0	1.9520742853744612e-08	0.0
GINS2	0.1018216063557189	0.0	1.9520742853744612e-08	0.0
CRELD2	0.1010962174872114	0.0	1.9520742853744612e-08	0.0
UBE2C	0.1009036175607154	0.0	1.9520742853744612e-08	0.0
NUSAP1	0.100178141827605	0.0	1.9520742853744612e-08	0.0
H2AC12	0.1000718318796023	0.0	1.9520742853744612e-08	0.0
FKBP11	0.0988173600350849	0.0	1.9520742853744612e-08	0.0
STT3A	0.0983073913187347	0.0	1.9520742853744612e-08	0.0
UBE2J1	0.0980473771075391	0.0	1.9520742853744612e-08	0.0
IGHG3	0.0974673575533906	0.0	1.9520742853744612e-08	0.0
CDC6	0.0952908763558217	0.0	1.9520742853744612e-08	0.0
CCNB1	0.0944490412162489	0.0	1.9520742853744612e-08	0.0
NCAPG	0.0934707513579133	0.0	1.9520742853744612e-08	0.0
LAMP5	0.0915041965496141	0.0	1.9520742853744612e-08	0.0
ANKRD36BP2_ENSG00000230006	0.0910447400291876	0.0	1.9520742853744612e-08	0.0
CDK1	0.090815524033688	0.0	1.9520742853744612e-08	0.0
ABCB9	0.0903933336377677	0.0	1.9520742853744612e-08	0.0
TROAP	0.0895872459566458	0.0	1.9520742853744612e-08	0.0
BHLHA15	0.0883319210271242	0.0	1.9520742853744612e-08	0.0
PKMYT1	0.0876740484369485	0.0	1.9520742853744612e-08	0.0
FOXM1	0.0872525926503982	0.0	1.9520742853744612e-08	0.0
LINC03034	0.0850320174784672	0.0	1.9520742853744612e-08	0.0
CENPM	0.084691120180674	0.0	1.9520742853744612e-08	0.0
DLGAP5	0.0846725251112871	0.0	1.9520742853744612e-08	0.0
CDCA3	0.0835120595464867	0.0	1.9520742853744612e-08	0.0
TRIP13	0.0828042827543951	0.0	1.9520742853744612e-08	0.0
APOBEC3B	0.0822335020430519	0.0	1.9520742853744612e-08	0.0
KIFC1	0.0817947912199302	0.0	1.9520742853744612e-08	0.0
SLC38A5	0.0817931383970436	0.0	1.9520742853744612e-08	0.0
SLC1A4	0.0804847559524447	0.0	1.9520742853744612e-08	0.0
UBE2T	0.0798455460987596	0.0	1.9520742853744612e-08	0.0
MAD2L1	0.0796054985983651	0.0	1.9520742853744612e-08	0.0
GAB1	0.0793084659621097	0.0	1.9520742853744612e-08	0.0
SEC13	0.078875742202295	0.0	1.9520742853744612e-08	0.0
TXNDC11	0.0788254274128599	0.0	1.9520742853744612e-08	0.0
CHPF	0.0781776152316093	0.0	1.9520742853744612e-08	0.0
KIF11	0.0770685833326221	0.0	1.9520742853744612e-08	0.0
GTSE1	0.0770593396640608	0.0	1.9520742853744612e-08	0.0
AURKB	0.076821959472527	0.0	1.9520742853744612e-08	0.0
H3C8	0.0764156851993566	0.0	1.9520742853744612e-08	0.0
H2AC13	0.0760253369637719	0.0	1.9520742853744612e-08	0.0
CDCA8	0.0759176449650312	0.0	1.9520742853744612e-08	0.0
HMMR	0.0757702653032404	0.0	1.9520742853744612e-08	0.0
KNL1	0.0752237022127745	0.0	1.9520742853744612e-08	0.0
CDT1	0.0749589795779514	0.0	1.9520742853744612e-08	0.0
SPC25	0.0748839378882249	0.0	1.9520742853744612e-08	0.0
SPAG5	0.0744731546216066	0.0	1.9520742853744612e-08	0.0
H2AC16	0.0743665537169119	0.0	1.9520742853744612e-08	0.0
CDCA2	0.074344471966317	0.0	1.9520742853744612e-08	0.0
IRF4	0.0743315733761808	0.0	1.9520742853744612e-08	0.0
IGHV4-34	0.0741038375431804	0.0	1.9520742853744612e-08	0.0
FER1L4	0.0733820153181498	0.0	1.9520742853744612e-08	0.0
SPAG4	0.0733389720317238	0.0	1.9520742853744612e-08	0.0
SHMT2	0.0726672319053692	0.0	1.9520742853744612e-08	0.0
CDC45	0.0722686571199731	0.0	1.9520742853744612e-08	0.0
IGLV2-5	0.0712951777689846	0.0	1.9520742853744612e-08	0.0
CENPA	0.0710839354267074	0.0	1.9520742853744612e-08	0.0
CENPU	0.0710813139266745	0.0	1.9520742853744612e-08	0.0
LCK	0.0706134600536327	0.0	1.9520742853744612e-08	0.0
EAF2	0.0702573687138921	0.0	1.9520742853744612e-08	0.0
CDCA5	0.0702042732391032	0.0	1.9520742853744612e-08	0.0
NCAPH	0.0694120682997065	0.0	1.9520742853744612e-08	0.0
BMP8B	0.0688541156504306	0.0	1.9520742853744612e-08	0.0
PIM2	0.0685055276037693	0.0	1.9520742853744612e-08	0.0
FEN1	0.0678862983875657	0.0	1.9520742853744612e-08	0.0
