Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.2531857912744332	0.0	1.856518769227233e-08	0.0
TXNDC5	0.2413523407717282	0.0	1.856518769227233e-08	0.0
JCHAIN	0.2404896952837475	0.0	1.856518769227233e-08	0.0
IGKC	0.1828955397257649	0.0	1.856518769227233e-08	0.0
SEC11C	0.1736442629474143	0.0	1.856518769227233e-08	0.0
RRM2	0.1732201800959374	0.0	1.856518769227233e-08	0.0
CD38	0.1678740558891663	0.0	1.856518769227233e-08	0.0
PRDX4	0.1652125025665191	0.0	1.856518769227233e-08	0.0
MYBL2	0.1609414605290117	0.0	1.856518769227233e-08	0.0
IGLL5	0.1599645524815864	0.0	1.856518769227233e-08	0.0
DERL3	0.1594359601045817	0.0	1.856518769227233e-08	0.0
IGLC2	0.158805097088271	0.0	1.856518769227233e-08	0.0
TNFRSF17	0.1571493103129129	0.0	1.856518769227233e-08	0.0
H1-5	0.1554094104387245	0.0	1.856518769227233e-08	0.0
PDIA4	0.1546033362321338	0.0	1.856518769227233e-08	0.0
HSP90B1	0.1511989960979435	0.0	1.856518769227233e-08	0.0
SDF2L1	0.1480458286093091	0.0	1.856518769227233e-08	0.0
IGHG2	0.1470267672418398	0.0	1.856518769227233e-08	0.0
POU2AF1	0.1415745525319368	0.0	1.856518769227233e-08	0.0
TYMS	0.1410768533518163	0.0	1.856518769227233e-08	0.0
CDC20	0.1358182668723389	0.0	1.856518769227233e-08	0.0
IGHA1	0.1342090294003209	0.0	1.856518769227233e-08	0.0
MKI67	0.1300714209424749	0.0	1.856518769227233e-08	0.0
IGHV3-74	0.1282687900272	0.0	1.856518769227233e-08	0.0
IGHG1	0.12772830712197	0.0	1.856518769227233e-08	0.0
GGH	0.1218997605887631	0.0	1.856518769227233e-08	0.0
PPIB	0.1152615466600164	0.0	1.856518769227233e-08	0.0
ZWINT	0.1150157091401279	0.0	1.856518769227233e-08	0.0
IGHV6-1	0.1129340716477164	0.0	1.856518769227233e-08	0.0
ITM2C	0.1105815361368146	0.0	1.856518769227233e-08	0.0
