Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.0482003189772474	0.0	1.735584864395166e-08	0.0
JCHAIN	0.0475778930584776	0.0	1.735584864395166e-08	0.0
CD3E	0.0423633856802654	0.0	1.735584864395166e-08	0.0
TYMS	0.0400184611313016	0.0	1.735584864395166e-08	0.0
IGLL5	0.0397055253447806	0.0	1.735584864395166e-08	0.0
RRM2	0.0389476481096965	0.0	1.735584864395166e-08	0.0
TXNDC5	0.0386073431314651	0.0	1.735584864395166e-08	0.0
IGHG2	0.036582628692953	0.0	1.735584864395166e-08	0.0
POU2AF1	0.0358716588137657	0.0	1.735584864395166e-08	0.0
MYBL2	0.0356687960933759	0.0	1.735584864395166e-08	0.0
IGHA1	0.0327031558708273	0.0	1.735584864395166e-08	0.0
FCER1G	0.0323092060665871	0.0	1.735584864395166e-08	0.0
S100A8	0.0320702078058918	0.0	1.735584864395166e-08	0.0
TNFRSF17	0.0303646564858668	0.0	1.735584864395166e-08	0.0
LEF1	0.0302231114287101	0.0	1.735584864395166e-08	0.0
IGHG1	0.0301610401649316	0.0	1.735584864395166e-08	0.0
MKI67	0.0293992496095627	0.0	1.735584864395166e-08	0.0
TCF7	0.0291390276906308	0.0	1.735584864395166e-08	0.0
DERL3	0.0290793396478599	0.0	1.735584864395166e-08	0.0
BASP1	0.0284034288979754	0.0	1.735584864395166e-08	0.0
H1-5	0.0283797786895951	0.0	1.735584864395166e-08	0.0
LCK	0.0281667939055371	0.0	1.735584864395166e-08	0.0
G0S2	0.0275622357786082	0.0	1.735584864395166e-08	0.0
ENSG00000258572.1	0.0272702831163076	0.0	1.735584864395166e-08	0.0
IGHV6-1	0.0268078572313763	0.0	1.735584864395166e-08	0.0
SPI1	0.0261280967248033	0.0	1.735584864395166e-08	0.0
PLEK	0.0259118676578312	0.0	1.735584864395166e-08	0.0
SERPINA1	0.0256651061671001	0.0	1.735584864395166e-08	0.0
CD38	0.0256474044863907	0.0	1.735584864395166e-08	0.0
IGKV4-1	0.0254350847081644	0.0	1.735584864395166e-08	0.0
IL1B	0.0241832953915769	0.0	1.735584864395166e-08	0.0
BIRC5	0.0239542500161948	0.0	1.735584864395166e-08	0.0
CSF3R	0.0232299806654383	0.0	1.735584864395166e-08	0.0
FPR1	0.0228783912892929	0.0	1.735584864395166e-08	0.0
IGHV3-74	0.0226113794042609	0.0	1.735584864395166e-08	0.0
CDC20	0.0223124960670642	0.0	1.735584864395166e-08	0.0
S100A12	0.0221297788556934	0.0	1.735584864395166e-08	0.0
PLAUR	0.0218912066344044	0.0	1.735584864395166e-08	0.0
PELATON	0.0215144986153569	0.0	1.735584864395166e-08	0.0
RPL36	0.0210316775587399	0.0	1.735584864395166e-08	0.0
EEF1A1	0.0206075290494915	0.0	1.735584864395166e-08	0.0
RPS18	0.0203225694481744	0.0	1.735584864395166e-08	0.0
ZWINT	0.0203013223328248	0.0	1.735584864395166e-08	0.0
IL1R2	0.0200710442170096	0.0	1.735584864395166e-08	0.0
HCK	0.0200160815300074	0.0	1.735584864395166e-08	0.0
CAMK4	0.0199420888801414	0.0	1.735584864395166e-08	0.0
