Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.2499237730547334	0.0	1.9673396947540488e-08	0.0
JCHAIN	0.2373622549758792	0.0	1.9673396947540488e-08	0.0
TXNDC5	0.2316798097387509	0.0	1.9673396947540488e-08	0.0
POU2AF1	0.1996372071603566	0.0	1.9673396947540488e-08	0.0
MYBL2	0.1978894357554054	0.0	1.9673396947540488e-08	0.0
RRM2	0.1817466531500277	0.0	1.9673396947540488e-08	0.0
IGLL5	0.1703805194582109	0.0	1.9673396947540488e-08	0.0
PRDX4	0.1650031094126755	0.0	1.9673396947540488e-08	0.0
IGHG2	0.1633335681177006	0.0	1.9673396947540488e-08	0.0
TNFRSF17	0.1625770164178769	0.0	1.9673396947540488e-08	0.0
H1-5	0.1624082460720294	0.0	1.9673396947540488e-08	0.0
SEC11C	0.1610747226216277	0.0	1.9673396947540488e-08	0.0
DERL3	0.159658755302511	0.0	1.9673396947540488e-08	0.0
TYMS	0.1578075429497667	0.0	1.9673396947540488e-08	0.0
CD38	0.154502236375574	0.0	1.9673396947540488e-08	0.0
IFITM1	0.141351864121494	0.0	1.9673396947540488e-08	0.0
ITM2C	0.1403469352907199	0.0	1.9673396947540488e-08	0.0
MKI67	0.1393181013608065	0.0	1.9673396947540488e-08	0.0
IGLC2	0.1349219990668268	0.0	1.9673396947540488e-08	0.0
CDC20	0.1326745988291515	0.0	1.9673396947540488e-08	0.0
GGH	0.1321991994717605	0.0	1.9673396947540488e-08	0.0
IGHG1	0.1306527198805912	0.0	1.9673396947540488e-08	0.0
ZWINT	0.1195052682115368	0.0	1.9673396947540488e-08	0.0
SHCBP1	0.1189420042469831	0.0	1.9673396947540488e-08	0.0
IGHA1	0.1185242379978515	0.0	1.9673396947540488e-08	0.0
CENPW	0.1152694109176194	0.0	1.9673396947540488e-08	0.0
PNRC1	0.1146562244529199	0.0	1.9673396947540488e-08	0.0
IGHV6-1	0.1132895388558961	0.0	1.9673396947540488e-08	0.0
ENSG00000258572.1	0.113052170153483	0.0	1.9673396947540488e-08	0.0
TK1	0.1077377818051539	0.0	1.9673396947540488e-08	0.0
