Gene	I	pval_norm	var_norm	pval_norm_fdr_bh
MZB1	0.3770454855823564	0.0	1.4421662903245698e-08	0.0
TXNDC5	0.3585162538861176	0.0	1.4421662903245698e-08	0.0
JCHAIN	0.3537827618025668	0.0	1.4421662903245698e-08	0.0
POU2AF1	0.2918935256411596	0.0	1.4421662903245698e-08	0.0
MYBL2	0.2870839611239322	0.0	1.4421662903245698e-08	0.0
TNFRSF17	0.260255024839101	0.0	1.4421662903245698e-08	0.0
RRM2	0.2590416622639713	0.0	1.4421662903245698e-08	0.0
PRDX4	0.2547469805984154	0.0	1.4421662903245698e-08	0.0
CD38	0.2542814059126719	0.0	1.4421662903245698e-08	0.0
IGLL5	0.2537593447421788	0.0	1.4421662903245698e-08	0.0
SEC11C	0.2537179228599757	0.0	1.4421662903245698e-08	0.0
DERL3	0.2400238709543228	0.0	1.4421662903245698e-08	0.0
IGKC	0.2400091305211266	0.0	1.4421662903245698e-08	0.0
TYMS	0.226881199429019	0.0	1.4421662903245698e-08	0.0
IGHG2	0.2246211843130402	0.0	1.4421662903245698e-08	0.0
PDIA4	0.2228652008440684	0.0	1.4421662903245698e-08	0.0
H1-5	0.2223833617028364	0.0	1.4421662903245698e-08	0.0
MYDGF	0.2198850496534637	0.0	1.4421662903245698e-08	0.0
HSP90B1	0.2140425230876848	0.0	1.4421662903245698e-08	0.0
GGH	0.2103649958188962	0.0	1.4421662903245698e-08	0.0
SDF2L1	0.2077907214991554	0.0	1.4421662903245698e-08	0.0
ITM2C	0.2050178804870545	0.0	1.4421662903245698e-08	0.0
IFITM1	0.2014545003821863	0.0	1.4421662903245698e-08	0.0
MKI67	0.200659478768555	0.0	1.4421662903245698e-08	0.0
IGLC2	0.1978585329101038	0.0	1.4421662903245698e-08	0.0
CDC20	0.1938674067998177	0.0	1.4421662903245698e-08	0.0
SHCBP1	0.188669262907691	0.0	1.4421662903245698e-08	0.0
IGHG1	0.1884006786504957	0.0	1.4421662903245698e-08	0.0
ENSG00000258572.1	0.184430922891907	0.0	1.4421662903245698e-08	0.0
ZWINT	0.1783275446020397	0.0	1.4421662903245698e-08	0.0
IGHA1	0.1770985659921488	0.0	1.4421662903245698e-08	0.0
PNRC1	0.1735896088843727	0.0	1.4421662903245698e-08	0.0
CENPW	0.1698868021338293	0.0	1.4421662903245698e-08	0.0
TK1	0.1689817971478527	0.0	1.4421662903245698e-08	0.0
ENSG00000257221.4	0.1672587607009593	0.0	1.4421662903245698e-08	0.0
BUB1	0.1569103590648119	0.0	1.4421662903245698e-08	0.0
PPIB	0.1567581177719091	0.0	1.4421662903245698e-08	0.0
BIRC5	0.1558398913727584	0.0	1.4421662903245698e-08	0.0
CCNA2	0.1557279610787198	0.0	1.4421662903245698e-08	0.0
STT3A	0.1554020521884405	0.0	1.4421662903245698e-08	0.0
LINC03034	0.1533211842705567	0.0	1.4421662903245698e-08	0.0
HMGB3	0.1532338780452048	0.0	1.4421662903245698e-08	0.0
GINS2	0.1509121247728173	0.0	1.4421662903245698e-08	0.0
EAF2	0.1505477816489094	0.0	1.4421662903245698e-08	0.0
IGHG3	0.149971390381436	0.0	1.4421662903245698e-08	0.0
TPX2	0.14994447605686	0.0	1.4421662903245698e-08	0.0
IGHV6-1	0.1498599551497227	0.0	1.4421662903245698e-08	0.0
UBE2J1	0.1494274696709736	0.0	1.4421662903245698e-08	0.0
CRELD2	0.1493571740972605	0.0	1.4421662903245698e-08	0.0
GMPPB	0.1486484755827992	0.0	1.4421662903245698e-08	0.0
CDKN3	0.1457513140698926	0.0	1.4421662903245698e-08	0.0
HYOU1	0.1456278483929297	0.0	1.4421662903245698e-08	0.0
CLPTM1L	0.1445928638325632	0.0	1.4421662903245698e-08	0.0
ASPM	0.1434401113075323	0.0	1.4421662903245698e-08	0.0
SRM	0.1420279711077126	0.0	1.4421662903245698e-08	0.0
ABCB9	0.1414210873861938	0.0	1.4421662903245698e-08	0.0
NUSAP1	0.1408692475377874	0.0	1.4421662903245698e-08	0.0
CDC6	0.1397936049923854	0.0	1.4421662903245698e-08	0.0
PTTG1	0.1387590412135547	0.0	1.4421662903245698e-08	0.0
CENPM	0.1386570219700255	0.0	1.4421662903245698e-08	0.0
SLC38A5	0.1374235681638234	0.0	1.4421662903245698e-08	0.0
FCRL5	0.135962529056842	0.0	1.4421662903245698e-08	0.0
SHMT2	0.1351449165899031	0.0	1.4421662903245698e-08	0.0
UBE2C	0.1340581263389618	0.0	1.4421662903245698e-08	0.0
TXNDC11	0.1332296462802978	0.0	1.4421662903245698e-08	0.0
LCK	0.1328537065654855	0.0	1.4421662903245698e-08	0.0
IGHV3-74	0.1327489048018747	0.0	1.4421662903245698e-08	0.0
DUSP2	0.1327071826615743	0.0	1.4421662903245698e-08	0.0
BHLHA15	0.1325818328441911	0.0	1.4421662903245698e-08	0.0
H2AC12	0.1320005847544014	0.0	1.4421662903245698e-08	0.0
PLK1	0.1319228226402724	0.0	1.4421662903245698e-08	0.0
NCAPG	0.1317251597314873	0.0	1.4421662903245698e-08	0.0
CCNB1	0.129168071590444	0.0	1.4421662903245698e-08	0.0
CCNB2	0.1286696180347033	0.0	1.4421662903245698e-08	0.0
LAMP5	0.128357827907046	0.0	1.4421662903245698e-08	0.0
PKMYT1	0.126650523673143	0.0	1.4421662903245698e-08	0.0
FEN1	0.1253791442064207	0.0	1.4421662903245698e-08	0.0
FKBP11	0.1241672962571536	0.0	1.4421662903245698e-08	0.0
TRIP13	0.1234427171197828	0.0	1.4421662903245698e-08	0.0
SLC1A4	0.122991818749501	0.0	1.4421662903245698e-08	0.0
ANKRD36BP2_ENSG00000230006	0.1225890923526063	0.0	1.4421662903245698e-08	0.0
CDCA3	0.1224522442911183	0.0	1.4421662903245698e-08	0.0
MAD2L1	0.1220634279765463	0.0	1.4421662903245698e-08	0.0
TOP2A	0.121612095026173	0.0	1.4421662903245698e-08	0.0
UBE2T	0.1212462837222856	0.0	1.4421662903245698e-08	0.0
TROAP	0.1199499365672563	0.0	1.4421662903245698e-08	0.0
PNOC	0.1197220798304189	0.0	1.4421662903245698e-08	0.0
CDK1	0.1197154227732078	0.0	1.4421662903245698e-08	0.0
IRF4	0.1187364926493812	0.0	1.4421662903245698e-08	0.0
FOXM1	0.1174835838572675	0.0	1.4421662903245698e-08	0.0
CENPU	0.1169015863633168	0.0	1.4421662903245698e-08	0.0
KIFC1	0.1166242488466217	0.0	1.4421662903245698e-08	0.0
CPNE5	0.1149825592989545	0.0	1.4421662903245698e-08	0.0
IFITM2	0.1147101708534329	0.0	1.4421662903245698e-08	0.0
APOBEC3B	0.1139836967719342	0.0	1.4421662903245698e-08	0.0
CDT1	0.1124417933220482	0.0	1.4421662903245698e-08	0.0
BMP8B	0.1121982161463386	0.0	1.4421662903245698e-08	0.0
ENSG00000285417.1	0.1121175026263233	0.0	1.4421662903245698e-08	0.0
LILRB4	0.1120503094654857	0.0	1.4421662903245698e-08	0.0
H2AC16	0.1114028741290812	0.0	1.4421662903245698e-08	0.0
CHPF	0.1109563881514981	0.0	1.4421662903245698e-08	0.0
SPAG4	0.1105559957080431	0.0	1.4421662903245698e-08	0.0
FER1L4	0.1101896357661409	0.0	1.4421662903245698e-08	0.0
PIM2	0.109515290422272	0.0	1.4421662903245698e-08	0.0
SUB1	0.1086862637827469	0.0	1.4421662903245698e-08	0.0
AURKB	0.1078616942575313	0.0	1.4421662903245698e-08	0.0
DLGAP5	0.1078318944866388	0.0	1.4421662903245698e-08	0.0
CDC45	0.1063351592110654	0.0	1.4421662903245698e-08	0.0
IFI27L1	0.1058736867594192	0.0	1.4421662903245698e-08	0.0
DENND5B	0.1057922018162148	0.0	1.4421662903245698e-08	0.0
DDOST	0.1057514396379272	0.0	1.4421662903245698e-08	0.0
H3C8	0.1054819285460547	0.0	1.4421662903245698e-08	0.0
KIF11	0.1053468391416051	0.0	1.4421662903245698e-08	0.0
KNL1	0.1047595055815442	0.0	1.4421662903245698e-08	0.0
CDCA8	0.1046227391570243	0.0	1.4421662903245698e-08	0.0
HMMR	0.1045329823721981	0.0	1.4421662903245698e-08	0.0
NCAPH	0.1044312237099332	0.0	1.4421662903245698e-08	0.0
GTSE1	0.1040638398961028	0.0	1.4421662903245698e-08	0.0
DIAPH3	0.1038371069913869	0.0	1.4421662903245698e-08	0.0
MIR193BHG	0.1036488653790799	0.0	1.4421662903245698e-08	0.0
SPAG5	0.1035495627465931	0.0	1.4421662903245698e-08	0.0
SPC25	0.1032059735624638	0.0	1.4421662903245698e-08	0.0
IGHG4	0.1027681240424912	0.0	1.4421662903245698e-08	0.0
CD7	0.101807515916884	0.0	1.4421662903245698e-08	0.0
DTL	0.1016682553971125	0.0	1.4421662903245698e-08	0.0
PHF19	0.1014001461932328	0.0	1.4421662903245698e-08	0.0
LINC02362	0.1012139811794835	0.0	1.4421662903245698e-08	0.0
H2AC13	0.1011452671862318	0.0	1.4421662903245698e-08	0.0
CENPA	0.1006689141990966	0.0	1.4421662903245698e-08	0.0
CDCA2	0.0995454795123204	0.0	1.4421662903245698e-08	0.0
MCM5	0.0992729356302481	0.0	1.4421662903245698e-08	0.0
IGHM	0.098733960288175	0.0	1.4421662903245698e-08	0.0
CDCA5	0.0985691739605197	0.0	1.4421662903245698e-08	0.0
TOR3A	0.0967023661489627	0.0	1.4421662903245698e-08	0.0
CHST2	0.0964538990099983	0.0	1.4421662903245698e-08	0.0
TUBG1	0.0963081721053094	0.0	1.4421662903245698e-08	0.0
CST7	0.0962666203986753	0.0	1.4421662903245698e-08	0.0
ZBP1	0.0958515955436861	0.0	1.4421662903245698e-08	0.0
TCF3	0.0951014082357655	0.0	1.4421662903245698e-08	0.0
CCR10	0.0951001406679899	0.0	1.4421662903245698e-08	0.0
TNFAIP3	0.0949975987266289	0.0	1.4421662903245698e-08	0.0
MCM2	0.0947993609745739	0.0	1.4421662903245698e-08	0.0
TGFB1	0.0946466869006236	0.0	1.4421662903245698e-08	0.0
CTSW	0.0937654033066259	0.0	1.4421662903245698e-08	0.0
DHFR	0.0937408233684441	0.0	1.4421662903245698e-08	0.0
PREB	0.0934949885046421	0.0	1.4421662903245698e-08	0.0
OIP5	0.0931120433728419	0.0	1.4421662903245698e-08	0.0
ZAP70	0.0926651362075444	0.0	1.4421662903245698e-08	0.0
ARHGAP9	0.0916632503459955	0.0	1.4421662903245698e-08	0.0
DCPS	0.09099499387485	0.0	1.4421662903245698e-08	0.0
NLRP7	0.0909872059793266	0.0	1.4421662903245698e-08	0.0
SKA1	0.0909695282734579	0.0	1.4421662903245698e-08	0.0
ESCO2	0.0899618048367404	0.0	1.4421662903245698e-08	0.0
C11orf24	0.0898998256726631	0.0	1.4421662903245698e-08	0.0
MCM4	0.0894981430026272	0.0	1.4421662903245698e-08	0.0
CSRNP1	0.0884302066672575	0.0	1.4421662903245698e-08	0.0
PARPBP	0.0884291424185708	0.0	1.4421662903245698e-08	0.0
CEP55	0.0883423226967426	0.0	1.4421662903245698e-08	0.0
SNORD3A	0.0880475544471899	0.0	1.4421662903245698e-08	0.0
CDKN2A	0.0878671182339889	0.0	1.4421662903245698e-08	0.0
FKBP2	0.0869182178895325	0.0	1.4421662903245698e-08	0.0
CHAC2	0.0868717089995869	0.0	1.4421662903245698e-08	0.0
HJURP	0.0868633002746017	0.0	1.4421662903245698e-08	0.0
CENPN	0.0865346964079631	0.0	1.4421662903245698e-08	0.0
ORC6	0.0864715901652491	0.0	1.4421662903245698e-08	0.0
H2BC11	0.0863645403512901	0.0	1.4421662903245698e-08	0.0
MCM7	0.0863594868985319	0.0	1.4421662903245698e-08	0.0
ZNF215	0.086259089687843	0.0	1.4421662903245698e-08	0.0
DEPDC1B	0.0857248249964051	0.0	1.4421662903245698e-08	0.0
LRR1	0.0854710116584979	0.0	1.4421662903245698e-08	0.0
VOPP1	0.0853571768418738	0.0	1.4421662903245698e-08	0.0
SSR4	0.085073972461291	0.0	1.4421662903245698e-08	0.0
SKA3	0.0850050563293905	0.0	1.4421662903245698e-08	0.0
PPP1R15A	0.0843005484695797	0.0	1.4421662903245698e-08	0.0
POC1A	0.0841337159670014	0.0	1.4421662903245698e-08	0.0
H1-4	0.083914615880481	0.0	1.4421662903245698e-08	0.0
ASF1B	0.083811024807622	0.0	1.4421662903245698e-08	0.0
PRF1	0.0836294986260322	0.0	1.4421662903245698e-08	0.0
CDC25A	0.0835458534438432	0.0	1.4421662903245698e-08	0.0
BUB1B	0.0835072957135556	0.0	1.4421662903245698e-08	0.0
SYVN1	0.0832737893533455	0.0	1.4421662903245698e-08	0.0
CENPE	0.0831110408280812	0.0	1.4421662903245698e-08	0.0
MCM10	0.0829032887146517	0.0	1.4421662903245698e-08	0.0
POLQ	0.0823795038262335	0.0	1.4421662903245698e-08	0.0
KIF4A	0.082207498074335	0.0	1.4421662903245698e-08	0.0
RECQL4	0.0821356944733417	0.0	1.4421662903245698e-08	0.0
E2F2	0.0820633428231397	0.0	1.4421662903245698e-08	0.0
MIXL1	0.0820191768521112	0.0	1.4421662903245698e-08	0.0
MRPS24	0.0819571149963541	0.0	1.4421662903245698e-08	0.0
U3_ENSG00000212195	0.0817679337023488	0.0	1.4421662903245698e-08	0.0
NDC80	0.0817496082130625	0.0	1.4421662903245698e-08	0.0
ENSG00000248571.1	0.0817108417493813	0.0	1.4421662903245698e-08	0.0
KIF23	0.080830139385947	0.0	1.4421662903245698e-08	0.0
ARHGAP11A	0.0804958954404343	0.0	1.4421662903245698e-08	0.0
IGKV4-1	0.0801252176014062	0.0	1.4421662903245698e-08	0.0
IGHV4-34	0.0800094155338519	0.0	1.4421662903245698e-08	0.0
IGLV2-14	0.0796847851542846	0.0	1.4421662903245698e-08	0.0
NFKBIA	0.0796720771512055	0.0	1.4421662903245698e-08	0.0
KIF15	0.0794491626297478	0.0	1.4421662903245698e-08	0.0
GPR65	0.0790620358638875	0.0	1.4421662903245698e-08	0.0
TNFRSF13B	0.0789417498783743	0.0	1.4421662903245698e-08	0.0
H2BC9	0.0789240700550648	0.0	1.4421662903245698e-08	0.0
B9D1	0.0784494068947872	0.0	1.4421662903245698e-08	0.0
