	I	pval_norm	var_norm	pval_norm_fdr_bh
ENSG00000153064	0.13730167762665604	0.0	1.7309493467875537e-08	0.0
ENSG00000104894	0.13514421809332564	0.0	1.7309493467875537e-08	0.0
ENSG00000156738	0.13177078276220983	0.0	1.7309493467875537e-08	0.0
ENSG00000136573	0.12857373999277333	0.0	1.7309493467875537e-08	0.0
ENSG00000140968	0.12318594843230028	0.0	1.7309493467875537e-08	0.0
ENSG00000112149	0.12011521481975664	0.0	1.7309493467875537e-08	0.0
ENSG00000169442	0.11771671564055215	0.0	1.7309493467875537e-08	0.0
ENSG00000131401	0.11438205394268189	0.0	1.7309493467875537e-08	0.0
ENSG00000123416	0.09768602248982027	0.0	1.7309493467875537e-08	0.0
ENSG00000204287	0.09690300134439317	0.0	1.7309493467875537e-08	0.0
ENSG00000112799	0.09531386340023748	0.0	1.7309493467875537e-08	0.0
ENSG00000026297	0.09409652991628376	0.0	1.7309493467875537e-08	0.0
ENSG00000159958	0.09372491336969015	0.0	1.7309493467875537e-08	0.0
ENSG00000145416	0.09251208411041095	0.0	1.7309493467875537e-08	0.0
ENSG00000105369	0.09118650562773326	0.0	1.7309493467875537e-08	0.0
ENSG00000162511	0.09116430899033535	0.0	1.7309493467875537e-08	0.0
ENSG00000162894	0.08875533627727875	0.0	1.7309493467875537e-08	0.0
ENSG00000122224	0.08761784431417848	0.0	1.7309493467875537e-08	0.0
ENSG00000167483	0.08723681238726892	0.0	1.7309493467875537e-08	0.0
ENSG00000265972	0.08676876791644422	0.0	1.7309493467875537e-08	0.0
ENSG00000227507	0.08596709546321589	0.0	1.7309493467875537e-08	0.0
ENSG00000170476	0.0855649633400986	0.0	1.7309493467875537e-08	0.0
ENSG00000234184	0.0845913115733015	0.0	1.7309493467875537e-08	0.0
ENSG00000121966	0.08354953857603237	0.0	1.7309493467875537e-08	0.0
ENSG00000188229	0.08226160415954967	0.0	1.7309493467875537e-08	0.0
ENSG00000012124	0.08025708944650112	0.0	1.7309493467875537e-08	0.0
ENSG00000169508	0.08024330967606043	0.0	1.7309493467875537e-08	0.0
ENSG00000132185	0.08008171556987957	0.0	1.7309493467875537e-08	0.0
ENSG00000148671	0.07960363320032182	0.0	1.7309493467875537e-08	0.0
ENSG00000157514	0.07939217957025442	0.0	1.7309493467875537e-08	0.0
ENSG00000177954	0.07878113835001334	0.0	1.7309493467875537e-08	0.0
ENSG00000109475	0.07868191875126071	0.0	1.7309493467875537e-08	0.0
ENSG00000223865	0.0783835118218874	0.0	1.7309493467875537e-08	0.0
ENSG00000198918	0.07678595805538851	0.0	1.7309493467875537e-08	0.0
ENSG00000051523	0.07635700524676152	0.0	1.7309493467875537e-08	0.0
ENSG00000182809	0.07621074593014211	0.0	1.7309493467875537e-08	0.0
ENSG00000142089	0.07619243004976987	0.0	1.7309493467875537e-08	0.0
ENSG00000172183	0.0758534970956361	0.0	1.7309493467875537e-08	0.0
ENSG00000182718	0.07535781202687669	0.0	1.7309493467875537e-08	0.0
ENSG00000159335	0.07517100307752277	0.0	1.7309493467875537e-08	0.0
ENSG00000084070	0.0749511335338721	0.0	1.7309493467875537e-08	0.0
ENSG00000177469	0.07443292758932989	0.0	1.7309493467875537e-08	0.0
ENSG00000156508	0.07432562525988523	0.0	1.7309493467875537e-08	0.0
ENSG00000177410	0.0739974399866577	0.0	1.7309493467875537e-08	0.0
ENSG00000075624	0.07343560871693676	0.0	1.7309493467875537e-08	0.0
ENSG00000184009	0.072676554107356	0.0	1.7309493467875537e-08	0.0
ENSG00000239264	0.07247062653292508	0.0	1.7309493467875537e-08	0.0
ENSG00000142910	0.07230350534746473	0.0	1.7309493467875537e-08	0.0
ENSG00000092841	0.07212767458201437	0.0	1.7309493467875537e-08	0.0
ENSG00000060138	0.07194810718320248	0.0	1.7309493467875537e-08	0.0
ENSG00000161929	0.07176714456269741	0.0	1.7309493467875537e-08	0.0
ENSG00000167996	0.07152388459208704	0.0	1.7309493467875537e-08	0.0
ENSG00000173812	0.07138251711548727	0.0	1.7309493467875537e-08	0.0
ENSG00000134333	0.07132464345028815	0.0	1.7309493467875537e-08	0.0
ENSG00000234741	0.07130723708223291	0.0	1.7309493467875537e-08	0.0
ENSG00000131981	0.07126583426836793	0.0	1.7309493467875537e-08	0.0
ENSG00000042980	0.07107346451807499	0.0	1.7309493467875537e-08	0.0
ENSG00000091490	0.07040266306716371	0.0	1.7309493467875537e-08	0.0
ENSG00000081237	0.0703402100653552	0.0	1.7309493467875537e-08	0.0
ENSG00000156482	0.07032856575530787	0.0	1.7309493467875537e-08	0.0
ENSG00000105971	0.0702789666001163	0.0	1.7309493467875537e-08	0.0
